Date,Open,High,Low,Close,Volume,Adj Close,Return
1987-08-21,12.0,12.0,11.63,12.0,7523000,0.89,0.0
1987-08-24,11.88,12.0,11.88,11.88,1395000,0.89,0.0
1987-08-25,11.88,12.0,11.75,11.88,232400,0.89,0.0
1987-08-26,11.88,11.88,11.75,11.75,123700,0.88,-0.011235955056179803
1987-08-27,11.75,11.88,11.75,11.75,291000,0.88,0.0
1987-08-28,11.75,11.88,11.75,11.75,168400,0.88,0.0
1987-08-31,11.75,11.88,11.75,11.88,288500,0.89,0.011363636363636465
1987-09-01,11.88,11.88,11.75,11.88,111400,0.89,0.0
1987-09-02,11.88,11.88,11.75,11.75,161100,0.88,-0.011235955056179803
1987-09-03,11.75,11.88,11.75,11.75,105800,0.88,0.0
1987-09-04,11.75,11.88,11.75,11.75,93600,0.88,0.0
1987-09-08,11.75,11.88,11.75,11.75,176900,0.88,0.0
1987-09-09,11.75,11.88,11.75,11.88,149100,0.89,0.011363636363636465
1987-09-10,11.88,11.88,11.75,11.75,76700,0.88,-0.011235955056179803
1987-09-11,11.75,12.0,11.75,12.0,547000,0.89,0.011363636363636465
1987-09-14,12.0,12.0,11.88,12.0,123400,0.89,0.0
1987-09-15,12.0,12.0,11.88,11.88,134300,0.89,0.0
1987-09-16,11.88,12.0,11.88,12.0,190500,0.89,0.0
1987-09-17,12.0,12.0,11.88,11.88,114400,0.89,0.0
1987-09-18,11.88,12.0,11.88,11.88,75100,0.89,0.0
1987-09-21,11.88,12.0,11.88,12.0,49800,0.89,0.0
1987-09-22,12.0,12.0,11.75,11.88,59300,0.89,0.0
1987-09-23,11.88,12.0,11.75,11.75,110500,0.88,-0.011235955056179803
1987-09-24,11.88,11.88,11.75,11.75,43300,0.88,0.0
1987-09-25,11.88,11.88,11.75,11.88,40500,0.89,0.011363636363636465
1987-09-28,11.75,11.88,11.75,11.75,48900,0.88,-0.011235955056179803
1987-09-29,11.75,11.88,11.63,11.63,23700,0.87,-0.011363636363636354
1987-09-30,11.75,11.75,11.25,11.5,63000,0.86,-0.011494252873563204
1987-10-01,11.5,11.75,11.5,11.63,39700,0.87,0.011627906976744207
1987-10-02,11.5,11.75,11.5,11.75,48100,0.88,0.011494252873563315
1987-10-05,11.75,11.75,11.5,11.63,63400,0.87,-0.011363636363636354
1987-10-06,11.63,11.63,11.5,11.63,41000,0.87,0.0
1987-10-07,11.63,11.63,11.25,11.38,51400,0.85,-0.02298850574712641
1987-10-08,11.5,11.5,11.0,11.0,53900,0.82,-0.03529411764705881
1987-10-09,10.5,10.88,10.25,10.5,61800,0.79,-0.03658536585365846
1987-10-12,10.5,10.5,10.25,10.38,86900,0.78,-0.012658227848101222
1987-10-13,10.38,10.75,10.25,10.75,73000,0.81,0.03846153846153855
1987-10-14,10.75,10.75,10.5,10.5,71000,0.79,-0.024691358024691357
1987-10-15,10.5,11.0,10.38,10.75,43500,0.81,0.025316455696202445
1987-10-16,10.88,11.0,10.63,10.63,79600,0.8,-0.012345679012345734
1987-10-19,10.38,10.38,8.75,9.13,235500,0.69,-0.13750000000000007
1987-10-20,10.0,11.13,9.88,10.25,234100,0.77,0.11594202898550732
1987-10-21,10.38,10.88,10.13,10.75,156800,0.81,0.051948051948051965
1987-10-22,10.5,10.88,10.13,10.38,129700,0.78,-0.03703703703703709
1987-10-23,10.75,11.0,10.75,10.75,119000,0.81,0.03846153846153855
1987-10-26,10.13,11.0,10.13,10.88,114000,0.82,0.012345679012345512
1987-10-27,10.88,11.13,10.63,10.63,62400,0.8,-0.024390243902438935
1987-10-28,10.75,10.88,10.5,10.75,54100,0.81,0.012499999999999956
1987-10-29,10.75,11.0,10.75,10.75,47000,0.81,0.0
1987-10-30,10.88,11.13,10.5,11.0,72000,0.83,0.024691358024691246
1987-11-02,11.0,11.25,10.75,11.25,64700,0.85,0.024096385542168752
