Date,Open,High,Low,Close,Volume,Adj Close,Return
1984-07-19,13.69,14.29,13.69,14.09,198000,0.29,0.0
1984-07-20,13.99,14.39,13.99,13.99,444000,0.29,0.0
1984-07-23,14.19,14.19,13.59,13.59,303000,0.28,-0.0344827586206895
1984-07-24,13.59,13.99,13.59,13.59,144000,0.28,0.0
1984-07-25,13.59,13.59,13.29,13.29,195000,0.27,-0.0357142857142857
1984-07-26,13.29,13.39,13.19,13.29,147000,0.27,0.0
1984-07-27,13.39,13.39,13.19,13.29,24000,0.27,0.0
1984-07-30,13.19,13.19,12.99,12.99,156000,0.27,0.0
1984-07-31,12.99,13.69,12.99,13.69,171000,0.28,0.03703703703703698
1984-08-01,13.69,14.29,13.59,14.29,318000,0.29,0.03571428571428559
1984-08-02,14.49,14.79,14.39,14.79,714000,0.3,0.034482758620689724
1984-08-03,14.79,15.29,14.69,15.19,738000,0.31,0.03333333333333344
1984-08-06,15.49,15.99,15.39,15.99,2496000,0.33,0.06451612903225823
1984-08-07,15.89,16.39,15.59,16.29,690000,0.34,0.030303030303030276
1984-08-08,16.29,16.49,15.99,16.09,2109000,0.33,-0.02941176470588236
1984-08-09,15.91,16.51,15.91,16.41,1146000,0.34,0.030303030303030276
1984-08-10,16.92,17.42,16.92,17.42,1206000,0.36,0.0588235294117645
1984-08-13,17.22,17.32,16.72,16.82,606000,0.35,-0.02777777777777779
1984-08-14,17.02,17.22,17.02,17.12,498000,0.36,0.028571428571428692
1984-08-15,17.22,17.42,16.92,17.32,450000,0.36,0.0
1984-08-16,17.12,18.03,17.12,18.03,768000,0.37,0.0277777777777779
1984-08-17,18.03,18.03,17.62,17.82,249000,0.37,0.0
1984-08-20,17.62,17.93,17.62,17.82,183000,0.37,0.0
1984-08-21,18.03,18.23,17.82,17.82,552000,0.37,0.0
1984-08-22,17.93,18.13,17.62,17.82,621000,0.37,0.0
1984-08-23,18.03,18.03,17.52,17.72,303000,0.37,0.0
1984-08-24,17.72,17.72,17.52,17.52,108000,0.36,-0.027027027027027084
1984-08-27,17.52,17.72,17.52,17.52,144000,0.36,0.0
1984-08-28,17.52,17.72,17.52,17.62,144000,0.37,0.0277777777777779
1984-08-29,17.82,17.93,17.52,17.62,120000,0.37,0.0
1984-08-30,17.72,18.23,17.72,18.13,396000,0.38,0.027027027027026973
1984-08-31,18.23,18.23,17.93,18.03,1056000,0.37,-0.02631578947368418
1984-09-04,18.03,18.13,17.93,18.03,516000,0.37,0.0
1984-09-05,18.13,18.33,18.13,18.23,603000,0.38,0.027027027027026973
1984-09-06,18.33,18.53,18.23,18.33,516000,0.38,0.0
1984-09-07,18.33,18.53,18.13,18.13,234000,0.38,0.0
1984-09-10,18.13,18.23,17.93,18.03,348000,0.37,-0.02631578947368418
1984-09-11,18.13,18.43,18.03,18.43,99000,0.38,0.027027027027026973
1984-09-12,18.43,19.03,18.13,18.93,480000,0.39,0.026315789473684292
1984-09-13,19.13,19.13,18.63,18.63,204000,0.39,0.0
1984-09-14,19.03,19.03,18.43,18.43,318000,0.38,-0.02564102564102566
1984-09-17,18.33,18.33,17.52,17.52,333000,0.36,-0.052631578947368474
1984-09-18,17.62,17.62,17.32,17.62,282000,0.37,0.0277777777777779
1984-09-19,17.62,17.72,17.32,17.32,222000,0.36,-0.027027027027027084
1984-09-20,17.22,17.32,16.92,16.92,162000,0.35,-0.02777777777777779
1984-09-21,17.02,17.32,16.82,17.12,270000,0.36,0.028571428571428692
1984-09-24,17.22,17.72,17.12,17.52,495000,0.36,0.0
1984-09-25,17.42,17.72,17.42,17.72,138000,0.37,0.0277777777777779
1984-09-26,17.93,17.93,17.52,17.62,336000,0.37,0.0
