Date,Open,High,Low,Close,Volume,Adj Close,Return
1994-10-27,9.5,9.5,9.0,9.0,288600,9.0,0.0
1994-10-28,9.38,9.38,9.0,9.13,37400,9.13,0.014444444444444482
1994-10-31,9.13,9.5,9.13,9.5,92700,9.5,0.04052573932091996
1994-11-01,9.5,9.5,9.13,9.13,60500,9.13,-0.03894736842105251
1994-11-02,9.13,9.5,9.13,9.5,36300,9.5,0.04052573932091996
1994-11-03,9.13,9.5,9.13,9.13,14200,9.13,-0.03894736842105251
1994-11-04,9.13,9.5,9.13,9.13,26200,9.13,0.0
1994-11-07,9.13,9.5,9.0,9.0,127200,9.0,-0.01423877327491796
1994-11-08,9.0,9.25,9.0,9.0,44100,9.0,0.0
1994-11-09,9.0,9.25,9.0,9.0,79700,9.0,0.0
1994-11-10,9.25,9.25,9.0,9.0,10100,9.0,0.0
1994-11-11,9.0,9.25,9.0,9.0,34500,9.0,0.0
1994-11-14,9.0,9.0,9.0,9.0,6200,9.0,0.0
1994-11-15,9.0,9.0,9.0,9.0,26700,9.0,0.0
1994-11-16,9.0,9.25,9.0,9.0,21700,9.0,0.0
1994-11-17,9.0,9.0,9.0,9.0,17800,9.0,0.0
1994-11-18,9.25,9.25,9.0,9.25,200800,9.25,0.02777777777777768
1994-11-21,9.0,9.0,9.0,9.0,18400,9.0,-0.027027027027026973
1994-11-22,9.0,9.38,9.0,9.0,37500,9.0,0.0
1994-11-23,9.0,9.0,9.0,9.0,38500,9.0,0.0
1994-11-28,9.0,9.0,9.0,9.0,10600,9.0,0.0
1994-11-29,9.38,9.38,9.06,9.06,3900,9.06,0.006666666666666821
1994-11-30,9.0,9.38,9.0,9.38,18100,9.38,0.03532008830022071
1994-12-01,9.0,9.25,9.0,9.25,4600,9.25,-0.013859275053304976
1994-12-02,9.0,9.0,9.0,9.0,5900,9.0,-0.027027027027026973
1994-12-05,9.25,9.25,9.0,9.0,10300,9.0,0.0
1994-12-06,9.25,9.25,9.0,9.0,9500,9.0,0.0
1994-12-07,9.0,9.0,9.0,9.0,3100,9.0,0.0
1994-12-08,9.0,9.25,9.0,9.0,72100,9.0,0.0
1994-12-09,9.0,9.0,9.0,9.0,9100,9.0,0.0
1994-12-12,9.0,9.0,9.0,9.0,6500,9.0,0.0
1994-12-13,9.25,9.25,9.0,9.25,7000,9.25,0.02777777777777768
1994-12-14,9.25,9.25,9.0,9.0,3400,9.0,-0.027027027027026973
1994-12-15,9.0,9.0,9.0,9.0,4200,9.0,0.0
1994-12-16,9.0,9.0,9.0,9.0,11400,9.0,0.0
1994-12-19,9.0,9.25,9.0,9.0,5100,9.0,0.0
1994-12-20,9.0,9.0,9.0,9.0,5000,9.0,0.0
1994-12-21,9.0,9.0,9.0,9.0,9500,9.0,0.0
1994-12-22,9.0,9.25,9.0,9.0,19900,9.0,0.0
1994-12-23,9.0,9.0,9.0,9.0,2500,9.0,0.0
1994-12-27,9.0,9.0,9.0,9.0,600,9.0,0.0
1994-12-28,9.0,9.0,9.0,9.0,17500,9.0,0.0
1994-12-29,9.0,9.0,9.0,9.0,7500,9.0,0.0
1994-12-30,9.0,9.0,9.0,9.0,13200,9.0,0.0
1995-01-03,9.25,9.25,9.0,9.25,3000,9.25,0.02777777777777768
1995-01-04,9.0,9.0,9.0,9.0,3000,9.0,-0.027027027027026973
1995-01-05,9.0,9.0,9.0,9.0,600,9.0,0.0
1995-01-06,9.0,9.0,9.0,9.0,800,9.0,0.0
1995-01-09,9.0,9.0,9.0,9.0,1500,9.0,0.0
1995-01-10,9.0,9.0,9.0,9.0,15900,9.0,0.0
1995-01-11,9.25,9.25,9.0,9.0,4900,9.0,0.0
1995-01-12,9.25,9.25,9.06,9.25,11600,9.25,0.02777777777777768
1995-01-13,9.25,9.25,9.0,9.25,7600,9.25,0.0
1995-01-16,9.25,9.5,9.13,9.25,8900,9.25,0.0
1995-01-17,9.13,9.25,9.13,9.25,1300,9.25,0.0
1995-01-18,9.5,9.5,9.25,9.5,9300,9.5,0.027027027027026973
1995-01-19,9.25,9.75,9.25,9.5,14300,9.5,0.0
1995-01-20,9.75,9.75,9.5,9.5,3400,9.5,0.0
1995-01-23,9.5,9.62,9.5,9.5,12200,9.5,0.0
1995-01-24,9.5,9.5,9.5,9.5,9400,9.5,0.0
1995-01-25,9.5,9.5,9.5,9.5,1500,9.5,0.0
1995-01-26,9.5,9.5,9.5,9.5,8600,9.5,0.0
1995-01-27,9.25,9.25,9.25,9.25,2700,9.25,-0.02631578947368418
1995-01-30,9.25,9.25,9.25,9.25,2000,9.25,0.0
1995-01-31,9.75,9.75,9.25,9.75,13300,9.75,0.054054054054053946
1995-02-01,9.25,9.25,9.25,9.25,6600,9.25,-0.05128205128205132
1995-02-02,9.75,9.75,9.25,9.25,400,9.25,0.0
1995-02-03,9.38,9.38,9.38,9.38,500,9.38,0.014054054054054133
1995-02-06,9.25,9.5,9.25,9.5,500,9.5,0.012793176972281328
1995-02-07,9.25,9.75,9.25,9.25,7700,9.25,-0.02631578947368418
1995-02-09,9.38,9.38,9.38,9.38,200,9.38,0.014054054054054133
1995-02-13,9.38,9.38,9.25,9.25,600,9.25,-0.013859275053304976
1995-02-14,9.75,9.75,9.75,9.75,400,9.75,0.054054054054053946
1995-02-15,9.25,9.25,9.25,9.25,3400,9.25,-0.05128205128205132
1995-02-17,9.75,9.75,9.25,9.25,2900,9.25,0.0
1995-02-21,9.25,9.38,9.25,9.38,1700,9.38,0.014054054054054133
1995-02-24,9.25,9.75,9.25,9.25,31000,9.25,-0.013859275053304976
1995-02-27,9.25,9.75,9.25,9.75,900,9.75,0.054054054054053946
1995-02-28,9.25,9.5,9.25,9.25,10600,9.25,-0.05128205128205132
1995-03-01,9.25,9.25,9.25,9.25,4000,9.25,0.0
1995-03-02,9.0,9.0,9.0,9.0,4900,9.0,-0.027027027027026973
1995-03-03,9.0,9.0,8.75,9.0,1900,9.0,0.0
1995-03-06,8.75,8.75,8.75,8.75,5000,8.75,-0.02777777777777779
1995-03-07,9.25,9.25,8.75,8.75,10500,8.75,0.0
1995-03-08,8.75,8.75,8.75,8.75,100,8.75,0.0
1995-03-09,8.75,8.75,8.75,8.75,4500,8.75,0.0
1995-03-13,8.75,8.75,8.75,8.75,300,8.75,0.0
1995-03-14,8.75,8.75,8.75,8.75,3100,8.75,0.0
1995-03-15,8.75,9.25,8.75,9.25,600,9.25,0.05714285714285716
1995-03-21,8.75,8.75,8.75,8.75,500,8.75,-0.05405405405405406
1995-03-22,9.25,9.25,9.0,9.0,400,9.0,0.02857142857142847
1995-03-23,9.25,9.25,9.0,9.25,8500,9.25,0.02777777777777768
1995-03-24,8.75,8.75,8.75,8.75,2800,8.75,-0.05405405405405406
1995-03-27,9.25,9.25,9.0,9.0,1300,9.0,0.02857142857142847
1995-03-28,8.75,8.75,8.75,8.75,500,8.75,-0.02777777777777779
1995-03-29,8.75,8.75,8.75,8.75,1000,8.75,0.0
1995-03-30,9.25,9.25,8.75,9.0,7300,9.0,0.02857142857142847
1995-03-31,9.0,9.25,8.75,9.0,6300,9.0,0.0
1995-04-03,9.25,9.25,9.25,9.25,900,9.25,0.02777777777777768
1995-04-04,9.0,9.25,8.75,9.25,92600,9.25,0.0
1995-04-05,8.94,9.25,8.94,9.25,8600,9.25,0.0
1995-04-06,9.13,9.13,9.13,9.13,1700,9.13,-0.01297297297297284
1995-04-07,8.75,9.25,8.75,9.25,40900,9.25,0.013143483023001057
1995-04-10,8.75,8.75,8.75,8.75,100,8.75,-0.05405405405405406
1995-04-11,9.25,9.25,9.25,9.25,500,9.25,0.05714285714285716
1995-04-12,8.75,8.75,8.75,8.75,4000,8.75,-0.05405405405405406
1995-04-13,8.75,8.75,8.75,8.75,2300,8.75,0.0
1995-04-17,9.25,9.25,8.75,8.75,1200,8.75,0.0
1995-04-18,8.75,9.25,8.75,8.75,2100,8.75,0.0
1995-04-19,9.25,9.25,8.75,8.75,1100,8.75,0.0
1995-04-20,9.25,9.25,8.87,9.0,18100,9.0,0.02857142857142847
1995-04-21,9.25,9.25,8.75,8.75,500,8.75,-0.02777777777777779
1995-04-24,8.75,8.75,8.75,8.75,400,8.75,0.0
1995-04-25,9.0,9.0,9.0,9.0,600,9.0,0.02857142857142847
1995-04-26,8.87,9.25,8.87,9.25,300,9.25,0.02777777777777768
1995-04-28,8.75,9.25,8.75,8.75,4900,8.75,-0.05405405405405406
1995-05-02,8.75,9.25,8.75,8.75,8500,8.75,0.0
1995-05-03,9.0,9.0,8.75,8.75,10000,8.75,0.0
1995-05-04,9.25,9.38,9.0,9.25,61000,9.25,0.05714285714285716
1995-05-05,9.0,9.38,9.0,9.0,59600,9.0,-0.027027027027026973
1995-05-09,9.0,9.38,9.0,9.38,3400,9.38,0.04222222222222238
1995-05-10,9.25,9.25,9.0,9.06,42800,9.06,-0.034115138592750616
1995-05-11,9.25,9.25,9.0,9.0,1600,9.0,-0.0066225165562914245
1995-05-12,9.0,9.13,9.0,9.0,41000,9.0,0.0
1995-05-15,9.0,9.0,9.0,9.0,3300,9.0,0.0
1995-05-16,9.0,9.38,9.0,9.38,4100,9.38,0.04222222222222238
1995-05-17,9.38,9.38,9.0,9.0,3000,9.0,-0.04051172707889139
1995-05-18,9.0,9.13,9.0,9.13,65500,9.13,0.014444444444444482
1995-05-19,9.38,9.38,9.38,9.38,400,9.38,0.027382256297918905
1995-05-22,9.38,9.38,9.38,9.38,400,9.38,0.0
1995-05-23,9.0,9.0,9.0,9.0,100,9.0,-0.04051172707889139
1995-05-24,9.0,9.0,9.0,9.0,400,9.0,0.0
1995-05-25,9.0,9.0,9.0,9.0,2000,9.0,0.0
1995-05-26,9.0,9.0,9.0,9.0,100,9.0,0.0
1995-05-30,9.38,9.62,9.25,9.25,19500,9.25,0.02777777777777768
1995-05-31,9.5,9.88,9.5,9.5,32200,9.5,0.027027027027026973
1995-06-01,9.5,9.88,9.5,9.56,31900,9.56,0.006315789473684275
1995-06-02,9.5,9.88,9.5,9.5,7000,9.5,-0.006276150627615107
1995-06-05,9.5,9.5,9.5,9.5,1000,9.5,0.0
1995-06-06,9.5,9.5,9.38,9.38,7500,9.38,-0.012631578947368327
1995-06-07,9.25,9.25,9.25,9.25,1100,9.25,-0.013859275053304976
1995-06-08,9.25,9.38,9.25,9.25,22000,9.25,0.0
1995-06-09,9.25,9.75,9.25,9.75,1000,9.75,0.054054054054053946
1995-06-12,9.25,9.75,9.25,9.75,1800,9.75,0.0
1995-06-13,9.75,9.75,9.25,9.75,1300,9.75,0.0
1995-06-14,9.5,9.75,9.5,9.75,400,9.75,0.0
1995-06-15,9.5,9.5,9.5,9.5,200,9.5,-0.02564102564102566
1995-06-16,9.75,9.75,9.25,9.25,3600,9.25,-0.02631578947368418
1995-06-19,9.5,9.5,9.25,9.25,1100,9.25,0.0
1995-06-20,9.25,9.38,9.25,9.25,40500,9.25,0.0
1995-06-21,9.5,9.5,9.25,9.25,3300,9.25,0.0
1995-06-22,9.5,9.5,9.5,9.5,1200,9.5,0.027027027027026973
1995-06-23,9.25,9.25,9.25,9.25,700,9.25,-0.02631578947368418
1995-06-26,9.25,9.5,9.25,9.5,3700,9.5,0.027027027027026973
1995-06-27,9.25,9.25,9.25,9.25,500,9.25,-0.02631578947368418
1995-06-28,9.25,9.5,9.25,9.5,1900,9.5,0.027027027027026973
1995-06-30,9.5,9.75,9.25,9.25,12700,9.25,-0.02631578947368418
1995-07-03,9.25,9.38,9.25,9.38,8000,9.38,0.014054054054054133
1995-07-05,9.25,9.25,9.25,9.25,300,9.25,-0.013859275053304976
1995-07-06,9.5,9.5,9.5,9.5,4000,9.5,0.027027027027026973
1995-07-07,9.5,9.62,9.5,9.62,5300,9.62,0.012631578947368327
1995-07-10,9.75,10.0,9.5,10.0,48900,10.0,0.03950103950103956
1995-07-11,10.0,10.0,9.75,10.0,6900,10.0,0.0
1995-07-12,10.0,10.0,9.88,10.0,20600,10.0,0.0
1995-07-13,10.0,10.0,9.88,10.0,26200,10.0,0.0
1995-07-14,9.88,10.0,9.88,10.0,42600,10.0,0.0
1995-07-17,10.0,10.0,9.88,10.0,4400,10.0,0.0
1995-07-18,9.88,10.0,9.88,10.0,4300,10.0,0.0
1995-07-19,9.88,10.0,9.75,9.75,3700,9.75,-0.025000000000000022
1995-07-20,10.0,10.0,9.75,10.0,2900,10.0,0.02564102564102555
1995-07-21,10.0,10.0,9.5,10.0,121500,10.0,0.0
1995-07-24,10.0,10.0,9.75,10.0,15000,10.0,0.0
1995-07-25,10.0,10.5,10.0,10.5,14800,10.5,0.050000000000000044
1995-07-26,10.37,10.37,10.12,10.12,7400,10.12,-0.03619047619047622
1995-07-27,10.37,10.37,10.37,10.37,300,10.37,0.024703557312252933
1995-07-28,10.37,10.75,10.37,10.75,16300,10.75,0.03664416586306651
1995-07-31,10.75,10.75,10.37,10.75,2900,10.75,0.0
1995-08-01,10.37,11.12,10.37,11.12,16100,11.12,0.034418604651162754
1995-08-02,11.12,11.25,11.0,11.17,13200,11.17,0.004496402877697925
1995-08-03,11.12,11.12,11.0,11.12,9300,11.12,-0.004476275738585556
1995-08-04,11.38,11.38,11.0,11.25,2800,11.25,0.011690647482014427
1995-08-07,11.38,11.38,11.0,11.38,11400,11.38,0.011555555555555541
1995-08-08,11.12,11.31,11.12,11.31,5100,11.31,-0.0061511423550087985
1995-08-09,11.38,11.38,11.0,11.12,12800,11.12,-0.01679929266136171
1995-08-10,11.0,11.25,11.0,11.12,4300,11.12,0.0
1995-08-11,11.0,11.38,11.0,11.25,3900,11.25,0.011690647482014427
1995-08-14,11.5,11.5,11.0,11.25,12700,11.25,0.0
1995-08-15,11.25,11.5,11.25,11.5,2700,11.5,0.022222222222222143
1995-08-16,11.0,11.0,11.0,11.0,2200,11.0,-0.04347826086956519
1995-08-17,11.0,11.0,11.0,11.0,100,11.0,0.0
1995-08-18,11.0,11.0,11.0,11.0,2800,11.0,0.0
1995-08-21,11.5,11.5,11.0,11.0,6600,11.0,0.0
1995-08-22,11.0,11.0,11.0,11.0,500,11.0,0.0
1995-08-23,11.12,11.38,11.0,11.25,29600,11.25,0.022727272727272707
1995-08-24,11.5,11.5,11.25,11.5,7600,11.5,0.022222222222222143
1995-08-25,11.62,11.62,11.25,11.5,25600,11.5,0.0
1995-08-28,11.62,11.62,11.25,11.25,1700,11.25,-0.021739130434782594
1995-08-30,11.62,11.87,11.62,11.75,8200,11.75,0.04444444444444451
1995-08-31,11.38,11.38,11.38,11.38,5000,11.38,-0.03148936170212757
1995-09-01,11.5,11.87,11.38,11.38,63600,11.38,0.0
1995-09-05,11.25,11.25,11.12,11.12,8600,11.12,-0.022847100175747093
1995-09-06,11.12,11.12,11.0,11.0,13700,11.0,-0.010791366906474753
1995-09-07,11.25,11.25,10.75,11.12,23700,11.12,0.010909090909090757
1995-09-11,10.88,11.25,10.88,11.25,19700,11.25,0.011690647482014427
1995-09-12,10.88,11.0,10.88,11.0,800,11.0,-0.022222222222222254
1995-09-13,11.12,11.12,11.0,11.0,13500,11.0,0.0
1995-09-14,11.0,11.25,11.0,11.12,5200,11.12,0.010909090909090757
1995-09-20,11.25,11.25,11.25,11.25,800,11.25,0.011690647482014427
1995-09-21,11.12,11.12,11.0,11.0,9500,11.0,-0.022222222222222254
1995-09-28,11.06,11.12,11.06,11.12,900,11.12,0.010909090909090757
1995-09-29,10.88,11.25,10.88,11.0,2400,11.0,-0.010791366906474753
1995-10-02,10.88,10.88,10.88,10.88,500,10.88,-0.010909090909090868
1995-10-03,11.0,11.12,11.0,11.0,15600,11.0,0.011029411764705843
1995-10-04,11.12,11.12,11.0,11.0,30200,11.0,0.0
