Date,Open,High,Low,Close,Volume,Adj Close,Return
2007-02-08,21.0,28.6,20.55,28.47,19190700,28.47,0.0
2007-02-09,28.5,31.09,27.6,29.25,3288700,29.25,0.027397260273972712
2007-02-12,29.6,30.0,27.85,28.55,981100,28.55,-0.023931623931623958
2007-02-13,29.0,29.4,26.77,27.61,1350100,27.61,-0.03292469352014016
2007-02-14,27.6,28.2,26.59,26.62,840300,26.62,-0.03585657370517925
2007-02-15,26.55,27.5,26.05,26.4,695000,26.4,-0.008264462809917439
2007-02-16,26.49,27.4,26.2,27.25,608400,27.25,0.032196969696969724
2007-02-20,27.36,28.03,27.3,27.65,286700,27.65,0.014678899082568808
2007-02-21,28.08,28.08,27.35,27.95,316500,27.95,0.010849909584086825
2007-02-22,28.0,28.0,26.51,27.27,507300,27.27,-0.024329159212880147
2007-02-23,27.12,27.4,26.75,27.01,225900,27.01,-0.009534286762009514
2007-02-26,27.39,27.39,26.42,26.65,318900,26.65,-0.013328396890040839
2007-02-27,26.04,26.5,25.5,25.76,573100,25.76,-0.03339587242026254
2007-02-28,25.7,26.3,25.01,25.48,473600,25.48,-0.010869565217391353
2007-03-01,25.0,25.32,24.06,25.2,641500,25.2,-0.010989010989011061
2007-03-02,24.88,25.0,24.05,24.25,403700,24.25,-0.037698412698412676
2007-03-05,24.05,25.14,24.02,24.32,477800,24.32,0.0028865979381442752
2007-03-06,24.75,24.75,24.0,24.39,288100,24.39,0.0028782894736842923
2007-03-07,24.48,25.45,24.32,24.61,245800,24.61,0.009020090200901887
2007-03-08,24.87,25.27,24.78,24.86,89300,24.86,0.010158472165786359
2007-03-09,25.35,26.36,24.5,25.87,341200,25.87,0.04062751407884169
2007-03-12,25.99,26.16,25.15,25.5,240100,25.5,-0.014302280633939013
2007-03-13,25.76,25.96,24.58,24.75,225800,24.75,-0.02941176470588236
2007-03-14,24.7,25.04,24.5,24.8,214300,24.8,0.002020202020202033
2007-03-15,25.05,25.05,24.0,24.51,250600,24.51,-0.011693548387096686
2007-03-16,21.47,23.72,19.66,23.6,2304600,23.6,-0.0371277029783762
2007-03-19,23.78,24.15,23.65,24.08,523700,24.08,0.02033898305084736
2007-03-20,24.0,24.09,21.66,21.75,1248000,21.75,-0.09676079734219267
2007-03-21,21.9,21.98,19.79,21.18,1534400,21.18,-0.026206896551724146
2007-03-22,21.05,22.5,20.73,22.39,761500,22.39,0.0571293673276676
2007-03-23,22.44,22.77,22.18,22.7,284700,22.7,0.013845466726216893
2007-03-26,22.75,22.75,21.92,22.23,185100,22.23,-0.02070484581497789
2007-03-27,22.6,23.03,22.3,22.85,172600,22.85,0.027890238416554247
2007-03-28,23.07,23.08,22.65,22.85,174700,22.85,0.0
2007-03-29,23.12,23.19,22.18,22.31,208600,22.31,-0.023632385120350263
