Date,Open,High,Low,Close,Volume,Adj Close,Return
1996-02-05,17.0,17.75,16.0,16.88,2626400,8.44,0.0
1996-02-06,17.0,17.25,16.5,17.0,664400,8.5,0.007109004739336511
1996-02-07,16.75,17.5,16.75,17.0,124200,8.5,0.0
1996-02-08,17.25,17.5,16.75,17.0,86800,8.5,0.0
1996-02-09,17.5,17.5,16.75,17.25,72400,8.62,0.014117647058823346
1996-02-12,17.25,17.25,16.75,17.0,48400,8.5,-0.013921113689094988
1996-02-13,17.25,17.25,16.25,17.0,70800,8.5,0.0
1996-02-14,17.25,17.5,16.5,16.88,22600,8.44,-0.007058823529411784
1996-02-15,17.5,17.5,16.5,17.0,19600,8.5,0.007109004739336511
1996-02-16,17.5,17.75,16.75,17.52,15200,8.76,0.030588235294117583
1996-02-20,17.25,18.0,16.88,17.5,105000,8.75,-0.0011415525114154557
1996-02-21,17.5,18.5,16.88,18.5,70800,9.25,0.05714285714285716
1996-02-22,18.5,20.0,18.0,19.75,126400,9.88,0.0681081081081083
1996-02-23,20.25,23.75,19.75,23.25,115600,11.62,0.17611336032388647
1996-02-26,23.25,24.0,22.5,22.5,136400,11.25,-0.03184165232357994
1996-02-27,23.0,23.0,22.25,22.62,136400,11.31,0.005333333333333412
1996-02-28,23.0,23.0,22.25,22.5,170800,11.25,-0.0053050397877985045
1996-02-29,22.5,22.5,21.25,22.5,261200,11.25,0.0
1996-03-01,22.25,22.25,21.75,21.75,8000,10.88,-0.032888888888888856
1996-03-04,22.25,23.5,22.25,23.5,45400,11.75,0.07996323529411753
1996-03-05,23.5,23.5,23.0,23.5,54200,11.75,0.0
1996-03-06,23.5,23.5,22.88,22.88,12400,11.44,-0.026382978723404338
1996-03-07,23.25,23.25,22.62,23.25,4200,11.62,0.015734265734265618
1996-03-08,22.5,23.75,22.25,23.75,29200,11.88,0.0223752151462997
1996-03-11,23.0,25.75,23.0,25.75,37400,12.88,0.08417508417508412
1996-03-12,25.75,26.5,23.0,23.25,97000,11.62,-0.09782608695652184
1996-03-13,23.75,24.0,23.25,23.25,52200,11.62,0.0
1996-03-14,23.62,23.62,22.5,23.0,24800,11.5,-0.0103270223752151
1996-03-15,23.0,23.0,22.25,23.0,2800,11.5,0.0
1996-03-18,22.25,23.0,20.5,21.0,76600,10.5,-0.08695652173913049
1996-03-19,21.75,21.75,20.75,21.5,118400,10.75,0.023809523809523725
1996-03-20,21.0,22.0,21.0,21.5,5600,10.75,0.0
1996-03-21,21.0,21.75,21.0,21.5,28000,10.75,0.0
1996-03-22,21.75,21.75,20.75,20.75,20400,10.38,-0.034418604651162754
1996-03-25,20.75,21.25,20.75,21.25,1600,10.62,0.02312138728323676
1996-03-26,21.25,21.25,19.5,19.75,17800,9.88,-0.06967984934086613
1996-03-27,19.75,19.75,18.75,19.25,17400,9.62,-0.026315789473684403
1996-03-28,19.0,21.5,17.0,21.12,108400,10.56,0.09771309771309777
1996-03-29,21.0,22.75,21.0,22.0,29200,11.0,0.04166666666666652
1996-04-01,22.75,22.75,22.25,22.75,60400,11.38,0.03454545454545466
1996-04-02,22.25,24.25,22.25,24.0,34400,12.0,0.054481546572934914
1996-04-03,23.5,24.25,22.25,22.25,80800,11.12,-0.07333333333333336
1996-04-04,22.75,22.75,21.75,22.25,16800,11.12,0.0
1996-04-08,22.0,22.25,21.25,22.25,4800,11.12,0.0
1996-04-09,22.25,22.5,21.75,22.12,236600,11.06,-0.0053956834532372655
1996-04-10,22.12,22.5,21.75,21.75,36800,10.88,-0.016274864376130127
1996-04-11,21.75,21.75,21.75,21.75,2000,10.88,0.0
1996-04-12,21.75,22.0,20.75,21.5,62800,10.75,-0.01194852941176483
1996-04-15,21.5,21.5,20.75,21.5,5200,10.75,0.0
1996-04-16,21.0,21.25,20.0,20.0,31200,10.0,-0.06976744186046513
1996-04-17,20.75,20.75,19.75,19.75,136200,9.88,-0.0119999999999999
1996-04-18,20.0,20.75,20.0,20.5,5000,10.25,0.037449392712550544
1996-04-19,20.75,20.75,20.0,20.0,28400,10.0,-0.024390243902439046
1996-04-22,20.75,22.25,20.0,21.88,75600,10.94,0.09399999999999986
1996-04-23,22.25,22.5,21.75,22.0,14000,11.0,0.005484460694698434
1996-04-24,22.5,22.5,21.75,21.75,72000,10.88,-0.010909090909090868
1996-04-25,22.25,22.5,21.75,22.5,124800,11.25,0.034007352941176405
1996-04-26,22.0,22.5,22.0,22.0,45600,11.0,-0.022222222222222254
1996-04-29,22.0,22.5,22.0,22.25,9200,11.12,0.010909090909090757
1996-04-30,22.0,25.25,22.0,25.25,192000,12.62,0.1348920863309353
1996-05-01,24.25,24.5,23.5,23.5,24400,11.75,-0.0689381933438985
1996-05-02,23.0,23.75,23.0,23.75,2600,11.88,0.01106382978723408
1996-05-03,23.25,23.75,23.25,23.75,7200,11.88,0.0
1996-05-06,23.25,24.0,23.25,24.0,36000,12.0,0.010101010101009944
1996-05-07,23.25,24.25,23.25,24.0,26000,12.0,0.0
1996-05-08,23.75,24.75,23.5,24.75,82400,12.38,0.03166666666666673
1996-05-09,24.0,24.5,24.0,24.12,72000,12.06,-0.02584814216478193
1996-05-10,24.0,24.5,24.0,24.5,17000,12.25,0.015754560530679917
1996-05-13,24.75,25.5,24.75,24.75,92400,12.38,0.010612244897959311
1996-05-14,24.75,25.5,24.75,24.75,90000,12.38,0.0
1996-05-15,24.75,25.5,24.75,25.5,35200,12.75,0.029886914378028928
1996-05-16,25.0,25.25,24.75,24.75,25600,12.38,-0.029019607843137174
1996-05-17,25.0,25.25,24.5,24.5,34000,12.25,-0.010500807754442731
1996-05-20,24.5,24.75,24.25,24.25,4000,12.12,-0.0106122448979592
