Date,Open,High,Low,Close,Volume,Adj Close,Return
1984-07-19,19.06,19.06,18.58,18.7,8200,9.01,0.0
1984-07-20,18.7,18.7,17.97,18.21,14000,8.78,-0.025527192008879096
1984-07-23,18.21,18.21,17.61,17.61,8200,8.49,-0.03302961275626415
1984-07-24,17.85,18.09,17.73,17.73,5000,8.55,0.007067137809187329
1984-07-25,17.37,17.73,17.37,17.73,14000,8.55,0.0
1984-07-26,17.85,18.7,17.73,18.58,44200,8.96,0.04795321637426908
1984-07-27,18.82,20.26,18.82,20.26,59800,9.77,0.09040178571428559
1984-07-30,20.63,20.63,19.9,19.9,23400,9.6,-0.017400204708290734
1984-07-31,19.9,19.9,19.18,19.18,16000,9.25,-0.03645833333333326
1984-08-01,19.18,21.11,19.18,20.99,71000,10.12,0.09405405405405398
1984-08-02,21.35,21.59,21.11,21.47,102800,10.35,0.022727272727272707
1984-08-03,21.95,23.16,21.95,22.8,124200,10.99,0.061835748792270495
1984-08-06,23.76,24.12,23.16,23.16,83200,11.17,0.016378525932666088
1984-08-07,23.16,23.16,22.68,22.68,24800,10.93,-0.0214861235452104
1984-08-08,22.56,22.8,21.83,21.83,11200,10.53,-0.036596523330283626
1984-08-09,21.83,23.28,21.83,23.28,72800,11.22,0.06552706552706566
1984-08-10,23.64,24.37,23.64,24.12,76200,11.63,0.036541889483066026
1984-08-13,24.0,24.0,23.52,23.88,15000,11.51,-0.010318142734307867
1984-08-14,23.88,23.88,23.4,23.4,6600,11.28,-0.019982623805386623
1984-08-15,23.28,23.28,22.92,23.04,19800,11.11,-0.01507092198581561
1984-08-16,22.8,23.04,22.8,23.04,1200,11.11,0.0
1984-08-17,22.8,22.8,22.44,22.44,5200,10.82,-0.026102610261026005
1984-08-20,22.19,22.68,22.19,22.68,143000,10.93,0.010166358595194103
1984-08-21,22.44,23.04,22.44,22.92,46600,11.05,0.010978956999085243
1984-08-22,23.16,23.64,23.16,23.4,20600,11.28,0.020814479638008976
1984-08-23,23.28,23.4,22.8,22.8,27000,10.99,-0.025709219858155996
1984-08-24,22.68,22.68,22.31,22.31,112600,10.76,-0.020928116469517755
1984-08-27,22.19,22.19,22.07,22.07,12600,10.64,-0.011152416356877248
1984-08-28,22.07,22.19,22.07,22.19,400,10.7,0.005639097744360777
1984-08-29,22.31,22.68,22.31,22.68,2800,10.93,0.021495327102803774
1984-08-30,22.68,22.68,22.44,22.56,9600,10.87,-0.005489478499542622
1984-08-31,22.56,22.56,22.19,22.19,6000,10.7,-0.015639374425022945
1984-09-04,22.19,22.19,21.71,21.71,19200,10.47,-0.021495327102803663
1984-09-05,21.71,21.71,21.47,21.59,16800,10.41,-0.005730659025788065
1984-09-06,21.47,21.95,21.47,21.47,109200,10.35,-0.0057636887608070175
1984-09-07,21.71,21.71,20.99,21.35,12000,10.29,-0.005797101449275366
1984-09-10,21.23,21.23,20.87,20.87,2600,10.06,-0.02235179786200181
1984-09-11,21.11,21.59,20.99,21.35,13400,10.29,0.022862823061630122
1984-09-12,21.35,21.35,21.23,21.23,16400,10.24,-0.004859086491739495
1984-09-13,21.23,21.47,21.23,21.23,25800,10.24,0.0
1984-09-14,21.47,22.19,21.47,22.07,20200,10.64,0.0390625
1984-09-17,22.19,22.19,21.59,21.59,5800,10.41,-0.021616541353383534
1984-09-18,21.35,21.35,19.42,19.78,33600,9.54,-0.08357348703170042
1984-09-19,19.54,19.54,19.18,19.18,29200,9.25,-0.03039832285115296
1984-09-20,19.11,19.23,19.11,19.23,15400,9.29,0.00432432432432428
1984-09-21,19.11,19.11,18.99,19.11,8600,9.24,-0.0053821313240042246
1984-09-24,18.86,18.99,18.86,18.86,4000,9.12,-0.012987012987013102
1984-09-25,18.62,18.62,17.41,17.9,29000,8.65,-0.051535087719298156
1984-09-26,17.9,18.38,17.9,18.38,41200,8.88,0.026589595375722697
1984-09-27,18.38,18.5,18.02,18.02,20800,8.71,-0.019144144144144115
1984-09-28,18.14,18.62,18.14,18.62,5400,9.0,0.03329506314580932
1984-10-01,18.86,18.86,18.14,18.14,4600,8.77,-0.025555555555555554
1984-10-02,18.26,18.5,18.02,18.5,8000,8.94,0.019384264538198304
1984-10-03,18.14,18.14,17.78,17.78,45800,8.59,-0.03914988814317666
1984-10-04,17.9,18.02,17.65,17.9,5200,8.65,0.006984866123399325
1984-10-05,18.02,18.26,17.78,18.26,5200,8.83,0.020809248554913173
