Date,Open,High,Low,Close,Volume,Adj Close,Return
1984-09-07,19.0,19.0,19.0,19.0,800,2.38,0.0
1984-09-10,18.75,18.75,18.5,18.5,68000,2.31,-0.02941176470588225
1984-09-11,18.5,18.5,18.25,18.25,1600,2.28,-0.012987012987013102
1984-09-12,18.25,18.5,18.25,18.25,25600,2.28,0.0
1984-09-13,18.5,18.5,18.5,18.5,16000,2.31,0.013157894736842257
1984-09-14,18.5,19.0,18.5,18.5,70400,2.31,0.0
1984-09-17,18.5,18.75,18.5,18.5,13600,2.31,0.0
1984-09-18,18.5,18.75,18.5,18.5,31200,2.31,0.0
1984-09-19,18.75,18.75,18.75,18.75,11200,2.34,0.01298701298701288
1984-09-20,18.5,18.5,18.0,18.0,50400,2.25,-0.038461538461538436
1984-09-21,18.0,18.25,18.0,18.0,17600,2.25,0.0
1984-09-24,18.25,18.5,18.25,18.25,6400,2.28,0.013333333333333197
1984-09-25,18.25,18.25,18.25,18.25,4800,2.28,0.0
1984-09-26,18.25,18.5,18.0,18.0,41600,2.25,-0.013157894736842035
1984-09-27,18.0,18.0,18.0,18.0,800,2.25,0.0
1984-09-28,18.0,18.25,18.0,18.0,15200,2.25,0.0
1984-10-01,18.0,18.25,18.0,18.0,13600,2.25,0.0
1984-10-02,18.0,18.25,17.5,17.5,65600,2.19,-0.026666666666666727
1984-10-03,17.5,17.5,17.5,17.5,224000,2.19,0.0
1984-10-04,17.25,17.25,17.25,17.25,12000,2.16,-0.013698630136986245
1984-10-05,17.25,17.5,17.25,17.5,65600,2.19,0.01388888888888884
1984-10-08,17.5,17.5,17.25,17.25,2400,2.16,-0.013698630136986245
1984-10-09,17.25,17.25,17.25,17.25,7200,2.16,0.0
1984-10-10,17.25,17.25,17.25,17.25,16000,2.16,0.0
1984-10-12,17.25,17.5,17.25,17.5,14400,2.19,0.01388888888888884
1984-10-15,17.25,17.25,17.0,17.0,39200,2.12,-0.031963470319634646
1984-10-16,17.5,17.5,17.5,17.5,7200,2.19,0.03301886792452824
1984-10-17,17.5,17.5,17.25,17.25,24800,2.16,-0.013698630136986245
1984-10-18,17.0,17.0,17.0,17.0,133600,2.12,-0.01851851851851849
1984-10-19,17.0,17.0,16.75,17.0,24800,2.12,0.0
1984-10-22,17.0,17.25,17.0,17.0,192000,2.12,0.0
1984-10-23,17.5,17.75,17.5,17.5,251200,2.19,0.03301886792452824
1984-10-24,17.5,17.75,17.25,17.25,59200,2.16,-0.013698630136986245
1984-10-25,17.5,17.5,17.5,17.5,366400,2.19,0.01388888888888884
1984-10-29,17.25,17.25,17.25,17.25,4000,2.16,-0.013698630136986245
1984-10-30,17.25,17.25,17.25,17.25,800,2.16,0.0
1984-10-31,17.25,17.5,17.25,17.25,4800,2.16,0.0
1984-11-01,17.25,17.25,17.25,17.25,45600,2.16,0.0
1984-11-02,17.25,17.5,17.25,17.25,32000,2.16,0.0
1984-11-05,17.5,17.5,17.5,17.5,26400,2.19,0.01388888888888884
1984-11-06,17.25,17.25,17.25,17.25,84000,2.16,-0.013698630136986245
1984-11-07,17.25,17.25,17.0,17.0,29600,2.12,-0.01851851851851849
1984-11-08,17.0,17.25,17.0,17.0,44000,2.12,0.0
1984-11-09,17.0,17.0,17.0,17.0,24000,2.12,0.0
1984-11-12,17.25,17.25,17.25,17.25,2400,2.16,0.018867924528301883
1984-11-13,17.25,17.25,17.25,17.25,3200,2.16,0.0
1984-11-14,17.0,17.0,16.75,16.75,158400,2.09,-0.03240740740740755
1984-11-15,17.0,17.5,17.0,17.0,62400,2.12,0.014354066985646119
1984-11-16,17.25,17.25,17.25,17.25,4000,2.16,0.018867924528301883
1984-11-19,17.5,17.5,17.5,17.5,16000,2.19,0.01388888888888884
1984-11-20,17.5,17.75,17.5,17.5,70400,2.19,0.0
1984-11-21,17.5,17.5,17.5,17.5,21600,2.19,0.0
1984-11-23,17.5,17.63,17.5,17.5,48800,2.19,0.0
1984-11-26,17.5,17.5,17.5,17.5,70400,2.19,0.0
1984-11-27,17.25,17.25,17.0,17.0,7200,2.12,-0.031963470319634646
1984-11-28,17.38,17.38,17.38,17.38,328800,2.17,0.023584905660377187
1984-11-29,17.5,17.5,17.5,17.5,401600,2.19,0.009216589861751112
1984-11-30,17.25,17.25,16.75,17.25,4800,2.16,-0.013698630136986245
1984-12-03,16.75,16.75,16.75,16.75,2400,2.09,-0.03240740740740755
1984-12-04,17.0,17.25,17.0,17.0,15200,2.12,0.014354066985646119
1984-12-05,17.25,17.25,17.25,17.25,1600,2.16,0.018867924528301883
1984-12-06,17.25,17.25,17.25,17.25,72800,2.16,0.0
1984-12-07,16.75,16.75,16.75,16.75,4800,2.09,-0.03240740740740755
1984-12-10,17.0,17.0,17.0,17.0,8800,2.12,0.014354066985646119
1984-12-11,17.0,17.25,17.0,17.0,253600,2.12,0.0
1984-12-12,17.0,17.0,16.75,16.75,23200,2.09,-0.014150943396226578
1984-12-13,16.75,16.75,16.5,16.5,21600,2.06,-0.014354066985645786
1984-12-14,16.5,16.5,16.0,16.0,71200,2.0,-0.029126213592232997
1984-12-17,16.25,16.38,16.25,16.25,44800,2.03,0.014999999999999902
1984-12-18,16.0,16.0,16.0,16.0,9600,2.0,-0.01477832512315258
1984-12-19,16.0,16.5,16.0,16.0,18400,2.0,0.0
1984-12-20,16.0,16.5,16.0,16.0,101600,2.0,0.0
1984-12-21,16.0,16.5,16.0,16.25,64800,2.03,0.014999999999999902
