Date,Open,High,Low,Close,Volume,Adj Close,Return
2011-11-25,24.75,24.75,23.56,23.9,177700,20.51,0.0
2011-11-28,24.25,24.35,23.85,24.06,227700,20.65,0.0068259385665527805
2011-11-29,24.14,24.15,23.95,24.09,248000,20.67,0.0009685230024214508
2011-11-30,24.3,24.3,24.1,24.2,539800,20.77,0.004837929366231064
2011-12-01,24.15,24.19,24.13,24.17,228000,20.74,-0.001444390948483476
2011-12-02,24.19,24.19,24.05,24.12,361100,20.7,-0.0019286403085824189
2011-12-05,24.15,24.18,24.12,24.17,310900,20.74,0.0019323671497584183
2011-12-06,24.19,24.5,24.19,24.5,316300,21.02,0.013500482160077265
2011-12-07,24.5,24.65,24.37,24.52,202200,21.04,0.0009514747859180606
2011-12-08,24.6,24.6,24.46,24.58,222300,21.09,0.002376425855513231
2011-12-09,24.59,24.74,24.57,24.73,149800,21.22,0.00616405879563775
2011-12-12,24.76,24.76,24.58,24.69,147700,21.19,-0.001413760603204417
2011-12-13,24.73,24.85,24.62,24.78,172200,21.27,0.003775365738555747
2011-12-14,24.66,24.8,24.64,24.8,145700,21.28,0.0004701457451810054
2011-12-15,24.85,24.9,24.76,24.9,177500,21.37,0.004229323308270638
2011-12-16,24.88,24.9,24.83,24.84,124400,21.32,-0.0023397285914834587
2011-12-19,24.89,24.89,24.8,24.85,129800,21.33,0.00046904315196982793
2011-12-20,24.89,24.9,24.71,24.9,168300,21.37,0.0018752930145335966
2011-12-21,24.93,24.99,24.83,24.93,160600,21.39,0.0009358914365933391
2011-12-22,24.98,25.14,24.95,25.03,254400,21.48,0.004207573632538653
2011-12-23,25.09,25.09,24.91,25.07,96000,21.51,0.0013966480446927498
2011-12-27,25.1,25.1,24.93,25.09,74200,21.53,0.0009298000929800487
2011-12-28,25.23,25.23,25.03,25.12,84600,21.56,0.0013934045517880467
2011-12-29,25.1,25.16,25.07,25.09,82900,21.53,-0.0013914656771798484
2011-12-30,25.24,25.24,25.05,25.12,56100,21.56,0.0013934045517880467
2012-01-03,25.2,25.2,25.07,25.2,131700,21.63,0.0032467532467532756
2012-01-04,25.18,25.25,25.09,25.18,186000,21.61,-0.000924641701340656
2012-01-05,25.24,25.25,25.15,25.25,120300,21.67,0.002776492364646055
2012-01-06,25.24,25.3,25.18,25.26,87400,21.68,0.0004614674665435192
2012-01-09,25.38,25.74,25.3,25.55,362900,21.93,0.011531365313653064
2012-01-10,25.5,25.7,25.5,25.67,294400,22.03,0.004559963520291976
2012-01-11,25.69,26.2,25.59,25.65,134000,22.01,-0.0009078529278256919
2012-01-12,25.66,25.71,25.62,25.64,207800,22.0,-0.00045433893684698745
