Date,Open,High,Low,Close,Volume,Adj Close,Return
2010-10-21,14.5,16.35,14.26,15.95,5887900,15.95,0.0
2010-10-22,15.99,17.5,15.95,16.94,528900,16.94,0.0620689655172415
2010-10-25,17.05,17.3,16.5,17.3,286600,17.3,0.021251475796930208
2010-10-26,17.3,17.47,16.8,17.29,157200,17.29,-0.0005780346820810633
2010-10-27,17.0,17.11,16.71,17.04,217900,17.04,-0.014459224985540753
2010-10-28,16.91,17.61,16.9,17.47,144600,17.47,0.025234741784037507
2010-10-29,17.85,18.3,17.82,18.0,126200,18.0,0.03033772180881522
2010-11-01,18.39,18.39,17.5,17.8,86800,17.8,-0.011111111111111072
2010-11-02,18.03,18.03,17.4,17.63,72000,17.63,-0.009550561797752932
2010-11-03,17.74,17.74,17.0,17.05,22700,17.05,-0.03289846851956879
2010-11-04,17.05,17.17,16.8,17.09,59800,17.09,0.0023460410557183398
2010-11-05,17.25,17.5,16.92,17.33,63500,17.33,0.014043300175541118
2010-11-08,17.3,17.75,17.1,17.68,36200,17.68,0.020196191575303057
2010-11-09,17.24,17.84,17.24,17.75,90400,17.75,0.0039592760180995334
2010-11-10,17.37,19.08,17.28,18.78,377600,18.78,0.058028169014084474
2010-11-11,18.99,19.31,18.31,18.99,237600,18.99,0.01118210862619784
2010-11-12,19.08,19.3,18.63,18.85,47600,18.85,-0.007372301211163612
2010-11-15,19.0,19.5,18.36,18.92,350500,18.92,0.003713527851458842
2010-11-16,18.54,19.0,18.0,18.4,88600,18.4,-0.02748414376321373
2010-11-17,18.8,18.83,17.8,18.31,299600,18.31,-0.004891304347826031
2010-11-18,18.57,18.7,17.47,17.47,101400,17.47,-0.04587657018022939
2010-11-19,17.54,18.0,17.25,17.47,149600,17.47,0.0
2010-11-22,17.5,17.65,17.24,17.49,23100,17.49,0.0011448196908987462
2010-11-23,17.39,17.79,16.86,16.87,75800,16.87,-0.03544882790165793
2010-11-24,17.04,17.16,16.84,17.15,31500,17.15,0.016597510373443924
2010-11-26,17.0,17.12,17.0,17.03,7600,17.03,-0.0069970845481047705
2010-11-29,17.25,17.61,16.85,17.54,108900,17.54,0.02994715208455645
2010-11-30,17.71,17.81,17.3,17.56,259800,17.56,0.0011402508551880963
2010-12-01,17.72,17.99,17.22,17.9,414200,17.9,0.019362186788154823
2010-12-02,18.04,18.9,17.73,18.72,158100,18.72,0.045810055865921795
2010-12-03,18.76,18.98,18.63,18.66,81500,18.66,-0.0032051282051280827
2010-12-06,18.74,19.0,18.58,18.66,94400,18.66,0.0
2010-12-07,18.89,18.94,18.25,18.32,56300,18.32,-0.018220793140407254
2010-12-08,18.29,18.36,17.8,18.33,64200,18.33,0.0005458515283842669
2010-12-09,18.91,18.91,17.98,18.51,53100,18.51,0.00981996726677603
2010-12-10,18.01,18.71,18.01,18.58,35500,18.58,0.003781739600215994
2010-12-13,18.56,19.97,18.17,19.43,131700,19.43,0.04574811625403674
2010-12-14,19.45,20.29,19.3,19.52,91900,19.52,0.0046320123520329215
2010-12-15,19.45,19.45,18.25,18.98,64400,18.98,-0.027663934426229497
2010-12-16,19.0,19.37,18.11,18.44,102400,18.44,-0.028451001053740765
2010-12-17,18.39,19.0,17.58,18.33,1413300,18.33,-0.005965292841648706
2010-12-20,18.35,19.5,18.3,18.43,152900,18.43,0.0054555373704310295
2010-12-21,18.5,18.5,17.67,18.31,80500,18.31,-0.006511123168746691
2010-12-22,18.41,19.0,18.01,18.8,74200,18.8,0.026761332605133914
2010-12-23,18.95,18.95,18.45,18.71,29000,18.71,-0.004787234042553212
2010-12-27,18.64,18.97,18.5,18.88,19300,18.88,0.00908605024051301
2010-12-28,18.94,19.04,18.67,18.97,44100,18.97,0.004766949152542388
2010-12-29,19.0,19.05,18.66,19.01,35400,19.01,0.0021085925144967987
2010-12-30,19.04,19.24,18.96,19.2,79200,19.2,0.009994739610731163
2010-12-31,19.22,19.46,18.82,19.17,51900,19.17,-0.0015624999999999112
2011-01-03,19.28,19.86,19.12,19.44,27900,19.44,0.014084507042253502
2011-01-04,19.52,19.52,18.31,19.12,59900,19.12,-0.016460905349794275
2011-01-05,19.0,19.13,18.72,18.77,43100,18.77,-0.01830543933054396
2011-01-06,18.74,18.94,18.22,18.46,176200,18.46,-0.016515716568992977
2011-01-07,18.52,18.61,17.93,18.2,32500,18.2,-0.014084507042253613
2011-01-10,18.49,18.98,17.92,18.56,209500,18.56,0.01978021978021971
2011-01-11,18.59,19.0,18.4,18.71,57100,18.71,0.0080818965517242
2011-01-12,18.8,18.8,18.0,18.11,100800,18.11,-0.032068412613575736
2011-01-13,18.15,18.43,17.98,18.05,62100,18.05,-0.003313086692435019
2011-01-14,18.43,18.44,17.92,18.22,65600,18.22,0.00941828254847632
2011-01-18,18.12,18.14,17.75,18.04,51100,18.04,-0.009879253567508184
2011-01-19,18.04,18.15,17.26,17.34,65500,17.34,-0.03880266075388028
2011-01-20,17.25,17.33,16.64,17.06,198100,17.06,-0.016147635524798254
2011-01-21,17.12,17.12,16.77,16.9,57000,16.9,-0.009378663540445475
2011-01-24,16.83,17.31,16.75,16.95,180900,16.95,0.002958579881656931
2011-01-25,16.83,17.66,16.6,16.73,86600,16.73,-0.012979351032448294
