Date,Open,High,Low,Close,Volume,Adj Close,Return
1986-07-24,9.88,9.88,9.75,9.75,7800,7.06,0.0
1986-07-25,9.75,9.88,9.75,9.88,8000,7.15,0.012747875354107707
1986-07-28,9.88,9.88,9.75,9.75,2200,7.06,-0.012587412587412694
1986-07-29,9.75,9.88,9.75,9.75,4700,7.06,0.0
1986-07-30,9.75,9.88,9.75,9.88,3300,7.15,0.012747875354107707
1986-07-31,9.88,9.88,9.75,9.75,4500,7.06,-0.012587412587412694
1986-08-01,9.75,9.75,9.75,9.75,1700,7.06,0.0
1986-08-04,9.75,9.75,9.75,9.75,700,7.06,0.0
1986-08-05,9.63,9.63,9.5,9.63,1700,6.97,-0.012747875354107596
1986-08-06,9.63,9.63,9.5,9.63,4400,6.97,0.0
1986-08-07,9.63,9.63,9.5,9.5,3500,6.87,-0.014347202295552308
1986-08-08,9.5,9.75,9.5,9.5,3300,6.87,0.0
1986-08-11,9.5,9.63,9.5,9.63,200,6.97,0.01455604075691408
1986-08-12,9.63,9.63,9.5,9.63,2800,6.97,0.0
1986-08-13,9.63,9.75,9.63,9.75,600,7.06,0.012912482065997155
1986-08-14,9.63,9.63,9.63,9.63,100,6.97,-0.012747875354107596
1986-08-15,9.63,9.75,9.63,9.63,900,6.97,0.0
1986-08-18,9.63,9.63,9.5,9.63,1800,6.97,0.0
1986-08-19,9.63,9.63,9.5,9.63,1600,6.97,0.0
1986-08-20,9.63,9.63,9.5,9.5,1100,6.87,-0.014347202295552308
1986-08-21,9.63,9.63,9.63,9.63,500,6.97,0.01455604075691408
1986-08-22,9.63,9.63,9.5,9.63,2000,6.97,0.0
1986-08-25,9.75,9.75,9.75,9.75,4000,7.06,0.012912482065997155
1986-08-26,9.75,9.75,9.63,9.63,1500,6.97,-0.012747875354107596
1986-08-27,9.75,9.75,9.75,9.75,400,7.06,0.012912482065997155
1986-08-28,9.63,9.63,9.63,9.63,100,6.97,-0.012747875354107596
1986-08-29,9.75,9.75,9.75,9.75,300,7.06,0.012912482065997155
1986-09-02,9.75,9.75,9.75,9.75,300,7.06,0.0
1986-09-03,9.75,9.88,9.75,9.75,3100,7.06,0.0
1986-09-04,9.75,10.0,9.75,10.0,1700,7.24,0.025495750708215414
1986-09-05,10.13,10.13,10.13,10.13,100,7.33,0.012430939226519389
1986-09-08,10.13,10.25,10.13,10.25,1500,7.42,0.012278308321964415
1986-09-09,10.25,10.25,10.13,10.13,700,7.33,-0.01212938005390829
1986-09-10,10.13,10.25,10.0,10.0,3600,7.24,-0.012278308321964526
1986-09-11,10.0,10.0,10.0,10.0,500,7.24,0.0
1986-09-12,10.0,10.13,9.75,9.88,1100,7.15,-0.012430939226519278
1986-09-15,9.88,10.0,9.88,10.0,800,7.24,0.012587412587412583
1986-09-16,10.0,10.0,9.88,10.0,800,7.24,0.0
1986-09-17,10.0,10.0,9.88,9.88,900,7.15,-0.012430939226519278
1986-09-18,9.88,9.88,9.75,9.88,300,7.15,0.0
1986-09-19,9.88,9.88,9.88,9.88,0,7.15,0.0
1986-09-22,9.88,9.88,9.88,9.88,200,7.15,0.0
1986-09-23,9.88,9.88,9.88,9.88,200,7.15,0.0
1986-09-24,9.63,9.63,9.63,9.63,500,6.97,-0.025174825174825277
1986-09-25,9.75,9.88,9.75,9.88,200,7.15,0.02582496413199431
1986-09-26,9.88,9.88,9.88,9.88,0,7.15,0.0
1986-09-29,9.75,9.75,9.75,9.75,400,7.06,-0.012587412587412694
1986-09-30,9.88,10.13,9.88,10.0,1900,7.24,0.025495750708215414
1986-10-01,10.0,10.0,10.0,10.0,400,7.24,0.0
1986-10-02,9.88,9.88,9.75,9.88,800,7.15,-0.012430939226519278
1986-10-03,10.0,10.0,10.0,10.0,800,7.24,0.012587412587412583
1986-10-06,9.88,9.88,9.88,9.88,300,7.15,-0.012430939226519278
1986-10-07,9.75,9.75,9.63,9.75,1600,7.06,-0.012587412587412694
1986-10-08,9.75,9.75,9.63,9.75,2800,7.06,0.0
1986-10-09,9.75,9.75,9.63,9.75,600,7.06,0.0
1986-10-10,9.75,9.75,9.75,9.75,0,7.06,0.0
1986-10-13,9.75,9.75,9.75,9.75,0,7.06,0.0
1986-10-14,9.75,9.75,9.75,9.75,700,7.06,0.0
1986-10-15,9.75,9.75,9.75,9.75,0,7.06,0.0
1986-10-16,9.75,9.75,9.5,9.5,6800,6.87,-0.026912181303116123
1986-10-17,9.5,9.63,9.38,9.5,1300,6.87,0.0
1986-10-20,9.63,9.63,9.63,9.63,400,6.97,0.01455604075691408
1986-10-21,9.63,9.63,9.5,9.5,400,6.87,-0.014347202295552308
1986-10-22,9.5,9.5,9.5,9.5,100,6.87,0.0
1986-10-23,9.5,9.63,9.5,9.63,700,6.97,0.01455604075691408
1986-10-24,9.63,9.63,9.63,9.63,800,6.97,0.0
1986-10-27,9.63,9.63,9.5,9.5,900,6.87,-0.014347202295552308
1986-10-28,9.63,9.63,9.63,9.63,100,6.97,0.01455604075691408
1986-10-29,9.63,9.63,9.5,9.63,800,6.97,0.0
1986-10-30,9.63,9.63,9.63,9.63,200,6.97,0.0
1986-10-31,9.63,9.75,9.63,9.75,1500,7.06,0.012912482065997155
1986-11-03,9.63,9.63,9.5,9.63,900,6.97,-0.012747875354107596
1986-11-04,9.75,9.75,9.75,9.75,700,7.06,0.012912482065997155
1986-11-05,9.75,9.75,9.75,9.75,400,7.06,0.0
1986-11-06,9.75,9.88,9.75,9.88,700,7.15,0.012747875354107707
1986-11-07,9.88,9.88,9.88,9.88,100,7.15,0.0
