Date,Open,High,Low,Close,Volume,Adj Close,Return
1999-08-20,14.94,14.94,14.94,14.94,8100,14.94,0.0
1999-08-23,14.94,14.94,14.87,14.94,14200,14.94,0.0
1999-08-24,14.75,14.75,14.5,14.69,1500,14.69,-0.016733601070950455
1999-08-25,14.38,14.38,13.94,13.94,11700,13.94,-0.05105513955071472
1999-08-26,13.75,13.75,13.5,13.5,4200,13.5,-0.031563845050215145
1999-08-27,13.5,13.5,12.56,12.62,28000,12.62,-0.06518518518518523
1999-08-30,12.56,12.56,10.56,10.63,94400,10.63,-0.15768621236133107
1999-08-31,10.63,10.63,10.5,10.63,62500,10.63,0.0
1999-09-01,10.75,11.19,10.63,11.0,113400,11.0,0.03480714957666975
1999-09-02,11.0,11.0,10.5,11.0,82600,11.0,0.0
1999-09-03,10.94,11.25,10.5,11.25,65000,11.25,0.022727272727272707
1999-09-07,11.19,12.25,11.12,12.06,18200,12.06,0.07200000000000006
1999-09-08,12.19,12.44,11.94,11.94,20400,11.94,-0.009950248756218971
1999-09-09,11.94,12.0,11.62,11.81,8500,11.81,-0.010887772194304812
1999-09-10,11.81,12.0,11.69,11.94,8600,11.94,0.01100762066045724
1999-09-13,11.87,11.87,11.5,11.56,13600,11.56,-0.031825795644891075
1999-09-14,11.62,12.19,11.62,12.0,26900,12.0,0.03806228373702414
1999-09-15,12.0,12.19,11.87,12.0,40200,12.0,0.0
1999-09-16,12.0,12.13,11.5,11.56,7900,11.56,-0.036666666666666625
1999-09-17,11.5,11.56,11.5,11.56,7700,11.56,0.0
1999-09-20,11.5,11.87,11.5,11.87,30400,11.87,0.026816608996539593
1999-09-21,11.81,11.81,11.5,11.62,3200,11.62,-0.021061499578770015
1999-09-22,11.69,11.69,11.62,11.62,1400,11.62,0.0
1999-09-23,11.62,11.94,11.5,11.94,19400,11.94,0.027538726333907082
1999-09-24,11.87,11.87,11.75,11.81,2500,11.81,-0.010887772194304812
1999-09-27,11.69,13.06,11.69,13.06,34600,13.06,0.10584250635055037
1999-09-28,13.19,14.19,12.75,14.19,38700,14.19,0.08652373660030621
1999-09-29,14.31,14.56,13.94,14.0,22900,14.0,-0.013389711064129672
1999-09-30,14.0,14.0,13.5,13.5,18400,13.5,-0.0357142857142857
1999-10-01,13.37,13.37,12.75,12.88,16500,12.88,-0.045925925925925815
1999-10-04,12.81,13.06,12.81,13.06,2200,13.06,0.013975155279503104
1999-10-05,13.03,13.19,12.88,13.19,35400,13.19,0.009954058192955584
1999-10-06,13.12,13.19,13.06,13.19,5200,13.19,0.0
1999-10-07,13.19,13.44,13.0,13.44,10900,13.44,0.018953752843063
1999-10-08,13.37,13.5,13.37,13.5,700,13.5,0.0044642857142858094
1999-10-11,13.37,13.47,13.37,13.44,77000,13.44,-0.004444444444444473
1999-10-12,13.37,13.37,13.37,13.37,10300,13.37,-0.00520833333333337
1999-10-13,13.37,13.37,13.06,13.37,25500,13.37,0.0
1999-10-14,13.31,13.31,13.12,13.12,21600,13.12,-0.018698578908002972
1999-10-15,13.12,13.12,12.13,12.13,26800,12.13,-0.0754573170731706
1999-10-18,12.0,12.0,11.44,11.5,11900,11.5,-0.051937345424567294
1999-10-19,11.62,12.0,11.62,12.0,16300,12.0,0.04347826086956519
1999-10-20,11.94,11.94,11.87,11.87,1500,11.87,-0.010833333333333361
1999-10-21,11.87,12.0,11.62,12.0,19300,12.0,0.010951979780960519
1999-10-22,12.13,12.5,12.13,12.5,5400,12.5,0.04166666666666674
1999-10-25,12.5,12.56,12.19,12.31,6100,12.31,-0.015199999999999991
1999-10-26,12.44,12.69,12.44,12.69,3500,12.69,0.030869212022745618
1999-10-27,12.69,14.5,12.69,14.5,8200,14.5,0.14263199369582358
1999-10-28,14.44,14.69,14.12,14.25,10500,14.25,-0.017241379310344862
1999-10-29,14.12,14.75,14.12,14.69,8000,14.69,0.03087719298245606
1999-11-01,14.56,15.75,14.56,15.69,5500,15.69,0.06807351940095296
1999-11-02,15.69,15.75,15.44,15.44,8300,15.44,-0.015933715742511123
1999-11-03,15.5,15.5,15.44,15.5,3800,15.5,0.0038860103626943143
1999-11-04,15.5,15.5,14.75,14.75,7100,14.75,-0.048387096774193505
1999-11-05,14.87,16.0,14.87,15.88,22600,15.88,0.07661016949152555
1999-11-08,15.69,15.69,15.25,15.56,14300,15.56,-0.02015113350125941
1999-11-09,15.56,16.06,15.25,16.06,9700,16.06,0.032133676092544805
1999-11-10,16.0,16.25,15.75,16.25,9200,16.25,0.011830635118306398
1999-11-11,16.19,17.25,16.19,17.0,6500,17.0,0.04615384615384621
1999-11-12,17.0,17.44,17.0,17.44,6500,17.44,0.025882352941176467
