Date,Open,High,Low,Close,Volume,Adj Close,Return
2009-04-15,10.5,11.68,9.75,11.1,7324300,11.1,0.0
2009-04-16,11.54,12.29,11.16,12.05,1087000,12.05,0.0855855855855856
2009-04-17,12.62,12.62,12.0,12.01,333100,12.01,-0.003319502074688896
2009-04-20,11.88,12.0,11.53,11.65,190300,11.65,-0.029975020815986686
2009-04-21,11.5,11.51,10.6,11.0,598900,11.0,-0.05579399141630903
2009-04-22,11.0,11.12,10.64,10.8,338400,10.8,-0.018181818181818077
2009-04-23,11.0,11.24,10.05,10.3,732900,10.3,-0.04629629629629628
2009-04-24,10.31,10.57,10.16,10.28,303300,10.28,-0.001941747572815622
2009-04-27,10.08,10.41,9.56,10.3,300200,10.3,0.001945525291829009
2009-04-28,10.4,10.99,10.29,10.73,201800,10.73,0.04174757281553387
2009-04-29,11.0,11.17,10.71,10.71,109700,10.71,-0.0018639328984155767
2009-04-30,10.72,11.05,10.69,10.85,146800,10.85,0.013071895424836555
2009-05-01,11.1,11.14,10.75,10.85,132700,10.85,0.0
2009-05-04,10.92,11.07,10.02,10.23,476300,10.23,-0.05714285714285705
2009-05-05,10.2,10.32,9.9,10.19,210800,10.19,-0.003910068426197566
2009-05-06,10.11,10.79,10.1,10.74,276700,10.74,0.0539744847890089
2009-05-07,10.54,10.76,9.6,10.25,199000,10.25,-0.04562383612662946
2009-05-08,10.25,10.49,10.04,10.25,196800,10.25,0.0
2009-05-11,10.25,10.32,9.99,10.16,227400,10.16,-0.008780487804878057
2009-05-12,10.06,10.67,10.06,10.4,350200,10.4,0.023622047244094446
2009-05-13,10.5,10.57,10.14,10.22,176800,10.22,-0.017307692307692246
2009-05-14,10.3,10.6,10.28,10.42,233500,10.42,0.019569471624266033
2009-05-15,10.52,10.87,10.19,10.19,484500,10.19,-0.02207293666026877
2009-05-18,10.5,10.63,10.23,10.42,132700,10.42,0.02257114818449457
2009-05-19,10.4,10.46,10.14,10.19,244600,10.19,-0.02207293666026877
2009-05-20,10.19,10.22,9.95,10.11,270400,10.11,-0.007850834151128527
2009-05-21,11.67,13.48,11.25,12.68,2737400,12.68,0.25420375865479716
2009-05-22,12.8,13.68,11.83,12.1,1480600,12.1,-0.045741324921135695
2009-05-26,12.29,12.94,11.8,12.46,750100,12.46,0.02975206611570247
2009-05-27,12.67,12.76,11.86,12.09,352300,12.09,-0.029695024077046606
2009-05-28,12.19,12.35,11.88,12.28,239800,12.28,0.01571546732837059
2009-05-29,12.45,12.8,12.08,12.55,508700,12.55,0.02198697068403921
2009-06-01,13.44,13.45,12.68,12.89,544300,12.89,0.027091633466135523
2009-06-02,13.0,13.3,12.73,12.95,335200,12.95,0.00465477114041879
2009-06-03,12.9,13.47,12.9,13.44,384200,13.44,0.037837837837837895
2009-06-04,13.6,14.74,13.0,14.39,707700,14.39,0.07068452380952395
2009-06-05,14.5,14.66,14.11,14.64,497600,14.64,0.017373175816539188
2009-06-08,14.63,15.08,14.4,14.81,505000,14.81,0.011612021857923427
2009-06-09,14.88,15.24,14.4,14.67,349800,14.67,-0.009453072248480798
2009-06-10,14.81,15.06,14.49,14.82,162800,14.82,0.010224948875255713
2009-06-11,14.82,14.99,13.88,14.23,210500,14.23,-0.03981106612685559
2009-06-12,14.04,14.61,14.04,14.58,143300,14.58,0.024595924104005684
2009-06-15,14.6,14.72,13.6,14.24,170500,14.24,-0.023319615912208547
2009-06-16,14.6,14.9,14.38,14.78,166100,14.78,0.037921348314606584
2009-06-17,14.73,16.5,14.58,15.95,619700,15.95,0.07916102841677941
2009-06-18,15.89,16.14,15.68,15.89,262400,15.89,-0.0037617554858933033
2009-06-19,15.78,16.74,15.77,16.74,479100,16.74,0.05349276274386394
2009-06-22,16.53,16.57,15.81,15.95,265800,15.95,-0.047192353643966456
2009-06-23,15.23,15.3,14.66,14.84,306500,14.84,-0.06959247648902822
2009-06-24,15.24,16.11,15.0,15.96,233100,15.96,0.07547169811320753
2009-06-25,15.52,16.25,15.31,16.06,267000,16.06,0.006265664160400863
2009-06-26,16.16,16.94,15.75,16.85,1490900,16.85,0.04919053549190555
2009-06-29,16.78,16.78,15.93,15.99,266500,15.99,-0.051038575667655905
2009-06-30,16.25,17.15,16.25,17.0,526700,17.0,0.06316447779862422
2009-07-01,16.73,16.73,16.16,16.28,321700,16.28,-0.04235294117647048
2009-07-02,16.22,16.22,15.28,15.46,190000,15.46,-0.05036855036855037
2009-07-06,15.44,15.82,14.9,15.8,152600,15.8,0.02199223803363526
2009-07-07,15.91,15.96,15.51,15.6,130200,15.6,-0.012658227848101333
2009-07-08,15.51,15.8,15.3,15.57,550900,15.57,-0.0019230769230769162
2009-07-09,15.6,15.6,15.18,15.26,415800,15.26,-0.019910083493898556
2009-07-10,15.23,16.24,15.18,15.85,98300,15.85,0.038663171690694664
2009-07-13,15.8,16.18,15.66,16.0,285800,16.0,0.009463722397476282
2009-07-14,16.05,16.15,15.81,15.98,278500,15.98,-0.0012499999999999734
2009-07-15,16.02,16.15,15.88,15.99,112800,15.99,0.0006257822277846437
2009-07-16,15.85,16.24,15.85,16.0,108200,16.0,0.0006253908692932519
2009-07-17,16.03,16.11,16.0,16.07,47100,16.07,0.004375000000000018
2009-07-20,16.1,17.0,15.99,16.84,171000,16.84,0.047915370255133816
2009-07-21,16.85,17.37,16.51,17.33,235000,17.33,0.029097387173396605
2009-07-22,17.27,17.96,16.89,17.69,226400,17.69,0.020773225620311697
2009-07-23,17.8,18.13,17.45,18.12,184800,18.12,0.024307518371961434
2009-07-24,17.86,18.3,17.86,18.27,193300,18.27,0.008278145695364225
2009-07-27,18.3,18.45,17.82,18.12,164900,18.12,-0.008210180623973606
2009-07-28,18.14,18.2,17.63,18.12,169000,18.12,0.0
2009-07-29,17.9,18.24,17.74,17.91,84900,17.91,-0.011589403973509937
2009-07-30,17.99,18.2,17.68,17.78,175100,17.78,-0.007258514796203208
2009-07-31,17.78,18.55,17.78,18.16,122400,18.16,0.021372328458942658
2009-08-03,18.2,18.56,17.76,18.17,129600,18.17,0.0005506607929515184
