Date,Open,High,Low,Close,Volume,Adj Close,Return
2008-11-19,19.0,19.01,19.0,19.0,2000,12.47,0.0
2008-11-20,19.92,19.96,19.01,19.74,3100,12.96,0.039294306335204476
2008-11-21,19.03,19.03,19.0,19.0,1000,12.47,-0.03780864197530864
2008-11-24,19.0,19.0,19.0,19.0,0,12.47,0.0
2008-11-25,19.01,19.01,19.01,19.01,200,12.48,0.000801924619085792
2008-11-26,19.0,19.01,19.0,19.01,3500,12.48,0.0
2008-11-28,19.01,19.01,19.01,19.01,0,12.48,0.0
2008-12-01,19.89,20.0,19.89,20.0,1700,13.13,0.05208333333333326
2008-12-02,20.0,20.0,19.04,19.04,900,12.5,-0.04798172124904809
2008-12-03,19.04,19.04,19.04,19.04,0,12.5,0.0
2008-12-04,19.04,19.04,19.04,19.04,0,12.5,0.0
2008-12-05,20.0,20.0,20.0,20.0,2100,13.13,0.0504
2008-12-08,20.0,20.0,20.0,20.0,0,13.13,0.0
2008-12-09,19.5,19.5,19.5,19.5,1500,12.8,-0.02513328255902514
2008-12-10,20.0,20.0,20.0,20.0,2100,13.13,0.02578125000000009
2008-12-11,20.0,20.0,20.0,20.0,0,13.21,0.006092916984006047
2008-12-12,20.0,20.0,20.0,20.0,0,13.21,0.0
2008-12-15,20.0,20.0,19.01,19.01,2200,12.56,-0.049205147615442923
2008-12-16,19.01,19.01,19.01,19.01,0,12.56,0.0
2008-12-17,19.01,19.01,19.0,19.0,1400,12.55,-0.0007961783439490722
2008-12-18,20.0,20.0,19.92,19.99,1100,13.2,0.05179282868525892
2008-12-19,19.99,19.99,19.99,19.99,0,13.2,0.0
2008-12-22,19.07,19.5,19.07,19.5,1700,12.88,-0.024242424242424176
2008-12-23,20.5,20.5,20.49,20.5,800,13.54,0.05124223602484457
2008-12-24,20.5,20.5,20.5,20.5,1400,13.54,0.0
2008-12-26,20.5,20.5,20.5,20.5,0,13.54,0.0
2008-12-29,20.5,20.5,20.5,20.5,0,13.54,0.0
2008-12-30,20.5,20.5,20.5,20.5,0,13.54,0.0
2008-12-31,21.0,21.0,20.99,20.99,500,13.87,0.024372230428360453
2009-01-02,20.99,20.99,20.99,20.99,0,13.87,0.0
2009-01-05,20.99,20.99,20.99,20.99,0,13.87,0.0
2009-01-06,20.99,20.99,20.99,20.99,0,13.87,0.0
2009-01-07,21.0,21.0,21.0,21.0,1000,13.87,0.0
2009-01-08,21.0,21.0,21.0,21.0,0,13.87,0.0
2009-01-09,21.0,21.0,21.0,21.0,0,13.87,0.0
2009-01-12,21.0,21.0,21.0,21.0,0,13.87,0.0
2009-01-13,21.0,21.0,21.0,21.0,0,13.96,0.0064888248017305195
2009-01-14,21.0,21.0,21.0,21.0,100,13.96,0.0
2009-01-15,21.0,21.0,21.0,21.0,0,13.96,0.0
2009-01-16,21.0,21.0,21.0,21.0,0,13.96,0.0
2009-01-20,20.0,20.0,20.0,20.0,200,13.29,-0.04799426934097428
