Date,Open,High,Low,Close,Volume,Adj Close,Return
1997-01-13,19.13,19.13,19.13,19.13,500,2.81,0.0
1997-01-15,19.33,19.33,19.33,19.33,300,2.84,0.010676156583629748
1997-01-17,19.33,19.52,19.33,19.52,3400,2.87,0.010563380281690238
1997-01-20,19.72,20.32,19.72,20.32,12500,2.99,0.04181184668989557
1997-01-21,20.42,20.42,20.02,20.02,54100,2.94,-0.016722408026755953
1997-01-22,20.02,20.02,19.92,19.92,43900,2.93,-0.00340136054421758
1997-01-23,19.92,20.02,19.92,20.02,11200,2.94,0.0034129692832762792
1997-01-24,20.02,20.02,19.92,20.02,70700,2.94,0.0
1997-01-27,20.12,20.22,20.12,20.22,29900,2.97,0.010204081632653184
1997-01-28,20.32,20.81,20.32,20.61,34800,3.03,0.02020202020202011
1997-01-29,20.61,20.61,20.42,20.42,18200,3.0,-0.009900990099009799
1997-01-30,20.51,20.51,20.51,20.51,6500,3.02,0.006666666666666599
1997-01-31,20.42,20.42,20.12,20.12,40000,2.96,-0.019867549668874163
1997-02-03,20.22,20.61,20.22,20.61,16100,3.03,0.023648648648648685
1997-02-04,20.61,20.71,20.61,20.61,75700,3.03,0.0
1997-02-05,20.61,20.61,20.61,20.61,2900,3.03,0.0
1997-02-06,20.42,20.42,20.22,20.22,66300,2.97,-0.01980198019801971
1997-02-07,20.22,20.61,20.22,20.61,203300,3.03,0.02020202020202011
1997-02-10,20.61,20.61,20.51,20.61,107900,3.03,0.0
1997-02-11,20.61,20.81,20.61,20.81,45500,3.06,0.00990099009900991
1997-02-12,21.01,21.01,20.91,21.01,24400,3.09,0.009803921568627416
1997-02-13,20.81,20.91,20.71,20.91,45800,3.08,-0.003236245954692518
1997-02-14,20.91,20.91,20.81,20.91,21800,3.08,0.0
1997-02-18,20.91,20.91,20.81,20.81,11700,3.06,-0.006493506493506551
1997-02-19,20.91,20.91,20.91,20.91,5500,3.08,0.006535947712418277
1997-02-20,20.71,20.81,20.61,20.81,58800,3.06,-0.006493506493506551
1997-02-21,20.81,21.01,20.81,21.01,22400,3.09,0.009803921568627416
1997-02-24,20.71,21.11,20.71,20.81,10100,3.06,-0.009708737864077555
1997-02-25,20.91,21.01,20.91,21.01,4200,3.09,0.009803921568627416
1997-02-26,21.11,21.31,21.11,21.31,8600,3.13,0.012944983818770295
1997-02-27,21.31,21.41,21.21,21.41,28100,3.15,0.006389776357827559
1997-02-28,21.51,22.1,21.51,22.1,30400,3.25,0.031746031746031855
1997-03-03,22.5,22.7,22.1,22.1,62400,3.25,0.0
