Date,Open,High,Low,Close,Volume,Adj Close,Return
2010-03-24,17.0,18.0,15.03,15.1,5530700,15.1,0.0
2010-03-25,15.35,15.7,14.0,14.25,1213400,14.25,-0.056291390728476776
2010-03-26,14.53,14.53,13.55,13.62,685400,13.62,-0.04421052631578948
2010-03-29,13.76,13.76,13.05,13.25,507200,13.25,-0.027165932452276054
2010-03-30,13.21,13.75,13.21,13.69,272100,13.69,0.033207547169811225
2010-03-31,13.6,13.8,13.25,13.45,263200,13.45,-0.01753104455807164
2010-04-01,13.48,14.2,13.45,13.72,262100,13.72,0.02007434944237918
2010-04-05,13.85,14.06,13.7,14.0,100000,14.0,0.020408163265306145
2010-04-06,14.05,14.64,14.0,14.42,161800,14.42,0.030000000000000027
2010-04-07,14.62,14.65,13.87,14.03,107800,14.03,-0.027045769764216354
2010-04-08,14.2,14.2,13.66,13.67,74900,13.67,-0.02565930149679252
2010-04-09,13.7,13.95,13.52,13.77,71300,13.77,0.007315288953913646
2010-04-12,14.0,14.01,13.61,13.76,121000,13.76,-0.000726216412490932
2010-04-13,13.76,13.8,13.42,13.48,118500,13.48,-0.02034883720930225
2010-04-14,13.7,13.85,13.45,13.66,557000,13.66,0.01335311572700304
2010-04-15,13.7,14.25,13.7,14.16,168100,14.16,0.03660322108345526
2010-04-16,14.24,14.57,13.88,14.38,143200,14.38,0.015536723163841915
2010-04-19,14.4,14.54,14.01,14.07,76300,14.07,-0.021557719054242086
2010-04-20,14.05,14.65,14.01,14.61,140800,14.61,0.03837953091684421
2010-04-21,14.68,14.81,14.26,14.52,200000,14.52,-0.006160164271047264
2010-04-22,14.5,14.52,13.76,14.05,413200,14.05,-0.03236914600550955
2010-04-23,14.1,14.33,13.93,13.96,95500,13.96,-0.006405693950177871
2010-04-26,14.0,14.1,13.3,13.34,273800,13.34,-0.044412607449856756
2010-04-27,13.48,13.48,11.88,12.19,501800,12.19,-0.0862068965517242
2010-04-28,12.23,12.45,11.92,12.03,213500,12.03,-0.01312551271534046
2010-04-29,12.07,12.5,11.99,12.36,135600,12.36,0.027431421446383997
2010-04-30,12.48,12.55,11.8,12.0,171300,12.0,-0.029126213592232997
2010-05-03,12.5,12.5,11.53,12.04,452800,12.04,0.0033333333333331883
2010-05-04,12.25,12.47,11.9,12.29,206900,12.29,0.020764119601328845
2010-05-05,12.15,12.32,11.58,11.86,206000,11.86,-0.034987794955248175
2010-05-06,11.74,11.98,10.83,11.6,363200,11.6,-0.021922428330522714
2010-05-07,10.93,11.25,10.14,10.4,653100,10.4,-0.10344827586206895
2010-05-10,10.85,10.96,10.02,10.24,362800,10.24,-0.015384615384615441
