Date,Open,High,Low,Close,Volume,Adj Close,Return
2011-05-10,30.12,30.2,30.12,30.2,1100,29.65,0.0
2011-05-11,29.98,29.98,29.98,29.98,100,29.44,-0.007082630691399583
2011-05-12,30.09,30.24,29.98,30.19,4000,29.64,0.006793478260869623
2011-05-13,30.19,30.34,29.73,29.83,17300,29.29,-0.011808367071524994
2011-05-16,29.68,29.7,29.55,29.56,4000,29.02,-0.009218163195629847
2011-05-17,29.56,29.56,29.29,29.42,1400,28.89,-0.004479669193659497
2011-05-18,29.67,29.86,29.42,29.86,1800,29.32,0.014884042921426088
2011-05-19,29.77,29.79,29.62,29.72,3400,29.18,-0.004774897680764001
2011-05-20,29.57,29.57,29.3,29.37,22400,28.84,-0.011651816312542862
2011-05-23,28.69,28.69,28.38,28.52,2200,28.0,-0.029126213592232997
2011-05-24,28.71,28.79,28.7,28.79,800,28.27,0.009642857142857064
2011-05-25,28.84,28.93,28.84,28.92,800,28.4,0.004598514326140668
2011-05-26,28.92,28.92,28.92,28.92,0,28.4,0.0
2011-05-27,29.32,29.32,29.32,29.32,200,28.79,0.01373239436619711
2011-05-31,29.84,29.93,29.84,29.9,500,29.36,0.019798541160125138
2011-06-01,29.65,29.65,29.46,29.46,1200,28.93,-0.014645776566757474
2011-06-02,29.25,29.25,29.01,29.01,500,28.48,-0.01555478741790528
2011-06-03,29.3,29.32,29.3,29.31,600,28.78,0.010533707865168607
2011-06-06,29.14,29.14,29.14,29.14,300,28.61,-0.005906879777623386
2011-06-07,29.26,29.26,29.25,29.25,300,28.72,0.003844809507165259
2011-06-08,28.85,28.85,28.85,28.85,200,28.33,-0.013579387186629543
2011-06-09,28.75,29.12,28.75,29.12,500,28.59,0.009177550300035309
2011-06-10,28.57,28.57,28.35,28.35,1400,27.84,-0.026232948583420734
2011-06-13,28.44,28.47,28.44,28.47,500,27.95,0.0039511494252872925
2011-06-14,29.05,29.05,28.99,29.04,1000,28.51,0.0200357781753131
2011-06-15,28.8,28.8,28.5,28.5,300,27.98,-0.018589968432129123
2011-06-16,28.5,28.5,28.5,28.5,0,27.98,0.0
2011-06-17,28.59,28.59,28.59,28.59,100,28.07,0.0032165832737669486
2011-06-20,28.59,28.59,28.59,28.59,0,28.07,0.0
2011-06-21,29.26,29.29,29.22,29.29,2600,28.81,0.02636266476665483
2011-06-22,29.29,29.29,29.29,29.29,0,28.81,0.0
2011-06-23,29.29,29.29,29.29,29.29,0,28.81,0.0
2011-06-24,29.4,29.4,29.4,29.4,200,28.92,0.0038181187087817925
2011-06-27,29.77,29.77,29.77,29.77,400,29.28,0.012448132780082943
2011-06-28,30.02,30.02,30.02,30.02,4000,29.53,0.008538251366120297
2011-06-29,30.23,30.41,30.23,30.41,800,29.91,0.012868269556383316
2011-06-30,30.52,30.82,30.52,30.82,300,30.31,0.01337345369441656
2011-07-01,30.94,31.17,30.94,31.17,1100,30.66,0.011547344110854452
2011-07-05,31.35,31.43,31.35,31.4,4500,30.88,0.0071754729288975305
2011-07-06,31.47,31.47,31.32,31.32,900,30.8,-0.002590673575129432
2011-07-07,31.63,31.83,31.5,31.82,61500,31.3,0.016233766233766156
2011-07-08,31.28,31.47,31.25,31.42,2500,30.9,-0.012779552715655007
2011-07-11,30.86,30.86,30.33,30.33,13700,29.83,-0.03462783171521033
2011-07-12,30.33,30.33,30.33,30.33,0,29.83,0.0
2011-07-13,30.78,31.14,30.78,30.92,1000,30.41,0.019443513241703014
2011-07-14,31.06,31.15,30.9,31.01,1300,30.5,0.002959552778691199
2011-07-15,31.18,31.18,31.05,31.12,1200,30.61,0.00360655737704918
2011-07-18,30.74,30.74,30.33,30.33,3300,29.83,-0.025481868670369168
2011-07-19,30.71,30.96,30.71,30.85,600,30.34,0.017096882333221597
2011-07-20,31.07,31.07,31.07,31.07,300,30.56,0.007251153592616966
