Date,Open,High,Low,Close,Volume,Adj Close,Return
1997-06-02,20.58,20.83,20.34,20.46,246800,8.13,0.0
1997-06-03,20.46,20.83,20.46,20.71,586600,8.22,0.011070110701107083
1997-06-04,20.83,20.83,20.46,20.58,494000,8.18,-0.0048661800486619056
1997-06-05,20.58,20.71,20.34,20.46,142400,8.13,-0.006112469437652646
1997-06-06,20.22,21.32,20.22,21.32,195200,8.47,0.04182041820418192
1997-06-09,21.2,21.69,21.07,21.56,461600,8.56,0.010625737898465104
1997-06-10,21.44,21.93,21.44,21.93,327400,8.71,0.017523364485981352
1997-06-11,21.93,23.77,21.93,22.67,228200,9.0,0.03329506314580932
1997-06-12,22.79,24.87,22.79,24.01,1161400,9.54,0.05999999999999983
1997-06-13,24.14,24.26,23.4,23.4,354000,9.29,-0.026205450733752578
1997-06-16,23.65,24.01,23.4,23.89,290400,9.49,0.021528525296017342
1997-06-17,24.14,24.14,23.52,23.77,193400,9.44,-0.005268703898840932
1997-06-18,23.65,24.01,23.52,24.01,86800,9.54,0.010593220338982912
1997-06-19,24.01,24.01,23.4,23.4,288400,9.29,-0.026205450733752578
1997-06-20,22.05,23.52,21.93,23.16,395000,9.2,-0.009687836383207693
1997-06-23,23.16,23.28,22.91,22.91,102000,9.1,-0.010869565217391242
1997-06-24,22.79,23.65,22.79,23.65,144400,9.39,0.03186813186813198
1997-06-25,23.77,23.77,23.4,23.65,82000,9.39,0.0
1997-06-26,23.65,23.65,22.54,22.79,303000,9.05,-0.03620873269435565
1997-06-27,22.67,22.91,22.18,22.42,50400,8.91,-0.015469613259668558
1997-06-30,22.3,22.54,22.3,22.3,179200,8.86,-0.0056116722783390305
1997-07-01,22.54,22.54,22.18,22.48,148200,8.93,0.007900677200902928
1997-07-02,22.36,22.36,22.05,22.05,37600,8.76,-0.01903695408734607
1997-07-03,22.05,22.05,21.2,21.56,213800,8.56,-0.022831050228310446
1997-07-07,21.56,21.93,21.32,21.81,448200,8.66,0.011682242990654235
1997-07-08,22.3,22.91,22.3,22.91,340400,9.1,0.050808314087759765
1997-07-09,22.91,23.52,22.91,23.52,363600,9.34,0.026373626373626502
1997-07-10,23.52,23.65,23.52,23.52,141800,9.34,0.0
1997-07-11,23.52,23.89,23.52,23.89,171000,9.49,0.01605995717344766
1997-07-14,24.14,24.14,23.4,23.4,128600,9.29,-0.021074815595363616
1997-07-15,23.4,23.4,22.54,22.54,156400,8.95,-0.03659849300322926
1997-07-16,22.54,22.54,22.05,22.42,68400,8.91,-0.004469273743016644
1997-07-17,22.18,23.16,22.18,22.91,215800,9.1,0.021324354657688005
1997-07-18,22.79,22.79,22.05,22.18,43400,8.81,-0.031868131868131755
1997-07-21,22.18,22.18,21.56,21.81,214000,8.66,-0.017026106696935384
1997-07-22,21.81,22.3,21.81,22.11,95200,8.78,0.013856812933025209
1997-07-23,22.24,22.42,21.87,21.87,94800,8.69,-0.010250569476081939
1997-07-24,21.75,22.42,21.56,22.3,83400,8.86,0.019562715765247374
1997-07-25,22.18,22.42,22.05,22.18,63600,8.81,-0.005643340857787726
1997-07-28,22.3,22.54,22.3,22.42,247800,8.91,0.011350737797956922
1997-07-29,22.3,22.79,22.3,22.42,189600,8.91,0.0
1997-07-30,22.48,22.48,22.05,22.05,55400,8.76,-0.01683501683501687
1997-07-31,22.11,22.18,21.2,21.38,170800,8.49,-0.03082191780821908
