Date,Open,High,Low,Close,Volume,Adj Close,Return
1992-03-31,7.5,7.5,6.25,6.25,6857900,0.68,0.0
1992-04-01,6.5,6.5,6.0,6.0,2439900,0.65,-0.044117647058823595
1992-04-02,6.38,6.63,6.13,6.38,2223400,0.69,0.06153846153846132
1992-04-03,6.38,6.63,6.25,6.25,773800,0.68,-0.014492753623188248
1992-04-06,6.25,6.25,5.75,6.0,1155800,0.65,-0.044117647058823595
1992-04-07,5.88,6.25,5.88,5.88,1086700,0.64,-0.015384615384615441
1992-04-08,5.75,5.88,5.25,5.75,1472400,0.62,-0.03125
1992-04-09,5.75,6.13,5.5,6.0,1461800,0.65,0.048387096774193505
1992-04-10,6.38,6.63,6.0,6.13,2531800,0.67,0.030769230769230882
1992-04-13,6.38,6.38,6.0,6.38,57000,0.69,0.02985074626865658
1992-04-14,6.38,6.5,6.25,6.38,923400,0.69,0.0
1992-04-15,6.25,6.38,6.0,6.0,240700,0.65,-0.05797101449275355
1992-04-16,6.0,6.25,5.88,6.0,312100,0.65,0.0
1992-04-20,5.88,6.25,5.75,5.88,541400,0.64,-0.015384615384615441
1992-04-21,5.88,5.88,5.88,5.88,63000,0.64,0.0
1992-04-22,6.25,6.25,5.63,6.0,307500,0.65,0.015625
1992-04-23,5.75,5.75,5.38,5.38,215700,0.58,-0.10769230769230775
1992-04-24,5.38,5.75,5.25,5.38,394100,0.58,0.0
1992-04-27,5.5,5.63,5.38,5.63,181500,0.61,0.051724137931034475
1992-04-28,5.38,5.63,5.38,5.38,915000,0.58,-0.049180327868852514
1992-04-29,5.38,5.63,5.38,5.38,491300,0.58,0.0
1992-04-30,5.5,5.75,5.5,5.75,498200,0.62,0.06896551724137945
1992-05-01,5.75,5.75,5.5,5.63,842100,0.61,-0.016129032258064502
1992-05-04,5.75,6.13,5.5,6.13,262000,0.67,0.09836065573770503
1992-05-05,6.13,6.13,5.38,6.0,169300,0.65,-0.02985074626865669
1992-05-06,6.0,6.25,5.88,6.0,457900,0.65,0.0
1992-05-07,6.25,6.25,5.75,5.75,470100,0.62,-0.04615384615384621
1992-05-08,6.0,6.0,5.75,5.75,136700,0.62,0.0
1992-05-11,5.75,5.88,5.75,5.88,112400,0.64,0.032258064516129004
1992-05-12,5.75,5.88,5.63,5.63,295400,0.61,-0.046875
1992-05-13,5.88,5.88,5.38,5.5,416100,0.6,-0.016393442622950838
1992-05-14,5.75,5.75,5.5,5.5,265800,0.6,0.0
1992-05-15,5.63,5.63,5.25,5.25,255200,0.57,-0.050000000000000044
1992-05-18,5.63,5.63,5.25,5.5,82800,0.6,0.05263157894736836
1992-05-19,5.5,5.5,5.25,5.25,164800,0.57,-0.050000000000000044
1992-05-20,5.5,5.5,5.25,5.38,192100,0.58,0.01754385964912286
1992-05-21,5.5,5.63,5.38,5.63,151900,0.61,0.051724137931034475
1992-05-22,5.63,5.63,5.38,5.38,221000,0.58,-0.049180327868852514
1992-05-26,5.75,5.75,5.38,5.5,788200,0.6,0.034482758620689724
1992-05-27,5.38,5.63,5.38,5.63,436600,0.61,0.016666666666666607
1992-05-28,5.63,5.63,5.38,5.63,175400,0.61,0.0
1992-05-29,5.38,5.63,5.38,5.63,151900,0.61,0.0
