Date,Open,High,Low,Close,Volume,Adj Close,Return
2004-05-05,1.05,1.2,1.05,1.15,100,9.2,0.0
2004-05-06,1.15,1.15,1.15,1.15,0,9.2,0.0
2004-05-07,1.2,1.25,1.2,1.25,200,10.0,0.0869565217391306
2004-05-10,1.15,1.35,1.15,1.35,900,10.8,0.08000000000000007
2004-05-11,1.35,1.35,1.35,1.35,0,10.8,0.0
2004-05-12,1.35,1.35,1.35,1.35,0,10.8,0.0
2004-05-13,1.35,1.35,1.35,1.35,0,10.8,0.0
2004-05-14,1.35,1.35,1.35,1.35,0,10.8,0.0
2004-05-17,1.35,1.35,1.35,1.35,0,10.8,0.0
2004-05-18,1.35,1.35,1.35,1.35,0,10.8,0.0
2004-05-19,1.35,1.35,1.35,1.35,0,10.8,0.0
2004-05-20,1.25,1.35,1.25,1.35,100,10.8,0.0
2004-05-21,1.35,1.35,1.35,1.35,0,10.8,0.0
2004-05-24,1.35,1.35,1.35,1.35,0,10.8,0.0
2004-05-25,1.35,1.35,1.35,1.35,0,10.8,0.0
2004-05-26,1.35,1.35,1.35,1.35,0,10.8,0.0
2004-05-27,1.35,1.35,1.35,1.35,0,10.8,0.0
2004-05-28,2.0,2.0,1.45,1.45,0,11.6,0.07407407407407396
2004-06-01,1.45,1.45,1.45,1.45,0,11.6,0.0
2004-06-02,1.45,1.45,1.45,1.45,0,11.6,0.0
2004-06-03,1.45,1.45,1.45,1.45,0,11.6,0.0
2004-06-04,1.5,1.7,1.5,1.5,200,12.0,0.034482758620689724
2004-06-07,1.5,2.0,1.5,2.0,100,16.0,0.33333333333333326
2004-06-08,2.0,2.0,2.0,2.0,0,16.0,0.0
2004-06-09,2.0,2.0,2.0,2.0,0,16.0,0.0
2004-06-10,2.0,2.0,2.0,2.0,0,16.0,0.0
2004-06-14,2.0,2.0,2.0,2.0,0,16.0,0.0
2004-06-15,2.0,2.0,2.0,2.0,100,16.0,0.0
2004-06-16,2.0,2.0,2.0,2.0,0,16.0,0.0
2004-06-17,1.5,1.75,1.45,1.75,200,14.0,-0.125
2004-06-18,1.75,1.75,1.75,1.75,0,14.0,0.0
2004-06-21,1.75,1.75,1.75,1.75,0,14.0,0.0
2004-06-22,1.75,1.75,1.75,1.75,0,14.0,0.0
2004-06-23,1.75,1.75,1.75,1.75,0,14.0,0.0
2004-06-24,1.55,1.73,1.55,1.73,400,13.84,-0.011428571428571455
2004-06-25,1.73,1.73,1.73,1.73,0,13.84,0.0
2004-06-28,1.62,1.73,1.62,1.73,200,13.84,0.0
2004-06-29,1.57,1.73,1.51,1.6,900,12.8,-0.07514450867052014
2004-06-30,1.54,1.54,1.54,1.54,200,12.32,-0.03749999999999998
2004-07-01,1.54,1.54,1.54,1.54,0,12.32,0.0
2004-07-02,1.54,1.54,1.54,1.54,0,12.32,0.0
2004-07-06,1.54,1.54,1.54,1.54,100,12.32,0.0
2004-07-07,1.54,1.54,1.54,1.54,0,12.32,0.0
2004-07-08,1.45,1.54,1.45,1.54,200,12.32,0.0
2004-07-09,1.5,1.5,1.5,1.5,700,12.0,-0.025974025974025983
2004-07-12,1.54,1.54,1.54,1.54,400,12.32,0.026666666666666616
2004-07-13,1.54,1.54,1.54,1.54,0,12.32,0.0
2004-07-14,1.54,1.54,1.54,1.54,0,12.32,0.0
2004-07-15,1.5,1.54,1.45,1.54,600,12.32,0.0
2004-07-16,1.4,1.5,1.4,1.4,700,11.2,-0.09090909090909094
2004-07-19,1.45,1.54,1.45,1.54,100,12.32,0.10000000000000009
2004-07-20,1.54,1.54,1.54,1.54,0,12.32,0.0
2004-07-21,1.54,1.54,1.54,1.54,0,12.32,0.0
2004-07-22,1.35,1.54,1.35,1.54,300,12.32,0.0
2004-07-23,1.54,1.54,1.54,1.54,0,12.32,0.0
2004-07-26,1.54,1.54,1.54,1.54,0,12.32,0.0
2004-07-27,1.54,1.54,1.54,1.54,0,12.32,0.0
2004-07-28,1.54,1.54,1.54,1.54,0,12.32,0.0
2004-07-29,1.54,1.54,1.54,1.54,0,12.32,0.0
2004-07-30,1.54,1.54,1.54,1.54,0,12.32,0.0
2004-08-02,1.54,1.54,1.54,1.54,0,12.32,0.0
2004-08-03,1.54,1.54,1.54,1.54,0,12.32,0.0
2004-08-04,1.54,1.54,1.54,1.54,0,12.32,0.0
2004-08-05,1.54,1.54,1.54,1.54,0,12.32,0.0
2004-08-06,1.54,1.54,1.54,1.54,100,12.32,0.0
2004-08-09,1.54,1.54,1.54,1.54,0,12.32,0.0
2004-08-10,1.54,1.54,1.54,1.54,0,12.32,0.0
2004-08-11,1.54,1.54,1.54,1.54,0,12.32,0.0
2004-08-12,1.54,1.54,1.54,1.54,0,12.32,0.0
2004-08-13,1.54,1.54,1.54,1.54,0,12.32,0.0
2004-08-16,1.54,1.54,1.54,1.54,0,12.32,0.0
2004-08-17,1.54,1.54,1.54,1.54,0,12.32,0.0
2004-08-18,1.54,1.54,1.54,1.54,0,12.32,0.0
2004-08-19,1.35,1.5,1.01,1.5,300,12.0,-0.025974025974025983
2004-08-20,1.5,1.5,1.5,1.5,0,12.0,0.0
2004-08-23,1.5,1.5,1.5,1.5,0,12.0,0.0
2004-08-24,1.5,1.5,1.5,1.5,0,12.0,0.0
2004-08-25,1.5,1.5,1.5,1.5,0,12.0,0.0
2004-08-26,1.29,1.29,1.29,1.29,200,10.32,-0.14
2004-08-27,1.29,1.29,1.29,1.29,0,10.32,0.0
2004-08-30,1.15,1.15,1.15,1.15,0,9.2,-0.10852713178294582
2004-08-31,1.29,1.29,1.29,1.29,0,10.32,0.1217391304347828
2004-09-01,1.29,1.29,1.29,1.29,0,10.32,0.0
2004-09-02,1.29,1.29,1.29,1.29,0,10.32,0.0
2004-09-03,1.29,1.29,1.29,1.29,0,10.32,0.0
2004-09-07,1.29,1.29,1.29,1.29,0,10.32,0.0
2004-09-08,1.29,1.29,1.29,1.29,0,10.32,0.0
2004-09-09,1.15,1.3,1.15,1.3,1600,10.4,0.007751937984496138
2004-09-10,1.29,1.29,1.29,1.29,100,10.32,-0.007692307692307665
2004-09-13,1.29,1.29,1.29,1.29,0,10.32,0.0
2004-09-14,1.29,1.29,1.29,1.29,0,10.32,0.0
2004-09-15,1.29,1.29,1.29,1.29,0,10.32,0.0
2004-09-16,1.29,1.29,1.29,1.29,0,10.32,0.0
2004-09-17,1.29,1.29,1.29,1.29,0,10.32,0.0
2004-09-20,1.29,1.29,1.29,1.29,0,10.32,0.0
2004-09-21,1.29,1.29,1.29,1.29,100,10.32,0.0
2004-09-22,1.29,1.29,1.29,1.29,0,10.32,0.0
2004-09-23,1.29,1.29,1.29,1.29,0,10.32,0.0
2004-09-24,1.29,1.29,1.29,1.29,0,10.32,0.0
2004-09-27,1.29,1.29,1.29,1.29,0,10.32,0.0
2004-09-28,1.29,1.29,1.29,1.29,0,10.32,0.0
2004-09-29,1.29,1.29,1.29,1.29,0,10.32,0.0
2004-09-30,1.29,1.29,1.29,1.29,0,10.32,0.0
2004-10-01,1.29,1.29,1.29,1.29,0,10.32,0.0
2004-10-04,1.29,1.29,1.29,1.29,0,10.32,0.0
2004-10-05,1.29,1.29,1.29,1.29,0,10.32,0.0
2004-10-06,1.29,1.29,1.29,1.29,0,10.32,0.0
2004-10-07,1.29,1.29,1.29,1.29,0,10.32,0.0
2004-10-08,1.29,1.29,1.29,1.29,0,10.32,0.0
2004-10-11,1.29,1.29,1.29,1.29,0,10.32,0.0
2004-10-12,1.29,1.29,1.29,1.29,0,10.32,0.0
2004-10-13,1.29,1.29,1.29,1.29,0,10.32,0.0
2004-10-14,1.29,1.29,1.29,1.29,0,10.32,0.0
2004-10-15,1.29,1.29,1.29,1.29,0,10.32,0.0
2004-10-18,1.29,1.29,1.29,1.29,0,10.32,0.0
2004-10-19,1.29,1.29,1.29,1.29,0,10.32,0.0
2004-10-20,1.29,1.29,1.29,1.29,0,10.32,0.0
2004-10-21,1.29,1.29,1.29,1.29,0,10.32,0.0
2004-10-22,1.29,1.29,1.29,1.29,0,10.32,0.0
2004-10-25,1.29,1.29,1.29,1.29,0,10.32,0.0
2004-10-26,1.25,1.25,1.25,1.25,100,10.0,-0.03100775193798455
2004-10-27,1.25,1.25,1.25,1.25,0,10.0,0.0
2004-10-28,1.25,1.25,1.25,1.25,0,10.0,0.0
2004-10-29,1.25,1.25,1.25,1.25,0,10.0,0.0
2004-11-01,1.25,1.25,1.25,1.25,0,10.0,0.0
2004-11-02,1.25,1.25,1.25,1.25,0,10.0,0.0
2004-11-03,1.25,1.25,1.25,1.25,0,10.0,0.0
2004-11-04,1.25,1.25,1.25,1.25,0,10.0,0.0
2004-11-05,1.1,1.1,0.9,1.05,3900,8.4,-0.15999999999999992
2004-11-08,1.02,1.02,1.02,1.02,0,8.16,-0.02857142857142858
2004-11-09,1.02,1.02,1.02,1.02,0,8.16,0.0
2004-11-10,1.02,1.02,1.02,1.02,0,8.16,0.0
2004-11-11,1.05,1.05,0.65,0.95,3600,7.6,-0.06862745098039225
2004-11-12,0.93,0.93,0.93,0.93,1400,7.44,-0.021052631578947323
2004-11-15,0.93,0.93,0.93,0.93,0,7.44,0.0
2004-11-16,0.95,0.95,0.65,0.9,900,7.2,-0.032258064516129115
2004-11-17,0.9,0.9,0.9,0.9,0,7.2,0.0
2004-11-18,0.9,0.9,0.9,0.9,0,7.2,0.0
2004-11-19,0.9,0.95,0.7,0.95,1300,7.6,0.05555555555555558
2004-11-22,0.65,0.95,0.61,0.95,2200,7.6,0.0
2004-11-23,0.8,0.8,0.62,0.8,1500,6.4,-0.1578947368421052
2004-11-24,0.7,0.8,0.67,0.67,2800,5.36,-0.16249999999999998
2004-11-26,0.67,0.67,0.67,0.67,0,5.36,0.0
2004-11-29,0.67,0.67,0.65,0.65,600,5.2,-0.02985074626865669
2004-11-30,0.65,0.65,0.65,0.65,0,5.2,0.0
2004-12-01,0.65,0.65,0.65,0.65,0,5.2,0.0
2004-12-02,0.65,0.65,0.65,0.65,600,5.2,0.0
2004-12-03,0.65,0.65,0.6,0.6,0,4.8,-0.07692307692307698
2004-12-06,0.65,0.8,0.65,0.72,1200,5.76,0.19999999999999996
2004-12-07,0.72,0.72,0.72,0.72,0,5.76,0.0
2004-12-08,0.8,0.8,0.6,0.6,0,4.8,-0.16666666666666663
2004-12-09,0.8,0.8,0.69,0.69,900,5.52,0.1499999999999999
2004-12-10,0.74,0.75,0.74,0.75,800,6.0,0.0869565217391306
2004-12-13,0.75,0.75,0.7,0.75,1800,6.0,0.0
2004-12-14,0.75,0.75,0.6,0.6,2100,4.8,-0.20000000000000007
2004-12-15,0.6,0.64,0.6,0.64,800,5.12,0.06666666666666665
2004-12-16,0.67,0.67,0.6,0.6,100,4.8,-0.0625
2004-12-17,0.6,0.67,0.6,0.64,500,5.12,0.06666666666666665
2004-12-20,0.64,0.64,0.6,0.6,3000,4.8,-0.0625
2004-12-21,0.63,0.63,0.6,0.6,3100,4.8,0.0
2004-12-22,0.55,0.6,0.55,0.6,2900,4.8,0.0
2004-12-23,0.59,0.75,0.59,0.75,3900,6.0,0.25
2004-12-27,0.68,0.68,0.6,0.6,1300,4.8,-0.20000000000000007
2004-12-28,0.6,0.6,0.55,0.6,1100,4.8,0.0
2004-12-29,0.6,0.6,0.6,0.6,0,4.8,0.0
2004-12-30,0.65,0.65,0.65,0.65,600,5.2,0.08333333333333348
2004-12-31,0.65,0.75,0.65,0.72,3200,5.76,0.10769230769230753
2005-01-03,0.72,0.72,0.72,0.72,0,5.76,0.0
2005-01-04,0.72,0.72,0.72,0.72,600,5.76,0.0
2005-01-05,0.6,0.6,0.6,0.6,100,4.8,-0.16666666666666663
2005-01-06,0.6,0.6,0.6,0.6,0,4.8,0.0
2005-01-07,0.6,0.6,0.6,0.6,0,4.8,0.0
2005-01-10,0.6,0.6,0.6,0.6,300,4.8,0.0
2005-01-11,0.56,0.61,0.56,0.56,1600,4.48,-0.06666666666666654
2005-01-12,0.62,0.62,0.62,0.62,400,4.96,0.10714285714285698
2005-01-13,0.62,0.62,0.6,0.62,2800,4.96,0.0
2005-01-14,0.62,0.62,0.62,0.62,0,4.96,0.0
2005-01-18,0.57,0.57,0.57,0.57,600,4.56,-0.08064516129032262
2005-01-19,0.55,0.55,0.5,0.52,3300,4.16,-0.08771929824561397
2005-01-20,0.53,0.6,0.53,0.6,2000,4.8,0.15384615384615374
2005-01-21,0.65,0.65,0.62,0.62,700,4.96,0.03333333333333344
2005-01-24,0.6,0.6,0.6,0.6,1000,4.8,-0.032258064516129115
2005-01-25,0.62,0.62,0.6,0.62,1400,4.96,0.03333333333333344
2005-01-26,0.62,0.62,0.62,0.62,0,4.96,0.0
2005-01-27,0.6,0.62,0.6,0.62,900,4.96,0.0
2005-01-28,0.62,0.62,0.62,0.62,0,4.96,0.0
