Date,Open,High,Low,Close,Volume,Adj Close,Return
1997-01-31,12.25,12.38,12.0,12.13,1241000,12.13,0.0
1997-02-03,12.38,12.38,12.13,12.25,179700,12.25,0.009892827699917506
1997-02-04,12.25,12.38,12.0,12.0,113200,12.0,-0.020408163265306145
1997-02-05,12.0,12.38,12.0,12.0,236100,12.0,0.0
1997-02-06,12.0,12.25,12.0,12.0,191600,12.0,0.0
1997-02-07,12.0,12.13,10.63,11.75,103200,11.75,-0.02083333333333337
1997-02-10,11.5,11.87,11.5,11.5,45900,11.5,-0.021276595744680882
1997-02-11,11.5,11.75,9.88,10.12,91100,10.12,-0.1200000000000001
1997-02-12,10.5,10.5,10.0,10.44,80800,10.44,0.031620553359683834
1997-02-13,10.5,10.5,10.37,10.5,36100,10.5,0.005747126436781658
1997-02-14,10.37,10.5,9.13,9.13,109700,9.13,-0.1304761904761904
1997-02-18,9.13,9.25,9.13,9.13,7900,9.13,0.0
1997-02-19,9.13,9.13,8.25,8.25,124400,8.25,-0.09638554216867479
1997-02-20,8.5,8.5,7.75,7.75,24100,7.75,-0.06060606060606055
1997-02-21,7.75,8.25,7.75,7.88,28100,7.88,0.016774193548387162
1997-02-24,8.25,8.44,8.0,8.38,94300,8.38,0.06345177664974622
1997-02-25,9.62,11.38,9.38,11.12,333700,11.12,0.3269689737470165
1997-02-26,11.5,11.62,10.88,11.38,137700,11.38,0.023381294964028854
1997-02-27,11.38,11.38,10.88,10.88,71000,10.88,-0.04393673110720564
1997-02-28,11.0,11.0,9.88,9.88,73500,9.88,-0.09191176470588236
1997-03-03,10.12,10.12,9.5,9.5,53300,9.5,-0.03846153846153855
1997-03-04,9.5,10.0,9.5,9.69,36500,9.69,0.020000000000000018
1997-03-05,9.5,9.75,9.13,9.5,57500,9.5,-0.019607843137254832
1997-03-06,9.13,9.5,9.13,9.38,9400,9.38,-0.012631578947368327
1997-03-07,9.75,9.75,9.38,9.38,3100,9.38,0.0
1997-03-10,9.75,11.12,9.75,10.63,74800,10.63,0.13326226012793185
1997-03-11,11.25,11.62,11.0,11.62,45500,11.62,0.0931326434619002
1997-03-12,11.62,11.87,11.38,11.5,57600,11.5,-0.0103270223752151
1997-03-13,11.75,11.75,11.38,11.38,9100,11.38,-0.01043478260869557
1997-03-14,11.62,11.62,10.63,10.88,19700,10.88,-0.04393673110720564
1997-03-17,10.63,10.75,10.5,10.63,48600,10.63,-0.022977941176470562
1997-03-18,10.5,10.63,9.75,9.88,14000,9.88,-0.07055503292568199
1997-03-19,9.75,10.0,9.75,9.75,9800,9.75,-0.013157894736842146
1997-03-20,10.0,10.0,9.25,9.5,17900,9.5,-0.02564102564102566
1997-03-21,9.25,9.75,9.25,9.38,5100,9.38,-0.012631578947368327
1997-03-24,9.75,9.88,9.38,9.88,24700,9.88,0.05330490405117261
1997-03-25,9.88,10.12,9.62,9.88,18500,9.88,0.0
1997-03-26,10.25,11.25,10.0,11.02,50300,11.02,0.1153846153846152
1997-03-27,11.12,11.62,11.0,11.12,57200,11.12,0.00907441016333932
1997-03-31,11.25,11.25,10.88,10.88,18900,10.88,-0.021582733812949506
1997-04-01,10.88,11.0,10.88,10.88,12900,10.88,0.0
1997-04-02,10.88,11.12,10.75,10.75,36700,10.75,-0.01194852941176483
1997-04-03,11.12,11.12,10.88,10.94,7600,10.94,0.017674418604651132
1997-04-04,10.88,11.25,10.88,11.12,8900,11.12,0.01645338208409508
1997-04-07,11.25,11.5,11.0,11.12,8600,11.12,0.0
1997-04-08,11.5,12.0,11.25,12.0,17600,12.0,0.07913669064748219
1997-04-09,12.0,12.75,11.87,11.87,42800,11.87,-0.010833333333333361
1997-04-10,11.5,12.25,11.38,12.0,31000,12.0,0.010951979780960519
1997-04-11,11.87,12.5,11.87,12.25,24000,12.25,0.02083333333333326
1997-04-14,12.5,12.5,11.5,11.87,18000,11.87,-0.031020408163265345
1997-04-15,11.5,12.0,11.5,11.62,51100,11.62,-0.021061499578770015
1997-04-16,11.62,11.62,11.5,11.5,3900,11.5,-0.0103270223752151
1997-04-17,11.62,11.75,11.12,11.12,5100,11.12,-0.03304347826086962
1997-04-18,11.0,11.0,10.88,10.88,3900,10.88,-0.021582733812949506
1997-04-21,11.25,11.38,11.0,11.12,5500,11.12,0.022058823529411686
1997-04-23,10.88,11.25,10.88,11.25,7400,11.25,0.011690647482014427
1997-04-24,10.88,11.25,10.75,10.88,35500,10.88,-0.032888888888888856
1997-04-25,10.88,11.25,10.88,10.88,9100,10.88,0.0
1997-04-28,10.88,11.25,10.88,11.25,5100,11.25,0.034007352941176405
1997-04-29,10.88,11.25,10.88,10.88,9800,10.88,-0.032888888888888856
1997-04-30,11.12,11.25,11.12,11.25,5500,11.25,0.034007352941176405
1997-05-01,11.0,11.25,11.0,11.25,2300,11.25,0.0
1997-05-02,11.0,11.25,11.0,11.25,2500,11.25,0.0
1997-05-05,11.38,12.25,11.0,12.0,19300,12.0,0.06666666666666665
1997-05-06,11.87,12.25,11.87,11.87,3800,11.87,-0.010833333333333361
1997-05-07,12.25,12.25,11.0,11.0,30600,11.0,-0.07329401853411954
1997-05-08,11.0,11.38,10.25,11.0,45400,11.0,0.0
1997-05-09,11.0,11.12,10.88,11.12,7500,11.12,0.010909090909090757
1997-05-12,11.12,11.12,10.75,10.75,7600,10.75,-0.03327338129496393
1997-05-13,11.12,11.12,10.75,11.12,3600,11.12,0.034418604651162754
1997-05-14,11.25,11.25,10.75,10.88,3800,10.88,-0.021582733812949506
1997-05-15,11.12,11.12,10.75,10.75,800,10.75,-0.01194852941176483
1997-05-16,10.75,11.25,10.75,11.0,12400,11.0,0.023255813953488413
1997-05-19,11.25,11.25,11.0,11.12,1700,11.12,0.010909090909090757
1997-05-20,11.25,11.25,11.25,11.25,5000,11.25,0.011690647482014427
1997-05-21,11.25,11.5,11.0,11.5,4400,11.5,0.022222222222222143
1997-05-22,11.75,12.13,11.62,11.62,5700,11.62,0.01043478260869568
1997-05-23,12.25,12.25,11.75,12.13,4100,12.13,0.04388984509466454
1997-05-27,12.25,12.38,11.75,12.0,9000,12.0,-0.010717230008244094
1997-05-28,12.0,12.0,12.0,12.0,2900,12.0,0.0
1997-05-29,12.5,12.5,11.75,11.75,9600,11.75,-0.02083333333333337
1997-05-30,11.75,12.0,11.62,11.87,5100,11.87,0.01021276595744669
