Date,Open,High,Low,Close,Volume,Adj Close,Return
1995-07-27,14.5,14.63,14.5,14.5,513800,6.56,0.0
1995-07-28,14.63,14.63,14.25,14.25,132000,6.45,-0.01676829268292679
1995-07-31,14.25,14.38,14.13,14.13,36900,6.39,-0.009302325581395432
1995-08-01,14.25,14.25,13.25,13.5,48300,6.11,-0.04381846635367748
1995-08-02,13.5,14.0,13.5,14.0,53100,6.33,0.036006546644844484
1995-08-03,14.0,14.0,13.63,13.88,20600,6.28,-0.007898894154818259
1995-08-04,13.88,13.88,13.75,13.75,4700,6.22,-0.009554140127388644
1995-08-07,14.0,14.0,14.0,14.0,1700,6.33,0.01768488745980723
1995-08-08,14.0,14.0,13.63,13.63,17800,6.16,-0.026856240126382325
1995-08-09,13.75,13.75,13.63,13.63,4200,6.16,0.0
1995-08-10,13.63,13.63,13.63,13.63,2000,6.16,0.0
1995-08-11,13.63,13.63,13.63,13.63,30000,6.16,0.0
1995-08-14,13.75,13.75,13.63,13.63,1600,6.16,0.0
1995-08-15,13.75,13.88,13.75,13.88,8600,6.28,0.01948051948051943
1995-08-16,13.88,13.88,12.88,12.88,68800,5.83,-0.07165605095541405
1995-08-17,13.0,13.0,12.25,12.25,24500,5.54,-0.04974271012006859
1995-08-18,12.5,12.75,12.5,12.75,13300,5.77,0.041516245487364545
1995-08-21,12.88,13.0,12.88,13.0,3900,5.88,0.01906412478336228
1995-08-22,13.13,13.5,13.13,13.5,36900,6.11,0.03911564625850339
1995-08-23,13.5,14.0,13.5,13.63,53100,6.2,0.014729950900163713
1995-08-24,13.75,13.75,13.5,13.63,49100,6.2,0.0
1995-08-25,13.75,13.88,13.38,13.38,17300,6.08,-0.01935483870967747
1995-08-28,13.5,13.5,13.25,13.5,53100,6.14,0.009868421052631415
1995-08-29,13.5,13.75,13.5,13.63,72800,6.2,0.009771986970684043
1995-08-30,13.75,13.75,13.5,13.5,32000,6.14,-0.00967741935483879
1995-08-31,13.5,13.75,13.5,13.75,12200,6.25,0.01791530944625408
1995-09-01,13.88,13.88,13.88,13.88,17000,6.31,0.009599999999999831
1995-09-05,13.88,13.88,13.75,13.88,30200,6.31,0.0
1995-09-06,13.88,14.0,13.75,13.75,70500,6.25,-0.009508716323296307
1995-09-07,13.88,13.88,13.75,13.88,78400,6.31,0.009599999999999831
1995-09-08,13.88,13.88,13.75,13.75,45500,6.25,-0.009508716323296307
1995-09-11,13.88,13.88,13.63,13.63,13100,6.2,-0.008000000000000007
1995-09-12,13.75,13.75,13.75,13.75,800,6.25,0.008064516129032251
1995-09-13,13.75,13.75,13.75,13.75,1600,6.25,0.0
