Date,Open,High,Low,Close,Volume,Adj Close,Return
1988-10-05,9.25,9.5,9.25,9.38,33000,0.57,0.0
1988-10-06,9.38,9.38,9.25,9.25,8100,0.56,-0.01754385964912264
1988-10-07,9.25,9.38,9.25,9.38,7700,0.57,0.01785714285714257
1988-10-10,9.5,9.63,9.5,9.63,8600,0.58,0.01754385964912286
1988-10-11,9.63,9.63,9.5,9.5,10000,0.57,-0.017241379310344862
1988-10-12,9.5,9.63,9.5,9.63,9700,0.58,0.01754385964912286
1988-10-13,9.5,9.5,9.5,9.5,9500,0.57,-0.017241379310344862
1988-10-14,9.63,9.63,9.5,9.63,29100,0.58,0.01754385964912286
1988-10-17,9.63,9.63,9.5,9.5,11400,0.57,-0.017241379310344862
1988-10-18,9.5,9.63,9.5,9.63,16700,0.58,0.01754385964912286
1988-10-19,9.63,9.63,9.5,9.5,10600,0.57,-0.017241379310344862
1988-10-20,9.5,9.63,9.5,9.5,31600,0.57,0.0
1988-10-21,9.5,9.63,9.5,9.5,22800,0.57,0.0
1988-10-24,9.63,9.63,9.5,9.5,12300,0.57,0.0
1988-10-25,9.38,9.5,9.38,9.5,14500,0.58,0.01754385964912286
1988-10-26,9.5,9.5,9.38,9.38,16700,0.57,-0.017241379310344862
1988-10-27,9.38,9.5,9.25,9.5,26900,0.58,0.01754385964912286
1988-10-28,9.5,9.5,9.38,9.5,15300,0.58,0.0
1988-10-31,9.38,9.5,9.38,9.5,18000,0.58,0.0
1988-11-01,9.5,9.63,9.38,9.63,20900,0.59,0.01724137931034475
1988-11-02,9.63,9.75,9.5,9.5,22200,0.58,-0.016949152542372947
1988-11-03,9.63,9.63,9.5,9.63,11700,0.59,0.01724137931034475
1988-11-04,9.5,9.63,9.38,9.5,25300,0.58,-0.016949152542372947
1988-11-07,9.38,9.5,9.25,9.5,26100,0.58,0.0
1988-11-08,9.38,9.5,9.25,9.38,10000,0.57,-0.017241379310344862
1988-11-09,9.25,9.38,9.0,9.38,9400,0.57,0.0
1988-11-10,9.38,9.38,9.25,9.25,14100,0.56,-0.01754385964912264
1988-11-11,9.38,9.38,9.25,9.38,11100,0.57,0.01785714285714257
1988-11-14,9.25,9.5,9.25,9.5,25300,0.58,0.01754385964912286
1988-11-15,9.38,9.63,9.25,9.38,33400,0.57,-0.017241379310344862
1988-11-16,9.5,9.5,9.25,9.25,34700,0.56,-0.01754385964912264
1988-11-17,9.38,9.38,9.13,9.13,43100,0.56,0.0
1988-11-18,9.13,9.38,9.13,9.38,6200,0.57,0.01785714285714257
1988-11-21,9.38,9.38,9.13,9.13,14500,0.56,-0.01754385964912264
