Date,Open,High,Low,Close,Volume,Adj Close,Return
1988-07-07,16.36,16.48,16.01,16.36,1042800,2.05,0.0
1988-07-08,16.48,16.6,15.54,16.24,806700,2.03,-0.009756097560975618
1988-07-11,16.48,16.6,16.24,16.36,946400,2.05,0.009852216748768461
1988-07-12,16.6,16.6,16.13,16.13,1055700,2.02,-0.014634146341463317
1988-07-13,16.36,16.6,16.24,16.6,784400,2.08,0.02970297029702973
1988-07-14,16.36,16.72,16.36,16.6,1082700,2.08,0.0
1988-07-15,16.72,16.72,16.6,16.72,1223700,2.09,0.004807692307692291
1988-07-18,16.6,16.83,16.36,16.48,2519700,2.06,-0.014354066985645786
1988-07-19,16.36,16.48,16.01,16.24,1624000,2.03,-0.01456310679611661
1988-07-20,16.36,16.83,16.24,16.6,1449900,2.08,0.024630541871921263
1988-07-21,16.6,16.72,16.48,16.48,1559200,2.06,-0.009615384615384581
1988-07-22,16.48,16.6,16.13,16.24,506200,2.03,-0.01456310679611661
1988-07-25,16.13,16.13,15.77,15.89,286800,1.99,-0.01970443349753681
1988-07-26,15.77,15.77,15.54,15.77,385500,1.98,-0.005025125628140725
1988-07-27,15.77,15.77,15.07,15.07,741900,1.89,-0.045454545454545525
1988-07-28,15.07,15.19,14.48,14.71,2135700,1.84,-0.026455026455026398
1988-07-29,14.71,15.66,14.6,15.54,1279800,1.95,0.059782608695652106
1988-08-01,15.42,15.42,14.71,15.07,1194000,1.89,-0.03076923076923077
1988-08-02,14.83,15.07,14.71,15.07,467700,1.89,0.0
1988-08-03,15.07,15.3,14.95,14.95,1778700,1.87,-0.01058201058201047
1988-08-04,14.95,15.42,14.95,15.07,2546700,1.89,0.010695187165775222
1988-08-05,15.07,15.19,14.6,14.6,1116400,1.83,-0.03174603174603163
1988-08-08,14.95,15.07,14.6,14.6,1661800,1.83,0.0
1988-08-09,14.71,14.83,14.24,14.36,1522800,1.8,-0.016393442622950838
1988-08-10,14.48,14.48,14.01,14.01,1047600,1.75,-0.02777777777777779
1988-08-11,14.24,16.01,13.65,13.89,957900,1.74,-0.005714285714285672
1988-08-12,14.01,14.24,13.65,14.01,512400,1.75,0.005747126436781658
1988-08-15,14.24,14.24,13.18,13.42,891000,1.68,-0.040000000000000036
1988-08-16,13.18,13.77,12.95,13.65,2694600,1.71,0.017857142857142794
1988-08-17,13.77,13.89,13.65,13.89,2429400,1.74,0.01754385964912286
1988-08-18,13.77,13.89,13.65,13.65,1231200,1.71,-0.017241379310344862
1988-08-19,13.77,13.77,13.3,13.54,2723700,1.7,-0.005847953216374324
1988-08-22,13.3,13.54,12.95,13.18,1458000,1.65,-0.02941176470588236
1988-08-23,12.95,13.18,12.95,12.95,1233900,1.62,-0.018181818181818077
1988-08-24,12.95,13.3,12.95,13.18,2907300,1.65,0.01851851851851838
1988-08-25,13.3,13.3,12.95,13.07,1471500,1.64,-0.0060606060606061
