Date,Open,High,Low,Close,Volume,Adj Close,Return
1998-12-16,14.0,20.5,14.0,19.5,3811100,19.5,0.0
1998-12-17,19.75,24.13,19.31,21.69,1071600,21.69,0.11230769230769244
1998-12-18,23.5,24.0,22.12,23.0,400900,23.0,0.06039649608114339
1998-12-21,23.5,25.88,23.12,25.63,281700,25.63,0.11434782608695637
1998-12-22,25.12,25.5,24.62,25.25,71300,25.25,-0.014826375341396747
1998-12-23,25.5,25.63,24.88,25.12,167600,25.12,-0.005148514851485153
1998-12-24,24.88,25.63,24.88,25.12,88700,25.12,0.0
1998-12-28,24.94,34.25,24.94,28.0,200700,28.0,0.1146496815286624
1998-12-29,31.5,32.25,28.5,30.0,62700,30.0,0.0714285714285714
1998-12-30,29.62,30.0,26.81,27.25,70700,27.25,-0.09166666666666667
1998-12-31,27.25,30.5,26.0,30.5,67200,30.5,0.11926605504587151
1999-01-04,29.75,31.37,28.75,29.0,268400,29.0,-0.049180327868852514
1999-01-05,29.12,30.0,28.75,30.0,109900,30.0,0.034482758620689724
1999-01-06,30.5,30.5,28.88,29.87,127000,29.87,-0.0043333333333333
1999-01-07,28.63,29.5,28.25,28.37,104600,28.37,-0.050217609641781014
1999-01-08,28.75,30.38,28.69,30.25,252200,30.25,0.06626718364469508
1999-01-11,30.75,31.0,27.88,29.5,188800,29.5,-0.024793388429752095
1999-01-12,30.75,30.75,27.0,28.5,189100,28.5,-0.03389830508474578
1999-01-13,25.94,26.75,24.88,25.0,54300,25.0,-0.1228070175438597
1999-01-14,25.5,26.0,25.0,25.5,58800,25.5,0.020000000000000018
1999-01-15,25.0,28.5,25.0,28.5,38900,28.5,0.11764705882352944
1999-01-19,28.5,30.5,28.25,29.25,185400,29.25,0.026315789473684292
1999-01-20,30.0,32.0,29.56,31.0,160100,31.0,0.05982905982905984
1999-01-21,31.37,32.0,30.75,30.75,125300,30.75,-0.008064516129032251
1999-01-22,30.75,37.0,30.75,35.62,63900,35.62,0.15837398373983724
1999-01-25,34.5,35.0,31.37,32.87,143700,32.87,-0.07720381807973054
1999-01-26,32.62,35.38,32.62,34.5,77000,34.5,0.04958929114694266
1999-01-27,34.88,34.88,33.38,33.38,25900,33.38,-0.03246376811594198
1999-01-28,33.5,33.88,33.25,33.25,57300,33.25,-0.0038945476333134277
1999-01-29,33.13,33.88,31.5,31.5,48800,31.5,-0.052631578947368474
1999-02-01,33.25,33.25,32.75,33.13,9700,33.13,0.05174603174603187
1999-02-02,32.5,33.75,32.5,33.75,8700,33.75,0.018714156353757838
1999-02-03,33.25,34.0,33.25,33.75,62400,33.75,0.0
1999-02-04,34.0,35.94,33.5,34.88,60300,34.88,0.03348148148148167
1999-02-05,34.88,36.5,34.88,35.87,57900,35.87,0.028383027522935533
1999-02-08,36.0,43.5,35.62,38.25,86900,38.25,0.06635071090047395
