Date,Open,High,Low,Close,Volume,Adj Close,Return
1982-01-04,40.13,40.38,39.75,39.88,2069200,1.45,0.0
1982-01-05,38.88,39.63,38.13,38.38,4173900,1.39,-0.04137931034482767
1982-01-06,38.13,39.38,36.88,37.63,3855900,1.37,-0.014388489208632893
1982-01-07,37.25,37.63,36.88,37.25,1511200,1.35,-0.014598540145985384
1982-01-08,37.13,37.63,36.5,36.5,1861400,1.32,-0.022222222222222254
1982-01-11,35.75,36.63,34.75,35.0,2428100,1.27,-0.037878787878787956
1982-01-12,34.63,35.38,33.88,34.38,3504100,1.25,-0.015748031496062964
1982-01-13,34.75,35.25,34.13,34.25,1692200,1.24,-0.008000000000000007
1982-01-14,34.5,35.25,33.75,35.25,2596600,1.28,0.032258064516129004
1982-01-15,37.38,39.25,35.5,38.75,7508700,1.41,0.1015625
1982-01-18,39.0,40.13,37.75,40.13,7078200,1.46,0.03546099290780136
1982-01-19,39.75,40.75,38.75,39.0,7444200,1.41,-0.03424657534246578
1982-01-20,37.63,38.63,36.63,37.13,5527600,1.35,-0.04255319148936154
1982-01-21,37.88,38.38,37.25,37.88,7028600,1.37,0.014814814814814836
1982-01-22,38.13,38.5,37.63,37.75,2916900,1.37,0.0
1982-01-25,38.13,39.13,37.13,39.13,3098700,1.42,0.03649635036496335
1982-01-26,39.25,40.0,38.5,38.75,3584300,1.41,-0.007042253521126751
1982-01-27,39.0,39.5,38.5,39.0,2958600,1.41,0.0
1982-01-28,39.13,39.5,38.63,39.25,4318700,1.42,0.007092198581560183
1982-01-29,39.5,40.13,38.88,39.0,6637400,1.41,-0.007042253521126751
1982-02-01,37.88,38.5,37.13,37.88,2565100,1.39,-0.014184397163120588
1982-02-02,37.5,37.88,37.0,37.0,2463500,1.36,-0.021582733812949506
1982-02-03,36.38,37.38,35.38,35.63,2934200,1.31,-0.03676470588235292
1982-02-04,36.25,37.0,35.38,36.88,4710600,1.36,0.03816793893129766
1982-02-05,36.75,37.38,36.13,37.0,4278500,1.36,0.0
1982-02-08,36.0,37.0,35.0,35.13,2663500,1.29,-0.05147058823529416
1982-02-09,34.5,35.13,33.88,34.38,4531200,1.26,-0.023255813953488413
1982-02-10,34.88,35.13,34.5,34.75,3217600,1.28,0.015873015873015817
1982-02-11,36.75,38.5,34.88,38.5,5796800,1.42,0.109375
1982-02-12,37.25,38.5,35.88,36.88,8000600,1.36,-0.042253521126760396
1982-02-16,36.38,37.25,35.5,37.0,3146700,1.36,0.0
1982-02-17,35.88,36.88,34.75,35.25,3310400,1.3,-0.044117647058823595
1982-02-18,35.25,35.75,34.63,34.88,2898800,1.28,-0.015384615384615441
1982-02-19,34.0,35.13,32.88,33.5,4030600,1.23,-0.0390625
1982-02-22,31.87,33.63,30.12,30.75,3710300,1.13,-0.08130081300813019
1982-02-23,32.25,33.75,30.75,33.25,4094400,1.22,0.07964601769911517
1982-02-24,33.38,34.25,32.5,33.13,5476500,1.22,0.0
1982-02-25,32.38,33.13,31.62,32.0,2432800,1.18,-0.032786885245901676
1982-02-26,32.13,32.5,31.62,32.13,2063700,1.18,0.0
1982-03-01,31.87,32.25,31.5,31.5,2313200,1.16,-0.016949152542372947
1982-03-02,31.12,31.87,30.25,30.5,2203000,1.12,-0.0344827586206895
1982-03-03,29.62,30.12,29.0,29.62,4190400,1.09,-0.0267857142857143
1982-03-04,29.87,30.25,29.37,29.62,4446200,1.09,0.0
1982-03-05,29.5,30.12,28.75,29.12,2695700,1.07,-0.01834862385321101
1982-03-08,28.62,29.62,27.62,27.87,2157400,1.03,-0.03738317757009346
1982-03-09,28.0,29.0,27.0,28.25,2588700,1.04,0.009708737864077666
1982-03-10,28.0,28.37,27.5,27.5,3031800,1.01,-0.028846153846153855
1982-03-11,27.62,28.0,27.12,27.62,4148700,1.02,0.00990099009900991
1982-03-12,27.75,28.25,27.25,28.25,2238400,1.04,0.019607843137254832
1982-03-15,29.0,30.0,28.0,30.0,2013300,1.1,0.05769230769230771
1982-03-16,29.37,29.87,28.75,29.5,1831500,1.09,-0.00909090909090915
1982-03-17,28.37,28.87,27.87,28.5,1000400,1.05,-0.03669724770642202
1982-03-18,28.75,29.0,28.37,28.75,1294700,1.06,0.00952380952380949
1982-03-19,28.87,29.25,28.5,29.0,1327800,1.07,0.009433962264151052
1982-03-22,29.37,29.62,29.0,29.25,1268800,1.08,0.009345794392523477
1982-03-23,29.0,29.37,28.62,28.87,1098000,1.06,-0.01851851851851849
1982-03-24,29.37,29.62,29.0,29.5,3734700,1.09,0.028301886792452935
1982-03-25,29.25,29.5,29.0,29.0,1756000,1.07,-0.01834862385321101
1982-03-26,29.12,29.75,28.5,29.37,1722100,1.08,0.009345794392523477
1982-03-29,29.62,30.25,28.87,30.25,1342000,1.11,0.0277777777777779
1982-03-30,30.0,30.5,29.5,30.25,2434400,1.11,0.0
1982-03-31,30.75,31.12,30.25,30.87,2202200,1.14,0.02702702702702675
1982-04-01,31.25,31.75,30.75,31.62,2661900,1.16,0.01754385964912286
1982-04-02,32.25,32.63,31.75,32.63,1929900,1.2,0.034482758620689724
1982-04-05,32.38,32.75,32.0,32.38,2044800,1.19,-0.008333333333333304
1982-04-06,32.0,32.38,31.5,32.25,4173900,1.19,0.0
1982-04-07,32.13,32.5,31.62,31.87,1360100,1.17,-0.01680672268907568
1982-04-08,32.5,32.88,32.13,32.5,1422200,1.2,0.025641025641025772
1982-04-12,32.13,32.63,31.5,31.62,1116100,1.16,-0.033333333333333326
1982-04-13,31.37,31.87,30.75,30.75,1456100,1.13,-0.025862068965517238
1982-04-14,31.12,31.37,30.87,31.25,1312800,1.15,0.017699115044247815
1982-04-15,31.62,32.25,31.0,32.0,1554500,1.18,0.026086956521739202
1982-04-16,32.13,32.38,31.75,31.75,2216400,1.17,-0.008474576271186418
1982-04-19,31.12,31.75,30.37,30.5,1730800,1.12,-0.04273504273504258
1982-04-20,30.37,30.62,30.12,30.25,1189300,1.11,-0.008928571428571397
1982-04-21,30.5,31.0,30.0,30.75,1086200,1.13,0.018018018018017834
1982-04-22,31.5,31.87,31.0,31.75,1765400,1.17,0.03539823008849563
1982-04-23,32.38,32.75,31.87,32.5,3086900,1.2,0.025641025641025772
1982-04-26,32.13,32.63,31.5,31.87,2420300,1.17,-0.025000000000000022
1982-04-27,32.0,32.25,31.75,32.0,2074700,1.18,0.008547008547008517
1982-04-28,31.75,32.0,31.5,31.62,1167200,1.16,-0.016949152542372947
1982-04-29,31.5,31.75,31.12,31.12,867400,1.15,-0.008620689655172376
1982-04-30,31.37,31.62,31.12,31.5,2635900,1.16,0.008695652173912993
1982-05-03,30.87,31.12,30.62,30.75,1744200,1.15,-0.008620689655172376
1982-05-04,30.75,31.12,30.37,30.62,2181000,1.15,0.0
1982-05-05,31.12,31.5,30.62,31.25,3184500,1.17,0.01739130434782621
1982-05-06,32.0,32.5,31.37,32.5,5733100,1.22,0.042735042735042805
1982-05-07,33.25,33.63,32.75,33.25,4443000,1.25,0.024590163934426146
1982-05-10,33.0,33.38,32.5,32.88,2336800,1.23,-0.016000000000000014
1982-05-11,33.25,33.75,32.75,33.5,3727600,1.25,0.016260162601626105
1982-05-12,33.25,33.75,32.75,33.0,1574900,1.24,-0.008000000000000007
1982-05-13,32.88,33.13,32.63,32.63,1368700,1.22,-0.016129032258064502
1982-05-14,32.25,32.63,31.87,32.0,777600,1.2,-0.016393442622950838
