Date,Open,High,Low,Close,Volume,Adj Close,Return
1994-03-17,13.5,14.87,13.0,14.62,15694800,1.22,0.0
1994-03-18,15.0,15.25,14.38,15.25,3015600,1.27,0.040983606557376984
1994-03-21,15.25,15.75,14.87,15.25,764400,1.27,0.0
1994-03-22,15.75,16.0,15.25,15.25,1207200,1.27,0.0
1994-03-23,15.5,15.5,15.0,15.25,536400,1.27,0.0
1994-03-24,15.38,15.38,15.0,15.38,434400,1.28,0.007874015748031482
1994-03-25,15.38,16.0,15.0,16.0,430800,1.33,0.0390625
1994-03-28,16.0,16.0,15.0,15.13,806400,1.26,-0.052631578947368474
1994-03-29,15.25,15.25,14.25,14.25,283200,1.19,-0.05555555555555558
1994-03-30,14.25,14.75,14.25,14.5,381600,1.21,0.01680672268907557
1994-03-31,14.38,14.38,13.5,13.88,328800,1.16,-0.04132231404958686
1994-04-04,13.75,13.75,13.25,13.63,693600,1.14,-0.017241379310344862
1994-04-05,13.63,14.0,13.5,14.0,162000,1.17,0.026315789473684292
1994-04-06,14.12,14.5,14.0,14.12,145200,1.18,0.008547008547008517
1994-04-07,14.5,14.75,14.38,14.75,32400,1.23,0.04237288135593231
1994-04-08,14.75,15.0,14.5,14.62,63600,1.22,-0.008130081300813052
1994-04-11,15.0,15.0,14.62,15.0,49200,1.25,0.024590163934426146
1994-04-12,15.0,15.13,14.75,14.87,280800,1.24,-0.008000000000000007
1994-04-13,14.87,14.87,14.5,14.87,248400,1.24,0.0
1994-04-14,14.5,14.75,14.5,14.75,6000,1.23,-0.008064516129032251
1994-04-15,14.62,14.62,14.25,14.62,276000,1.22,-0.008130081300813052
1994-04-18,14.25,14.62,14.12,14.5,294000,1.21,-0.008196721311475419
1994-04-19,14.5,14.5,13.75,14.25,140400,1.19,-0.016528925619834767
1994-04-20,14.0,14.25,14.0,14.0,25200,1.17,-0.01680672268907568
1994-04-21,14.0,14.12,13.75,14.0,1118400,1.17,0.0
1994-04-22,13.75,14.0,13.75,14.0,171600,1.17,0.0
1994-04-25,14.0,14.25,13.81,14.0,1605600,1.17,0.0
