Date,Open,High,Low,Close,Volume,Adj Close,Return
2013-08-02,25.4,25.5,25.4,25.5,200,25.5,0.0
2013-08-05,25.61,26.25,25.55,26.0,4200,26.0,0.019607843137254832
2013-08-06,26.0,26.0,26.0,26.0,0,26.0,0.0
2013-08-07,25.55,25.7,25.55,25.65,4800,25.65,-0.013461538461538525
2013-08-08,32.82,32.82,26.2,27.0,500,27.0,0.052631578947368585
2013-08-09,27.0,27.0,27.0,27.0,0,27.0,0.0
2013-08-12,27.0,27.0,27.0,27.0,0,27.0,0.0
2013-08-13,27.0,27.0,27.0,27.0,0,27.0,0.0
2013-08-14,25.75,25.75,25.5,25.5,1900,25.5,-0.05555555555555558
2013-08-15,25.5,25.5,25.5,25.5,0,25.5,0.0
2013-08-16,26.48,26.48,26.48,26.48,400,26.48,0.038431372549019516
2013-08-19,26.48,26.48,26.48,26.48,0,26.48,0.0
2013-08-20,26.0,26.0,25.5,25.5,4200,25.5,-0.037009063444108814
2013-08-21,25.5,25.5,25.5,25.5,100,25.5,0.0
2013-08-22,26.0,26.0,26.0,26.0,500,26.0,0.019607843137254832
2013-08-23,25.5,25.5,25.5,25.5,2100,25.5,-0.019230769230769273
2013-08-26,25.5,25.5,25.5,25.5,200,25.5,0.0
2013-08-27,25.5,25.5,25.5,25.5,0,25.5,0.0
2013-08-28,25.26,25.28,25.2,25.26,12000,25.26,-0.009411764705882342
2013-08-29,25.3,25.4,25.26,25.4,9100,25.4,0.005542359461599311
2013-08-30,25.79,25.8,25.77,25.8,2200,25.8,0.015748031496063186
2013-09-03,25.8,25.8,25.8,25.8,900,25.8,0.0
2013-09-04,25.5,26.0,25.5,26.0,4500,26.0,0.007751937984496138
2013-09-05,26.0,26.0,25.7,26.0,2100,26.0,0.0
2013-09-06,26.0,26.0,26.0,26.0,0,26.0,0.0
2013-09-09,25.5,26.1,25.5,26.0,3600,26.0,0.0
2013-09-10,25.53,26.0,25.53,26.0,3100,26.0,0.0
2013-09-11,26.0,26.0,26.0,26.0,0,26.0,0.0
2013-09-12,26.0,26.0,26.0,26.0,300,26.0,0.0
2013-09-13,26.0,26.0,25.51,25.71,5100,25.71,-0.01115384615384607
2013-09-16,25.8,25.8,25.7,25.7,1600,25.7,-0.000388953714508089
2013-09-17,25.5,25.8,25.5,25.6,7400,25.6,-0.0038910505836574627
2013-09-18,26.0,26.0,25.75,25.75,1600,25.75,0.005859375
2013-09-19,25.51,25.72,25.5,25.72,4700,25.72,-0.0011650485436893732
2013-09-20,25.56,25.93,25.5,25.55,8900,25.55,-0.006609642301710683
2013-09-23,25.52,26.0,25.51,25.55,2700,25.55,0.0
2013-09-24,25.5,25.79,25.5,25.53,2200,25.53,-0.0007827788649705791
2013-09-25,25.55,25.55,25.51,25.51,2600,25.51,-0.0007833920877399203
2013-09-26,25.51,25.63,25.5,25.5,6000,25.5,-0.00039200313602516523
2013-09-27,25.75,25.75,25.55,25.55,2100,25.55,0.0019607843137254832
2013-09-30,25.51,25.65,25.5,25.65,2800,25.65,0.003913894324853118
2013-10-01,25.51,25.8,25.51,25.8,1400,25.8,0.005847953216374435
2013-10-02,25.55,25.55,25.55,25.55,500,25.55,-0.009689922480620172
2013-10-03,25.55,25.55,25.55,25.55,0,25.55,0.0
2013-10-04,25.75,25.75,25.75,25.75,200,25.75,0.007827788649706457
2013-10-07,25.75,25.75,25.75,25.75,400,25.75,0.0
2013-10-08,25.55,26.0,25.55,26.0,1100,26.0,0.009708737864077666
2013-10-09,25.5,25.64,25.5,25.64,1600,25.64,-0.013846153846153841
2013-10-10,25.5,25.5,25.5,25.5,400,25.5,-0.005460218408736339
2013-10-11,25.5,25.5,25.5,25.5,0,25.5,0.0
2013-10-14,25.56,25.56,25.56,25.56,300,25.56,0.0023529411764704466
2013-10-15,25.55,25.55,25.55,25.55,600,25.55,-0.0003912363067292146
2013-10-16,25.58,25.59,25.58,25.59,500,25.59,0.0015655577299411583
2013-10-17,26.0,26.0,25.59,25.65,2700,25.65,0.0023446658851113966
2013-10-18,25.65,25.65,25.65,25.65,0,25.65,0.0
2013-10-21,25.65,25.65,25.65,25.65,0,25.65,0.0
2013-10-22,25.75,25.75,25.47,25.47,23500,25.47,-0.007017543859649145
2013-10-23,25.85,25.85,25.85,25.85,4500,25.85,0.01491951315272888
2013-10-24,25.55,25.55,25.55,25.55,2000,25.55,-0.011605415860735047
2013-10-25,25.57,25.57,25.57,25.57,1000,25.57,0.0007827788649705791
2013-10-28,25.55,25.57,25.52,25.57,1100,25.57,0.0
2013-10-29,25.85,25.85,25.51,25.51,2100,25.51,-0.002346499804458335
2013-10-30,25.55,25.55,25.5,25.55,3100,25.55,0.0015680125441002168
2013-10-31,25.56,25.56,25.46,25.46,18600,25.46,-0.003522504892367939
2013-11-01,25.5,25.5,25.46,25.5,2100,25.5,0.0015710919088767206
2013-11-04,25.5,25.5,25.5,25.5,1700,25.5,0.0
2013-11-05,25.54,25.69,25.54,25.69,3200,25.69,0.0074509803921569695
2013-11-06,25.51,25.65,25.51,25.65,2300,25.65,-0.0015570260801869296
2013-11-07,25.52,25.56,25.52,25.56,1300,25.56,-0.0035087719298245723
2013-11-08,25.52,25.55,25.52,25.52,5000,25.52,-0.0015649452269169695
2013-11-11,25.74,25.74,25.72,25.74,2000,25.74,0.008620689655172376
2013-11-12,25.53,25.53,25.53,25.53,400,25.53,-0.008158508158508049
2013-11-13,25.79,25.79,25.79,25.79,400,25.79,0.010184097140618853
2013-11-14,25.79,25.79,25.79,25.79,900,25.79,0.0
2013-11-15,25.76,25.76,25.61,25.75,2900,25.75,-0.0015509887553314394
2013-11-18,25.75,25.75,25.56,25.56,3400,25.56,-0.00737864077669903
2013-11-19,25.57,25.65,25.57,25.65,800,25.65,0.0035211267605632646
2013-11-20,25.65,25.8,25.65,25.65,2600,25.65,0.0
2013-11-21,25.65,25.65,25.65,25.65,0,25.65,0.0
2013-11-22,25.65,25.65,25.65,25.65,0,25.65,0.0
2013-11-25,25.6,26.0,25.6,26.0,1400,26.0,0.013645224171540127
2013-11-26,25.75,25.75,25.75,25.75,300,25.75,-0.009615384615384581
2013-11-27,26.0,26.0,26.0,26.0,2800,26.0,0.009708737864077666
2013-11-29,26.0,26.0,25.76,25.76,900,25.76,-0.009230769230769154
2013-12-02,25.71,25.71,25.7,25.7,700,25.7,-0.0023291925465839247
2013-12-03,25.75,25.75,25.75,25.75,600,25.75,0.0019455252918287869
2013-12-04,25.99,25.99,25.99,25.99,500,25.99,0.009320388349514541
2013-12-05,25.8,25.8,25.8,25.8,500,25.8,-0.00731050404001532
2013-12-06,25.8,25.8,25.8,25.8,0,25.8,0.0
2013-12-09,25.8,25.99,25.8,25.99,1100,25.99,0.0073643410852712865
