Date,Open,High,Low,Close,Volume,Adj Close,Return
1970-01-02,51.13,52.25,51.13,52.25,526400,0.68,0.0
1970-01-05,52.25,52.88,52.13,52.5,1121600,0.68,0.0
1970-01-06,52.5,52.75,51.5,51.75,553600,0.67,-0.014705882352941235
1970-01-07,51.75,51.88,51.13,51.63,451200,0.67,0.0
1970-01-08,52.25,53.0,52.25,52.63,635200,0.68,0.014925373134328401
1970-01-09,52.63,52.75,52.38,52.75,515200,0.69,0.014705882352941124
1970-01-12,52.75,53.13,52.0,52.38,334400,0.68,-0.014492753623188248
1970-01-13,52.38,52.38,51.5,51.63,372800,0.67,-0.014705882352941235
1970-01-14,51.63,51.63,49.63,50.0,1124800,0.65,-0.02985074626865669
1970-01-15,50.0,50.25,49.63,49.88,336000,0.65,0.0
1970-01-16,49.88,50.0,49.38,49.88,425600,0.65,0.0
1970-01-19,49.88,49.88,49.38,49.75,508800,0.65,0.0
1970-01-20,49.75,49.75,49.13,49.25,588800,0.64,-0.015384615384615441
1970-01-21,49.25,49.38,48.75,48.88,454400,0.63,-0.015625
1970-01-22,48.88,49.5,48.5,49.0,640000,0.64,0.015873015873015817
1970-01-23,49.0,49.0,48.5,48.75,427200,0.63,-0.015625
1970-01-26,48.75,48.75,47.63,48.38,732800,0.63,0.0
1970-01-27,48.25,48.25,47.13,48.25,540800,0.63,0.0
1970-01-28,48.25,48.5,46.63,46.63,499200,0.61,-0.031746031746031744
1970-01-29,46.63,47.0,46.0,46.5,696000,0.6,-0.016393442622950838
1970-01-30,46.5,47.0,45.75,46.13,817600,0.6,0.0
1970-02-02,46.13,46.5,45.75,46.0,937600,0.6,0.0
1970-02-03,46.0,46.13,45.5,45.63,1971200,0.59,-0.01666666666666672
1970-02-04,45.63,46.13,45.63,46.0,534400,0.61,0.033898305084745894
1970-02-05,46.0,46.0,45.63,46.0,337600,0.61,0.0
1970-02-06,46.0,46.0,45.63,45.75,272000,0.6,-0.016393442622950838
1970-02-09,45.75,46.0,45.63,45.63,558400,0.6,0.0
1970-02-10,45.63,45.88,43.25,43.25,996800,0.57,-0.050000000000000044
1970-02-11,43.25,44.25,42.25,44.25,878400,0.58,0.01754385964912286
1970-02-12,44.25,44.75,42.75,43.25,816000,0.57,-0.017241379310344862
1970-02-13,43.25,44.13,42.63,43.5,492800,0.57,0.0
1970-02-16,43.5,44.0,43.13,44.0,488000,0.58,0.01754385964912286
1970-02-17,44.0,44.13,43.38,43.75,451200,0.58,0.0
1970-02-18,44.0,45.0,44.0,44.88,1028800,0.59,0.01724137931034475
1970-02-19,45.0,45.75,45.0,45.38,824000,0.6,0.016949152542372836
1970-02-20,45.38,46.0,45.38,46.0,1166400,0.61,0.016666666666666607
1970-02-24,46.0,46.0,45.63,46.0,1043200,0.61,0.0
1970-02-25,46.25,47.5,46.25,47.5,593600,0.63,0.032786885245901676
1970-02-26,47.5,48.38,47.38,48.0,862400,0.63,0.0
1970-02-27,48.0,48.5,47.5,47.5,1246400,0.63,0.0
1970-03-02,47.5,47.5,46.25,46.63,518400,0.61,-0.031746031746031744
1970-03-03,46.63,47.0,45.63,46.38,544000,0.61,0.0
1970-03-04,46.38,46.88,45.88,46.0,422400,0.61,0.0
1970-03-05,45.88,45.88,45.38,45.75,684800,0.6,-0.016393442622950838
1970-03-06,45.75,46.13,45.5,46.13,481600,0.61,0.016666666666666607
1970-03-09,46.13,46.75,45.5,45.88,524800,0.61,0.0
1970-03-10,45.88,46.38,45.63,46.13,430400,0.61,0.0
1970-03-11,46.13,46.38,46.0,46.13,843200,0.61,0.0
1970-03-12,46.13,46.13,45.63,45.88,539200,0.61,0.0
1970-03-13,45.88,45.88,44.75,45.25,688000,0.6,-0.016393442622950838
1970-03-16,44.88,44.88,43.25,44.88,732800,0.59,-0.01666666666666672
1970-03-17,44.88,45.13,44.25,44.88,564800,0.59,0.0
1970-03-18,44.88,45.75,44.63,45.25,436800,0.6,0.016949152542372836
1970-03-19,45.25,45.25,44.13,44.13,827200,0.58,-0.033333333333333326
1970-03-20,44.13,44.25,43.75,44.25,372800,0.58,0.0
1970-03-23,44.0,44.0,43.38,43.75,539200,0.58,0.0
1970-03-24,43.75,44.5,43.5,44.13,355200,0.58,0.0
1970-03-25,44.38,45.88,44.38,45.0,987200,0.59,0.01724137931034475
1970-03-26,44.88,44.88,43.5,44.0,1644800,0.58,-0.016949152542372947
1970-03-30,44.0,44.0,43.63,43.88,628800,0.58,0.0
1970-03-31,43.88,44.63,43.75,44.5,579200,0.59,0.01724137931034475
1970-04-01,44.5,45.38,44.5,45.38,1028800,0.6,0.016949152542372836
1970-04-02,45.38,45.38,44.13,44.5,1150400,0.59,-0.01666666666666672
1970-04-03,44.5,45.0,44.25,45.0,449600,0.59,0.0
1970-04-06,45.0,45.25,44.63,45.13,384000,0.6,0.016949152542372836
1970-04-07,45.13,45.13,44.5,44.5,422400,0.59,-0.01666666666666672
1970-04-08,44.5,44.88,44.38,44.88,321600,0.59,0.0
1970-04-09,44.75,44.75,44.0,44.75,520000,0.59,0.0
1970-04-10,44.75,44.75,44.38,44.5,360000,0.59,0.0
1970-04-13,44.5,44.75,44.13,44.25,408000,0.58,-0.016949152542372947
1970-04-14,44.25,44.25,43.75,43.88,563200,0.58,0.0
1970-04-15,43.88,44.0,43.63,43.88,385600,0.58,0.0
1970-04-16,43.88,43.88,43.0,43.25,816000,0.57,-0.017241379310344862
1970-04-17,43.25,43.63,43.0,43.38,286400,0.57,0.0
1970-04-20,43.38,43.75,43.25,43.38,350400,0.57,0.0
1970-04-21,43.38,43.63,43.13,43.38,302400,0.57,0.0
1970-04-22,43.38,43.38,42.5,43.13,440000,0.57,0.0
1970-04-23,43.13,43.25,42.5,43.0,516800,0.57,0.0
1970-04-24,43.0,43.25,42.25,42.38,548800,0.56,-0.01754385964912264
1970-04-27,42.38,42.75,42.0,42.0,582400,0.55,-0.017857142857142905
1970-04-28,42.0,42.38,41.0,41.38,860800,0.55,0.0
1970-04-29,41.38,41.88,40.0,41.75,873600,0.55,0.0
1970-04-30,41.75,42.38,41.38,41.75,430400,0.55,0.0
1970-05-01,41.75,41.75,40.5,41.75,707200,0.55,0.0
1970-05-04,41.75,41.88,40.5,41.0,537600,0.54,-0.018181818181818188
1970-05-05,40.88,40.88,40.13,40.25,633600,0.54,0.0
1970-05-06,40.25,40.5,39.75,40.13,1187200,0.54,0.0
1970-05-07,40.13,40.38,39.63,40.13,563200,0.54,0.0
1970-05-08,40.13,40.38,39.88,40.0,531200,0.54,0.0
1970-05-11,40.0,40.13,39.5,39.88,580800,0.54,0.0
1970-05-12,39.88,40.5,39.25,39.88,913600,0.54,0.0
1970-05-13,39.88,40.0,38.63,39.63,742400,0.53,-0.01851851851851849
1970-05-14,39.63,40.88,39.5,40.25,846400,0.54,0.018867924528301883
1970-05-15,40.25,41.0,39.88,41.0,449600,0.55,0.0185185185185186
1970-05-18,41.0,41.5,40.5,41.5,518400,0.56,0.0181818181818183
1970-05-19,41.5,41.88,40.75,40.75,273600,0.55,-0.017857142857142905
1970-05-20,40.75,41.0,40.0,40.25,337600,0.54,-0.018181818181818188
1970-05-21,40.25,40.5,39.5,39.75,577600,0.53,-0.01851851851851849
1970-05-22,39.75,40.88,39.63,39.88,348800,0.54,0.018867924528301883
1970-05-25,39.88,40.0,39.5,39.75,334400,0.53,-0.01851851851851849
1970-05-26,39.75,39.88,39.13,39.75,532800,0.53,0.0
1970-05-27,39.75,41.75,39.63,41.0,625600,0.55,0.037735849056603765
1970-05-28,41.13,42.63,41.13,42.5,505600,0.57,0.036363636363636154
1970-05-29,42.5,43.63,42.13,43.5,544000,0.58,0.01754385964912286
1970-06-01,43.5,44.5,43.13,44.38,537600,0.6,0.034482758620689724
1970-06-02,44.38,44.63,43.0,43.88,435200,0.59,-0.01666666666666672
1970-06-03,43.88,44.88,43.5,44.63,420800,0.6,0.016949152542372836
1970-06-04,44.63,45.0,43.13,43.13,587200,0.58,-0.033333333333333326
1970-06-05,42.88,42.88,42.0,42.13,382400,0.57,-0.017241379310344862
1970-06-08,42.13,42.5,41.63,41.88,334400,0.56,-0.01754385964912264
1970-06-09,41.75,41.75,41.0,41.13,260800,0.55,-0.017857142857142905
1970-06-10,41.13,41.38,40.63,41.13,406400,0.55,0.0
1970-06-11,41.13,41.25,40.25,41.0,353600,0.55,0.0
1970-06-12,41.0,41.38,40.63,41.13,329600,0.55,0.0
1970-06-15,41.0,41.0,40.63,41.0,294400,0.55,0.0
1970-06-16,41.0,42.38,40.63,41.88,491200,0.56,0.0181818181818183
1970-06-17,41.88,42.63,41.25,41.63,376000,0.56,0.0
1970-06-18,41.63,42.13,41.0,42.13,452800,0.57,0.01785714285714257
1970-06-19,42.13,42.38,41.63,41.88,355200,0.56,-0.01754385964912264
1970-06-22,41.75,41.75,41.0,41.38,288000,0.56,0.0
1970-06-23,41.38,41.5,41.0,41.13,321600,0.55,-0.017857142857142905
1970-06-24,40.88,40.88,40.0,40.38,448000,0.54,-0.018181818181818188
1970-06-25,40.38,40.5,40.0,40.25,300800,0.54,0.0
1970-06-26,40.25,40.38,40.0,40.38,291200,0.54,0.0
1970-06-29,40.25,40.25,40.0,40.25,238400,0.54,0.0
1970-06-30,40.25,40.38,40.0,40.25,313600,0.54,0.0
1970-07-01,40.25,40.38,39.75,40.13,321600,0.54,0.0
1970-07-02,40.13,40.38,39.75,39.88,307200,0.54,0.0
1970-07-06,39.88,39.88,38.63,38.88,907200,0.52,-0.03703703703703709
1970-07-07,38.88,39.0,38.25,38.5,545600,0.52,0.0
1970-07-08,38.5,38.88,38.0,38.88,585600,0.52,0.0
1970-07-09,38.88,39.25,38.63,39.0,529600,0.52,0.0
1970-07-10,39.25,39.75,39.25,39.63,556800,0.53,0.019230769230769162
1970-07-13,39.75,40.0,39.75,40.0,464000,0.54,0.018867924528301883
1970-07-14,40.0,40.25,39.63,39.75,387200,0.53,-0.01851851851851849
1970-07-15,39.75,40.25,39.63,39.88,366400,0.54,0.018867924528301883
1970-07-16,40.25,41.13,40.25,41.0,748800,0.55,0.0185185185185186
1970-07-17,41.13,42.25,41.13,42.25,838400,0.57,0.036363636363636154
1970-07-20,42.25,42.75,42.13,42.5,811200,0.57,0.0
1970-07-21,42.5,43.0,42.13,42.5,716800,0.57,0.0
1970-07-22,42.5,42.88,42.0,42.38,459200,0.57,0.0
1970-07-23,42.38,44.5,42.25,44.0,1011200,0.59,0.03508771929824572
1970-07-24,44.0,44.88,43.25,43.5,590400,0.58,-0.016949152542372947
1970-07-27,43.5,43.88,43.25,43.5,475200,0.58,0.0
1970-07-28,43.5,43.63,43.0,43.0,492800,0.58,0.0
1970-07-29,43.0,43.63,43.0,43.13,344000,0.58,0.0
1970-07-30,43.25,43.88,43.25,43.75,822400,0.59,0.01724137931034475
1970-07-31,43.88,44.5,43.88,44.0,504000,0.59,0.0
1970-08-03,44.0,44.0,43.0,43.63,412800,0.59,0.0
1970-08-04,43.25,43.25,42.25,43.25,304000,0.59,0.0
1970-08-05,43.25,43.5,42.63,43.13,296000,0.59,0.0
1970-08-06,43.13,43.38,42.63,43.13,312000,0.59,0.0
1970-08-07,43.13,44.75,43.0,44.5,537600,0.61,0.033898305084745894
1970-08-10,44.5,44.75,43.13,43.75,630400,0.6,-0.016393442622950838
1970-08-11,43.75,43.75,43.25,43.38,187200,0.59,-0.01666666666666672
1970-08-12,43.38,43.5,43.0,43.5,248000,0.59,0.0
1970-08-13,43.5,43.5,42.88,43.38,256000,0.59,0.0
1970-08-14,43.38,43.63,42.63,42.63,316800,0.58,-0.016949152542372947
1970-08-17,42.63,42.75,42.13,42.5,462400,0.58,0.0
1970-08-18,42.5,43.5,42.5,43.5,716800,0.59,0.01724137931034475
1970-08-19,43.75,45.13,43.75,44.5,1286400,0.61,0.033898305084745894
1970-08-20,44.63,46.13,44.63,46.13,1256000,0.63,0.032786885245901676
1970-08-21,46.13,46.63,46.13,46.5,992000,0.63,0.0
1970-08-24,46.63,48.0,46.63,47.38,1440000,0.65,0.031746031746031855
1970-08-25,47.38,47.63,46.63,47.5,484800,0.65,0.0
1970-08-26,47.38,47.38,46.63,46.63,585600,0.64,-0.015384615384615441
1970-08-27,46.63,47.25,46.13,47.25,796800,0.64,0.0
1970-08-28,47.25,47.25,46.63,47.25,456000,0.64,0.0
1970-08-31,47.25,47.5,47.25,47.5,412800,0.65,0.015625
1970-09-01,47.5,47.5,47.0,47.38,611200,0.65,0.0
1970-09-02,47.38,47.5,46.75,47.5,475200,0.65,0.0
1970-09-03,47.5,47.88,47.38,47.75,550400,0.65,0.0
1970-09-04,47.75,48.0,47.5,47.63,568000,0.65,0.0
1970-09-08,47.63,47.88,46.75,47.75,585600,0.65,0.0
1970-09-09,47.75,48.0,47.38,47.63,436800,0.65,0.0
1970-09-10,47.5,47.5,46.5,46.5,403200,0.63,-0.03076923076923077
1970-09-11,46.5,47.0,46.38,46.63,328000,0.64,0.015873015873015817
1970-09-14,46.63,46.88,46.0,46.25,300800,0.63,-0.015625
1970-09-15,46.25,46.38,45.63,45.88,297600,0.63,0.0
1970-09-16,45.88,45.88,45.13,45.5,1110400,0.62,-0.015873015873015928
1970-09-17,45.5,46.0,45.38,45.63,692800,0.62,0.0
1970-09-18,45.63,47.38,45.63,46.75,1400000,0.64,0.032258064516129004
1970-09-21,46.75,46.75,46.0,46.0,593600,0.63,-0.015625
1970-09-22,45.63,45.63,45.0,45.13,593600,0.62,-0.015873015873015928
1970-09-23,45.13,47.13,45.0,46.13,1156800,0.63,0.016129032258064502
1970-09-24,46.13,46.75,46.13,46.5,1000000,0.63,0.0
1970-09-25,46.5,46.88,46.25,46.75,552000,0.64,0.015873015873015817
1970-09-28,46.75,46.75,46.13,46.63,419200,0.64,0.0
1970-09-29,46.63,46.75,46.0,46.38,596800,0.63,-0.015625
1970-09-30,46.25,46.25,45.5,45.63,558400,0.62,-0.015873015873015928
1970-10-01,45.63,46.0,45.25,46.0,262400,0.63,0.016129032258064502
1970-10-02,46.0,47.0,46.0,46.88,758400,0.64,0.015873015873015817
1970-10-05,47.0,47.63,47.0,47.63,632000,0.65,0.015625
1970-10-06,47.63,48.38,47.5,48.25,912000,0.66,0.01538461538461533
1970-10-07,48.25,48.63,48.0,48.63,769600,0.66,0.0
1970-10-08,48.63,49.63,48.38,48.63,1048000,0.66,0.0
1970-10-09,48.63,48.75,47.75,47.75,990400,0.65,-0.015151515151515138
1970-10-12,47.75,47.88,47.25,47.63,228800,0.65,0.0
1970-10-13,47.63,47.75,47.25,47.38,531200,0.65,0.0
1970-10-14,47.38,48.0,47.38,48.0,376000,0.65,0.0
1970-10-15,48.0,48.63,47.88,48.63,454400,0.66,0.01538461538461533
1970-10-16,48.63,48.88,48.13,48.63,377600,0.66,0.0
1970-10-19,48.5,48.5,47.63,47.63,409600,0.65,-0.015151515151515138
1970-10-20,47.63,48.0,47.13,47.25,348800,0.64,-0.015384615384615441
1970-10-21,47.38,48.13,47.38,48.0,464000,0.65,0.015625
1970-10-22,48.0,48.13,47.63,47.63,377600,0.65,0.0
1970-10-23,47.63,48.0,47.5,48.0,536000,0.65,0.0
1970-10-26,48.0,48.0,47.13,47.13,388800,0.64,-0.015384615384615441
1970-10-27,47.13,47.13,46.25,47.0,441600,0.64,0.0
1970-10-28,47.0,47.5,46.13,47.5,667200,0.65,0.015625
1970-10-29,47.5,48.0,47.25,47.75,737600,0.65,0.0
1970-10-30,47.75,48.13,47.25,48.13,654400,0.66,0.01538461538461533
1970-11-02,48.13,48.13,47.75,47.88,684800,0.65,-0.015151515151515138
1970-11-03,47.88,48.38,47.75,48.25,385600,0.66,0.01538461538461533
1970-11-04,48.0,48.0,47.38,48.0,435200,0.66,0.0
1970-11-05,48.0,48.25,47.63,48.0,582400,0.66,0.0
1970-11-06,48.0,48.38,48.0,48.38,596800,0.67,0.015151515151515138
1970-11-09,48.38,48.5,48.0,48.25,403200,0.67,0.0
1970-11-10,48.25,48.38,48.0,48.25,526400,0.67,0.0
1970-11-11,48.38,48.75,48.38,48.5,473600,0.67,0.0
1970-11-12,48.5,48.75,48.25,48.5,395200,0.67,0.0
