Date,Open,High,Low,Close,Volume,Adj Close,Return
2004-03-30,13.5,13.5,12.1,12.37,271500,11.06,0.0
2004-03-31,12.3,12.5,12.3,12.5,86300,11.17,0.00994575045207946
2004-04-01,12.5,12.75,12.35,12.75,50800,11.4,0.020590868397493356
2004-04-02,12.51,12.96,12.51,12.66,35600,11.32,-0.007017543859649145
2004-04-05,12.7,13.25,12.7,13.25,26400,11.84,0.0459363957597172
2004-04-06,12.75,12.9,12.75,12.75,3300,11.4,-0.03716216216216217
2004-04-07,12.85,13.12,12.85,13.1,7500,11.71,0.027192982456140324
2004-04-08,12.95,13.0,12.55,12.9,21000,11.53,-0.015371477369769515
2004-04-12,12.8,12.8,12.76,12.76,5800,11.41,-0.010407632263659927
2004-04-13,12.76,12.76,12.5,12.5,15300,11.17,-0.02103418054338302
2004-04-14,12.25,12.5,12.0,12.0,22800,10.73,-0.03939122649955229
2004-04-15,12.0,12.0,12.0,12.0,0,10.73,0.0
2004-04-16,11.5,11.5,11.35,11.35,8400,10.15,-0.05405405405405406
2004-04-19,11.45,11.9,11.25,11.6,5200,10.37,0.021674876847290525
2004-04-20,11.51,11.55,11.25,11.25,1000,10.06,-0.02989392478302788
2004-04-21,11.25,13.0,11.25,12.0,3500,10.73,0.06660039761431413
2004-04-22,12.75,12.75,12.75,12.75,1100,11.4,0.062441752096924485
2004-04-23,12.75,12.75,12.75,12.75,0,11.4,0.0
2004-04-26,12.75,12.75,11.25,11.25,600,10.06,-0.11754385964912284
2004-04-27,11.25,11.25,11.25,11.25,0,10.06,0.0
2004-04-28,13.0,13.0,11.5,11.6,2800,10.37,0.030815109343936165
2004-04-29,11.75,11.75,11.75,11.75,3600,10.5,0.012536162005786
2004-04-30,11.8,11.8,11.8,11.8,200,10.55,0.004761904761904745
2004-05-03,11.8,11.8,11.8,11.8,3300,10.55,0.0
2004-05-04,12.0,12.0,12.0,12.0,400,10.73,0.017061611374407537
2004-05-05,12.0,12.0,12.0,12.0,0,10.73,0.0
2004-05-06,12.19,12.2,11.8,12.05,4700,10.77,0.0037278657968311535
2004-05-07,12.2,12.2,12.0,12.1,4400,10.82,0.00464252553389044
2004-05-10,12.1,12.1,12.0,12.0,5500,10.73,-0.008317929759704246
2004-05-11,12.0,12.1,12.0,12.1,3200,10.82,0.00838769804287054
2004-05-12,12.05,12.05,12.05,12.05,2800,10.77,-0.004621072088724643
2004-05-13,12.05,12.1,12.05,12.05,9800,10.77,0.0
2004-05-14,12.06,12.25,12.06,12.25,5100,10.95,0.01671309192200554
2004-05-17,12.1,12.1,12.0,12.0,5000,10.73,-0.020091324200913085
2004-05-18,12.0,12.0,11.85,11.85,43900,10.59,-0.013047530288909703
2004-05-19,11.85,11.85,11.85,11.85,0,10.59,0.0
2004-05-20,11.85,11.85,11.85,11.85,0,10.59,0.0
2004-05-21,11.85,11.85,11.85,11.85,0,10.59,0.0
2004-05-24,11.92,11.92,11.83,11.85,18300,10.59,0.0
2004-05-25,11.87,11.87,11.77,11.77,6500,10.52,-0.006610009442870712
2004-05-26,11.77,11.77,11.77,11.77,0,10.52,0.0
2004-05-27,11.77,11.77,11.77,11.77,0,10.52,0.0
2004-05-28,11.77,11.77,11.77,11.77,0,10.52,0.0
2004-06-01,11.87,11.87,11.85,11.87,10000,10.61,0.008555133079847899
2004-06-02,11.87,11.87,11.85,11.85,2000,10.59,-0.0018850141376060003
2004-06-03,11.87,11.95,11.85,11.95,5400,10.68,0.008498583569405138
2004-06-04,11.9,11.9,11.9,11.9,500,10.64,-0.0037453183520598232
2004-06-07,11.87,11.9,11.85,11.9,3700,10.64,0.0
2004-06-08,11.9,11.9,11.9,11.9,0,10.64,0.0
2004-06-09,11.9,11.9,11.9,11.9,0,10.64,0.0
2004-06-10,11.8,11.8,11.8,11.8,600,10.55,-0.008458646616541388
2004-06-14,11.8,11.8,11.8,11.8,0,10.55,0.0
2004-06-15,11.86,11.9,11.86,11.9,2800,10.64,0.008530805687203769
2004-06-16,12.0,12.0,12.0,12.0,100,10.73,0.008458646616541277
2004-06-17,12.0,12.0,12.0,12.0,0,10.73,0.0
2004-06-18,12.0,12.0,11.85,11.85,3000,10.59,-0.013047530288909703
2004-06-21,11.85,11.85,11.85,11.85,1400,10.59,0.0
2004-06-22,11.85,11.85,11.85,11.85,0,10.59,0.0
2004-06-23,11.85,11.85,11.85,11.85,0,10.59,0.0
2004-06-24,11.85,11.85,11.85,11.85,0,10.59,0.0
2004-06-25,11.85,11.85,11.85,11.85,0,10.59,0.0
2004-06-28,11.85,11.85,11.85,11.85,0,10.59,0.0
2004-06-29,11.85,11.85,11.85,11.85,0,10.59,0.0
2004-06-30,12.0,12.0,12.0,12.0,400,10.73,0.013220018885741425
2004-07-01,12.0,12.0,12.0,12.0,0,10.73,0.0
