Date,Open,High,Low,Close,Volume,Adj Close,Return
1962-01-02,37.25,38.5,37.25,37.25,1323500,0.06,0.0
1962-01-03,37.25,37.88,37.25,37.75,1243400,0.07,0.16666666666666674
1962-01-04,37.75,37.88,37.5,37.75,1483900,0.07,0.0
1962-01-05,37.75,38.0,37.63,37.88,1483900,0.07,0.0
1962-01-08,37.88,38.38,37.0,37.75,2005300,0.07,0.0
1962-01-09,37.75,38.5,37.5,38.5,1002600,0.07,0.0
1962-01-10,38.5,39.13,38.5,38.88,1083000,0.07,0.0
1962-01-11,38.88,40.25,38.75,40.0,3128200,0.07,0.0
1962-01-12,40.0,40.13,38.25,38.75,3128200,0.07,0.0
1962-01-15,38.75,39.0,38.5,38.75,1002600,0.07,0.0
1962-01-16,38.5,38.5,37.5,37.75,561600,0.07,0.0
1962-01-17,37.75,37.75,36.5,36.5,641700,0.06,-0.14285714285714302
1962-01-18,36.75,37.5,36.75,37.25,481200,0.06,0.0
1962-01-19,37.5,38.0,37.5,38.0,681800,0.07,0.16666666666666674
1962-01-22,38.25,38.63,38.25,38.63,561600,0.07,0.0
1962-01-23,38.63,39.5,38.25,38.5,1885000,0.07,0.0
1962-01-24,38.5,38.5,37.5,38.0,561600,0.07,0.0
1962-01-25,38.0,38.13,37.5,37.5,240700,0.06,-0.14285714285714302
1962-01-26,37.5,38.0,37.25,37.25,561600,0.06,0.0
1962-01-29,37.25,37.75,37.25,37.25,361000,0.06,0.0
1962-01-30,37.25,37.63,37.0,37.5,1083000,0.06,0.0
1962-01-31,37.5,37.63,37.25,37.5,481200,0.06,0.0
1962-02-01,37.5,38.63,37.5,38.0,2005300,0.07,0.16666666666666674
1962-02-02,38.0,38.5,38.0,38.0,1002600,0.07,0.0
1962-02-05,38.0,38.38,38.0,38.0,641700,0.07,0.0
1962-02-06,38.0,38.25,37.75,37.75,361000,0.07,0.0
1962-02-07,38.0,38.5,38.0,38.25,2205900,0.07,0.0
1962-02-08,38.75,39.63,38.75,39.25,3248700,0.07,0.0
1962-02-09,39.38,39.75,39.38,39.5,1644300,0.07,0.0
1962-02-12,39.5,39.63,39.25,39.5,1002600,0.07,0.0
1962-02-13,39.5,39.5,39.0,39.5,1002600,0.07,0.0
1962-02-14,39.38,39.38,39.0,39.0,320800,0.07,0.0
1962-02-15,39.13,39.38,39.13,39.25,761900,0.07,0.0
1962-02-16,39.5,40.63,39.5,40.0,5815300,0.07,0.0
1962-02-19,40.0,40.0,39.38,39.38,1323500,0.07,0.0
