Date,Open,High,Low,Close,Volume,Adj Close,Return
1998-06-19,14.0,14.06,14.0,14.0,4214000,13.74,0.0
1998-06-22,14.06,14.06,14.0,14.0,1448800,13.74,0.0
1998-06-23,14.06,14.06,14.0,14.06,285300,13.8,0.004366812227074357
1998-06-24,14.25,15.38,14.19,14.94,649200,14.66,0.062318840579710155
1998-06-25,15.25,16.5,15.0,16.5,694000,16.2,0.10504774897680758
1998-06-26,16.5,16.5,15.88,16.12,618700,15.83,-0.022839506172839474
1998-06-29,16.0,16.0,15.75,15.81,274900,15.52,-0.019583070120025248
1998-06-30,15.38,15.38,14.38,15.13,112600,14.85,-0.04317010309278346
1998-07-01,15.25,15.38,14.25,14.38,243900,14.11,-0.049831649831649893
1998-07-02,14.38,14.75,14.06,14.5,77900,14.23,0.00850460666194186
1998-07-06,14.56,14.56,14.12,14.5,223800,14.23,0.0
1998-07-07,14.5,14.94,14.06,14.12,269300,13.87,-0.025298664792691605
1998-07-08,14.19,14.62,14.19,14.62,142300,14.36,0.03532804614275409
1998-07-09,14.56,14.69,14.38,14.5,179100,14.23,-0.009052924791086325
1998-07-10,14.44,15.62,14.12,15.06,336200,14.79,0.03935347856640892
1998-07-13,15.0,15.88,14.62,15.5,403700,15.21,0.028397565922920975
1998-07-14,15.75,16.37,14.44,15.31,324300,15.03,-0.01183431952662728
1998-07-15,16.0,16.0,14.06,14.62,297900,14.36,-0.044577511643379863
1998-07-16,14.75,14.87,14.31,14.38,253600,14.11,-0.017409470752089096
1998-07-17,14.81,15.0,14.69,14.69,108000,14.42,0.021970233876683176
1998-07-20,14.81,14.87,14.06,14.06,350200,13.8,-0.04299583911234395
1998-07-21,14.19,14.25,13.25,13.25,716000,13.01,-0.05724637681159428
1998-07-22,13.25,13.25,12.38,12.38,294500,12.15,-0.06610299769408146
1998-07-23,12.31,13.19,12.31,13.0,204000,12.76,0.05020576131687249
1998-07-24,13.0,13.81,12.62,13.19,252900,12.94,0.014106583072100332
1998-07-27,13.31,13.31,11.62,12.5,398900,12.27,-0.05177743431221016
1998-07-28,12.62,12.62,12.0,12.25,181500,12.02,-0.02037489812550941
1998-07-29,12.31,13.37,12.31,13.37,77500,13.13,0.09234608985024972
1998-07-30,13.94,14.12,13.69,13.94,381900,13.68,0.041888804265041824
1998-07-31,14.0,14.12,13.69,13.69,111400,13.44,-0.01754385964912286
1998-08-03,13.69,13.69,12.62,13.06,129000,12.82,-0.04613095238095233
1998-08-04,13.19,13.75,12.88,12.94,167300,12.7,-0.009360374414976724
1998-08-05,12.88,13.0,12.75,12.94,191900,12.7,0.0
1998-08-06,13.0,13.0,12.69,12.69,37800,12.45,-0.019685039370078705
1998-08-07,12.81,12.81,11.62,11.69,71400,11.47,-0.07871485943775092
1998-08-10,11.81,11.87,11.25,11.25,54500,11.04,-0.037489102005231145
1998-08-11,11.12,11.12,10.25,10.5,68700,10.31,-0.066123188405797
1998-08-12,10.63,10.75,10.5,10.75,78500,10.55,0.023278370514064006
1998-08-13,10.63,10.63,10.0,10.25,25000,10.06,-0.04644549763033179
1998-08-14,10.31,10.31,9.25,9.25,82500,9.08,-0.09741550695825052
1998-08-17,9.38,9.44,8.19,8.75,583000,8.59,-0.05396475770925113
1998-08-18,9.0,9.94,9.0,9.75,544600,9.57,0.11408614668218875
1998-08-19,10.0,10.75,10.0,10.63,118900,10.43,0.08986415882967602
1998-08-20,10.75,10.94,10.12,10.19,53600,10.0,-0.04122722914669219
1998-08-21,10.75,10.75,10.12,10.63,86900,10.43,0.04299999999999993
1998-08-24,10.75,10.94,10.25,10.25,57700,10.06,-0.03547459252157237
