Date,Open,High,Low,Close,Volume,Adj Close,Return
1992-02-25,15.0,15.5,15.0,15.5,300,258.07,0.0
1992-02-26,15.5,15.5,14.0,14.0,300,233.1,-0.09675669392025421
1992-02-27,15.0,15.0,14.0,14.5,300,241.42,0.035692835692835656
1992-02-28,14.0,14.5,14.0,14.5,200,241.42,0.0
1992-03-02,14.5,14.5,14.5,14.5,100,241.42,0.0
1992-03-03,14.0,14.5,14.0,14.5,100,241.42,0.0
1992-03-04,14.38,14.38,14.38,14.38,100,239.42,-0.00828431778643024
1992-03-05,14.0,14.0,13.5,13.5,300,224.77,-0.06118954139169652
1992-03-06,13.0,14.0,12.5,13.25,500,220.61,-0.018507807981492208
1992-03-09,13.0,13.5,13.0,13.5,300,224.77,0.018856806128461967
1992-03-10,13.5,13.5,13.5,13.5,0,224.77,0.0
1992-03-11,13.5,13.5,13.5,13.5,0,224.77,0.0
1992-03-12,15.0,15.0,13.75,13.75,200,228.93,0.018507807981492208
1992-03-13,15.5,15.5,15.5,15.5,100,258.07,0.1272878172367098
1992-03-16,15.5,15.5,15.5,15.5,0,258.07,0.0
1992-03-17,15.5,15.5,15.5,15.5,0,258.07,0.0
1992-03-18,15.5,15.5,15.5,15.5,0,258.07,0.0
1992-03-19,15.5,15.5,15.5,15.5,0,258.07,0.0
1992-03-20,13.75,15.5,13.75,15.5,0,258.07,0.0
1992-03-23,15.5,15.5,15.5,15.5,0,258.07,0.0
1992-03-24,15.0,15.0,15.0,15.0,100,249.74,-0.03227806409113798
1992-03-25,14.5,15.5,14.5,15.5,200,258.07,0.03335468887643134
1992-03-26,15.5,15.5,15.5,15.5,0,258.07,0.0
1992-03-27,13.75,14.75,13.75,14.75,1000,245.58,-0.04839772154841704
1992-03-30,15.5,15.5,15.5,15.5,100,258.07,0.05085919048782461
1992-03-31,15.5,15.5,15.5,15.5,0,258.07,0.0
1992-04-01,15.5,15.5,15.5,15.5,0,258.07,0.0
1992-04-02,14.5,14.75,14.5,14.75,100,245.58,-0.04839772154841704
1992-04-03,13.5,14.25,13.5,13.5,200,224.77,-0.08473817086081925
1992-04-06,13.5,13.5,13.25,13.25,100,220.61,-0.018507807981492208
1992-04-07,14.13,14.13,14.13,14.13,0,235.26,0.06640678119758836
1992-04-08,13.5,13.75,13.25,13.25,200,220.61,-0.06227152937175884
1992-04-09,13.25,13.25,13.25,13.25,0,220.61,0.0
1992-04-10,15.0,15.0,15.0,15.0,200,249.74,0.1320429717601197
1992-04-13,13.0,15.0,13.0,14.63,700,243.59,-0.024625610635060524
1992-04-14,15.5,15.75,14.5,14.5,100,241.42,-0.008908411675356165
1992-04-15,15.0,16.0,14.5,16.0,600,266.4,0.10347112915251433
1992-04-16,14.75,14.75,14.75,14.75,0,245.58,-0.07815315315315308
1992-04-20,15.0,15.0,15.0,15.0,100,249.74,0.016939490186497208
1992-04-21,15.0,15.0,15.0,15.0,0,249.74,0.0
1992-04-22,15.0,16.0,14.75,15.25,200,253.91,0.01669736525987031
1992-04-23,15.25,15.25,15.25,15.25,0,253.91,0.0
1992-04-24,14.75,16.0,14.75,16.0,300,266.4,0.049190658107203244
1992-04-27,14.75,14.75,14.75,14.75,0,245.58,-0.07815315315315308
1992-04-28,14.75,14.88,14.38,14.38,500,239.42,-0.02508347585308257
1992-04-29,16.0,16.0,16.0,16.0,0,266.4,0.11268899841283098
1992-04-30,16.0,16.0,16.0,16.0,100,266.4,0.0
1992-05-01,16.0,16.0,16.0,16.0,0,266.4,0.0
1992-05-04,14.0,15.0,14.0,15.0,200,249.74,-0.06253753753753744
1992-05-05,14.0,14.0,14.0,14.0,0,233.1,-0.06662929446624499
1992-05-06,15.5,15.5,14.5,14.5,0,241.42,0.035692835692835656
1992-05-07,16.0,16.0,16.0,16.0,0,266.4,0.10347112915251433
1992-05-08,16.0,16.0,16.0,16.0,0,266.4,0.0
1992-05-11,16.0,16.0,16.0,16.0,0,266.51,0.00041291291291289944
1992-05-12,16.0,16.0,16.0,16.0,0,266.51,0.0
1992-05-13,14.0,14.0,14.0,14.0,0,233.2,-0.12498592923342466
1992-05-14,14.0,14.0,14.0,14.0,100,233.2,0.0
1992-05-15,14.0,14.0,14.0,14.0,0,233.2,0.0
1992-05-18,15.0,15.0,15.0,15.0,0,249.85,0.07139794168096047
1992-05-19,14.0,14.0,14.0,14.0,0,233.2,-0.06663998399039428
1992-05-20,14.25,16.0,14.25,16.0,400,266.51,0.14283876500857628
1992-05-21,15.75,16.0,15.75,15.88,200,264.51,-0.007504408840193655
1992-05-22,16.5,16.5,16.5,16.5,0,274.84,0.03905334391894444
1992-05-26,16.5,16.5,16.0,16.0,100,266.51,-0.03030854315237952
1992-05-27,15.0,15.0,15.0,15.0,100,249.85,-0.0625117256388128
1992-05-28,15.0,15.0,15.0,15.0,0,249.85,0.0
1992-05-29,15.0,15.0,15.0,15.0,0,249.85,0.0
1992-06-01,16.5,17.5,15.5,17.5,1000,291.49,0.16665999599759873
1992-06-02,15.5,17.25,15.5,17.25,100,287.33,-0.014271501595252034
1992-06-03,15.5,15.5,15.5,15.5,100,258.18,-0.10145129293843314
1992-06-04,15.5,16.0,15.5,16.0,400,266.51,0.032264311720505034
