Date,Open,High,Low,Close,Volume,Adj Close,Return
2012-03-15,25.25,26.0,23.31,23.59,6136600,23.59,0.0
2012-03-16,24.17,27.0,23.76,27.0,1269500,27.0,0.14455277660025434
2012-03-19,27.84,27.85,25.41,26.27,852900,26.27,-0.02703703703703708
2012-03-20,26.18,26.61,25.5,25.88,214000,25.88,-0.01484583174724019
2012-03-21,25.77,26.29,25.39,25.79,191100,25.79,-0.0034775888717155645
2012-03-22,25.54,25.92,24.99,25.34,209500,25.34,-0.017448623497479665
2012-03-23,25.59,25.82,24.55,25.11,161500,25.11,-0.00907655880031577
2012-03-26,25.02,27.58,25.01,27.04,260100,27.04,0.07686180804460374
2012-03-27,27.65,29.29,26.96,27.84,363600,27.84,0.029585798816567976
2012-03-28,28.14,31.45,28.0,31.45,521200,31.45,0.12966954022988508
2012-03-29,31.26,31.84,29.38,30.95,415000,30.95,-0.015898251192368873
2012-03-30,31.23,31.98,29.8,29.8,231000,29.8,-0.037156704361873905
2012-04-02,29.64,30.2,28.3,28.39,298700,28.39,-0.04731543624161072
2012-04-03,28.26,29.08,27.56,27.7,117100,27.7,-0.0243043325114477
2012-04-04,27.39,27.39,26.5,27.08,165600,27.08,-0.02238267148014439
2012-04-05,26.6,27.98,26.6,27.68,57700,27.68,0.02215657311669128
2012-04-09,27.01,28.5,27.0,27.67,77700,27.67,-0.00036127167630051193
2012-04-10,27.59,27.78,26.25,26.87,100600,26.87,-0.028912179255511372
2012-04-11,27.07,27.6,26.55,26.6,96500,26.6,-0.010048381094157066
2012-04-12,26.3,26.98,26.17,26.64,89900,26.64,0.0015037593984961184
2012-04-13,26.69,27.37,26.16,26.49,79900,26.49,-0.00563063063063074
2012-04-16,26.55,27.04,25.67,26.99,129000,26.99,0.01887504718761801
2012-04-17,27.0,27.99,26.5,26.6,183000,26.6,-0.01444979622082243
2012-04-18,26.31,27.87,26.11,26.98,75100,26.98,0.014285714285714235
2012-04-19,27.01,27.9,26.89,27.66,100600,27.66,0.025203854707190443
2012-04-20,27.99,29.09,27.42,28.46,335900,28.46,0.028922631959508394
2012-04-23,28.43,28.74,27.76,28.28,167300,28.28,-0.006324666198172846
2012-04-24,28.34,28.35,26.3,27.5,267700,27.5,-0.02758132956152759
2012-04-25,27.85,27.96,26.59,27.83,110700,27.83,0.01200000000000001
2012-04-26,27.79,28.7,27.33,27.57,70700,27.57,-0.009342436219906491
2012-04-27,27.46,28.12,26.89,27.79,51700,27.79,0.007979688066739099
2012-04-30,27.6,27.99,27.24,27.25,46000,27.25,-0.01943145016192871
2012-05-01,27.35,27.8,26.83,27.15,104200,27.15,-0.003669724770642202
2012-05-02,27.01,28.19,26.94,28.19,68000,28.19,0.03830570902394115
2012-05-03,28.22,28.59,27.9,27.97,132000,27.97,-0.007804185881518322
2012-05-04,27.91,28.2,27.35,27.48,134500,27.48,-0.017518770110833026
2012-05-07,27.5,29.1,27.5,28.11,68000,28.11,0.022925764192139653
2012-05-08,28.57,28.78,26.79,28.12,195100,28.12,0.0003557452863749422
2012-05-09,27.99,28.5,27.41,27.97,98500,27.97,-0.005334281650071215
2012-05-10,28.08,28.48,27.76,27.88,42400,27.88,-0.0032177332856632157
2012-05-11,27.76,27.85,27.38,27.53,45000,27.53,-0.012553802008608228
2012-05-14,27.13,27.47,27.11,27.17,71200,27.17,-0.013076643661460219
2012-05-15,26.77,28.22,26.51,27.95,45000,27.95,0.028708133971291794
2012-05-16,28.03,29.54,27.97,28.6,153400,28.6,0.023255813953488413
2012-05-17,28.6,29.0,28.18,28.72,212000,28.72,0.00419580419580412
2012-05-18,28.65,29.45,28.0,28.34,184200,28.34,-0.013231197771587655
2012-05-21,28.5,28.5,27.57,28.05,103100,28.05,-0.010232886379675343
2012-05-22,28.05,28.55,27.88,28.18,22300,28.18,0.004634581105169344
2012-05-23,28.03,29.0,27.31,28.81,95000,28.81,0.022356281050390336
2012-05-24,28.88,29.5,28.88,29.3,42100,29.3,0.01700798333911835
2012-05-25,29.46,29.93,29.02,29.92,33400,29.92,0.02116040955631404
2012-05-29,30.14,30.97,29.88,30.75,77000,30.75,0.027740641711229808
2012-05-30,30.46,31.57,29.47,31.1,95600,31.1,0.011382113821138296
2012-05-31,31.13,31.13,29.31,31.11,59800,31.11,0.0003215434083601032
2012-06-01,30.67,30.67,27.9,28.43,148400,28.43,-0.08614593378334945
2012-06-04,28.44,28.44,25.81,26.98,130200,26.98,-0.05100246218782978
2012-06-05,26.77,28.58,26.57,27.49,74600,27.49,0.018902891030392777
2012-06-06,27.69,29.51,27.5,29.45,90800,29.45,0.07129865405602032
2012-06-07,29.7,30.69,28.41,28.76,105000,28.76,-0.023429541595925252
2012-06-08,28.8,29.3,28.11,28.57,150400,28.57,-0.006606397774687078
2012-06-11,29.25,29.8,28.6,29.4,196100,29.4,0.029051452572628644
2012-06-12,29.39,30.82,29.39,30.77,133900,30.77,0.04659863945578224
2012-06-13,30.49,31.35,29.77,30.0,98200,30.0,-0.025024374390640203
2012-06-14,29.8,30.0,29.02,29.84,63900,29.84,-0.005333333333333301
2012-06-15,29.79,30.27,29.64,29.84,52500,29.84,0.0
2012-06-18,29.75,30.0,29.75,29.92,74900,29.92,0.002680965147453085
2012-06-19,30.09,30.12,28.7,28.93,82700,28.93,-0.03308823529411775
2012-06-20,29.24,29.24,28.26,28.49,36900,28.49,-0.01520912547528519
2012-06-21,28.59,28.64,26.74,27.0,86700,27.0,-0.052299052299052295
2012-06-22,27.21,27.21,26.12,26.37,923900,26.37,-0.023333333333333317
2012-06-25,26.15,26.15,25.31,25.53,161100,25.53,-0.03185437997724683
2012-06-26,25.75,25.95,25.0,25.26,131600,25.26,-0.010575793184488869
2012-06-27,25.27,26.03,25.0,25.41,261300,25.41,0.005938242280284944
2012-06-28,25.12,25.32,24.47,24.86,44300,24.86,-0.02164502164502169
2012-06-29,25.18,25.3,23.36,23.69,103100,23.69,-0.0470635559131134
2012-07-02,23.64,25.07,23.29,25.0,94200,25.0,0.0552975939214857
2012-07-03,24.92,25.34,24.48,24.78,64200,24.78,-0.008799999999999919
2012-07-05,24.85,25.22,24.84,24.99,61300,24.99,0.008474576271186418
2012-07-06,24.75,24.82,23.87,23.9,125700,23.9,-0.04361744697879155
2012-07-09,24.05,24.66,23.71,23.88,236300,23.88,-0.0008368200836820217
2012-07-10,24.07,24.61,23.68,24.26,125400,24.26,0.01591289782244565
2012-07-11,24.25,24.66,23.65,24.08,85300,24.08,-0.007419620774938296
2012-07-12,23.85,24.51,23.69,24.44,20500,24.44,0.014950166112956964
2012-07-13,24.61,26.0,24.51,25.93,55800,25.93,0.06096563011456624
2012-07-16,25.76,25.84,25.22,25.53,49400,25.53,-0.015426147319706818
2012-07-17,25.58,25.9,25.46,25.56,32200,25.56,0.001175088131609714
2012-07-18,25.41,25.9,25.41,25.8,21000,25.8,0.009389671361502483
2012-07-19,25.96,25.96,25.19,25.5,28400,25.5,-0.011627906976744207
2012-07-20,25.35,25.67,25.18,25.47,30500,25.47,-0.0011764705882353343
2012-07-23,25.21,25.27,24.17,24.23,126500,24.23,-0.04868472712995675
2012-07-24,24.21,24.49,24.21,24.29,16200,24.29,0.0024762690879074345
2012-07-25,23.9,23.9,21.35,22.65,1679800,22.65,-0.06751749691230957
2012-07-26,22.74,24.23,22.71,24.02,177900,24.02,0.06048565121412808
2012-07-27,24.1,24.92,24.1,24.5,101200,24.5,0.019983347210657865
2012-07-30,24.46,25.14,24.43,25.08,69300,25.08,0.023673469387754942
2012-07-31,25.02,25.27,24.41,24.57,74500,24.57,-0.020334928229664984
2012-08-01,24.45,24.47,23.18,23.33,114800,23.33,-0.050468050468050585
2012-08-02,23.27,23.27,22.02,22.52,98800,22.52,-0.03471924560651518
2012-08-03,24.12,26.0,23.48,24.11,208100,24.11,0.07060390763765545
2012-08-06,24.29,26.01,23.95,25.76,210300,25.76,0.06843633347158873
2012-08-07,26.67,28.29,25.58,27.83,521500,27.83,0.0803571428571428
2012-08-08,27.6,27.6,26.5,27.01,89500,27.01,-0.029464606539705285
2012-08-09,27.31,27.56,26.5,27.21,49400,27.21,0.007404664938911454
2012-08-10,27.04,27.04,26.46,26.9,53500,26.9,-0.011392870268283839
2012-08-13,26.75,26.8,26.36,26.51,22100,26.51,-0.014498141263940445
2012-08-14,26.59,26.75,25.84,26.05,90400,26.05,-0.01735194266314599
2012-08-15,26.0,26.43,25.42,26.17,118300,26.17,0.004606525911708292
2012-08-16,26.28,26.79,26.07,26.74,89200,26.74,0.021780664883454204
2012-08-17,26.78,27.49,26.75,27.01,48100,27.01,0.010097232610321694
2012-08-20,26.86,26.9,25.51,25.6,76600,25.6,-0.05220288781932614
2012-08-21,25.67,25.67,24.0,24.25,366200,24.25,-0.052734375
2012-08-22,24.24,24.4,23.85,24.08,291900,24.08,-0.007010309278350557
2012-08-23,24.09,24.44,23.83,24.14,127500,24.14,0.002491694352159568
2012-08-24,24.48,24.95,24.25,24.77,115400,24.77,0.02609776304888145
2012-08-27,24.82,25.75,24.81,25.55,162700,25.55,0.03148970528865558
2012-08-28,25.63,25.77,24.87,25.11,62300,25.11,-0.017221135029354295
2012-08-29,25.27,26.31,25.27,26.07,77100,26.07,0.03823178016726403
2012-08-30,25.92,26.44,25.38,25.89,160000,25.89,-0.0069044879171461515
2012-08-31,26.18,26.31,25.82,26.0,52700,26.0,0.004248744689069106
2012-09-04,25.89,26.59,25.75,26.4,110700,26.4,0.01538461538461533
2012-09-05,26.4,27.45,26.35,27.1,265600,27.1,0.026515151515151603
2012-09-06,27.33,27.95,27.26,27.91,202400,27.91,0.029889298892988858
2012-09-07,27.63,27.74,26.82,27.15,179300,27.15,-0.027230383375134393
2012-09-10,27.11,28.46,27.11,28.45,293400,28.45,0.047882136279926435
2012-09-11,28.28,29.6,27.57,28.97,1422200,28.97,0.018277680140597496
2012-09-12,29.99,32.57,28.69,31.19,972800,31.19,0.0766309975837074
2012-09-13,31.97,32.4,30.79,31.57,567500,31.57,0.012183392112856684
2012-09-14,31.29,31.68,30.96,31.3,421200,31.3,-0.008552423186569569
2012-09-17,32.91,33.56,31.26,31.68,431200,31.68,0.012140575079872207
2012-09-18,31.53,31.65,30.34,30.86,163000,30.86,-0.025883838383838342
2012-09-19,30.07,30.11,29.3,29.62,837900,29.62,-0.040181464679196366
2012-09-20,29.59,30.65,29.07,30.36,371900,30.36,0.02498311951384191
2012-09-21,30.54,30.54,29.62,30.46,279800,30.46,0.0032938076416337836
