Date,Open,High,Low,Close,Volume,Adj Close,Return
2009-05-19,25.17,25.44,25.05,25.23,606200,18.32,0.0
2009-05-20,25.26,25.34,25.22,25.23,183300,18.32,0.0
2009-05-21,25.21,25.25,25.14,25.17,238700,18.28,-0.0021834061135370675
2009-05-22,25.25,25.27,25.18,25.18,461800,18.28,0.0
2009-05-26,25.23,25.27,25.18,25.23,121400,18.32,0.002188183807439792
2009-05-27,25.29,25.29,25.18,25.2,863700,18.3,-0.0010917030567685337
2009-05-28,25.25,25.25,25.17,25.23,218100,18.32,0.0010928961748633004
2009-05-29,25.23,25.24,25.17,25.23,69300,18.32,0.0
2009-06-01,25.23,25.24,25.17,25.2,109200,18.3,-0.0010917030567685337
2009-06-02,25.23,25.25,25.15,25.24,994300,18.33,0.0016393442622948395
2009-06-03,25.2,25.24,25.17,25.17,91300,18.28,-0.0027277686852152927
2009-06-04,25.2,25.25,25.18,25.23,609400,18.32,0.002188183807439792
2009-06-05,25.24,25.38,25.2,25.38,315300,18.43,0.006004366812226936
2009-06-08,25.35,25.35,25.25,25.25,28800,18.33,-0.005425935973955576
2009-06-09,25.23,25.32,24.96,25.01,86600,18.16,-0.009274413529732572
2009-06-10,25.05,25.17,24.97,24.99,57200,18.15,-0.0005506607929516294
2009-06-11,24.98,25.25,24.98,25.23,59500,18.32,0.009366391184573164
2009-06-12,25.19,25.28,25.1,25.25,34700,18.33,0.0005458515283842669
2009-06-15,25.25,25.25,25.15,25.22,49100,18.31,-0.0010911074740861393
2009-06-16,25.2,25.25,25.2,25.2,123000,18.3,-0.0005461496450026582
2009-06-17,25.35,25.35,25.05,25.1,212400,18.23,-0.0038251366120218844
2009-06-18,25.1,25.19,25.1,25.15,54900,18.26,0.001645639056500281
2009-06-19,25.19,25.24,25.15,25.2,26000,18.3,0.0021905805038333614
2009-06-22,25.15,25.21,25.11,25.11,27800,18.23,-0.0038251366120218844
2009-06-23,25.19,25.19,25.11,25.16,22200,18.27,0.0021941854086668933
2009-06-24,25.16,25.21,25.1,25.15,79800,18.26,-0.0005473453749315071
2009-06-25,25.1,25.15,25.09,25.09,70600,18.22,-0.0021905805038336945
2009-06-26,25.19,25.2,25.13,25.2,30200,18.3,0.004390779363337094
2009-06-29,25.2,25.23,25.17,25.19,75300,18.29,-0.0005464480874317612
2009-06-30,25.19,25.2,25.13,25.19,41000,18.29,0.0
2009-07-01,25.2,25.24,25.13,25.23,190500,18.32,0.0016402405686168908
2009-07-02,25.23,25.35,25.22,25.35,24000,18.41,0.004912663755458402
2009-07-06,25.33,25.33,25.25,25.3,14200,18.37,-0.0021727322107549796
2009-07-07,25.3,25.3,25.25,25.25,37100,18.33,-0.0021774632553077655
2009-07-08,25.25,25.33,25.25,25.26,88000,18.34,0.0005455537370431252
2009-07-09,25.33,25.34,25.3,25.32,21300,18.38,0.0021810250817884125
2009-07-10,25.35,25.41,25.33,25.35,195100,18.41,0.0016322089227420733
2009-07-13,25.41,25.44,25.35,25.4,23400,18.44,0.0016295491580662347
2009-07-14,25.45,25.5,25.38,25.5,140600,18.52,0.00433839479392617
2009-07-15,25.5,25.54,25.48,25.5,18700,18.52,0.0
2009-07-16,25.55,25.6,25.55,25.58,7400,18.57,0.0026997840172786614
2009-07-17,26.18,26.18,25.65,25.86,55000,18.78,0.011308562197092087
2009-07-20,26.0,26.1,25.9,25.9,41900,18.81,0.0015974440894568342
2009-07-21,25.94,26.04,25.75,25.8,29300,18.73,-0.004253056884635731
2009-07-22,25.85,25.98,25.78,25.98,11800,18.86,0.0069407367859049
2009-07-23,25.98,26.09,25.9,25.92,27600,18.82,-0.0021208907741251393
2009-07-24,26.06,26.1,25.94,26.1,15900,18.95,0.006907545164718254
2009-07-27,26.19,26.19,26.05,26.09,9500,18.94,-0.0005277044854880009
2009-07-28,26.1,26.15,26.05,26.05,26900,18.91,-0.0015839493136220462
2009-07-29,26.23,26.24,26.09,26.1,15000,18.95,0.0021152829190904665
2009-07-30,26.2,26.2,26.1,26.17,21000,19.0,0.0026385224274407815
2009-07-31,26.2,26.2,26.1,26.15,15100,18.99,-0.0005263157894738191
2009-08-03,26.25,26.25,26.12,26.15,8600,18.99,0.0
2009-08-04,26.24,26.39,26.12,26.3,21600,19.1,0.005792522380200227
2009-08-05,26.33,26.35,26.2,26.25,15400,19.06,-0.0020942408376964927
2009-08-06,26.35,26.42,26.27,26.35,20200,19.13,0.003672612801678854
2009-08-07,26.44,27.1,26.36,26.68,20800,19.37,0.01254573967590189
2009-08-10,26.7,26.75,26.35,26.35,19000,19.13,-0.01239029426948901
2009-08-11,26.4,26.97,26.4,26.89,27800,19.52,0.020386826973340266
2009-08-12,26.78,26.95,26.59,26.7,24000,19.39,-0.006659836065573743
2009-08-13,26.9,27.0,26.7,26.91,18900,19.54,0.0077359463641051285
2009-08-14,26.95,26.98,26.7,26.98,17500,19.59,0.0025588536335721113
2009-08-17,26.95,26.97,26.73,26.8,14300,19.46,-0.0066360387953037225
2009-08-18,26.98,26.98,26.77,26.8,24700,19.46,0.0
2009-08-19,26.87,26.95,26.72,26.75,33400,19.42,-0.0020554984583761593
2009-08-20,26.9,26.98,26.7,26.95,29400,19.57,0.007723995880535517
2009-08-21,26.91,27.0,26.75,27.0,147500,19.6,0.0015329586101175963
2009-08-24,27.0,27.11,26.9,27.07,28500,19.66,0.003061224489795844
2009-08-25,27.22,27.22,26.83,26.97,33800,19.58,-0.00406917599186174
2009-08-26,27.03,27.03,26.82,26.82,25000,19.47,-0.005617977528089901
2009-08-27,26.78,26.8,26.4,26.63,24100,19.75,0.014381099126861807
2009-08-28,26.83,26.83,26.55,26.75,18300,19.84,0.004556962025316524
2009-08-31,26.75,26.84,26.7,26.75,24800,19.84,0.0
2009-09-01,26.83,26.83,26.55,26.57,15500,19.7,-0.007056451612903247
2009-09-02,26.82,26.82,26.7,26.8,13400,19.87,0.00862944162436552
2009-09-03,26.8,26.85,26.71,26.74,22700,19.83,-0.0020130850528435884
2009-09-04,26.87,27.15,26.71,27.15,11900,20.13,0.015128593040847349
2009-09-08,27.23,27.23,26.73,26.75,28800,19.84,-0.014406358668653696
2009-09-09,27.08,27.09,26.85,26.91,21000,19.95,0.005544354838709742
2009-09-10,26.99,26.99,26.7,26.93,18000,19.97,0.001002506265664227
2009-09-11,27.09,27.1,26.97,27.1,24100,20.1,0.006509764646970506
2009-09-14,27.32,27.43,27.15,27.15,14100,20.13,0.0014925373134326847
2009-09-15,27.4,27.4,26.78,27.08,16600,20.08,-0.0024838549428713996
2009-09-16,27.04,27.26,26.97,27.05,23500,20.06,-0.0009960159362549792
2009-09-17,27.24,27.24,26.95,27.0,20700,20.02,-0.001994017946161497
2009-09-18,27.12,27.25,26.96,26.96,38100,19.99,-0.0014985014985015033
2009-09-21,27.18,27.25,27.0,27.01,17100,20.03,0.002001000500250205
2009-09-22,27.27,27.27,26.96,27.16,22300,20.14,0.005491762356465202
2009-09-23,27.23,27.23,26.85,27.07,18700,20.07,-0.0034756703078451245
2009-09-24,27.0,27.06,26.76,26.76,21800,19.84,-0.011459890383657245
2009-09-25,26.78,26.96,26.76,26.76,22700,19.84,0.0
2009-09-28,26.97,26.97,26.84,26.93,20900,19.97,0.0065524193548387455
2009-09-29,26.93,27.06,26.86,27.04,23900,20.05,0.0040060090135203286
2009-09-30,27.04,27.07,26.91,27.0,65000,20.02,-0.0014962593516210099
2009-10-01,26.99,27.0,26.85,26.9,17300,19.95,-0.0034965034965035446
2009-10-02,26.97,26.98,26.8,26.94,18600,19.98,0.0015037593984963404
2009-10-05,26.9,27.0,26.9,27.0,16300,20.02,0.002002002002001957
2009-10-06,27.0,27.05,26.86,26.87,196300,19.92,-0.004995004995004937
2009-10-07,27.07,27.08,26.95,27.03,41100,20.04,0.0060240963855420215
2009-10-08,27.04,27.04,26.85,26.99,16300,20.01,-0.0014970059880238251
2009-10-09,26.98,26.98,26.8,26.96,25600,19.99,-0.0009995002498752736
2009-10-12,26.98,27.05,26.96,27.04,15700,20.05,0.0030015007503751967
2009-10-13,27.01,27.13,26.99,27.13,18100,20.12,0.003491271820448949
2009-10-14,27.11,27.24,27.04,27.15,12400,20.13,0.0004970178926440028
2009-10-15,27.21,27.22,26.84,27.15,92500,20.13,0.0
2009-10-16,27.14,27.15,27.01,27.08,15700,20.08,-0.0024838549428713996
2009-10-19,27.14,27.19,27.0,27.1,16800,20.1,0.0009960159362552012
2009-10-20,27.11,27.12,27.01,27.1,16600,20.1,0.0
2009-10-21,27.1,27.1,27.0,27.01,15200,20.03,-0.0034825870646766344
2009-10-22,27.09,27.1,26.93,27.02,9200,20.04,0.0004992511233148367
2009-10-23,27.07,27.07,26.95,27.0,8600,20.02,-0.0009980039920159944
2009-10-26,27.12,27.12,27.05,27.1,9200,20.1,0.003996003996004083
2009-10-27,27.09,27.1,26.9,26.99,23000,20.01,-0.004477611940298498
2009-10-28,27.11,27.11,26.8,26.96,16400,19.99,-0.0009995002498752736
2009-10-29,27.01,27.13,27.0,27.05,16200,20.06,0.0035017508754378035
2009-10-30,27.12,27.13,26.77,27.07,10300,20.07,0.0004985044865404298
2009-11-02,27.12,27.15,26.8,26.8,27600,19.87,-0.009965122072745358
