Date,Open,High,Low,Close,Volume,Adj Close,Return
1995-11-21,15.0,15.13,15.0,15.0,1240000,15.0,0.0
1995-11-22,15.0,15.13,15.0,15.13,197100,15.13,0.008666666666666822
1995-11-24,15.0,15.0,15.0,15.0,46400,15.0,-0.008592200925313986
1995-11-27,15.0,15.13,15.0,15.0,91200,15.0,0.0
1995-11-28,15.0,15.0,15.0,15.0,137200,15.0,0.0
1995-11-29,15.0,15.0,15.0,15.0,90300,15.0,0.0
1995-11-30,15.0,15.38,15.0,15.0,81900,15.0,0.0
1995-12-01,15.0,15.13,15.0,15.0,105200,15.0,0.0
1995-12-04,15.0,15.13,14.75,14.75,196600,14.75,-0.01666666666666672
1995-12-05,14.75,14.87,14.75,14.75,35400,14.75,0.0
1995-12-06,14.75,14.87,14.75,14.75,14100,14.75,0.0
1995-12-07,14.75,14.87,14.75,14.75,27900,14.75,0.0
1995-12-08,14.75,14.87,14.75,14.75,4000,14.75,0.0
1995-12-11,14.62,14.75,14.62,14.75,22200,14.75,0.0
1995-12-12,14.62,14.62,14.38,14.38,43800,14.38,-0.025084745762711802
1995-12-13,14.38,14.38,14.0,14.0,73200,14.0,-0.026425591098748313
1995-12-14,14.0,14.12,14.0,14.0,5500,14.0,0.0
1995-12-15,14.0,14.12,13.88,13.88,33400,13.88,-0.008571428571428563
1995-12-18,13.75,13.75,13.75,13.75,2500,13.75,-0.009365994236311348
1995-12-19,13.88,13.88,13.5,13.5,34000,13.5,-0.018181818181818188
1995-12-20,13.37,13.37,12.0,12.25,76100,12.25,-0.09259259259259256
1995-12-21,12.25,12.25,12.13,12.25,35800,12.25,0.0
1995-12-22,12.25,12.38,12.25,12.38,31000,12.38,0.010612244897959311
1995-12-26,12.13,12.38,12.13,12.13,88100,12.13,-0.020193861066235885
1995-12-27,12.13,12.13,12.0,12.0,34300,12.0,-0.010717230008244094
1995-12-28,12.13,12.13,12.0,12.0,86800,12.0,0.0
1995-12-29,12.0,12.0,11.25,11.62,93400,11.62,-0.03166666666666673
1996-01-02,11.62,12.0,11.62,12.0,13300,12.0,0.03270223752151469
1996-01-03,11.87,12.5,11.87,12.25,16900,12.25,0.02083333333333326
1996-01-04,12.38,12.88,12.38,12.88,47900,12.88,0.0514285714285716
1996-01-05,13.0,13.37,13.0,13.37,4300,13.37,0.0380434782608694
1996-01-08,13.25,13.5,13.25,13.5,1300,13.5,0.00972326103216159
1996-01-09,13.37,13.5,13.25,13.5,25300,13.5,0.0
1996-01-10,13.5,13.63,13.5,13.63,93000,13.63,0.009629629629629655
1996-01-11,13.75,14.0,13.75,14.0,12400,14.0,0.027146001467351466
1996-01-12,14.12,14.38,14.12,14.38,6200,14.38,0.027142857142857135
1996-01-15,14.5,15.25,14.5,15.0,67200,15.0,0.04311543810848395
1996-01-16,15.13,15.13,15.0,15.13,89000,15.13,0.008666666666666822
1996-01-17,15.13,15.25,15.0,15.13,40200,15.13,0.0
1996-01-18,15.25,15.25,15.0,15.0,8800,15.0,-0.008592200925313986
1996-01-19,15.0,15.13,15.0,15.0,5600,15.0,0.0
1996-01-22,15.13,15.13,15.0,15.0,13200,15.0,0.0
1996-01-23,15.0,15.13,14.87,15.0,22400,15.0,0.0
1996-01-24,15.0,15.0,14.87,14.87,6700,14.87,-0.008666666666666711
1996-01-25,14.87,16.12,14.87,16.12,68400,16.12,0.0840618695359785
1996-01-26,16.0,16.5,16.0,16.5,4400,16.5,0.023573200992555776
1996-01-29,16.5,17.5,16.37,17.5,57800,17.5,0.06060606060606055
1996-01-30,17.5,17.87,17.38,17.62,121700,17.62,0.006857142857142895
1996-01-31,17.62,18.0,17.5,18.0,57300,18.0,0.02156640181611791
1996-02-01,18.0,19.12,18.0,19.0,112100,19.0,0.05555555555555558
1996-02-02,19.12,20.0,19.12,19.63,86400,19.63,0.03315789473684205
1996-02-05,19.37,19.37,19.12,19.37,40800,19.37,-0.013245033112582627
1996-02-06,19.37,19.5,19.25,19.37,35500,19.37,0.0
1996-02-07,19.37,19.37,18.5,18.5,11500,18.5,-0.044914816726897344
1996-02-08,18.5,18.62,18.5,18.62,8800,18.62,0.006486486486486642
1996-02-09,18.75,18.88,18.62,18.88,7400,18.88,0.01396348012889348
1996-02-12,18.88,19.0,18.88,19.0,11900,19.0,0.006355932203389925
1996-02-13,19.0,19.12,19.0,19.0,11800,19.0,0.0
1996-02-14,19.12,19.12,19.0,19.12,5800,19.12,0.006315789473684275
1996-02-15,19.12,19.12,19.0,19.0,2300,19.0,-0.006276150627615107
1996-02-16,19.0,19.37,19.0,19.37,53700,19.37,0.01947368421052631
1996-02-20,19.25,19.37,19.25,19.25,15100,19.25,-0.00619514713474445
1996-02-21,19.37,19.37,19.25,19.37,3600,19.37,0.006233766233766369
1996-02-22,19.5,19.5,19.37,19.37,4600,19.37,0.0
1996-02-23,19.5,19.63,19.5,19.5,17800,19.5,0.006711409395973034
1996-02-26,19.75,19.88,19.5,19.75,81700,19.75,0.012820512820512775
1996-02-27,19.88,19.88,19.37,19.5,4100,19.5,-0.012658227848101222
1996-02-28,19.63,19.75,19.5,19.63,11600,19.63,0.006666666666666599
1996-02-29,19.75,21.25,19.75,21.25,155300,21.25,0.08252674477840038
