Date,Open,High,Low,Close,Volume,Adj Close,Return
1998-05-12,18.75,19.25,17.75,19.19,2344400,19.29,0.0
1998-05-13,19.37,20.62,19.0,20.5,658900,20.61,0.06842923794712297
1998-05-14,20.62,20.62,20.0,20.12,306200,20.23,-0.018437651625424545
1998-05-15,20.12,20.31,20.0,20.12,130800,20.23,0.0
1998-05-18,20.12,20.25,19.12,19.12,416600,19.23,-0.049431537320810626
1998-05-19,19.31,19.88,19.25,19.5,118000,19.6,0.01924076963078525
1998-05-20,19.5,19.63,19.12,19.19,149200,19.29,-0.01581632653061238
1998-05-21,19.63,19.63,18.75,19.25,74800,19.35,0.0031104199066875893
1998-05-22,19.37,19.37,18.75,19.0,31600,19.1,-0.012919896640826822
1998-05-27,18.88,19.12,18.5,18.88,89800,18.98,-0.006282722513089034
1998-05-28,18.5,18.88,18.5,18.62,75900,18.72,-0.013698630136986356
1998-05-29,18.75,19.0,18.5,18.5,35200,18.6,-0.0064102564102562765
1998-06-01,18.5,18.88,18.25,18.38,141700,18.47,-0.00698924731182804
1998-06-02,18.25,18.5,17.56,17.56,80200,17.66,-0.0438548998375744
1998-06-03,17.56,17.69,15.62,15.62,162400,15.71,-0.11041902604756504
1998-06-04,15.62,16.25,15.62,16.0,58500,16.09,0.024188415022278642
1998-06-05,16.0,17.38,16.0,16.88,80300,16.96,0.054070851460534586
1998-06-08,17.25,17.38,17.0,17.12,4800,17.22,0.015330188679245182
1998-06-09,17.38,17.38,16.88,17.25,19800,17.34,0.006968641114982743
1998-06-10,17.38,17.62,17.0,17.0,214600,17.09,-0.014417531718569743
1998-06-11,17.0,17.12,16.25,16.25,84700,16.34,-0.043885313048566466
1998-06-12,16.25,16.75,16.25,16.37,22600,16.46,0.007343941248470154
1998-06-15,16.5,16.5,16.0,16.5,13800,16.59,0.007897934386391192
1998-06-16,16.63,16.63,15.81,15.81,12800,15.9,-0.04159132007233268
1998-06-17,15.81,16.19,15.25,15.25,17200,15.33,-0.03584905660377358
1998-06-18,8.75,9.75,8.5,9.5,1430300,9.55,-0.3770384866275277
1998-06-19,9.88,10.12,9.75,9.88,789200,9.93,0.03979057591623025
1998-06-22,9.88,9.88,9.69,9.75,81000,9.8,-0.01309164149043296
1998-06-23,9.81,9.94,9.25,9.81,198400,9.86,0.006122448979591688
1998-06-24,9.81,11.0,9.81,10.69,87200,10.74,0.08924949290060868
1998-06-25,10.69,11.5,10.63,10.69,67700,10.74,0.0
1998-06-26,10.88,11.38,10.88,11.12,19900,11.18,0.040968342644320144
1998-06-29,10.94,11.19,10.88,11.0,10700,11.06,-0.01073345259391767
1998-06-30,10.88,11.25,10.88,11.06,15400,11.12,0.005424954792043302
1998-07-01,11.25,11.62,11.12,11.5,66800,11.56,0.039568345323741205
1998-07-02,11.69,12.0,11.38,11.87,66200,11.94,0.03287197231833905
1998-07-06,12.0,12.0,11.38,11.56,23800,11.62,-0.02680067001675046
1998-07-07,11.56,12.0,11.38,11.75,42200,11.81,0.016351118760757455
1998-07-08,11.5,11.69,11.25,11.25,40200,11.31,-0.0423370025402201
1998-07-09,11.5,11.5,11.12,11.12,74300,11.18,-0.011494252873563315
1998-07-10,11.12,11.5,11.12,11.5,2700,11.56,0.033989266547406194
1998-07-13,11.5,11.5,10.75,10.88,63500,10.93,-0.054498269896193885
1998-07-14,10.75,11.25,10.63,11.0,85200,11.06,0.011893870082342328
1998-07-15,10.88,11.5,10.75,11.0,76800,11.06,0.0
1998-07-16,11.0,11.38,10.88,11.0,44600,11.06,0.0
1998-07-17,10.88,11.0,10.75,10.75,174400,10.81,-0.022603978300180794
1998-07-20,10.63,10.88,10.19,10.44,40000,10.49,-0.029602220166512483
1998-07-21,10.37,10.63,9.94,10.0,28000,10.05,-0.041944709246901746
1998-07-22,9.88,10.06,8.38,8.62,102800,8.67,-0.13731343283582098
1998-07-23,8.62,8.75,8.12,8.62,73100,8.67,0.0
1998-07-24,7.5,7.63,5.5,5.69,2091100,5.72,-0.34025374855824686
1998-07-27,5.87,6.0,5.69,5.94,82800,5.97,0.04370629370629375
1998-07-28,5.94,6.0,5.69,5.81,141700,5.84,-0.021775544388609736
1998-07-29,5.87,5.87,5.5,5.62,28600,5.65,-0.03253424657534243
1998-07-30,5.62,5.69,5.5,5.56,9000,5.59,-0.010619469026548756
1998-07-31,5.75,5.75,5.06,5.38,24200,5.4,-0.03398926654740597
1998-08-03,5.5,5.5,4.5,5.0,118100,5.03,-0.06851851851851853
1998-08-04,4.88,5.0,4.75,4.88,151000,4.9,-0.025844930417495027
1998-08-05,5.0,5.25,5.0,5.25,39800,5.28,0.07755102040816331
1998-08-06,5.12,5.25,5.12,5.25,118500,5.28,0.0
1998-08-07,5.38,5.38,5.0,5.12,40900,5.15,-0.024621212121212155
1998-08-10,5.12,5.38,5.0,5.31,110300,5.34,0.03689320388349504
1998-08-11,5.25,5.62,5.25,5.56,26800,5.59,0.04681647940074907
1998-08-12,5.75,5.84,5.62,5.69,13400,5.72,0.023255813953488413
1998-08-13,5.62,5.75,5.44,5.44,12300,5.47,-0.04370629370629375
1998-08-14,5.38,5.62,5.12,5.25,31400,5.28,-0.034734917733089454
1998-08-17,5.31,5.31,5.12,5.19,5800,5.22,-0.011363636363636465
1998-08-18,5.19,5.25,5.19,5.25,2000,5.28,0.011494252873563315
1998-08-19,5.38,5.5,5.12,5.5,41000,5.53,0.04734848484848486
1998-08-20,5.5,5.5,5.25,5.5,2500,5.53,0.0
1998-08-21,5.44,5.44,4.75,5.0,15800,5.03,-0.09041591320072329
1998-08-24,5.0,5.06,4.69,4.69,67400,4.71,-0.06361829025844934
1998-08-25,4.69,5.25,4.63,4.69,5700,4.71,0.0
1998-08-26,4.5,4.63,4.37,4.56,11000,4.59,-0.02547770700636942
1998-08-27,4.5,4.5,4.0,4.06,9100,4.08,-0.11111111111111105
1998-08-28,4.37,4.37,3.13,3.56,139600,3.58,-0.12254901960784315
1998-08-31,3.75,3.75,3.0,3.19,81600,3.2,-0.10614525139664799
1998-09-01,3.0,3.5,2.62,3.25,41400,3.27,0.021874999999999867
1998-09-02,3.56,3.88,3.5,3.56,14100,3.58,0.09480122324159024
1998-09-03,3.5,3.62,3.25,3.44,6600,3.46,-0.033519553072625774
1998-09-04,3.56,3.75,3.38,3.44,10800,3.46,0.0
1998-09-08,3.44,4.0,3.44,3.81,22400,3.83,0.10693641618497107
1998-09-09,3.88,4.0,3.75,3.88,2100,3.9,0.018276762402088753
1998-09-10,3.62,3.69,3.38,3.44,7800,3.46,-0.11282051282051286
1998-09-11,3.44,3.62,3.44,3.62,7200,3.64,0.052023121387283267
1998-09-14,3.62,3.62,3.62,3.62,200,3.64,0.0
1998-09-15,3.5,3.5,3.19,3.19,6700,3.2,-0.1208791208791209
