Date,Open,High,Low,Close,Volume,Adj Close,Return
2010-04-23,13.25,13.72,13.02,13.3,3210000,11.27,0.0
2010-04-26,13.43,13.44,11.89,13.08,1857800,11.08,-0.01685891748003543
2010-04-27,13.0,13.14,12.9,13.0,574900,11.01,-0.006317689530685899
2010-04-28,13.0,13.05,12.7,12.9,232800,10.93,-0.0072661217075385975
2010-04-29,13.0,13.24,12.81,12.96,76600,10.98,0.0045745654162854255
2010-04-30,13.18,13.18,12.8,12.9,280300,10.93,-0.004553734061930825
2010-05-03,13.0,13.0,12.74,12.9,460600,10.93,0.0
2010-05-04,12.75,13.0,12.3,12.71,624900,10.77,-0.014638609332113472
2010-05-05,12.32,13.07,12.32,13.01,321300,11.02,0.0232126276694522
2010-05-06,13.0,13.05,11.9,13.02,442200,11.03,0.0009074410163338875
2010-05-07,12.91,13.43,12.8,13.18,472500,11.17,0.012692656391659174
2010-05-10,13.18,13.18,12.52,13.1,195800,11.1,-0.006266786034019756
2010-05-11,13.04,13.05,12.74,12.99,124200,11.01,-0.008108108108108136
2010-05-12,12.93,13.0,12.78,13.0,194500,11.01,0.0
2010-05-13,12.9,13.0,12.75,12.77,143300,10.82,-0.0172570390554041
2010-05-14,12.65,12.65,11.87,12.3,482300,10.42,-0.0369685767097967
2010-05-17,12.22,12.38,12.04,12.15,265100,10.29,-0.01247600767754331
2010-05-18,12.13,12.3,12.0,12.16,345300,10.3,0.0009718172983481654
2010-05-19,12.17,12.37,12.01,12.31,233700,10.43,0.012621359223300876
2010-05-20,12.3,12.3,11.31,11.77,693300,9.97,-0.044103547459252046
2010-05-21,12.0,12.28,11.45,11.8,280200,10.0,0.0030090270812437314
2010-05-24,11.69,12.26,11.45,11.72,94200,9.93,-0.007000000000000006
2010-05-25,11.53,11.63,10.77,11.62,184400,9.84,-0.009063444108761365
2010-05-26,11.5,11.82,11.48,11.71,23400,9.92,0.008130081300812941
2010-05-27,11.85,12.29,11.65,12.28,49800,10.4,0.048387096774193505
2010-05-28,12.18,12.24,12.02,12.19,7400,10.33,-0.006730769230769207
2010-06-01,12.19,12.19,12.01,12.11,16800,10.26,-0.006776379477250738
2010-06-02,12.35,12.55,12.1,12.52,33800,10.61,0.03411306042884976
2010-06-03,12.47,12.5,12.39,12.44,68000,10.54,-0.006597549481621168
2010-06-04,12.4,12.44,12.03,12.03,68000,10.19,-0.03320683111954459
2010-06-07,12.35,12.37,11.81,12.02,25400,10.18,-0.0009813542688910104
2010-06-08,11.97,11.97,11.56,11.91,24800,10.09,-0.008840864440078589
2010-06-09,11.82,11.97,11.61,11.83,27800,10.02,-0.0069375619425173785
2010-06-10,11.83,12.04,11.83,12.02,17600,10.18,0.015968063872255467
2010-06-11,12.18,12.35,11.88,12.33,30600,10.45,0.026522593320235766
2010-06-14,12.44,12.87,12.42,12.84,77800,10.88,0.04114832535885182
2010-06-15,12.78,12.91,12.67,12.85,54200,10.89,0.0009191176470588758
2010-06-16,12.75,12.99,12.69,12.96,30600,10.98,0.008264462809917328
2010-06-17,12.87,12.95,12.27,12.6,46600,10.68,-0.02732240437158473
