Date,Open,High,Low,Close,Volume,Adj Close,Return
2013-10-01,6.56,7.24,6.31,6.62,2079700,6.62,0.0
2013-10-02,6.65,7.15,6.65,6.95,311700,6.95,0.049848942598187396
2013-10-03,6.9,6.97,6.85,6.9,110000,6.9,-0.007194244604316502
2013-10-04,6.95,7.2,6.8,7.15,61300,7.15,0.03623188405797095
2013-10-07,7.93,9.0,7.37,8.5,381800,8.5,0.18881118881118875
2013-10-08,8.49,9.19,7.83,7.94,284700,7.94,-0.06588235294117639
2013-10-09,7.53,7.61,6.06,6.7,381100,6.7,-0.1561712846347607
2013-10-10,7.4,7.4,6.5,6.96,91200,6.96,0.0388059701492538
2013-10-11,7.1,7.25,6.81,7.05,30600,7.05,0.012931034482758674
2013-10-14,7.1,7.2,6.64,7.01,80200,7.01,-0.005673758865248235
2013-10-15,6.99,7.19,6.83,7.19,42500,7.19,0.02567760342368053
2013-10-16,7.15,7.15,6.59,7.0,103400,7.0,-0.026425591098748313
2013-10-17,6.92,7.03,6.76,7.03,25900,7.03,0.004285714285714226
2013-10-18,7.01,7.1,6.87,7.0,50000,7.0,-0.004267425320056972
2013-10-21,7.0,7.05,6.87,7.0,20400,7.0,0.0
2013-10-22,7.1,7.1,6.6,6.72,30100,6.72,-0.040000000000000036
2013-10-23,6.8,7.11,6.75,6.85,88300,6.85,0.019345238095238138
2013-10-24,6.61,6.93,6.61,6.93,53000,6.93,0.01167883211678844
2013-10-25,6.85,6.95,6.75,6.87,25000,6.87,-0.008658008658008587
2013-10-28,7.1,7.12,6.25,6.45,248900,6.45,-0.06113537117903933
2013-10-29,6.25,6.51,6.05,6.3,72200,6.3,-0.023255813953488413
2013-10-30,6.4,6.64,6.25,6.25,24000,6.25,-0.007936507936507908
2013-10-31,6.27,6.35,6.0,6.0,108500,6.0,-0.040000000000000036
2013-11-01,6.01,6.15,6.0,6.01,56200,6.01,0.0016666666666667052
2013-11-04,6.1,6.31,6.0,6.29,131700,6.29,0.04658901830282858
2013-11-05,6.25,6.43,6.02,6.11,21000,6.11,-0.02861685214626386
2013-11-06,6.1,6.18,5.94,5.95,15700,5.95,-0.026186579378068786
2013-11-07,6.0,6.23,4.69,5.0,55800,5.0,-0.15966386554621848
2013-11-08,4.95,5.02,4.5,4.61,81900,4.61,-0.07799999999999996
2013-11-11,4.55,4.71,4.3,4.65,37900,4.65,0.008676789587852562
2013-11-12,4.51,5.15,4.51,4.77,70000,4.77,0.02580645161290307
2013-11-13,4.83,5.51,4.83,5.16,54000,5.16,0.08176100628930838
2013-11-14,4.97,5.05,4.5,4.86,72700,4.86,-0.05813953488372092
2013-11-15,4.93,5.42,4.9,5.1,22500,5.1,0.04938271604938249
2013-11-18,5.14,5.15,4.9,4.95,7700,4.95,-0.02941176470588225
2013-11-19,5.12,5.12,4.95,5.0,5800,5.0,0.010101010101010166
2013-11-20,5.16,5.2,4.95,4.96,17000,4.96,-0.008000000000000007
2013-11-21,5.02,5.04,4.95,5.0,5600,5.0,0.008064516129032251
2013-11-22,5.12,5.31,4.95,5.06,46700,5.06,0.01200000000000001
2013-11-25,5.1,5.39,5.05,5.05,45200,5.05,-0.0019762845849802257
2013-11-26,5.16,5.33,5.05,5.25,33100,5.25,0.03960396039603964
2013-11-27,5.26,5.49,5.26,5.46,3700,5.46,0.040000000000000036
2013-11-29,5.44,5.84,5.44,5.6,17800,5.6,0.02564102564102555
2013-12-02,5.7,5.89,5.5,5.64,22600,5.64,0.0071428571428571175
2013-12-03,5.77,6.1,5.75,5.94,56100,5.94,0.05319148936170226
2013-12-04,6.25,6.25,5.97,6.05,32500,6.05,0.01851851851851838
2013-12-05,6.13,6.48,6.05,6.14,20900,6.14,0.014876033057851235
2013-12-06,6.14,6.48,5.96,6.33,17300,6.33,0.030944625407166138
2013-12-09,6.44,6.48,6.11,6.34,18800,6.34,0.0015797788309637184
