Date,Open,High,Low,Close,Volume,Adj Close,Return
1993-11-01,41.0,43.5,41.0,43.5,8800,2.85,0.0
1993-11-02,43.5,43.5,43.5,43.5,0,2.85,0.0
1993-11-03,41.0,41.0,41.0,41.0,11200,2.69,-0.056140350877193046
1993-11-04,41.0,41.0,41.0,41.0,6400,2.69,0.0
1993-11-05,41.5,41.5,41.5,41.5,15300,2.72,0.01115241635687747
1993-11-08,41.5,41.5,41.5,41.5,0,2.72,0.0
1993-11-09,41.5,41.5,41.5,41.5,0,2.72,0.0
1993-11-10,43.5,43.5,43.5,43.5,1600,2.85,0.047794117647058876
1993-11-11,42.0,42.0,42.0,42.0,4800,2.75,-0.03508771929824561
1993-11-12,42.0,42.0,42.0,42.0,4000,2.75,0.0
1993-11-15,42.0,42.0,42.0,42.0,0,2.75,0.0
1993-11-16,42.0,42.0,42.0,42.0,0,2.75,0.0
1993-11-17,42.0,42.0,42.0,42.0,0,2.75,0.0
1993-11-18,42.0,42.63,42.0,42.63,67600,2.79,0.014545454545454639
1993-11-19,42.63,42.63,42.63,42.63,0,2.79,0.0
1993-11-22,42.63,42.63,42.63,42.63,0,2.79,0.0
1993-11-23,42.63,42.63,42.63,42.63,0,2.79,0.0
1993-11-24,42.75,42.75,42.75,42.75,4000,2.8,0.0035842293906809264
1993-11-26,42.75,42.75,42.75,42.75,0,2.8,0.0
1993-11-29,42.75,42.75,42.75,42.75,0,2.8,0.0
1993-11-30,42.75,42.75,42.75,42.75,0,2.8,0.0
1993-12-01,42.5,42.5,42.5,42.5,12900,2.78,-0.0071428571428571175
1993-12-02,42.5,42.5,42.5,42.5,0,2.78,0.0
1993-12-03,42.5,42.5,42.5,42.5,0,2.78,0.0
1993-12-06,43.5,43.5,43.5,43.5,2400,2.85,0.02517985611510798
1993-12-07,41.5,41.5,41.5,41.5,2400,2.72,-0.04561403508771922
1993-12-08,41.0,41.0,41.0,41.0,1600,2.69,-0.011029411764705954
1993-12-09,41.0,41.0,41.0,41.0,0,2.69,0.0
1993-12-10,41.5,41.5,41.5,41.5,36300,2.72,0.01115241635687747
1993-12-13,41.5,41.5,41.5,41.5,0,2.74,0.007352941176470562
1993-12-14,41.5,41.5,41.5,41.5,123300,2.74,0.0
1993-12-15,41.5,41.5,41.5,41.5,0,2.74,0.0
1993-12-16,41.5,41.5,41.5,41.5,0,2.74,0.0
1993-12-17,41.5,43.5,41.5,43.5,8800,2.87,0.04744525547445244
1993-12-20,43.5,43.5,43.5,43.5,0,2.87,0.0
1993-12-21,43.5,43.5,43.5,43.5,0,2.87,0.0
1993-12-22,43.5,43.5,43.5,43.5,0,2.87,0.0
1993-12-23,43.5,43.5,43.5,43.5,0,2.87,0.0
