Date,Open,High,Low,Close,Volume,Adj Close,Return
2013-09-25,31.5,36.05,30.07,35.35,7701400,35.35,0.0
2013-09-26,34.61,37.98,33.35,36.63,1000400,36.63,0.036209335219236305
2013-09-27,36.77,37.75,34.4,35.65,442000,35.65,-0.026754026754026827
2013-09-30,35.42,41.51,35.36,39.64,555200,39.64,0.11192145862552594
2013-10-01,40.8,40.84,36.16,36.79,592600,36.79,-0.07189707366296672
2013-10-02,37.81,37.81,36.11,36.85,453500,36.85,0.0016308779559663922
2013-10-03,37.25,37.25,34.12,34.84,499500,34.84,-0.05454545454545445
2013-10-04,35.0,37.8,33.37,33.43,542600,33.43,-0.04047072330654433
2013-10-07,33.4,34.8,31.25,32.54,470100,32.54,-0.026622793897696728
2013-10-08,32.07,33.02,31.16,31.76,394700,31.76,-0.023970497848801453
2013-10-09,31.46,32.8,30.59,30.68,321800,30.68,-0.03400503778337538
2013-10-10,31.25,31.44,29.81,30.42,506000,30.42,-0.008474576271186418
2013-10-11,30.34,34.25,29.92,33.7,405500,33.7,0.1078238001314924
2013-10-14,33.7,35.47,33.1,34.92,143700,34.92,0.03620178041543021
2013-10-15,35.17,35.93,34.01,34.77,378800,34.77,-0.004295532646048095
2013-10-16,35.15,35.3,33.28,34.0,126000,34.0,-0.022145527753810845
2013-10-17,34.14,35.3,34.14,34.88,111700,34.88,0.025882352941176467
2013-10-18,35.07,35.07,33.27,33.99,290500,33.99,-0.025516055045871622
2013-10-21,34.0,34.0,32.01,32.84,247800,32.84,-0.033833480435422114
2013-10-22,33.6,34.32,31.32,31.45,164300,31.45,-0.04232643118148616
2013-10-23,30.85,31.45,30.01,30.86,384700,30.86,-0.018759936406995248
2013-10-24,30.89,31.45,30.66,31.05,75200,31.05,0.006156837329876819
2013-10-25,31.08,31.63,30.76,30.87,79500,30.87,-0.005797101449275366
2013-10-28,30.89,31.1,30.0,30.2,178800,30.2,-0.021703919663103366
2013-10-29,30.77,31.37,30.1,31.07,316600,31.07,0.028807947019867663
2013-10-30,31.21,31.45,30.4,31.34,193600,31.34,0.008690054715159379
2013-10-31,31.11,32.26,30.5,32.07,180300,32.07,0.023292916400765806
2013-11-01,32.24,32.73,30.9,31.2,501700,31.2,-0.027128157156220745
2013-11-04,31.5,32.4,31.2,32.08,105800,32.08,0.028205128205128105
2013-11-05,32.59,32.84,31.59,32.1,97900,32.1,0.0006234413965087171
2013-11-06,32.13,32.26,29.35,29.82,357600,29.82,-0.07102803738317764
2013-11-07,30.17,30.91,28.0,28.06,428100,28.06,-0.0590207914151577
2013-11-08,28.0,29.75,27.75,28.68,303500,28.68,0.022095509622238163
2013-11-11,30.39,30.39,28.59,28.98,188300,28.98,0.010460251046025215
2013-11-12,28.54,28.65,25.64,25.69,383600,25.69,-0.11352657004830913
2013-11-13,25.43,25.69,22.81,22.97,497400,22.97,-0.10587777345270544
2013-11-14,22.85,23.07,20.0,20.42,976900,20.42,-0.11101436656508479
2013-11-15,20.37,25.23,20.37,24.49,840400,24.49,0.1993143976493632
2013-11-18,24.69,26.25,24.5,25.51,476600,25.51,0.04164965291955913
2013-11-19,25.59,26.2,24.05,24.1,370600,24.1,-0.05527244217953742
2013-11-20,24.07,25.98,24.07,25.75,295500,25.75,0.06846473029045641
2013-11-21,26.45,27.55,25.46,27.0,248500,27.0,0.04854368932038833
2013-11-22,27.27,27.54,25.93,26.32,80100,26.32,-0.0251851851851852
2013-11-25,26.6,27.45,25.69,25.75,198000,25.75,-0.021656534954407336
2013-11-26,25.59,26.3,25.25,25.57,137500,25.57,-0.006990291262135906
2013-11-27,25.86,27.25,24.84,25.5,164400,25.5,-0.0027375831052014465
2013-11-29,25.48,25.85,24.9,25.04,71900,25.04,-0.018039215686274535
2013-12-02,24.99,25.36,23.02,23.25,257500,23.25,-0.07148562300319483
2013-12-03,23.0,23.5,22.24,22.88,296900,22.88,-0.015913978494623726
2013-12-04,22.35,22.91,21.76,22.76,474800,22.76,-0.005244755244755095
2013-12-05,22.92,24.74,22.88,24.33,189300,24.33,0.06898066783831269
2013-12-06,24.52,24.84,23.44,24.61,203200,24.61,0.011508425811755041
2013-12-09,24.95,25.7,22.4,23.06,405700,23.06,-0.06298252742787491
