Date,Open,High,Low,Close,Volume,Adj Close,Return
2006-11-28,20.19,20.24,20.06,20.19,51300,10.9,0.0
2006-11-29,20.19,20.24,20.07,20.19,38500,10.9,0.0
2006-11-30,20.14,20.4,20.14,20.4,35900,11.01,0.010091743119265972
2006-12-01,20.4,20.6,20.25,20.4,76100,11.01,0.0
2006-12-04,20.4,20.8,20.3,20.5,64200,11.07,0.005449591280654031
2006-12-05,20.72,20.74,20.1,20.11,70800,10.86,-0.018970189701897122
2006-12-06,20.18,20.7,20.18,20.5,27800,11.07,0.01933701657458564
2006-12-07,20.65,20.79,20.61,20.67,20700,11.16,0.008130081300812941
2006-12-08,20.61,20.68,20.4,20.65,28500,11.15,-0.0008960573476702871
2006-12-11,20.55,20.69,20.47,20.54,19100,11.09,-0.0053811659192825045
2006-12-12,20.54,20.7,20.45,20.7,22700,11.17,0.007213706041478751
2006-12-13,20.7,20.75,20.6,20.75,28100,11.2,0.0026857654431511335
2006-12-14,20.75,21.0,20.48,20.48,39300,11.05,-0.013392857142856984
2006-12-15,20.4,20.75,20.4,20.75,39700,11.2,0.013574660633484115
2006-12-18,20.75,20.75,20.28,20.55,30000,11.09,-0.009821428571428537
2006-12-19,20.65,20.7,20.23,20.23,55400,10.92,-0.015329125338142457
2006-12-20,20.43,20.75,20.35,20.55,34500,11.09,0.015567765567765512
2006-12-21,20.58,20.75,20.36,20.65,54800,11.15,0.0054102795311090635
2006-12-22,20.71,20.85,20.6,20.7,45800,11.26,0.009865470852017832
2006-12-26,20.7,20.7,20.5,20.63,43800,11.22,-0.003552397868561208
2006-12-27,20.51,20.8,20.4,20.75,39800,11.29,0.0062388591800355275
2006-12-28,20.8,20.85,20.55,20.7,23800,11.26,-0.0026572187776793266
2006-12-29,20.26,20.54,20.15,20.42,67300,11.11,-0.013321492007104863
2007-01-03,20.4,20.53,20.05,20.25,58200,11.02,-0.008100810081008047
2007-01-04,20.45,20.45,19.75,19.75,98900,10.74,-0.025408348457350183
2007-01-05,19.8,20.8,19.8,19.94,41100,10.85,0.010242085661080091
2007-01-08,19.89,20.74,19.87,20.22,56700,11.0,0.01382488479262678
2007-01-09,20.38,20.38,20.01,20.36,40100,11.08,0.0072727272727273196
2007-01-10,20.36,20.4,19.97,20.35,58500,11.07,-0.0009025270758122872
2007-01-11,20.3,20.4,20.01,20.12,34300,11.01,-0.005420054200542035
2007-01-12,20.22,20.23,19.88,20.01,40500,10.95,-0.005449591280654031
2007-01-16,20.1,20.22,20.0,20.18,32000,11.04,0.008219178082191858
2007-01-17,20.03,20.18,20.01,20.18,40600,11.04,0.0
2007-01-18,20.21,20.35,20.08,20.15,37800,11.02,-0.0018115942028985588
2007-01-19,20.2,20.3,20.0,20.06,36300,10.98,-0.003629764065335661
2007-01-22,20.15,20.3,20.01,20.1,43600,11.0,0.0018214936247722413
2007-01-23,20.06,20.25,20.02,20.09,47700,10.99,-0.0009090909090908594
2007-01-24,20.15,20.45,20.04,20.1,80400,11.0,0.0009099181073703999
2007-01-25,20.1,20.5,20.1,20.45,118700,11.19,0.01727272727272733
2007-01-26,20.49,20.5,20.24,20.49,49300,11.21,0.0017873100983021306
2007-01-29,20.45,20.49,20.25,20.33,37400,11.12,-0.008028545941124121
2007-01-30,20.4,20.45,20.24,20.25,47900,11.08,-0.003597122302158251
2007-01-31,20.44,20.65,20.38,20.63,75600,11.29,0.018953068592057587
2007-02-01,20.69,20.81,20.4,20.5,133200,11.22,-0.006200177147918429
2007-02-02,20.58,20.6,20.3,20.56,30000,11.25,0.002673796791443861
2007-02-05,20.5,20.55,20.29,20.33,23500,11.12,-0.011555555555555652
2007-02-06,20.32,20.58,20.11,20.17,55700,11.04,-0.007194244604316502
2007-02-07,20.2,20.49,20.2,20.47,31400,11.2,0.01449275362318847
2007-02-08,20.46,20.59,20.26,20.42,37300,11.17,-0.002678571428571419
2007-02-09,20.5,20.5,20.11,20.3,36100,11.11,-0.0053715308863026
2007-02-12,20.15,20.23,20.02,20.23,60200,11.07,-0.0036003600360035026
2007-02-13,20.15,20.28,20.06,20.2,45000,11.12,0.004516711833784992
2007-02-14,20.3,20.64,20.21,20.36,82100,11.21,0.008093525179856176
2007-02-15,20.33,20.4,20.11,20.39,34000,11.22,0.000892060660124816
2007-02-16,20.3,20.31,20.01,20.08,29600,11.05,-0.015151515151515138
2007-02-20,20.15,20.19,19.95,20.03,74300,11.02,-0.002714932126696934
2007-02-21,20.05,20.08,19.85,19.9,58500,10.95,-0.006352087114337546
2007-02-22,19.9,20.05,19.63,19.87,76600,10.94,-0.0009132420091324533
2007-02-23,19.87,20.01,19.56,19.75,60900,10.87,-0.006398537477148136
2007-02-26,19.7,19.9,19.57,19.69,57100,10.84,-0.002759889604415755
2007-02-27,19.76,19.76,19.07,19.41,55200,10.68,-0.014760147601476037
2007-02-28,19.66,19.77,19.26,19.58,42600,10.78,0.009363295880149725
2007-03-01,19.42,19.76,19.24,19.75,48900,10.87,0.008348794063079756
2007-03-02,19.78,19.9,19.5,19.68,34700,10.83,-0.0036798528058876734
2007-03-05,19.68,19.77,19.42,19.6,25100,10.79,-0.003693444136657509
2007-03-06,19.55,19.74,19.51,19.66,17800,10.82,0.002780352177942591
2007-03-07,19.74,19.9,19.5,19.82,32400,10.91,0.008317929759704246
2007-03-08,19.85,19.97,19.72,19.89,66600,10.95,0.0036663611365719273
2007-03-09,19.93,20.0,19.81,19.99,54700,11.0,0.004566210045662267
2007-03-12,19.91,19.95,19.69,19.85,14600,10.92,-0.0072727272727273196
2007-03-13,19.76,19.85,19.55,19.55,32900,10.82,-0.009157509157509125
2007-03-14,19.74,19.74,19.3,19.7,31500,10.91,0.008317929759704246
2007-03-15,19.66,19.83,19.5,19.75,41100,10.93,0.0018331805682858526
2007-03-16,19.75,19.75,19.43,19.44,31100,10.76,-0.015553522415370558
2007-03-19,19.6,19.85,19.51,19.79,38800,10.96,0.01858736059479571
2007-03-20,19.7,19.95,19.66,19.85,90000,10.99,0.0027372262773721623
2007-03-21,19.66,20.0,19.66,19.96,97100,11.05,0.005459508644221955
2007-03-22,19.8,20.1,19.8,20.0,96900,11.07,0.0018099547511312153
2007-03-23,19.95,20.06,19.81,20.0,43500,11.07,0.0
2007-03-26,20.0,20.05,19.82,20.0,41300,11.07,0.0
2007-03-27,20.0,20.05,19.79,19.99,50800,11.07,0.0
2007-03-28,19.9,20.02,19.85,19.86,62600,11.0,-0.006323396567299078
2007-03-29,20.0,20.06,19.85,19.95,36500,11.05,0.00454545454545463
2007-03-30,19.95,20.05,19.85,20.02,49000,11.08,0.002714932126696823
2007-04-02,20.07,20.1,19.91,19.94,43900,11.04,-0.0036101083032491488
2007-04-03,20.0,20.15,19.92,19.99,38100,11.07,0.0027173913043478937
2007-04-04,20.06,20.15,19.93,20.04,52100,11.1,0.0027100271002709064
2007-04-05,20.05,20.18,20.02,20.15,46600,11.16,0.00540540540540535
2007-04-09,20.2,20.2,20.0,20.14,76300,11.15,-0.0008960573476702871
2007-04-10,20.18,20.24,20.03,20.11,37900,11.13,-0.0017937219730941312
