Date,Open,High,Low,Close,Volume,Adj Close,Return
2010-12-02,15.0,15.34,14.75,14.85,8634400,14.05,0.0
2010-12-03,14.9,15.25,14.38,15.0,1201800,14.19,0.009964412811387824
2010-12-06,14.98,15.04,14.5,14.95,517300,14.15,-0.0028188865398167673
2010-12-07,14.98,14.99,14.39,14.5,376800,13.72,-0.030388692579505272
2010-12-08,14.45,14.45,14.0,14.16,191000,13.4,-0.023323615160349864
2010-12-09,14.12,14.14,13.75,13.75,437500,13.01,-0.02910447761194035
2010-12-10,13.76,13.82,12.42,13.0,1912000,12.3,-0.054573405073020664
2010-12-13,13.0,13.2,12.54,13.1,583700,12.4,0.008130081300812941
2010-12-14,13.1,13.45,13.0,13.1,369500,12.4,0.0
2010-12-15,12.9,13.1,12.7,12.7,516700,12.02,-0.030645161290322687
2010-12-16,12.95,13.0,12.65,12.78,134000,12.09,0.005823627287853572
2010-12-17,12.97,13.07,12.23,12.65,238100,11.97,-0.00992555831265507
2010-12-20,12.6,12.72,12.05,12.21,236800,11.55,-0.03508771929824561
2010-12-21,12.2,12.75,12.2,12.75,350300,12.06,0.04415584415584406
2010-12-22,12.87,13.1,12.67,12.77,241200,12.08,0.0016583747927030323
2010-12-23,12.9,13.0,12.75,12.9,102600,12.21,0.010761589403973648
2010-12-27,13.04,13.1,12.84,12.84,153000,12.15,-0.004914004914004955
2010-12-28,13.0,13.5,12.8,13.48,178900,12.75,0.04938271604938271
2010-12-29,13.45,13.77,13.3,13.41,133300,12.69,-0.004705882352941226
2010-12-30,13.33,13.42,12.97,13.29,224100,12.57,-0.009456264775413614
2010-12-31,13.29,13.3,13.05,13.25,62400,12.54,-0.0023866348448687846
2011-01-03,13.4,13.5,13.15,13.16,100300,12.45,-0.0071770334928229484
2011-01-04,13.08,13.18,12.98,13.0,118900,12.3,-0.012048192771084265
2011-01-05,13.18,13.53,13.13,13.3,179200,12.58,0.02276422764227637
2011-01-06,13.46,13.46,13.25,13.39,88300,12.67,0.007154213036566048
2011-01-07,13.69,13.69,13.33,13.44,175400,12.72,0.003946329913180779
2011-01-10,13.82,13.92,13.35,13.47,147700,12.75,0.002358490566037652
2011-01-11,13.89,14.26,13.63,14.02,539400,13.27,0.040784313725490184
2011-01-12,14.15,14.41,14.1,14.41,480000,13.63,0.027128862094951023
2011-01-13,14.51,14.73,14.45,14.7,377500,13.91,0.02054292002934699
2011-01-14,14.57,14.77,14.5,14.65,107900,13.86,-0.0035945363048167644
2011-01-18,14.74,14.8,14.51,14.56,260800,13.78,-0.005772005772005762
2011-01-19,14.45,14.65,14.12,14.3,130600,13.53,-0.018142235123367212
2011-01-20,14.2,14.26,13.64,13.76,313900,13.02,-0.037694013303769425
2011-01-21,13.77,13.92,13.22,13.38,129100,12.66,-0.027649769585253448
2011-01-24,13.47,13.71,13.4,13.4,88600,12.68,0.0015797788309637184
2011-01-25,13.46,13.6,13.3,13.47,87800,12.75,0.005520504731861164
2011-01-26,13.55,13.74,13.25,13.31,57700,12.59,-0.01254901960784316
2011-01-27,13.46,13.54,13.11,13.23,191900,12.52,-0.005559968228753043
2011-01-28,13.36,13.41,12.9,13.28,127000,12.57,0.003993610223642197
2011-01-31,13.34,13.61,13.15,13.57,131700,12.84,0.021479713603818507
2011-02-01,13.57,14.42,13.52,14.09,474300,13.33,0.03816199376947038
2011-02-02,14.1,14.45,14.0,14.04,138900,13.28,-0.0037509377344336903
2011-02-03,14.26,14.41,13.95,13.96,88600,13.21,-0.005271084337349241
2011-02-04,14.17,14.17,13.9,13.93,239400,13.18,-0.002271006813020504
2011-02-07,14.02,14.17,13.9,13.92,136900,13.17,-0.0007587253414264028
2011-02-08,13.95,14.08,13.92,13.98,146400,13.23,0.004555808656036442
2011-02-09,14.17,14.17,13.92,13.96,218800,13.21,-0.0015117157974300355
2011-02-10,13.99,14.1,13.46,13.46,267700,12.74,-0.03557910673732023
2011-02-11,13.59,13.76,12.88,12.97,285000,12.27,-0.03689167974882268
2011-02-14,13.13,13.28,12.09,13.11,831200,12.4,0.010594947025264867
2011-02-15,13.01,13.99,13.01,13.7,341000,12.96,0.04516129032258065
2011-02-16,12.26,12.6,11.69,12.05,2478300,11.4,-0.12037037037037035
2011-02-17,11.98,12.29,11.8,12.26,453200,11.6,0.01754385964912264
2011-02-18,12.31,12.31,11.95,12.03,315500,11.38,-0.01896551724137918
2011-02-22,12.05,12.16,11.53,11.92,234900,11.28,-0.008787346221441283
2011-02-23,11.99,12.0,11.22,11.46,271500,10.84,-0.03900709219858156
2011-02-24,11.48,11.75,11.39,11.55,215300,10.93,0.008302583025830312
2011-02-25,11.53,11.78,11.47,11.52,162800,10.9,-0.0027447392497712553
2011-02-28,11.52,11.62,11.31,11.38,205800,10.77,-0.01192660550458724
2011-03-01,11.41,11.82,11.32,11.51,242700,10.89,0.011142061281337101
2011-03-02,12.14,13.03,11.68,12.67,1105100,11.99,0.101010101010101
2011-03-03,12.78,13.28,12.78,12.99,493200,12.29,0.025020850708924014
2011-03-04,13.11,13.3,12.75,13.04,327900,12.34,0.00406834825061031
2011-03-07,13.02,13.18,12.69,12.91,140200,12.22,-0.00972447325769843
