Date,Open,High,Low,Close,Volume,Adj Close,Return
2013-02-01,25.0,25.15,24.86,25.08,509300,23.83,0.0
2013-02-04,25.03,25.1,25.02,25.05,371400,23.8,-0.0012589173310951773
2013-02-05,25.05,25.09,24.99,24.99,394600,23.75,-0.0021008403361344463
2013-02-06,25.0,25.04,24.99,25.01,465400,23.77,0.0008421052631579773
2013-02-07,25.02,25.04,24.98,24.98,473900,23.74,-0.0012620950778292617
2013-02-08,25.04,25.1,25.02,25.05,303600,23.8,0.002527379949452513
2013-02-11,25.09,25.09,25.0,25.08,249500,23.83,0.0012605042016806678
2013-02-12,25.08,25.08,25.01,25.04,239600,23.79,-0.0016785564414603105
2013-02-13,25.03,25.1,25.0,25.1,286400,23.85,0.0025220680958386588
2013-02-14,25.05,25.1,25.04,25.09,201200,23.84,-0.00041928721174011585
2013-02-15,25.1,25.2,25.08,25.11,588700,23.86,0.0008389261744965459
2013-02-19,25.16,25.18,25.08,25.11,316300,23.86,0.0
2013-02-20,25.11,25.19,25.11,25.15,178300,23.9,0.0016764459346185756
2013-02-21,25.1,25.14,25.1,25.13,180400,23.88,-0.0008368200836820217
2013-02-22,25.12,25.18,25.11,25.18,210100,23.93,0.0020938023450587373
2013-02-25,25.17,25.17,25.11,25.14,198300,23.89,-0.0016715419974926427
2013-02-26,25.16,25.18,25.09,25.1,247700,23.85,-0.001674340728338164
2013-02-27,25.1,25.13,25.09,25.13,222300,23.88,0.0012578616352201255
2013-02-28,25.14,25.23,25.11,25.21,506700,23.96,0.003350083752093891
2013-03-01,25.19,25.2,25.14,25.18,123800,23.93,-0.0012520868113522488
2013-03-04,25.21,25.26,25.19,25.25,220300,23.99,0.002507312996238964
2013-03-05,25.27,25.28,25.19,25.23,208100,23.98,-0.00041684035014577514
2013-03-06,25.24,25.24,25.18,25.2,149400,23.95,-0.0012510425354462784
2013-03-07,25.22,25.24,25.14,25.14,242700,23.89,-0.0025052192066805645
2013-03-08,25.14,25.19,25.14,25.17,208100,23.92,0.0012557555462537895
2013-03-11,25.18,25.19,25.12,25.14,166600,23.89,-0.0012541806020067714
2013-03-12,25.17,25.18,25.1,25.15,187100,23.9,0.00041858518208437445
2013-03-13,25.17,25.24,25.1,25.24,314300,23.98,0.0033472803347280866
2013-03-14,25.25,25.27,25.2,25.23,129900,23.98,0.0
2013-03-15,25.27,25.29,25.18,25.27,196000,24.01,0.0012510425354461674
2013-03-18,25.26,25.33,25.19,25.33,224700,24.07,0.002498958767180204
2013-03-19,25.3,25.32,25.23,25.27,177000,24.01,-0.00249272953884494
2013-03-20,25.23,25.27,25.22,25.25,248200,23.99,-0.0008329862557269196
2013-03-21,25.27,25.29,25.23,25.25,243100,23.99,0.0
2013-03-22,25.25,25.28,25.22,25.25,205200,23.99,0.0
2013-03-25,25.23,25.29,25.23,25.29,146300,24.03,0.0016673614005837667
