Date,Open,High,Low,Close,Volume,Adj Close,Return
1990-03-29,4.88,4.88,4.88,4.88,0,43.47,0.0
1990-03-30,4.63,4.75,4.63,4.63,300,41.25,-0.05106970324361626
1990-04-02,4.75,4.75,4.75,4.75,100,42.31,0.025696969696969774
1990-04-03,4.75,4.75,4.75,4.75,0,42.31,0.0
1990-04-04,4.75,5.0,4.75,5.0,100,44.54,0.052706216024580366
1990-04-05,5.0,5.0,4.63,4.63,0,41.25,-0.07386618769645259
1990-04-06,4.63,4.63,4.63,4.63,0,41.25,0.0
1990-04-09,4.63,4.63,4.63,4.63,0,41.25,0.0
1990-04-10,4.88,4.88,4.75,4.75,0,42.31,0.025696969696969774
1990-04-11,4.75,4.88,4.75,4.88,400,43.47,0.027416686362562004
1990-04-12,4.63,4.63,4.63,4.63,0,41.25,-0.05106970324361626
1990-04-16,5.13,5.13,5.13,5.13,0,45.7,0.10787878787878791
1990-04-17,5.13,5.13,5.13,5.13,0,45.7,0.0
1990-04-18,4.63,4.63,4.63,4.63,0,41.25,-0.0973741794310723
1990-04-19,4.63,4.75,4.63,4.75,1200,42.31,0.025696969696969774
1990-04-20,4.63,4.75,4.63,4.75,300,42.31,0.0
1990-04-23,4.75,4.75,4.75,4.75,0,42.31,0.0
1990-04-24,4.75,4.75,4.75,4.75,0,42.31,0.0
1990-04-25,4.75,4.75,4.75,4.75,300,42.31,0.0
1990-04-26,4.75,4.75,4.75,4.75,200,42.31,0.0
1990-04-27,4.75,4.75,4.63,4.75,900,42.31,0.0
1990-04-30,4.75,4.75,4.75,4.75,0,42.31,0.0
1990-05-01,4.75,4.88,4.63,4.63,4400,41.25,-0.025053178917513685
1990-05-02,4.63,4.63,4.63,4.63,0,41.25,0.0
1990-05-03,4.63,4.63,4.63,4.63,0,41.25,0.0
1990-05-04,4.63,4.63,4.63,4.63,0,41.25,0.0
1990-05-07,4.63,4.63,4.63,4.63,0,41.25,0.0
1990-05-08,4.75,4.75,4.69,4.69,100,41.78,0.012848484848484887
1990-05-09,4.69,4.69,4.69,4.69,0,41.78,0.0
1990-05-10,4.75,4.75,4.75,4.75,0,42.31,0.012685495452369633
1990-05-11,4.75,4.75,4.75,4.75,0,42.31,0.0
1990-05-14,4.75,4.88,4.75,4.88,0,43.47,0.027416686362562004
1990-05-15,5.13,5.13,4.88,4.88,600,43.47,0.0
1990-05-16,4.75,4.75,4.75,4.75,800,42.31,-0.026685070163330993
1990-05-17,4.75,4.75,4.75,4.75,0,42.31,0.0
1990-05-18,4.75,4.75,4.75,4.75,100,42.31,0.0
1990-05-21,4.75,4.75,4.75,4.75,0,42.31,0.0
1990-05-22,4.75,4.75,4.63,4.63,200,41.25,-0.025053178917513685
1990-05-23,4.88,5.13,4.63,5.0,1800,44.54,0.0797575757575757
1990-05-24,4.88,4.88,4.88,4.88,0,43.47,-0.024023349797934412
1990-05-25,5.13,5.13,5.13,5.13,100,45.7,0.051299746951920966
1990-05-29,4.63,4.63,4.63,4.63,0,41.25,-0.0973741794310723
1990-05-30,4.63,4.63,4.63,4.63,100,41.25,0.0
1990-05-31,4.88,4.88,4.63,4.63,200,41.25,0.0
1990-06-01,4.75,4.88,4.75,4.88,500,43.47,0.053818181818181765
1990-06-04,4.63,4.63,4.63,4.63,100,41.25,-0.05106970324361626
1990-06-05,4.63,4.88,4.63,4.88,800,43.47,0.053818181818181765
1990-06-06,4.63,4.75,4.63,4.75,100,42.31,-0.026685070163330993
1990-06-07,4.63,4.63,4.63,4.63,100,41.25,-0.025053178917513685
1990-06-08,4.63,4.63,4.63,4.63,0,41.25,0.0
1990-06-11,4.63,4.63,4.63,4.63,200,41.25,0.0
1990-06-12,4.63,4.63,4.63,4.63,1300,41.25,0.0
1990-06-13,4.63,4.75,4.63,4.75,700,42.31,0.025696969696969774
1990-06-14,4.63,4.63,4.63,4.63,300,41.25,-0.025053178917513685
1990-06-15,4.25,4.25,4.25,4.25,200,37.86,-0.08218181818181824
1990-06-18,4.25,4.25,4.25,4.25,0,37.86,0.0
1990-06-19,4.25,4.75,4.25,4.38,900,39.02,0.03063919704173279
1990-06-20,4.25,4.25,4.25,4.25,400,37.86,-0.0297283444387495
1990-06-21,4.25,4.25,4.25,4.25,100,37.86,0.0
1990-06-22,4.25,4.25,4.25,4.25,0,37.86,0.0
1990-06-25,4.25,4.25,4.25,4.25,1000,37.86,0.0
1990-06-26,4.25,4.25,4.25,4.25,0,37.86,0.0
1990-06-27,4.25,4.25,4.25,4.25,0,37.86,0.0
1990-06-28,4.25,4.25,4.25,4.25,0,37.86,0.0
1990-06-29,4.25,4.25,4.25,4.25,0,37.86,0.0
1990-07-02,4.25,4.25,4.25,4.25,0,37.86,0.0
1990-07-03,4.25,4.25,4.25,4.25,0,37.86,0.0
1990-07-05,4.25,4.25,4.25,4.25,0,37.86,0.0
1990-07-06,4.25,4.25,4.25,4.25,200,37.86,0.0
1990-07-09,4.25,4.25,4.25,4.25,300,37.86,0.0
1990-07-10,4.25,4.25,4.25,4.25,700,37.86,0.0
1990-07-11,4.0,4.0,4.0,4.0,100,35.63,-0.05890121500264123
1990-07-12,4.0,4.0,4.0,4.0,0,35.63,0.0
1990-07-13,4.0,4.0,4.0,4.0,0,35.63,0.0
1990-07-16,4.0,4.0,4.0,4.0,0,35.63,0.0
1990-07-17,4.0,4.0,4.0,4.0,0,35.63,0.0
1990-07-18,4.25,4.25,4.25,4.25,100,37.86,0.06258770698849281
1990-07-19,4.0,4.5,4.0,4.0,200,35.63,-0.05890121500264123
1990-07-20,4.0,4.0,4.0,4.0,100,35.63,0.0
1990-07-23,4.0,4.25,4.0,4.25,200,37.86,0.06258770698849281
1990-07-24,4.0,4.0,4.0,4.0,0,35.63,-0.05890121500264123
1990-07-25,4.0,4.0,4.0,4.0,0,35.63,0.0
1990-07-26,4.0,4.25,4.0,4.25,500,37.86,0.06258770698849281
1990-07-27,4.25,4.5,4.0,4.0,200,35.63,-0.05890121500264123
1990-07-30,4.0,4.0,4.0,4.0,0,35.63,0.0
1990-07-31,4.0,4.0,4.0,4.0,0,35.63,0.0
1990-08-01,4.0,4.0,4.0,4.0,0,35.63,0.0
1990-08-02,4.0,4.0,4.0,4.0,200,35.63,0.0
1990-08-03,4.0,4.0,4.0,4.0,200,35.63,0.0
1990-08-06,4.0,4.06,4.0,4.06,1000,36.17,0.015155767611563231
1990-08-07,4.0,4.13,4.0,4.13,500,36.79,0.017141277301631064
1990-08-08,4.13,4.13,4.13,4.13,0,36.79,0.0
1990-08-09,4.0,4.06,4.0,4.0,500,35.63,-0.03153030714868166
1990-08-10,4.0,4.06,4.0,4.06,400,36.17,0.015155767611563231
1990-08-13,4.0,4.0,3.88,3.88,900,34.56,-0.04451202654133257
1990-08-14,3.88,3.88,3.88,3.88,0,34.56,0.0
1990-08-15,4.25,4.25,4.25,4.25,0,37.86,0.09548611111111094
1990-08-16,3.75,3.75,3.75,3.75,400,33.41,-0.11753829899630219
1990-08-17,3.75,3.75,3.75,3.75,0,33.41,0.0
1990-08-20,3.88,3.88,3.88,3.88,1000,34.56,0.034420832086201836
1990-08-21,3.75,3.75,3.75,3.75,100,33.41,-0.03327546296296313
1990-08-22,3.75,3.75,3.75,3.75,0,33.41,0.0
1990-08-23,3.75,3.75,3.75,3.75,200,33.41,0.0
1990-08-24,3.75,3.75,3.75,3.75,0,33.41,0.0
1990-08-27,3.75,3.75,3.63,3.63,100,32.34,-0.032026339419335303
1990-08-28,3.5,3.5,3.5,3.5,100,31.18,-0.035868893011750225
1990-08-29,3.75,3.88,3.75,3.88,6800,34.56,0.10840282232200127
1990-08-30,4.0,4.0,3.75,3.88,1000,34.56,0.0
1990-08-31,4.13,4.13,4.13,4.13,0,36.79,0.0645254629629628
1990-09-04,4.13,4.13,4.13,4.13,0,36.79,0.0
1990-09-05,4.13,4.13,4.13,4.13,0,36.79,0.0
1990-09-06,3.88,3.88,3.88,3.88,100,34.56,-0.06061429736341384
1990-09-07,3.88,3.88,3.88,3.88,0,34.56,0.0
1990-09-10,3.88,3.88,3.88,3.88,0,34.56,0.0
1990-09-11,3.88,3.88,3.88,3.88,0,34.56,0.0
1990-09-12,3.88,3.88,3.88,3.88,0,34.56,0.0
1990-09-13,3.88,3.88,3.88,3.88,0,34.56,0.0
1990-09-14,3.88,3.88,3.88,3.88,0,34.56,0.0
1990-09-17,3.88,3.88,3.88,3.88,0,34.56,0.0
1990-09-18,3.88,3.88,3.88,3.88,0,34.56,0.0
1990-09-19,3.88,3.88,3.88,3.88,400,34.56,0.0
1990-09-20,3.88,3.88,3.75,3.75,200,33.41,-0.03327546296296313
1990-09-21,3.75,3.75,3.75,3.75,0,33.41,0.0
1990-09-24,3.75,3.88,3.75,3.75,600,33.41,0.0
1990-09-25,3.75,3.75,3.75,3.75,0,33.41,0.0
1990-09-26,3.75,3.75,3.75,3.75,300,33.41,0.0
1990-09-27,3.5,3.5,3.5,3.5,0,31.18,-0.06674648308889541
1990-09-28,3.5,3.5,3.5,3.5,0,31.18,0.0
1990-10-01,3.5,3.5,3.5,3.5,0,31.18,0.0
1990-10-02,3.5,3.5,3.5,3.5,0,31.18,0.0
1990-10-03,3.5,3.5,3.5,3.5,0,31.18,0.0
1990-10-04,3.38,3.38,3.38,3.38,0,30.11,-0.03431686978832582
1990-10-05,3.38,3.5,3.38,3.5,300,31.18,0.03553636665559612
1990-10-08,3.5,3.5,3.5,3.5,0,31.18,0.0
1990-10-09,3.75,3.75,3.75,3.75,0,33.41,0.07152020525978187
1990-10-10,3.38,3.38,3.38,3.38,0,30.11,-0.09877282250823094
1990-10-11,3.5,3.5,3.5,3.5,0,31.18,0.03553636665559612
1990-10-12,3.5,3.5,3.5,3.5,0,31.18,0.0
1990-10-15,3.5,3.5,3.5,3.5,0,31.18,0.0
1990-10-16,3.38,3.38,3.38,3.38,200,30.11,-0.03431686978832582
1990-10-17,3.13,3.13,3.13,3.13,0,27.88,-0.07406177349717702
1990-10-18,3.13,3.13,3.13,3.13,0,27.88,0.0
1990-10-19,3.0,3.38,2.88,3.0,200,26.72,-0.04160688665710188
1990-10-22,2.88,2.88,2.88,2.88,100,25.66,-0.03967065868263464
1990-10-23,2.88,3.25,2.88,3.25,100,28.95,0.12821512081060016
1990-10-24,3.25,3.25,3.25,3.25,0,28.95,0.0
1990-10-25,2.88,2.88,2.88,2.88,100,25.66,-0.11364421416234882
1990-10-26,3.13,3.13,2.88,2.88,100,25.66,0.0
1990-10-29,2.88,2.88,2.88,2.88,0,25.66,0.0
1990-10-30,2.88,2.88,2.75,2.75,400,24.5,-0.04520654715510519
1990-10-31,2.75,2.75,2.63,2.63,2500,23.43,-0.04367346938775507
1990-11-01,2.63,2.63,2.63,2.63,200,23.43,0.0
1990-11-02,2.75,2.75,2.75,2.75,100,24.5,0.045667947076397875
1990-11-05,2.75,2.75,2.75,2.75,0,24.5,0.0
1990-11-06,2.5,2.5,2.5,2.5,0,22.27,-0.09102040816326529
1990-11-07,2.5,2.5,2.5,2.5,0,22.27,0.0
1990-11-08,2.5,2.5,2.5,2.5,0,22.27,0.0
1990-11-09,2.5,2.5,2.5,2.5,0,22.27,0.0
1990-11-12,2.5,2.5,2.5,2.5,0,22.27,0.0
1990-11-13,2.75,2.75,2.75,2.75,300,24.5,0.10013471037269861
1990-11-14,2.88,2.88,2.63,2.63,2500,23.43,-0.04367346938775507
1990-11-15,2.63,2.63,2.63,2.63,0,23.43,0.0
1990-11-16,2.5,2.63,2.5,2.63,700,23.43,0.0
1990-11-19,2.63,2.63,2.63,2.63,100,23.43,0.0
1990-11-20,2.75,2.75,2.63,2.63,100,23.43,0.0
1990-11-21,2.63,2.63,2.63,2.63,0,23.43,0.0
1990-11-23,2.63,2.63,2.63,2.63,0,23.43,0.0
1990-11-26,2.63,2.63,2.63,2.63,300,23.43,0.0
1990-11-27,2.63,2.63,2.63,2.63,0,23.43,0.0
1990-11-28,2.75,2.75,2.75,2.75,100,24.5,0.045667947076397875
1990-11-29,2.63,2.63,2.63,2.63,400,23.43,-0.04367346938775507
1990-11-30,2.63,2.63,2.63,2.63,300,23.43,0.0
1990-12-03,2.63,2.63,2.63,2.63,0,23.43,0.0
1990-12-04,2.63,2.63,2.5,2.5,300,22.27,-0.04950917626973961
1990-12-05,2.5,2.69,2.5,2.63,500,23.43,0.052088010776829785
1990-12-06,2.63,2.75,2.63,2.63,400,23.43,0.0
1990-12-07,2.63,2.75,2.63,2.75,300,24.5,0.045667947076397875
1990-12-10,2.75,2.75,2.75,2.75,100,24.5,0.0
1990-12-11,2.75,2.75,2.75,2.75,0,24.5,0.0
1990-12-12,2.63,2.75,2.63,2.63,700,23.43,-0.04367346938775507
1990-12-13,2.63,2.63,2.63,2.63,100,23.43,0.0
1990-12-14,2.63,2.63,2.63,2.63,0,23.43,0.0
1990-12-17,2.63,2.75,2.63,2.75,100,24.5,0.045667947076397875
1990-12-18,2.63,2.63,2.63,2.63,0,23.43,-0.04367346938775507
1990-12-19,2.75,3.0,2.75,3.0,400,26.72,0.14041826717883055
1990-12-20,2.75,2.75,2.75,2.75,900,24.5,-0.08308383233532934
1990-12-21,2.75,2.75,2.63,2.75,300,24.5,0.0
1990-12-24,2.75,2.75,2.75,2.75,100,24.5,0.0
1990-12-26,2.75,2.75,2.75,2.75,100,24.5,0.0
1990-12-27,2.75,3.13,2.75,2.75,700,24.5,0.0
1990-12-28,2.75,3.0,2.75,2.75,300,24.5,0.0
1990-12-31,2.75,2.75,2.75,2.75,0,24.5,0.0
1991-01-02,2.75,2.75,2.75,2.75,0,24.5,0.0
1991-01-03,2.75,2.75,2.75,2.75,0,24.5,0.0
1991-01-04,2.75,2.75,2.75,2.75,0,24.5,0.0
1991-01-07,2.75,2.75,2.75,2.75,0,24.5,0.0
1991-01-08,2.75,2.75,2.75,2.75,0,24.5,0.0
1991-01-09,2.75,2.75,2.75,2.75,0,24.5,0.0
1991-01-10,2.75,2.75,2.75,2.75,0,24.5,0.0
1991-01-11,2.75,2.75,2.75,2.75,0,24.5,0.0
