Date,Open,High,Low,Close,Volume,Adj Close,Return
1994-11-02,5.87,6.25,5.81,6.25,63600,6.25,0.0
1994-11-03,6.25,6.5,6.0,6.03,82700,6.03,-0.03520000000000001
1994-11-04,6.5,6.5,6.13,6.44,36400,6.44,0.06799336650082921
1994-11-07,6.5,6.5,6.03,6.03,27300,6.03,-0.0636645962732919
1994-11-08,6.25,6.25,6.0,6.0,38600,6.0,-0.004975124378109541
1994-11-09,6.22,6.5,6.03,6.25,48200,6.25,0.04166666666666674
1994-11-10,6.5,6.5,6.25,6.25,21900,6.25,0.0
1994-11-11,6.5,6.5,6.03,6.03,30000,6.03,-0.03520000000000001
1994-11-14,6.03,6.25,6.03,6.25,12100,6.25,0.036484245439469376
1994-11-15,6.13,6.5,6.13,6.38,18600,6.38,0.02079999999999993
1994-11-16,6.38,6.38,6.0,6.25,54400,6.25,-0.02037617554858928
1994-11-17,6.25,6.25,6.0,6.06,37800,6.06,-0.030400000000000094
1994-11-18,6.0,6.25,5.87,5.87,10900,5.87,-0.03135313531353123
1994-11-21,5.87,5.87,5.87,5.87,5000,5.87,0.0
1994-11-22,6.25,6.25,5.87,5.87,20800,5.87,0.0
1994-11-23,5.87,6.25,5.75,6.19,30500,6.19,0.054514480408858645
1994-11-25,5.75,6.0,5.75,5.75,23200,5.75,-0.07108239095315028
1994-11-28,6.0,6.0,5.75,5.75,26900,5.75,0.0
1994-11-29,5.75,6.0,5.75,6.0,7600,6.0,0.04347826086956519
1994-11-30,6.0,6.0,5.62,6.0,52700,6.0,0.0
1994-12-01,6.0,6.0,5.5,5.75,23600,5.75,-0.04166666666666663
1994-12-02,6.0,6.0,5.75,5.75,12900,5.75,0.0
1994-12-05,6.0,6.0,5.75,6.0,11200,6.0,0.04347826086956519
1994-12-06,5.75,6.0,5.75,5.75,9000,5.75,-0.04166666666666663
1994-12-07,6.13,6.13,5.75,5.75,9500,5.75,0.0
1994-12-08,5.87,6.0,5.62,5.62,18600,5.62,-0.022608695652173938
1994-12-09,5.62,6.0,5.62,5.62,20000,5.62,0.0
1994-12-12,6.0,6.0,5.62,5.62,1500,5.62,0.0
1994-12-13,6.0,6.0,5.62,5.75,13000,5.75,0.02313167259786475
1994-12-14,6.0,6.25,5.87,5.87,26000,5.87,0.02086956521739136
1994-12-15,6.25,6.25,5.62,5.62,20400,5.62,-0.04258943781942082
1994-12-16,5.87,5.87,5.62,5.87,50000,5.87,0.04448398576512447
1994-12-19,5.62,5.87,5.62,5.62,9700,5.62,-0.04258943781942082
1994-12-20,5.62,5.87,5.62,5.62,12100,5.62,0.0
1994-12-21,5.87,5.87,5.62,5.87,5000,5.87,0.04448398576512447
1994-12-22,5.87,5.87,5.62,5.62,15100,5.62,-0.04258943781942082
1994-12-23,5.87,5.87,5.5,5.5,9000,5.5,-0.02135231316725983
1994-12-27,5.5,5.87,5.5,5.87,3900,5.87,0.06727272727272737
1994-12-28,5.5,5.62,5.5,5.5,4500,5.5,-0.06303236797274281
1994-12-29,5.75,5.75,5.75,5.75,400,5.75,0.045454545454545414
1994-12-30,5.5,5.5,5.5,5.5,1000,5.5,-0.04347826086956519
1995-01-03,5.75,6.62,5.69,6.0,63300,6.0,0.09090909090909083
1995-01-04,6.62,7.5,6.38,7.5,155900,7.5,0.25
1995-01-05,7.25,7.88,7.25,7.88,119400,7.88,0.05066666666666664
1995-01-06,8.75,9.75,7.88,9.13,139600,9.13,0.15862944162436565
1995-01-09,9.13,11.0,8.25,10.25,387400,10.25,0.1226725082146769
1995-01-10,10.5,11.0,9.5,10.25,129600,10.25,0.0
1995-01-11,9.88,10.37,8.75,9.25,183900,9.25,-0.09756097560975607
1995-01-12,8.75,9.5,8.25,8.87,112100,8.87,-0.04108108108108122
1995-01-13,8.75,9.13,8.62,9.0,39500,9.0,0.014656144306651742
1995-01-16,9.25,9.25,8.5,8.62,63200,8.62,-0.04222222222222227
1995-01-17,8.62,8.87,7.75,8.12,137500,8.12,-0.058004640371229654
1995-01-18,8.25,8.25,7.75,8.0,56100,8.0,-0.01477832512315258
1995-01-19,7.75,8.62,7.75,8.62,50600,8.62,0.0774999999999999
1995-01-20,8.62,8.62,8.12,8.5,12100,8.5,-0.013921113689094988
1995-01-23,8.5,8.5,8.12,8.12,18000,8.12,-0.04470588235294126
1995-01-24,8.5,9.25,8.12,9.25,45500,9.25,0.13916256157635476
1995-01-25,9.25,10.0,9.0,9.5,61400,9.5,0.027027027027026973
1995-01-26,9.75,10.12,9.5,9.69,40600,9.69,0.020000000000000018
1995-01-27,9.5,9.88,9.5,9.88,20600,9.88,0.019607843137255054
1995-01-30,9.75,10.25,9.5,10.12,51500,10.12,0.024291497975708287
1995-01-31,10.12,11.25,10.0,11.0,52600,11.0,0.0869565217391306
1995-02-01,11.5,11.75,10.69,10.69,147100,10.69,-0.028181818181818197
1995-02-02,10.88,11.25,10.63,11.0,66500,11.0,0.028999064546304965
1995-02-03,11.0,11.38,10.75,11.38,47800,11.38,0.03454545454545466
1995-02-06,11.5,11.5,11.0,11.25,28400,11.25,-0.011423550087873546
1995-02-07,11.0,11.38,10.88,11.12,38600,11.12,-0.011555555555555652
1995-02-08,11.0,11.0,10.12,10.5,42800,10.5,-0.055755395683453224
1995-02-09,10.5,10.5,10.12,10.25,36400,10.25,-0.023809523809523836
1995-02-10,10.25,10.5,10.0,10.5,33300,10.5,0.024390243902439046
1995-02-13,10.63,10.75,10.0,10.25,29300,10.25,-0.023809523809523836
1995-02-14,10.5,10.75,10.37,10.63,39500,10.63,0.03707317073170735
1995-02-15,10.63,10.75,9.75,9.88,45500,9.88,-0.07055503292568199
1995-02-16,9.75,10.25,9.62,9.75,55000,9.75,-0.013157894736842146
1995-02-17,10.12,10.12,9.62,9.62,4100,9.62,-0.01333333333333342
1995-02-21,9.38,10.12,9.38,10.12,8200,10.12,0.05197505197505192
1995-02-22,9.5,10.0,9.5,9.81,17500,9.81,-0.0306324110671935
1995-02-23,10.0,10.0,9.5,9.88,13600,9.88,0.007135575942915473
1995-02-24,9.5,10.0,9.5,9.75,28600,9.75,-0.013157894736842146
1995-02-27,9.75,10.0,9.75,10.0,4300,10.0,0.02564102564102555
1995-02-28,10.0,10.0,9.62,10.0,7300,10.0,0.0
1995-03-01,10.0,10.25,9.62,10.25,15500,10.25,0.02499999999999991
1995-03-02,9.88,10.25,9.62,9.62,11700,9.62,-0.061463414634146396
1995-03-03,9.62,9.88,9.62,9.88,4600,9.88,0.027027027027027195
1995-03-06,9.62,9.75,9.25,9.5,8000,9.5,-0.03846153846153855
1995-03-07,9.25,11.25,9.25,10.75,79400,10.75,0.13157894736842102
1995-03-08,10.63,11.25,10.63,11.12,97700,11.12,0.034418604651162754
1995-03-09,11.12,11.62,10.88,11.62,38000,11.62,0.04496402877697836
1995-03-10,11.5,11.5,11.0,11.5,69800,11.5,-0.0103270223752151
1995-03-13,11.5,11.75,11.25,11.62,35700,11.62,0.01043478260869568
1995-03-14,11.62,11.75,11.38,11.62,14300,11.62,0.0
1995-03-15,11.5,11.75,11.5,11.69,25300,11.69,0.006024096385542244
1995-03-16,11.75,11.87,11.5,11.87,16200,11.87,0.015397775876817787
1995-03-17,11.87,12.5,11.87,12.06,42400,12.06,0.016006739679865323
1995-03-20,12.13,14.5,12.13,13.88,120200,13.88,0.15091210613598682
1995-03-21,14.25,15.0,13.5,14.75,98400,14.75,0.06268011527377526
1995-03-22,15.0,18.25,14.5,15.62,271700,15.62,0.058983050847457585
1995-03-23,17.0,17.75,15.62,17.5,129500,17.5,0.12035851472471193
1995-03-24,17.5,18.5,16.25,16.63,138400,16.63,-0.04971428571428582
1995-03-27,16.63,17.5,16.25,16.5,34700,16.5,-0.007817197835237488
1995-03-28,17.0,17.0,16.25,16.88,13000,16.88,0.023030303030302957
1995-03-29,16.88,17.25,16.25,17.0,42100,17.0,0.007109004739336511
1995-03-30,16.88,17.75,16.75,16.75,39900,16.75,-0.014705882352941124
1995-03-31,17.75,18.25,16.5,17.25,69800,17.25,0.029850746268656803
1995-04-03,17.75,18.0,17.0,17.87,34300,17.87,0.035942028985507246
1995-04-04,17.87,18.38,17.5,18.13,16000,18.13,0.014549524342473363
1995-04-05,17.75,20.0,17.75,19.37,65200,19.37,0.0683949255377827
1995-04-06,20.87,22.0,20.0,21.38,138100,21.38,0.10376871450696945
1995-04-07,21.75,23.38,21.75,23.38,138900,23.38,0.09354536950420944
1995-04-10,23.0,27.5,22.88,26.12,227100,26.12,0.11719418306244656
1995-04-11,25.75,25.75,21.0,21.25,251300,21.25,-0.186447166921899
1995-04-12,21.0,21.25,18.5,20.5,250400,20.5,-0.03529411764705881
1995-04-13,21.38,24.25,20.5,23.5,109200,23.5,0.14634146341463405
1995-04-17,23.5,24.25,22.0,23.0,48600,23.0,-0.021276595744680882
1995-04-18,23.25,23.25,20.5,22.0,77300,22.0,-0.04347826086956519
1995-04-19,22.25,22.25,19.88,20.25,74000,20.25,-0.07954545454545459
1995-04-20,20.0,21.0,19.88,20.75,70400,20.75,0.024691358024691468
1995-04-21,20.0,22.37,20.0,22.25,63300,22.25,0.07228915662650603
1995-04-24,22.25,22.88,21.75,22.75,50900,22.75,0.022471910112359605
1995-04-25,21.75,22.88,21.75,22.25,41600,22.25,-0.02197802197802201
1995-04-26,22.37,22.88,19.0,20.25,112200,20.25,-0.0898876404494382
1995-04-27,20.25,23.0,19.75,23.0,115700,23.0,0.1358024691358024
1995-04-28,23.0,23.5,22.0,22.25,33400,22.25,-0.03260869565217395
1995-05-01,22.5,22.5,21.25,21.75,19800,21.75,-0.022471910112359605
1995-05-02,22.0,22.88,22.0,22.0,16500,22.0,0.011494252873563315
1995-05-03,22.0,22.75,20.75,21.75,25800,21.75,-0.011363636363636354
1995-05-04,21.75,21.75,20.75,20.75,7300,20.75,-0.04597701149425293
1995-05-05,21.25,21.25,20.5,21.25,12200,21.25,0.024096385542168752
1995-05-08,21.25,21.25,20.0,21.25,23900,21.25,0.0
1995-05-09,20.5,21.25,19.0,20.5,87800,20.5,-0.03529411764705881
