Date,Open,High,Low,Close,Volume,Adj Close,Return
1992-03-17,14.6,14.6,14.6,14.6,12900,0.78,0.0
1992-03-18,14.6,14.6,14.13,14.13,218400,0.76,-0.02564102564102566
1992-03-19,14.37,14.6,14.37,14.48,134900,0.77,0.013157894736842035
1992-03-20,14.37,14.37,14.13,14.13,229600,0.76,-0.012987012987012991
1992-03-23,14.13,14.13,14.01,14.01,36900,0.75,-0.013157894736842146
1992-03-24,14.01,14.13,13.9,13.9,120800,0.74,-0.013333333333333308
1992-03-25,13.78,14.01,13.78,14.01,83500,0.75,0.013513513513513598
1992-03-26,14.01,14.13,14.01,14.01,25800,0.75,0.0
1992-03-27,14.37,14.37,13.78,13.78,158800,0.74,-0.013333333333333308
1992-03-30,14.01,14.01,14.01,14.01,7900,0.75,0.013513513513513598
1992-03-31,14.13,14.13,13.43,13.43,88500,0.72,-0.040000000000000036
1992-04-01,13.54,13.66,13.54,13.54,110800,0.72,0.0
1992-04-02,13.66,13.66,13.66,13.66,16100,0.73,0.01388888888888884
1992-04-06,13.43,13.43,13.19,13.19,54600,0.7,-0.04109589041095896
1992-04-08,13.19,13.43,13.19,13.43,96500,0.72,0.028571428571428692
1992-04-09,13.31,13.31,13.31,13.31,3300,0.71,-0.01388888888888895
1992-04-13,13.19,13.19,13.07,13.19,16100,0.7,-0.014084507042253502
1992-04-21,13.07,13.07,13.07,13.07,4600,0.7,0.0
1992-04-22,13.07,13.07,13.07,13.07,12900,0.7,0.0
1992-04-23,13.07,13.07,13.07,13.07,12900,0.7,0.0
1992-04-24,13.19,13.19,13.19,13.19,12900,0.7,0.0
1992-04-27,13.07,13.07,13.07,13.07,211800,0.7,0.0
1992-04-30,13.07,13.07,13.07,13.07,7900,0.7,0.0
1992-05-04,12.84,12.84,12.72,12.72,25800,0.68,-0.02857142857142847
1992-05-08,12.6,12.84,12.6,12.72,59300,0.68,0.0
1992-05-11,12.72,12.72,12.72,12.72,14500,0.68,0.0
1992-05-12,12.72,12.72,12.72,12.72,17900,0.68,0.0
1992-05-14,12.84,12.84,12.84,12.84,7900,0.69,0.014705882352941124
1992-05-15,12.72,12.72,12.72,12.72,7900,0.68,-0.014492753623188248
1992-05-18,12.6,12.84,12.6,12.84,35500,0.69,0.014705882352941124
1992-05-19,12.6,13.19,12.6,13.19,166600,0.7,0.01449275362318847
1992-05-22,13.07,13.19,13.07,13.19,25800,0.7,0.0
1992-05-27,13.19,13.19,13.19,13.19,3300,0.7,0.0
1992-05-28,13.07,13.31,13.07,13.31,30400,0.71,0.014285714285714235
1992-05-29,13.43,13.43,13.43,13.43,12900,0.72,0.014084507042253502
1992-06-01,13.43,13.43,13.43,13.43,7900,0.72,0.0
1992-06-02,13.31,13.31,13.19,13.19,12900,0.7,-0.02777777777777779
1992-06-03,13.19,13.19,13.19,13.19,16100,0.7,0.0
1992-06-04,13.19,13.19,13.19,13.19,4600,0.7,0.0
1992-06-05,13.19,13.19,13.07,13.07,14500,0.7,0.0
1992-06-08,12.95,12.95,12.84,12.84,33500,0.69,-0.014285714285714346
1992-06-09,12.95,12.95,12.95,12.95,192600,0.69,0.0
1992-06-11,12.84,12.84,12.84,12.84,7900,0.69,0.0
1992-06-15,12.95,12.95,12.72,12.72,24300,0.68,-0.014492753623188248
1992-06-17,12.72,12.72,12.72,12.72,12900,0.68,0.0
1992-06-18,12.72,12.95,12.72,12.95,28800,0.69,0.014705882352941124
1992-06-19,12.95,12.95,12.95,12.95,30400,0.69,0.0
1992-06-22,12.95,12.95,12.95,12.95,56300,0.69,0.0
1992-06-23,12.95,12.95,12.95,12.95,36900,0.69,0.0
1992-06-24,12.95,12.95,12.95,12.95,40100,0.69,0.0
1992-06-25,12.91,12.91,12.91,12.91,51400,0.69,0.0
1992-06-29,12.91,13.02,12.91,12.91,176900,0.69,0.0
1992-06-30,12.91,12.91,12.55,12.55,73900,0.67,-0.02898550724637672
1992-07-01,12.31,12.31,12.31,12.31,25800,0.66,-0.014925373134328401
1992-07-02,12.55,12.55,12.43,12.43,9600,0.67,0.015151515151515138
1992-07-06,12.31,12.31,12.31,12.31,7900,0.66,-0.014925373134328401
1992-07-07,12.31,12.31,12.31,12.31,1500,0.66,0.0
1992-07-09,12.31,12.55,12.31,12.55,22500,0.67,0.015151515151515138
1992-07-13,12.43,12.43,12.43,12.43,199000,0.67,0.0
1992-07-16,12.43,12.43,12.31,12.31,242300,0.66,-0.014925373134328401
1992-07-17,12.55,12.55,12.43,12.43,6600,0.67,0.015151515151515138
1992-07-20,12.43,12.43,12.2,12.2,96500,0.66,-0.014925373134328401
1992-07-22,12.2,12.2,12.2,12.2,1500,0.66,0.0
1992-07-23,12.08,12.08,12.08,12.08,134900,0.65,-0.015151515151515138
1992-07-24,11.96,11.96,11.96,11.96,16100,0.64,-0.015384615384615441
1992-07-29,11.96,11.96,11.96,11.96,14500,0.64,0.0
1992-07-30,11.96,11.96,11.96,11.96,123900,0.64,0.0
1992-07-31,11.96,11.96,11.96,11.96,3300,0.64,0.0
1992-08-04,11.96,11.96,11.96,11.96,3300,0.64,0.0
1992-08-05,11.96,11.96,11.96,11.96,25800,0.64,0.0
1992-08-06,12.08,12.08,12.08,12.08,46900,0.65,0.015625
1992-08-07,12.08,12.08,12.08,12.08,16100,0.65,0.0
1992-08-10,11.96,11.96,11.96,11.96,7900,0.64,-0.015384615384615441
1992-08-11,12.08,12.08,12.08,12.08,27300,0.65,0.015625
1992-08-12,12.08,12.08,12.08,12.08,21000,0.65,0.0
1992-08-13,12.2,12.2,12.2,12.2,1500,0.66,0.01538461538461533
1992-08-17,12.08,12.08,12.08,12.08,61400,0.65,-0.015151515151515138
1992-08-18,12.08,12.08,12.08,12.08,6600,0.65,0.0
1992-08-19,12.08,12.08,12.08,12.08,7900,0.65,0.0
1992-08-20,12.08,12.31,12.08,12.31,239100,0.66,0.01538461538461533
1992-08-24,12.31,12.31,12.2,12.2,146500,0.66,0.0
1992-08-25,12.31,12.31,12.31,12.31,25800,0.66,0.0
1992-08-26,12.2,12.2,12.2,12.2,7900,0.66,0.0
1992-08-27,12.08,12.08,12.08,12.08,16100,0.65,-0.015151515151515138
1992-08-28,12.08,12.08,12.08,12.08,1500,0.65,0.0
1992-08-31,12.31,12.43,12.31,12.43,72400,0.67,0.030769230769230882
1992-09-01,12.55,12.55,12.55,12.55,21000,0.67,0.0
1992-09-08,12.79,13.26,12.79,13.14,398100,0.71,0.05970149253731338
1992-09-09,13.26,13.26,13.26,13.26,16100,0.71,0.0
1992-09-10,13.14,13.5,13.14,13.5,73900,0.73,0.028169014084507005
1992-09-11,13.38,14.09,13.38,14.09,94800,0.76,0.041095890410958846
1992-09-14,14.09,14.21,14.09,14.21,131900,0.76,0.0
1992-09-15,14.21,14.21,14.21,14.21,207100,0.76,0.0
1992-09-16,14.45,15.04,14.45,15.04,614900,0.81,0.06578947368421062
1992-09-17,14.92,15.04,14.92,14.92,191100,0.8,-0.012345679012345734
1992-09-18,14.92,14.92,14.68,14.92,22500,0.8,0.0
1992-09-21,14.92,14.92,14.8,14.92,172100,0.8,0.0
1992-09-23,14.8,14.8,14.8,14.8,4600,0.8,0.0
1992-09-24,14.68,14.68,14.68,14.68,1500,0.79,-0.012499999999999956
1992-09-25,14.45,14.45,14.09,14.09,59300,0.76,-0.03797468354430378
1992-09-29,13.85,13.85,13.85,13.85,12900,0.74,-0.02631578947368418
1992-09-30,13.62,13.62,13.62,13.62,17900,0.73,-0.013513513513513487
1992-10-01,13.5,13.5,13.5,13.5,7900,0.73,0.0
1992-10-02,13.26,13.26,13.14,13.14,35500,0.71,-0.0273972602739726
1992-10-05,12.91,12.91,12.91,12.91,7900,0.69,-0.028169014084507116
1992-10-06,12.79,12.79,12.79,12.79,12900,0.69,0.0
1992-10-12,12.67,12.67,12.67,12.67,12900,0.68,-0.014492753623188248
1992-10-13,12.55,12.55,12.55,12.55,9600,0.67,-0.014705882352941235
1992-10-14,12.55,12.55,12.43,12.43,7900,0.67,0.0
1992-10-15,12.31,12.31,12.31,12.31,12900,0.66,-0.014925373134328401
1992-10-16,12.2,12.2,12.2,12.2,7900,0.66,0.0
1992-10-19,11.96,11.96,11.96,11.96,16100,0.64,-0.030303030303030276
1992-10-20,11.96,11.96,11.96,11.96,7900,0.64,0.0
1992-10-21,12.08,12.31,12.08,12.31,51400,0.66,0.03125
1992-10-26,12.2,12.2,12.2,12.2,7900,0.66,0.0
1992-10-28,12.31,12.31,12.31,12.31,21000,0.66,0.0
1992-10-30,12.31,12.31,12.31,12.31,12900,0.66,0.0
1992-11-02,12.55,12.91,12.55,12.91,56300,0.69,0.045454545454545414
1992-11-03,13.02,13.02,13.02,13.02,19100,0.7,0.01449275362318847
1992-11-05,13.02,13.02,12.91,12.91,4600,0.69,-0.014285714285714346
1992-11-06,12.79,13.02,12.79,12.91,22500,0.69,0.0
1992-11-09,13.14,13.14,13.02,13.02,7900,0.7,0.01449275362318847
1992-11-10,13.26,13.26,13.02,13.02,62600,0.7,0.0
1992-11-12,13.02,13.02,13.02,13.02,3300,0.7,0.0
1992-11-13,13.26,13.38,13.26,13.38,12900,0.72,0.028571428571428692
