Date,Open,High,Low,Close,Volume,Adj Close,Return
2007-06-20,10.57,10.57,10.57,10.57,0,9.08,0.0
2007-06-21,10.45,10.45,10.1,10.1,1300,8.67,-0.045154185022026394
2007-06-22,10.1,10.1,10.1,10.1,0,8.67,0.0
2007-06-25,10.1,10.1,10.1,10.1,0,8.67,0.0
2007-06-26,10.29,10.29,10.1,10.1,1200,8.67,0.0
2007-06-27,10.1,10.1,10.1,10.1,0,8.67,0.0
2007-06-28,10.1,10.1,10.1,10.1,0,8.67,0.0
2007-06-29,10.1,10.1,10.1,10.1,0,8.67,0.0
2007-07-02,10.1,10.1,10.1,10.1,0,8.67,0.0
2007-07-03,10.1,10.1,10.1,10.1,0,8.67,0.0
2007-07-05,10.1,10.1,10.1,10.1,0,8.67,0.0
2007-07-06,10.1,10.1,10.1,10.1,0,8.67,0.0
2007-07-09,10.43,10.43,10.43,10.43,300,8.96,0.033448673587082034
2007-07-10,10.42,10.42,10.4,10.4,1000,8.93,-0.0033482142857144126
2007-07-11,10.4,10.4,10.4,10.4,0,8.93,0.0
2007-07-12,10.35,10.4,10.35,10.4,2400,8.93,0.0
2007-07-13,10.4,10.4,10.4,10.4,0,8.93,0.0
2007-07-16,10.39,10.39,10.39,10.39,8100,8.92,-0.0011198208286673506
2007-07-17,10.4,10.4,10.4,10.4,1000,8.93,0.0011210762331839152
2007-07-18,10.4,10.4,10.4,10.4,0,8.93,0.0
2007-07-19,10.4,10.4,10.4,10.4,0,8.93,0.0
2007-07-20,10.4,10.4,10.4,10.4,0,8.93,0.0
2007-07-23,10.4,10.4,10.4,10.4,0,8.98,0.005599104143337197
2007-07-24,10.15,10.15,10.04,10.04,1700,8.67,-0.034521158129176
2007-07-25,10.3,10.3,10.3,10.3,2000,8.9,0.026528258362168433
2007-07-26,10.1,10.3,10.1,10.2,2600,8.81,-0.010112359550561778
2007-07-27,10.2,10.2,10.2,10.2,0,8.81,0.0
2007-07-30,10.2,10.2,10.1,10.1,2000,8.72,-0.010215664018161208
2007-07-31,10.1,10.1,10.1,10.1,0,8.72,0.0
2007-08-01,10.11,10.3,10.1,10.3,7400,8.9,0.020642201834862428
2007-08-02,10.25,10.3,10.25,10.3,1000,8.9,0.0
2007-08-03,10.3,10.3,10.3,10.3,0,8.9,0.0
2007-08-06,10.1,10.1,9.65,9.65,1000,8.34,-0.06292134831460683
2007-08-07,10.0,10.0,10.0,10.0,1000,8.64,0.03597122302158273
2007-08-08,10.0,10.0,10.0,10.0,0,8.64,0.0
2007-08-09,9.6,9.6,9.6,9.6,200,8.29,-0.04050925925925941
2007-08-10,9.8,10.0,9.8,10.0,1800,8.64,0.04221954161640551
2007-08-13,10.05,10.05,10.05,10.05,200,8.68,0.004629629629629539
2007-08-14,9.9,9.9,9.9,9.9,200,8.55,-0.01497695852534553
2007-08-15,9.9,9.9,9.9,9.9,200,8.55,0.0
2007-08-16,9.9,9.9,9.9,9.9,200,8.55,0.0
2007-08-17,9.85,9.85,9.85,9.85,800,8.51,-0.004678362573099504
2007-08-20,9.8,9.8,9.8,9.8,200,8.47,-0.004700352526439411
2007-08-21,9.85,9.85,9.85,9.85,300,8.51,0.0047225501770955525
2007-08-22,9.81,10.3,9.81,10.3,1300,8.9,0.04582843713278506
2007-08-23,10.05,10.06,10.05,10.06,600,8.69,-0.02359550561797763
2007-08-24,10.05,10.05,9.8,9.85,5600,8.51,-0.020713463751438455
2007-08-27,10.2,10.2,10.2,10.2,600,8.81,0.0352526439482963
2007-08-28,10.2,10.2,10.0,10.0,400,8.64,-0.0192962542565267
2007-08-29,10.01,10.01,10.01,10.01,400,8.65,0.0011574074074074403
2007-08-30,10.01,10.01,10.01,10.01,800,8.65,0.0
2007-08-31,10.01,10.01,10.01,10.01,800,8.65,0.0
2007-09-04,10.01,10.01,10.01,10.01,1600,8.65,0.0
2007-09-05,10.0,10.0,10.0,10.0,400,8.64,-0.0011560693641617936
2007-09-06,10.01,10.01,10.01,10.01,800,8.65,0.0011574074074074403
2007-09-07,10.0,10.0,10.0,10.0,400,8.64,-0.0011560693641617936
2007-09-10,10.2,10.2,10.0,10.0,500,8.64,0.0
2007-09-11,10.0,10.0,10.0,10.0,400,8.64,0.0
2007-09-12,10.01,10.01,10.01,10.01,400,8.65,0.0011574074074074403
2007-09-13,10.01,10.01,10.01,10.01,800,8.65,0.0
2007-09-14,10.01,10.01,10.01,10.01,800,8.65,0.0
2007-09-17,10.0,10.0,10.0,10.0,400,8.64,-0.0011560693641617936
2007-09-18,10.0,10.0,10.0,10.0,400,8.64,0.0
2007-09-19,10.0,10.01,10.0,10.0,4700,8.64,0.0
2007-09-20,10.0,10.0,10.0,10.0,200,8.64,0.0
2007-09-21,10.0,10.0,10.0,10.0,200,8.64,0.0
