Date,Open,High,Low,Close,Volume,Adj Close,Return
2004-06-16,4.75,4.75,4.7,4.72,13000,14.16,0.0
2004-06-17,4.75,4.77,4.72,4.77,26800,14.31,0.010593220338983134
2004-06-18,4.75,4.78,4.75,4.78,20100,14.34,0.002096436058700135
2004-06-21,4.78,4.78,4.78,4.78,0,14.34,0.0
2004-06-22,4.76,4.78,4.75,4.75,28500,14.25,-0.006276150627615107
2004-06-23,4.75,4.75,4.75,4.75,0,14.25,0.0
2004-06-24,4.75,4.75,4.75,4.75,0,14.25,0.0
2004-06-25,4.78,4.78,4.78,4.78,500,14.34,0.006315789473684275
2004-06-28,4.78,4.78,4.78,4.78,500,14.34,0.0
2004-06-29,4.78,4.8,4.78,4.79,2000,14.37,0.0020920502092049986
2004-06-30,4.79,4.82,4.78,4.82,900,14.46,0.006263048016701633
2004-07-01,4.81,4.81,4.81,4.81,5300,14.43,-0.0020746887966806016
2004-07-02,4.82,4.9,4.82,4.88,1500,14.64,0.01455301455301461
2004-07-06,4.8,4.85,4.8,4.85,16000,14.55,-0.006147540983606592
2004-07-07,4.84,4.86,4.84,4.86,8500,14.58,0.0020618556701030855
2004-07-08,4.86,4.89,4.86,4.89,7700,14.67,0.006172839506172867
2004-07-09,4.89,4.89,4.85,4.88,49300,14.64,-0.002044989775051076
2004-07-12,4.88,4.88,4.88,4.88,2300,14.64,0.0
2004-07-13,4.89,4.89,4.87,4.87,3200,14.61,-0.002049180327868938
2004-07-14,4.88,4.88,4.87,4.87,7800,14.61,0.0
2004-07-15,4.87,4.89,4.87,4.89,7700,14.67,0.004106776180698102
2004-07-16,4.86,4.87,4.86,4.87,1300,14.61,-0.004089979550102263
2004-07-19,4.87,4.87,4.87,4.87,7500,14.61,0.0
2004-07-20,4.88,4.88,4.88,4.88,200,14.64,0.002053388090349051
2004-07-21,4.88,4.9,4.88,4.9,1200,14.7,0.004098360655737654
2004-07-22,4.9,4.9,4.9,4.9,2600,14.7,0.0
2004-07-23,4.95,4.95,4.9,4.94,13100,14.82,0.008163265306122547
2004-07-26,4.95,4.95,4.95,4.95,3700,14.85,0.002024291497975561
2004-07-27,4.92,4.97,4.92,4.97,3100,14.91,0.004040404040404066
2004-07-28,4.92,4.92,4.92,4.92,1700,14.76,-0.010060362173038295
2004-07-29,4.93,4.94,4.93,4.93,14700,14.79,0.00203252032520318
2004-07-30,4.92,4.96,4.92,4.96,500,14.88,0.006085192697768971
2004-08-02,4.96,4.96,4.96,4.96,0,14.88,0.0
2004-08-03,4.96,4.99,4.95,4.98,21900,14.94,0.004032258064516014
2004-08-04,4.98,5.0,4.92,5.0,2800,15.0,0.004016064257028162
2004-08-05,4.98,4.99,4.95,4.99,4300,14.97,-0.0020000000000000018
2004-08-06,4.98,4.98,4.95,4.95,2000,14.85,-0.008016032064128376
2004-08-09,4.95,4.97,4.95,4.95,13100,14.85,0.0
