Date,Open,High,Low,Close,Volume,Adj Close,Return
2012-02-14,48.0,50.02,48.0,49.95,66000,12.29,0.0
2012-02-15,51.05,51.06,49.02,50.1,155600,12.33,0.0032546786004883366
2012-02-16,50.29,50.31,50.25,50.26,4800,12.37,0.0032441200324411223
2012-02-17,50.11,50.74,50.1,50.74,30800,12.48,0.008892481810832686
2012-02-21,51.78,51.78,50.89,51.25,4800,12.61,0.010416666666666519
2012-02-22,50.04,51.3,50.04,50.3,82400,12.38,-0.018239492466296525
2012-02-23,49.51,51.67,49.51,51.05,52000,12.56,0.01453957996768973
2012-02-24,51.62,52.03,51.25,51.9,50400,12.77,0.01671974522292996
2012-02-27,51.52,51.92,51.5,51.9,38000,12.77,0.0
2012-02-28,52.25,53.24,52.0,52.45,156400,12.91,0.010963194988253822
2012-02-29,53.24,53.24,52.75,53.0,8000,13.04,0.010069713400464586
2012-03-01,53.0,53.5,52.8,53.5,14400,13.16,0.00920245398773023
2012-03-02,53.5,62.06,53.35,54.1,99600,13.31,0.011398176291793405
2012-03-05,54.09,54.1,53.3,53.53,25200,13.17,-0.010518407212622094
2012-03-06,53.02,53.23,52.5,52.5,20000,12.92,-0.018982536066818545
2012-03-07,52.65,52.65,52.01,52.25,21200,12.86,-0.004643962848297267
2012-03-08,52.62,52.62,51.94,52.23,18000,12.85,-0.0007776049766717863
2012-03-09,26.8,26.8,26.04,26.66,34800,13.12,0.021011673151750898
2012-03-12,26.85,27.75,26.6,27.66,66600,13.61,0.03734756097560976
2012-03-13,27.95,27.98,27.45,27.5,25000,13.53,-0.005878030859661987
2012-03-14,27.6,27.95,27.6,27.86,46600,13.71,0.01330376940133049
2012-03-15,27.87,29.98,27.55,29.0,45000,14.27,0.04084609773887671
2012-03-16,29.12,29.12,26.6,27.71,103000,13.64,-0.0441485634197617
2012-03-19,28.0,28.3,27.85,27.94,34200,13.75,0.008064516129032251
2012-03-20,27.76,28.25,27.76,28.16,8400,13.86,0.008000000000000007
2012-03-21,28.12,28.18,27.5,27.85,6000,13.7,-0.011544011544011523
2012-03-22,27.51,27.51,27.0,27.01,5000,13.29,-0.029927007299270114
2012-03-23,26.91,27.93,26.51,27.04,8600,13.31,0.0015048908954102824
2012-03-26,27.4,28.52,27.4,27.81,180000,13.69,0.02854996243425978
2012-03-27,28.05,28.06,26.56,27.24,66600,13.4,-0.02118334550766976
2012-03-28,27.08,27.99,27.08,27.6,25800,13.58,0.013432835820895495
2012-03-29,27.6,27.6,26.79,26.97,91400,13.27,-0.022827687776141414
2012-03-30,27.56,28.31,27.03,27.8,675000,13.68,0.030896759608138646
2012-04-02,27.56,28.0,27.3,27.97,164600,13.76,0.005847953216374213
2012-04-03,27.91,28.04,27.15,27.8,165200,13.68,-0.005813953488372103
2012-04-04,27.5,27.96,27.5,27.94,15200,13.75,0.005116959064327409
2012-04-05,27.9,27.97,27.61,27.63,3400,13.6,-0.01090909090909098
2012-04-09,27.25,28.11,26.6,27.95,40400,13.75,0.011029411764705843
2012-04-10,27.93,27.96,27.13,27.24,19400,13.4,-0.025454545454545396
2012-04-11,27.65,28.0,27.61,27.94,28000,13.75,0.026119402985074647
2012-04-12,27.97,28.1,27.96,28.1,170200,13.83,0.005818181818181722
2012-04-13,28.05,28.62,28.02,28.38,31800,13.97,0.010122921185828027
2012-04-16,28.75,30.93,28.32,30.24,43600,14.88,0.06513958482462412
2012-04-17,30.51,33.18,30.25,32.48,164000,15.98,0.07392473118279574
2012-04-18,32.52,34.32,31.86,34.05,179800,16.76,0.04881101376720909
2012-04-19,34.2,34.59,33.27,34.11,175600,16.79,0.0017899761336515052
2012-04-20,34.63,34.63,32.91,33.98,76600,16.72,-0.004169148302561099
2012-04-23,33.35,33.86,32.2,32.26,42800,15.87,-0.05083732057416268
2012-04-24,32.38,32.95,32.31,32.94,17400,16.21,0.021424070573409004
