Date,Open,High,Low,Close,Volume,Adj Close,Return
1987-11-05,18.56,19.08,18.56,18.67,93200,3.2,0.0
1987-11-06,18.56,18.98,18.56,18.67,78600,3.2,0.0
1987-11-09,18.56,18.98,18.46,18.87,92400,3.23,0.009374999999999911
1987-11-10,18.87,19.08,18.14,18.67,122300,3.2,-0.009287925696594312
1987-11-11,18.87,19.08,18.67,18.77,47000,3.22,0.006250000000000089
1987-11-12,19.19,19.81,18.98,19.19,165900,3.29,0.021739130434782483
1987-11-13,19.19,19.19,18.77,19.08,211700,3.27,-0.006079027355623157
1987-11-16,18.87,19.19,18.87,19.08,76000,3.27,0.0
1987-11-17,19.08,19.5,19.08,19.29,39100,3.31,0.012232415902140747
1987-11-18,19.19,19.5,19.19,19.5,196400,3.34,0.009063444108761365
1987-11-19,19.5,19.81,19.29,19.6,64100,3.36,0.0059880239520957446
1987-11-20,19.6,19.6,19.29,19.5,75300,3.34,-0.005952380952380931
1987-11-23,19.6,19.92,19.5,19.92,62200,3.41,0.020958083832335328
1987-11-24,19.81,20.86,19.81,20.02,126400,3.43,0.0058651026392961825
1987-11-25,19.92,20.86,19.71,20.33,146900,3.48,0.014577259475218707
1987-11-27,20.13,20.23,19.4,19.5,22400,3.34,-0.04022988505747127
1987-11-30,19.19,19.19,18.77,19.08,60000,3.27,-0.020958083832335328
1987-12-01,18.98,19.81,18.98,19.6,69700,3.36,0.02752293577981657
1987-12-02,19.81,19.81,19.4,19.6,80100,3.36,0.0
1987-12-03,19.6,19.81,19.6,19.6,24200,3.36,0.0
1987-12-04,19.4,19.81,19.4,19.6,93600,3.36,0.0
1987-12-07,19.6,20.23,19.6,20.02,317200,3.43,0.02083333333333348
1987-12-08,20.02,20.65,19.71,20.44,52600,3.5,0.020408163265306145
1987-12-09,20.44,20.75,20.23,20.54,24600,3.52,0.005714285714285783
1987-12-10,20.23,20.44,19.6,20.23,269800,3.47,-0.014204545454545414
1987-12-11,20.02,20.23,19.81,20.13,16400,3.45,-0.0057636887608069065
1987-12-14,20.13,20.44,20.13,20.13,20500,3.45,0.0
1987-12-15,20.13,20.33,20.02,20.33,70400,3.48,0.008695652173912993
1987-12-16,20.02,20.23,20.02,20.13,54400,3.45,-0.008620689655172376
1987-12-17,20.02,20.23,20.02,20.02,48800,3.43,-0.005797101449275366
1987-12-18,20.23,20.33,20.02,20.33,111400,3.48,0.014577259475218707
1987-12-21,20.23,20.44,20.02,20.44,37600,3.5,0.005747126436781658
1987-12-22,20.65,20.65,20.13,20.54,131600,3.52,0.005714285714285783
1987-12-23,20.65,20.96,20.54,20.75,33500,3.56,0.011363636363636465
1987-12-24,20.65,20.96,20.65,20.96,30200,3.59,0.008426966292134797
1987-12-28,20.75,20.75,20.02,20.33,46200,3.48,-0.03064066852367686
1987-12-29,20.44,20.44,20.23,20.44,29800,3.5,0.005747126436781658
1987-12-30,20.44,20.75,20.44,20.75,89800,3.56,0.017142857142857126
1987-12-31,20.54,20.96,20.54,20.65,25700,3.54,-0.005617977528089901
1988-01-04,20.54,20.75,20.54,20.75,26500,3.56,0.005649717514124353
1988-01-05,20.54,21.27,20.54,20.86,341400,3.57,0.002808988764044784
1988-01-06,20.96,21.17,20.86,20.86,32800,3.57,0.0
1988-01-07,20.86,21.38,20.75,21.27,35000,3.64,0.019607843137255054
1988-01-08,21.06,21.06,20.75,20.86,185200,3.57,-0.019230769230769273
