Date,Open,High,Low,Close,Volume,Adj Close,Return
2013-07-24,10.0,10.19,9.02,9.57,1106200,9.57,0.0
2013-07-25,9.35,9.53,9.03,9.29,175200,9.29,-0.02925809822361558
2013-07-26,9.2,9.28,9.02,9.28,38400,9.28,-0.0010764262648008671
2013-07-29,9.15,9.39,9.01,9.16,5000,9.16,-0.012931034482758563
2013-07-30,9.06,9.48,9.06,9.36,19300,9.36,0.02183406113537112
2013-07-31,9.49,9.93,9.25,9.93,20200,9.93,0.0608974358974359
2013-08-01,10.01,10.1,9.77,10.05,46300,10.05,0.012084592145015227
2013-08-02,9.78,10.2,9.77,10.09,135100,10.09,0.003980099502487455
2013-08-05,10.15,10.2,9.91,10.05,49400,10.05,-0.003964321110009772
2013-08-06,9.86,10.15,9.86,9.95,17300,9.95,-0.009950248756219082
2013-08-07,9.84,10.05,9.84,10.0,8500,10.0,0.005025125628140836
2013-08-08,9.95,10.0,9.78,9.78,13200,9.78,-0.02200000000000002
2013-08-09,9.78,10.0,9.78,9.81,13600,9.81,0.0030674846625768915
2013-08-12,10.0,10.15,10.0,10.15,22900,10.15,0.03465851172273182
2013-08-13,10.0,10.0,9.79,9.84,23100,9.84,-0.030541871921182295
2013-08-14,10.0,10.15,9.28,10.0,8100,10.0,0.016260162601626105
2013-08-15,9.99,10.15,9.87,9.87,12300,9.87,-0.013000000000000123
2013-08-16,10.15,10.19,10.05,10.19,44300,10.19,0.03242147922998995
2013-08-19,11.23,11.23,9.86,10.1,35900,10.1,-0.008832188420019649
2013-08-20,10.14,10.15,9.61,10.15,6600,10.15,0.004950495049504955
2013-08-21,10.1,10.15,10.05,10.07,23100,10.07,-0.007881773399014746
2013-08-22,10.31,10.31,10.08,10.09,12500,10.09,0.0019860973187686426
2013-08-23,10.1,10.1,10.02,10.1,9900,10.1,0.0009910802775023875
2013-08-26,10.0,10.1,10.0,10.05,20400,10.05,-0.004950495049504844
2013-08-27,9.8,10.05,9.8,10.05,10500,10.05,0.0
2013-08-28,10.0,10.05,9.9,10.01,21800,10.01,-0.003980099502487677
2013-08-29,10.0,10.05,9.95,9.97,22700,9.97,-0.003996003996003861
2013-08-30,9.92,10.04,9.77,9.99,1900,9.99,0.0020060180541623396
2013-09-03,10.03,10.05,9.91,9.96,17000,9.96,-0.0030030030030029353
2013-09-04,9.95,10.08,9.76,9.94,16400,9.94,-0.002008032128514192
2013-09-05,9.71,10.0,9.7,9.85,7600,9.85,-0.00905432595573441
2013-09-06,9.65,9.77,9.6,9.75,6200,9.75,-0.01015228426395931
2013-09-09,9.75,10.07,9.75,9.9,15200,9.9,0.01538461538461533
2013-09-10,9.85,10.07,9.85,9.92,11600,9.92,0.002020202020202033
2013-09-11,9.82,10.05,9.81,9.95,7900,9.95,0.003024193548387011
2013-09-12,9.95,11.0,9.95,10.9,41700,10.9,0.09547738693467345
2013-09-13,10.95,11.29,10.8,11.0,79800,11.0,0.00917431192660545
2013-09-16,11.33,12.7,10.96,12.49,315800,12.49,0.1354545454545455
2013-09-17,12.54,13.5,12.01,12.19,240600,12.19,-0.024019215372297897
2013-09-18,13.0,13.5,12.76,13.39,290700,13.39,0.09844134536505345
2013-09-19,13.5,13.5,12.35,12.79,64400,12.79,-0.044809559372666286
2013-09-20,12.99,12.99,12.31,12.31,50400,12.31,-0.037529319781078874
2013-09-23,12.51,12.99,12.31,12.84,89100,12.84,0.04305442729488207
2013-09-24,12.76,12.98,11.9,12.03,57100,12.03,-0.0630841121495328
2013-09-25,12.0,12.1,11.75,11.8,79300,11.8,-0.019118869492934176
2013-09-26,12.43,12.46,11.78,11.78,29800,11.78,-0.0016949152542373724
2013-09-27,11.77,13.4,11.77,13.19,107200,13.19,0.11969439728353137
2013-09-30,13.32,13.47,12.44,12.44,84000,12.44,-0.056861258529188774
2013-10-01,12.74,13.0,12.12,12.6,62800,12.6,0.012861736334405238
2013-10-02,12.65,14.99,12.5,14.6,186700,14.6,0.15873015873015883
2013-10-03,14.76,15.29,13.57,13.75,152000,13.75,-0.05821917808219179
2013-10-04,13.92,14.7,13.86,13.99,40700,13.99,0.01745454545454539
2013-10-07,13.99,14.33,13.18,13.33,36900,13.33,-0.04717655468191562
2013-10-08,13.45,13.99,12.12,12.98,44500,12.98,-0.026256564141035277
2013-10-09,12.9,12.9,11.55,11.97,28700,11.97,-0.07781201848998454
2013-10-10,12.4,12.75,11.31,11.78,54400,11.78,-0.015873015873015928
2013-10-11,12.07,12.07,11.16,11.34,24500,11.34,-0.03735144312393879
2013-10-14,11.61,11.71,10.7,10.91,27900,10.91,-0.03791887125220461
2013-10-15,11.0,11.31,10.52,10.82,41700,10.82,-0.008249312557286892
2013-10-16,10.74,11.12,10.71,11.12,19200,11.12,0.02772643253234741
2013-10-17,10.93,11.13,10.67,10.83,24700,10.83,-0.02607913669064743
2013-10-18,10.61,11.2,10.61,11.13,19900,11.13,0.027700831024930705
2013-10-21,11.2,11.2,10.6,10.66,34100,10.66,-0.042228212039532864
2013-10-22,10.72,10.72,9.76,10.57,70500,10.57,-0.008442776735459678
2013-10-23,10.39,10.5,10.0,10.45,31100,10.45,-0.011352885525071077
2013-10-24,10.17,10.68,10.12,10.32,21400,10.32,-0.012440191387559696
2013-10-25,10.37,10.58,10.06,10.34,23200,10.34,0.0019379844961240345
2013-10-28,10.45,10.64,10.1,10.11,31700,10.11,-0.022243713733075432
2013-10-29,10.22,10.25,9.44,9.85,45000,9.85,-0.02571711177052416
2013-10-30,9.8,9.84,9.2,9.22,59500,9.22,-0.06395939086294411
2013-10-31,9.13,9.42,8.7,9.05,54800,9.05,-0.018438177874186557
2013-11-01,9.45,9.71,9.26,9.71,11600,9.71,0.07292817679558006
2013-11-04,9.59,9.92,9.55,9.76,6100,9.76,0.005149330587023604
2013-11-05,9.28,9.84,9.28,9.62,7800,9.62,-0.014344262295082011
2013-11-06,9.5,9.58,8.9,9.17,51400,9.17,-0.04677754677754675
2013-11-07,8.95,8.97,7.5,8.38,31800,8.38,-0.08615049073064329
2013-11-08,8.95,9.4,8.95,9.2,16100,9.2,0.09785202863961806
2013-11-11,8.33,9.0,8.33,8.58,12000,8.58,-0.06739130434782603
2013-11-12,8.65,8.65,8.01,8.18,9700,8.18,-0.04662004662004671
2013-11-13,8.74,9.25,8.5,9.04,29200,9.04,0.10513447432762835
2013-11-14,9.15,9.27,8.4,8.4,60000,8.4,-0.07079646017699104
2013-11-15,8.4,8.9,8.4,8.55,11300,8.55,0.017857142857142794
2013-11-18,8.54,8.54,8.0,8.08,9900,8.08,-0.054970760233918226
2013-11-19,8.15,8.52,7.79,7.85,70100,7.85,-0.02846534653465349
2013-11-20,7.97,8.28,7.97,8.0,9100,8.0,0.019108280254777066
2013-11-21,8.14,8.34,7.67,7.67,43500,7.67,-0.04125000000000001
2013-11-22,8.0,8.59,7.81,8.05,27700,8.05,0.049543676662320735
2013-11-25,8.19,8.94,7.85,8.72,58700,8.72,0.08322981366459636
2013-11-26,8.81,9.47,8.75,9.17,36500,9.17,0.05160550458715596
2013-11-27,9.18,9.3,8.21,8.38,46400,8.38,-0.08615049073064329
2013-11-29,8.07,8.59,8.07,8.22,6500,8.22,-0.019093078758949944
2013-12-02,8.12,8.61,7.69,7.69,52300,7.69,-0.06447688564476883
2013-12-03,7.6,7.99,7.52,7.73,10300,7.73,0.005201560468140354
2013-12-04,8.0,8.68,8.0,8.35,5500,8.35,0.08020698576972829
2013-12-05,8.33,8.85,8.2,8.2,43100,8.2,-0.017964071856287456
2013-12-06,8.3,8.61,8.2,8.21,7800,8.21,0.0012195121951221743
2013-12-09,8.38,8.79,8.2,8.24,12900,8.24,0.0036540803897684437
