Date,Open,High,Low,Close,Volume,Adj Close,Return
1991-06-24,15.0,15.5,15.0,15.13,5692000,1.89,0.0
1991-06-25,15.13,15.13,14.5,14.5,940800,1.81,-0.042328042328042215
1991-06-26,14.75,14.75,14.5,14.5,1342400,1.81,0.0
1991-06-27,14.63,14.63,14.5,14.5,42400,1.81,0.0
1991-06-28,14.5,14.63,14.5,14.5,780000,1.81,0.0
1991-07-01,14.63,15.0,14.5,14.87,116800,1.86,0.027624309392265234
1991-07-02,14.87,14.87,14.12,14.5,690400,1.81,-0.026881720430107503
1991-07-03,14.12,14.38,14.0,14.0,286400,1.75,-0.03314917127071826
1991-07-05,14.0,14.0,14.0,14.0,39200,1.75,0.0
1991-07-08,13.88,14.12,13.75,13.75,163200,1.72,-0.017142857142857126
1991-07-09,14.12,14.12,13.75,14.0,313600,1.75,0.01744186046511631
1991-07-10,13.75,14.12,13.75,14.12,52800,1.77,0.011428571428571344
1991-07-11,13.75,14.0,13.75,14.0,44000,1.75,-0.011299435028248594
1991-07-12,13.75,14.12,13.75,13.75,56000,1.72,-0.017142857142857126
1991-07-15,14.12,14.12,13.75,13.75,28000,1.72,0.0
1991-07-16,13.75,14.12,13.75,14.12,101600,1.77,0.029069767441860517
1991-07-17,13.88,14.12,13.75,13.75,108000,1.72,-0.02824858757062154
1991-07-18,13.75,14.12,13.75,13.88,142400,1.73,0.005813953488372103
1991-07-19,14.12,14.75,13.88,14.25,266400,1.78,0.028901734104046284
1991-07-22,14.25,14.5,14.0,14.0,137600,1.75,-0.016853932584269704
1991-07-23,14.0,14.25,14.0,14.0,69600,1.75,0.0
1991-07-24,14.0,14.38,14.0,14.38,23200,1.8,0.028571428571428692
1991-07-25,14.0,14.38,13.88,14.12,209600,1.77,-0.01666666666666672
1991-07-26,14.38,15.13,14.38,15.0,262400,1.88,0.062146892655367214
1991-07-29,15.0,15.13,14.75,15.13,56000,1.89,0.005319148936170137
1991-07-30,14.75,15.13,14.5,14.87,46400,1.86,-0.015873015873015817
1991-07-31,14.5,14.87,14.5,14.5,228800,1.81,-0.026881720430107503
1991-08-01,14.87,15.0,14.5,15.0,364000,1.88,0.03867403314917128
1991-08-02,14.75,15.0,14.75,14.75,99200,1.84,-0.02127659574468077
1991-08-05,15.0,15.0,14.75,14.75,80000,1.84,0.0
1991-08-06,14.63,14.87,14.63,14.75,23200,1.84,0.0
1991-08-07,14.87,14.87,14.75,14.87,120000,1.86,0.010869565217391353
1991-08-08,14.87,15.0,14.75,15.0,108800,1.88,0.010752688172043001
1991-08-09,14.75,14.75,14.75,14.75,1600,1.84,-0.02127659574468077
1991-08-12,14.75,15.0,14.75,15.0,115200,1.88,0.021739130434782483
1991-08-13,15.0,15.0,14.75,14.75,60000,1.84,-0.02127659574468077
1991-08-14,14.5,14.87,14.5,14.87,109600,1.86,0.010869565217391353
1991-08-15,14.87,14.87,14.75,14.87,8800,1.86,0.0
1991-08-16,14.5,14.87,14.5,14.87,101600,1.86,0.0
1991-08-19,14.0,14.12,13.5,13.5,288800,1.69,-0.09139784946236562
1991-08-20,14.0,14.12,13.88,14.12,102400,1.77,0.047337278106508895
1991-08-21,14.75,14.75,14.38,14.38,20800,1.8,0.016949152542372836
1991-08-22,14.38,14.75,14.38,14.63,54400,1.83,0.016666666666666607
1991-08-23,14.75,14.75,14.38,14.75,67200,1.84,0.005464480874316946
1991-08-26,14.25,14.75,14.25,14.75,16000,1.84,0.0
1991-08-27,14.75,14.75,14.38,14.38,12000,1.8,-0.021739130434782594
1991-08-28,14.38,14.87,14.38,14.87,553600,1.86,0.03333333333333344
1991-08-29,14.87,16.88,14.75,16.5,1679200,2.06,0.10752688172043001
1991-08-30,16.75,16.75,15.75,16.5,840800,2.06,0.0
1991-09-03,16.5,16.5,15.75,15.88,204000,1.98,-0.03883495145631066
1991-09-04,16.0,16.0,15.25,15.75,32800,1.97,-0.005050505050505083
1991-09-05,16.0,16.0,15.38,15.75,56800,1.97,0.0
1991-09-06,15.88,15.88,15.38,15.38,65600,1.92,-0.025380710659898553
1991-09-09,15.62,16.0,15.38,15.88,256000,1.98,0.03125
1991-09-10,15.38,15.88,15.38,15.88,11200,1.98,0.0
1991-09-11,15.88,15.88,15.38,15.88,45600,1.98,0.0
1991-09-12,15.88,15.88,15.38,15.38,25600,1.92,-0.030303030303030276
1991-09-13,15.5,16.0,15.5,15.88,60000,1.98,0.03125
1991-09-16,15.88,16.13,15.38,15.5,20000,1.94,-0.02020202020202022
1991-09-17,15.5,16.37,15.5,16.0,1170400,2.0,0.030927835051546504
1991-09-18,16.0,16.5,16.0,16.5,142400,2.06,0.030000000000000027
1991-09-19,16.0,16.37,16.0,16.37,52800,2.05,-0.004854368932038944
1991-09-20,16.5,16.5,16.0,16.5,103200,2.06,0.004878048780487809
1991-09-23,16.0,16.5,16.0,16.5,596000,2.06,0.0
1991-09-24,16.13,16.63,16.13,16.63,625600,2.08,0.009708737864077666
1991-09-25,16.25,16.63,16.13,16.37,384800,2.05,-0.014423076923077094
1991-09-26,16.37,16.75,16.37,16.63,475200,2.08,0.014634146341463428
1991-09-27,16.75,17.38,16.5,17.38,351200,2.17,0.043269230769230616
1991-09-30,17.38,18.38,17.38,17.87,1218400,2.23,0.02764976958525356
1991-10-01,18.0,18.38,17.38,18.0,322400,2.25,0.008968609865470878
1991-10-02,17.87,18.25,17.87,18.25,195200,2.28,0.013333333333333197
1991-10-03,17.75,18.25,17.5,18.13,192000,2.27,-0.004385964912280604
1991-10-04,18.0,18.38,17.38,18.25,235200,2.28,0.004405286343612147
1991-10-07,18.5,18.5,18.25,18.38,347200,2.3,0.00877192982456143
1991-10-08,18.25,19.0,18.25,18.38,273600,2.3,0.0
1991-10-09,19.13,19.88,19.0,19.25,1739200,2.41,0.04782608695652191
1991-10-10,19.5,20.0,19.0,20.0,380000,2.5,0.03734439834024883
1991-10-11,20.25,21.75,19.5,20.5,649600,2.56,0.02400000000000002
1991-10-14,21.0,21.5,20.5,20.75,417600,2.59,0.01171875
1991-10-15,20.75,21.25,20.25,20.75,152000,2.59,0.0
1991-10-16,21.0,21.0,20.25,20.75,142400,2.59,0.0
1991-10-17,20.0,20.75,19.75,19.75,308800,2.47,-0.04633204633204624
