Date,Open,High,Low,Close,Volume,Adj Close,Return
1990-03-26,7.0,7.13,7.0,7.0,73600,0.44,0.0
1990-03-27,6.87,7.13,6.87,7.13,1600,0.45,0.022727272727272707
1990-03-28,7.0,7.0,7.0,7.0,44800,0.44,-0.022222222222222254
1990-03-29,7.13,7.13,6.87,6.87,17600,0.43,-0.022727272727272707
1990-03-30,6.87,6.87,6.87,6.87,1600,0.43,0.0
1990-04-04,6.87,6.87,6.87,6.87,3200,0.43,0.0
1990-04-05,6.87,7.13,6.87,7.13,6400,0.45,0.04651162790697683
1990-04-06,6.87,7.13,6.87,7.13,4800,0.45,0.0
1990-04-09,7.13,7.13,7.0,7.0,14400,0.44,-0.022222222222222254
1990-04-10,7.0,7.0,7.0,7.0,6400,0.44,0.0
1990-04-11,7.0,7.0,7.0,7.0,48000,0.44,0.0
1990-04-12,7.0,7.0,6.87,6.87,12800,0.43,-0.022727272727272707
1990-04-16,7.13,7.13,6.63,6.75,28800,0.42,-0.023255813953488413
1990-04-17,6.75,6.75,6.0,6.0,137600,0.38,-0.09523809523809523
1990-04-18,6.0,6.12,5.75,5.75,179200,0.36,-0.052631578947368474
1990-04-19,6.12,6.12,6.12,6.12,9600,0.38,0.05555555555555558
1990-04-20,5.63,5.63,5.5,5.63,51200,0.35,-0.07894736842105265
1990-04-23,5.63,5.63,5.63,5.63,12800,0.35,0.0
1990-04-24,5.63,5.63,5.37,5.37,9600,0.34,-0.02857142857142847
1990-04-25,5.37,5.63,5.37,5.63,9600,0.35,0.02941176470588225
1990-04-26,5.37,5.63,5.37,5.63,3200,0.35,0.0
1990-04-30,5.37,5.37,5.13,5.13,32000,0.32,-0.08571428571428563
1990-05-01,5.13,5.13,4.75,5.13,208000,0.32,0.0
1990-05-02,4.75,4.88,4.75,4.88,51200,0.3,-0.0625
1990-05-03,4.75,4.75,4.75,4.75,11200,0.3,0.0
1990-05-04,4.62,4.88,4.62,4.88,9600,0.3,0.0
1990-05-07,5.0,5.0,5.0,5.0,3200,0.31,0.03333333333333344
1990-05-08,5.0,5.0,5.0,5.0,1600,0.31,0.0
1990-05-09,4.75,5.13,4.75,5.0,60800,0.31,0.0
1990-05-10,5.0,5.25,5.0,5.25,25600,0.33,0.06451612903225823
1990-05-11,5.13,5.37,5.13,5.13,129600,0.32,-0.030303030303030276
1990-05-14,5.25,5.25,5.0,5.25,9600,0.33,0.03125
1990-05-15,5.25,5.25,5.25,5.25,3200,0.33,0.0
1990-05-16,5.25,5.25,5.25,5.25,12800,0.33,0.0
1990-05-17,5.0,5.25,5.0,5.25,1600,0.33,0.0
1990-05-18,5.0,5.37,5.0,5.37,24000,0.34,0.030303030303030276
1990-05-21,5.0,5.25,5.0,5.25,81600,0.33,-0.02941176470588236
1990-05-22,5.25,5.25,5.25,5.25,6400,0.33,0.0
1990-05-23,5.25,5.25,5.0,5.0,36800,0.31,-0.06060606060606066
1990-05-24,5.0,5.0,5.0,5.0,1600,0.31,0.0
1990-05-25,5.0,5.25,5.0,5.0,19200,0.31,0.0
1990-05-29,5.0,5.0,5.0,5.0,12800,0.31,0.0
1990-05-30,5.0,5.13,5.0,5.13,64000,0.32,0.032258064516129004
1990-05-31,5.0,5.0,5.0,5.0,8000,0.31,-0.03125
1990-06-01,4.88,5.25,4.88,4.88,35200,0.3,-0.032258064516129115
1990-06-04,5.0,5.0,5.0,5.0,40000,0.31,0.03333333333333344
1990-06-06,5.25,5.25,4.88,4.88,102400,0.3,-0.032258064516129115
1990-06-07,5.13,5.13,5.13,5.13,1600,0.32,0.06666666666666665
1990-06-12,5.13,5.13,5.13,5.13,3200,0.32,0.0
1990-06-13,4.88,4.88,4.88,4.88,0,0.3,-0.0625
1990-06-14,4.88,5.0,4.88,5.0,94400,0.31,0.03333333333333344
1990-06-15,4.88,5.0,4.75,4.75,52800,0.3,-0.032258064516129115
1990-06-18,4.75,4.88,4.38,4.38,22400,0.27,-0.09999999999999987
1990-06-19,4.38,4.62,4.38,4.5,96000,0.28,0.03703703703703698
1990-06-20,4.38,4.62,4.25,4.25,51200,0.27,-0.0357142857142857
1990-06-21,4.5,4.5,4.5,4.5,8000,0.28,0.03703703703703698
1990-06-22,4.5,4.5,4.25,4.25,1600,0.27,-0.0357142857142857
1990-06-25,4.13,4.25,4.13,4.25,76800,0.27,0.0
1990-06-26,4.13,4.25,4.0,4.0,172800,0.25,-0.07407407407407418
1990-06-27,4.0,4.13,3.63,4.0,91200,0.25,0.0
1990-06-28,3.87,4.0,3.75,4.0,41600,0.25,0.0
1990-06-29,3.75,3.75,3.75,3.75,49600,0.23,-0.07999999999999996
1990-07-02,3.87,3.87,3.87,3.87,1600,0.24,0.04347826086956519
1990-07-06,3.87,3.87,3.5,3.5,92800,0.22,-0.08333333333333326
1990-07-09,3.5,3.5,3.5,3.5,16000,0.22,0.0
1990-07-10,3.87,3.87,3.87,3.87,3200,0.24,0.09090909090909083
1990-07-11,3.87,3.87,3.87,3.87,8000,0.24,0.0
1990-07-12,3.5,3.63,3.5,3.63,169600,0.23,-0.04166666666666663
1990-07-13,3.87,3.87,3.87,3.87,0,0.24,0.04347826086956519
1990-07-16,3.5,3.5,3.5,3.5,19200,0.22,-0.08333333333333326
1990-07-17,3.5,3.87,3.5,3.87,6400,0.24,0.09090909090909083
1990-07-18,3.63,3.63,3.63,3.63,160000,0.23,-0.04166666666666663
1990-07-20,3.75,3.87,3.75,3.87,24000,0.24,0.04347826086956519
1990-07-24,3.5,3.5,3.5,3.5,1600,0.22,-0.08333333333333326
1990-07-25,3.5,3.75,3.5,3.5,28800,0.22,0.0
1990-07-26,3.5,3.5,3.5,3.5,9600,0.22,0.0
1990-07-27,3.5,3.5,3.5,3.5,9600,0.22,0.0
1990-07-30,3.5,3.5,3.5,3.5,12800,0.22,0.0
1990-08-02,3.5,3.5,3.5,3.5,3200,0.22,0.0
1990-08-03,3.5,3.5,3.5,3.5,1600,0.22,0.0
1990-08-06,3.75,3.75,3.75,3.75,3200,0.23,0.045454545454545414
1990-08-07,3.5,3.63,3.5,3.56,28800,0.22,-0.0434782608695653
1990-08-08,3.63,3.63,3.63,3.63,8000,0.23,0.045454545454545414
1990-08-09,3.5,3.5,3.5,3.5,16000,0.22,-0.0434782608695653
1990-08-10,3.63,3.63,3.63,3.63,32000,0.23,0.045454545454545414
1990-08-13,3.5,3.63,3.5,3.63,163200,0.23,0.0
1990-08-14,3.5,3.5,3.5,3.5,35200,0.22,-0.0434782608695653
1990-08-15,3.5,3.75,3.5,3.75,4800,0.23,0.045454545454545414
1990-08-16,3.5,3.5,3.38,3.38,204800,0.21,-0.08695652173913049
1990-08-17,3.25,3.5,3.25,3.5,92800,0.22,0.04761904761904767
1990-08-20,3.25,3.5,3.25,3.5,35200,0.22,0.0
1990-08-21,3.25,3.5,3.25,3.25,59200,0.2,-0.09090909090909083
1990-08-23,3.25,3.25,3.0,3.12,246400,0.2,0.0
1990-08-27,3.38,3.38,3.12,3.12,9600,0.2,0.0
1990-08-28,3.12,3.38,3.12,3.38,16000,0.21,0.04999999999999982
1990-08-29,3.38,3.38,3.25,3.25,49600,0.2,-0.04761904761904756
1990-08-30,3.38,3.38,3.25,3.25,43200,0.2,0.0
1990-09-05,3.25,3.38,3.25,3.38,48000,0.21,0.04999999999999982
1990-09-06,3.25,3.5,3.25,3.5,6400,0.22,0.04761904761904767
1990-09-10,3.25,3.25,3.25,3.25,1600,0.2,-0.09090909090909083
1990-09-11,3.25,3.5,3.25,3.5,9600,0.22,0.09999999999999987
1990-09-12,3.5,3.5,3.25,3.25,4800,0.2,-0.09090909090909083
1990-09-14,3.25,3.38,3.25,3.38,25600,0.21,0.04999999999999982
1990-09-18,3.5,3.5,3.25,3.25,6400,0.2,-0.04761904761904756
1990-09-19,3.25,3.25,3.25,3.25,8000,0.2,0.0
1990-09-20,3.25,3.25,3.25,3.25,3200,0.2,0.0
1990-09-21,3.38,3.5,3.25,3.25,20800,0.2,0.0
1990-09-24,3.25,3.25,3.25,3.25,6400,0.2,0.0
1990-09-25,3.25,3.25,3.25,3.25,16000,0.2,0.0
1990-09-26,3.5,3.5,3.25,3.38,96000,0.21,0.04999999999999982
1990-09-28,3.25,3.25,3.25,3.25,22400,0.2,-0.04761904761904756
1990-10-01,3.25,3.5,3.25,3.25,88000,0.2,0.0
1990-10-02,3.25,3.5,3.25,3.5,25600,0.22,0.09999999999999987
1990-10-03,3.5,3.5,3.5,3.5,8000,0.22,0.0
1990-10-04,3.38,3.38,3.25,3.25,24000,0.2,-0.09090909090909083
1990-10-10,3.25,3.25,3.25,3.25,1600,0.2,0.0
1990-10-11,3.25,3.38,3.25,3.25,32000,0.2,0.0
1990-10-12,3.25,3.5,3.25,3.5,54400,0.22,0.09999999999999987
1990-10-15,3.5,3.5,3.25,3.25,6400,0.2,-0.09090909090909083
1990-10-17,3.5,3.5,3.5,3.5,1600,0.22,0.09999999999999987
1990-10-18,3.25,3.38,3.25,3.38,328000,0.21,-0.045454545454545525
1990-10-22,3.5,3.5,3.5,3.5,8000,0.22,0.04761904761904767
1990-10-23,3.38,3.5,3.38,3.5,9600,0.22,0.0
1990-10-24,3.38,3.38,3.38,3.38,27200,0.21,-0.045454545454545525
1990-10-25,3.38,3.38,3.38,3.38,35200,0.21,0.0
1990-10-29,3.5,3.5,3.5,3.5,8000,0.22,0.04761904761904767
1990-10-30,3.38,3.38,3.38,3.38,46400,0.21,-0.045454545454545525
1990-11-01,3.38,3.38,3.38,3.38,24000,0.21,0.0
1990-11-05,3.25,3.38,3.25,3.38,152000,0.21,0.0
1990-11-06,3.5,3.5,3.5,3.5,19200,0.22,0.04761904761904767
1990-11-07,3.5,3.5,3.38,3.38,6400,0.21,-0.045454545454545525
1990-11-08,3.38,3.5,3.38,3.5,4800,0.22,0.04761904761904767
1990-11-09,3.25,3.5,3.25,3.38,36800,0.21,-0.045454545454545525
1990-11-12,3.38,3.38,3.38,3.38,48000,0.21,0.0
1990-11-13,3.5,3.5,3.5,3.5,8000,0.22,0.04761904761904767
1990-11-15,3.5,3.5,3.38,3.38,300800,0.21,-0.045454545454545525
1990-11-16,3.25,3.25,3.25,3.25,6400,0.2,-0.04761904761904756
1990-11-19,3.38,3.38,3.38,3.38,1600,0.21,0.04999999999999982
1990-11-20,3.38,3.5,3.25,3.5,260800,0.22,0.04761904761904767
1990-11-21,3.38,3.5,3.38,3.5,112000,0.22,0.0
1990-11-23,3.25,3.5,3.25,3.25,96000,0.2,-0.09090909090909083
1990-11-28,3.25,3.25,3.25,3.25,16000,0.2,0.0
1990-11-29,3.38,3.38,3.25,3.25,105600,0.2,0.0
1990-11-30,3.31,3.31,3.25,3.25,27200,0.2,0.0
1990-12-03,3.25,3.25,3.12,3.12,230400,0.2,0.0
1990-12-04,3.38,3.38,3.12,3.38,38400,0.21,0.04999999999999982
1990-12-05,3.38,3.38,3.38,3.38,0,0.21,0.0
1990-12-07,3.25,3.38,3.25,3.38,3200,0.21,0.0
1990-12-11,3.38,3.38,3.25,3.38,20800,0.21,0.0
1990-12-12,3.25,3.38,3.06,3.25,515200,0.2,-0.04761904761904756
1990-12-13,3.25,3.25,3.0,3.0,72000,0.19,-0.050000000000000044
1990-12-14,3.0,3.38,3.0,3.38,19200,0.21,0.10526315789473673
1990-12-17,3.0,3.25,3.0,3.0,32000,0.19,-0.09523809523809523
1990-12-18,3.25,3.25,3.25,3.25,1600,0.2,0.05263157894736836
1990-12-19,3.0,3.25,2.88,3.25,304000,0.2,0.0
1990-12-20,3.0,3.0,3.0,3.0,3200,0.19,-0.050000000000000044
1990-12-21,3.25,3.38,3.12,3.38,112000,0.21,0.10526315789473673
1990-12-24,3.12,3.12,3.12,3.12,11200,0.2,-0.04761904761904756
1990-12-26,3.12,3.12,3.12,3.12,3200,0.2,0.0
1990-12-27,3.12,3.38,3.12,3.38,8000,0.21,0.04999999999999982
1990-12-28,3.25,3.25,3.12,3.12,16000,0.2,-0.04761904761904756
1990-12-31,3.12,3.38,3.12,3.38,20800,0.21,0.04999999999999982
1991-01-02,3.38,3.38,3.25,3.25,19200,0.2,-0.04761904761904756
1991-01-03,3.38,3.5,3.38,3.5,208000,0.22,0.09999999999999987
1991-01-04,3.25,3.25,3.25,3.25,3200,0.2,-0.09090909090909083
1991-01-07,3.25,3.25,3.25,3.25,8000,0.2,0.0
