Date,Open,High,Low,Close,Volume,Adj Close,Return
1990-03-26,3.75,3.88,3.75,3.88,14300,3.88,0.0
1990-03-27,3.88,4.0,3.88,4.0,60800,4.0,0.030927835051546504
1990-03-28,4.0,4.12,3.88,4.12,20000,4.12,0.030000000000000027
1990-03-29,4.12,4.12,3.88,3.88,21500,3.88,-0.058252427184466105
1990-03-30,4.12,4.12,3.88,3.88,17100,3.88,0.0
1990-04-02,4.0,4.0,3.62,3.88,19200,3.88,0.0
1990-04-03,3.88,3.88,3.75,3.75,7700,3.75,-0.03350515463917525
1990-04-04,3.88,3.88,3.62,3.62,13100,3.62,-0.03466666666666662
1990-04-05,3.88,3.88,3.62,3.88,7500,3.88,0.07182320441988943
1990-04-06,3.75,4.12,3.69,4.12,57000,4.12,0.061855670103092786
1990-04-09,3.88,4.12,3.88,4.12,5700,4.12,0.0
1990-04-10,3.88,4.12,3.88,4.06,44600,4.06,-0.01456310679611661
1990-04-11,4.12,4.12,4.0,4.12,76900,4.12,0.014778325123152802
1990-04-12,4.12,4.12,4.0,4.12,143600,4.12,0.0
1990-04-16,4.12,4.37,4.0,4.37,82300,4.37,0.06067961165048552
1990-04-17,4.37,4.37,3.88,3.94,64500,3.94,-0.09839816933638446
1990-04-18,3.88,3.88,3.62,3.75,14600,3.75,-0.048223350253807085
1990-04-19,3.75,3.75,3.62,3.62,11400,3.62,-0.03466666666666662
1990-04-20,3.75,3.75,3.38,3.5,16800,3.5,-0.03314917127071826
1990-04-23,3.5,3.5,3.38,3.38,800,3.38,-0.034285714285714364
1990-04-24,3.5,3.5,3.38,3.5,6500,3.5,0.035502958579881616
1990-04-25,3.38,3.62,3.25,3.62,52800,3.62,0.03428571428571425
1990-04-26,3.62,3.62,3.38,3.38,37900,3.38,-0.06629834254143652
1990-04-27,3.62,3.62,3.38,3.62,9300,3.62,0.07100591715976345
1990-04-30,3.62,3.62,3.5,3.5,6300,3.5,-0.03314917127071826
1990-05-01,3.5,3.62,3.44,3.5,15400,3.5,0.0
1990-05-02,3.38,3.62,3.25,3.25,21700,3.25,-0.0714285714285714
1990-05-03,3.25,3.5,3.25,3.25,14500,3.25,0.0
1990-05-04,3.5,3.5,3.25,3.38,12700,3.38,0.040000000000000036
1990-05-07,3.5,3.5,3.5,3.5,1200,3.5,0.035502958579881616
1990-05-08,3.25,3.5,3.25,3.25,4200,3.25,-0.0714285714285714
1990-05-09,3.25,3.5,3.25,3.25,4200,3.25,0.0
1990-05-10,3.38,3.38,3.13,3.25,3200,3.25,0.0
1990-05-11,3.38,3.38,3.25,3.38,3500,3.38,0.040000000000000036
1990-05-14,3.25,3.38,3.25,3.25,10900,3.25,-0.038461538461538436
1990-05-15,3.38,3.38,3.25,3.38,8700,3.38,0.040000000000000036
1990-05-16,3.5,3.62,3.25,3.38,29400,3.38,0.0
1990-05-17,3.5,3.5,3.25,3.25,6300,3.25,-0.038461538461538436
1990-05-18,3.25,3.5,3.25,3.25,1400,3.25,0.0
1990-05-21,3.38,3.38,3.25,3.38,8500,3.38,0.040000000000000036
1990-05-22,3.25,3.38,3.25,3.25,12300,3.25,-0.038461538461538436
