Date,Open,High,Low,Close,Volume,Adj Close,Return
2013-03-05,7.93,8.2,7.36,7.67,996100,7.67,0.0
2013-03-06,7.51,7.62,7.0,7.2,368000,7.2,-0.06127770534550192
2013-03-07,7.14,7.4,7.14,7.22,82100,7.22,0.002777777777777768
2013-03-08,7.3,7.34,7.01,7.19,28000,7.19,-0.0041551246537395725
2013-03-11,7.19,7.29,7.16,7.19,14100,7.19,0.0
2013-03-12,7.25,7.28,7.1,7.14,26900,7.14,-0.006954102920723293
2013-03-13,7.15,7.31,7.11,7.14,21300,7.14,0.0
2013-03-14,7.12,7.15,4.51,6.82,54200,6.82,-0.0448179271708683
2013-03-15,7.11,7.21,7.0,7.01,28800,7.01,0.027859237536656867
2013-03-18,6.59,7.1,6.59,6.67,5700,6.67,-0.04850213980028528
2013-03-19,6.77,6.77,6.67,6.69,25200,6.69,0.0029985007496251548
2013-03-20,6.58,6.7,6.5,6.7,10000,6.7,0.001494768310911887
2013-03-21,6.58,6.6,6.5,6.51,11400,6.51,-0.028358208955223896
2013-03-22,6.54,6.83,6.53,6.83,13000,6.83,0.04915514592933956
2013-03-25,6.5,6.97,6.5,6.65,7400,6.65,-0.026354319180087793
2013-03-26,6.64,6.74,6.41,6.62,11300,6.62,-0.004511278195488799
2013-03-27,6.5,6.7,6.25,6.7,18300,6.7,0.012084592145015227
2013-03-28,6.5,6.75,6.5,6.74,11000,6.74,0.005970149253731405
2013-04-01,6.94,6.94,6.5,6.74,25700,6.74,0.0
2013-04-02,6.99,7.0,6.65,6.7,18200,6.7,-0.005934718100890191
2013-04-03,7.09,7.09,6.0,6.1,31600,6.1,-0.08955223880597019
2013-04-04,6.02,6.21,6.0,6.21,7000,6.21,0.0180327868852459
2013-04-05,6.15,6.49,6.07,6.46,12700,6.46,0.040257648953301084
2013-04-08,6.49,6.5,5.81,6.05,27500,6.05,-0.06346749226006199
2013-04-09,6.1,6.1,6.0,6.0,3800,6.0,-0.008264462809917328
2013-04-10,6.12,6.18,5.75,5.78,14000,5.78,-0.036666666666666625
2013-04-11,5.8,6.0,5.65,5.81,17300,5.81,0.00519031141868509
2013-04-12,5.91,5.91,5.5,5.71,5600,5.71,-0.01721170395869187
2013-04-15,5.75,5.8,5.32,5.35,9600,5.35,-0.0630472854640981
2013-04-16,5.66,5.66,5.25,5.5,23800,5.5,0.028037383177570208
2013-04-17,5.2,5.2,4.82,5.01,28300,5.01,-0.08909090909090911
2013-04-18,4.99,5.09,4.91,5.09,14700,5.09,0.015968063872255467
2013-04-19,5.09,5.1,4.95,4.99,17200,4.99,-0.01964636542239684
2013-04-22,4.98,5.03,4.98,5.02,15600,5.02,0.006012024048096087
2013-04-23,5.02,5.02,4.6,4.66,8600,4.66,-0.0717131474103585
