Date,Open,High,Low,Close,Volume,Adj Close,Return
1995-08-18,49.75,49.75,49.75,49.75,0,14.03,0.0
1995-08-21,49.0,51.0,49.0,51.0,4000,14.38,0.024946543121881826
1995-08-22,49.5,49.5,49.5,49.5,1200,13.96,-0.029207232267037586
1995-08-23,49.25,50.0,49.25,50.0,16200,14.1,0.010028653295128809
1995-08-24,50.0,50.0,50.0,50.0,0,14.1,0.0
1995-08-25,50.0,50.0,50.0,50.0,0,14.1,0.0
1995-08-28,50.0,50.0,50.0,50.0,0,14.1,0.0
1995-08-29,52.0,52.0,49.5,50.0,5400,14.1,0.0
1995-08-30,50.0,50.0,50.0,50.0,0,14.1,0.0
1995-08-31,50.0,50.0,50.0,50.0,0,14.1,0.0
1995-09-01,50.0,50.25,50.0,50.25,1800,14.17,0.004964539007092261
1995-09-05,49.5,49.5,49.5,49.5,2200,13.96,-0.014820042342978068
1995-09-06,49.5,50.0,49.5,50.0,4600,14.1,0.010028653295128809
1995-09-07,50.0,50.0,50.0,50.0,0,14.1,0.0
1995-09-08,51.0,51.0,51.0,51.0,3200,14.38,0.019858156028368823
1995-09-11,50.75,50.75,50.75,50.75,1800,14.31,-0.004867872044506227
1995-09-12,50.75,50.75,50.75,50.75,1600,14.31,0.0
1995-09-13,49.75,50.5,49.75,50.5,1200,14.24,-0.004891684136967167
1995-09-14,51.0,52.0,49.75,51.0,9600,14.38,0.00983146067415741
1995-09-15,49.75,52.0,49.75,52.0,3200,14.66,0.01947148817802491
1995-09-18,49.75,50.75,49.75,50.0,6000,14.1,-0.038199181446111896
1995-09-19,50.0,50.0,50.0,50.0,600,14.1,0.0
1995-09-20,50.0,50.0,50.0,50.0,0,14.1,0.0
1995-09-21,50.0,51.25,50.0,51.25,4000,14.45,0.024822695035460862
1995-09-22,51.5,51.5,50.0,50.0,1600,14.1,-0.02422145328719716
1995-09-25,50.0,50.0,50.0,50.0,0,14.1,0.0
1995-09-26,50.5,52.0,50.5,51.25,4000,14.45,0.024822695035460862
1995-09-27,52.5,52.5,51.25,51.25,10400,14.45,0.0
1995-09-28,50.5,53.0,50.5,53.0,1000,14.95,0.03460207612456756
1995-09-29,53.0,53.0,53.0,53.0,400,14.95,0.0
1995-10-02,51.0,53.0,51.0,51.0,14600,14.38,-0.03812709030100325
1995-10-03,52.75,52.75,52.75,52.75,2800,14.88,0.03477051460361613
1995-10-04,53.0,53.0,51.0,51.0,7400,14.38,-0.03360215053763438
1995-10-05,53.0,53.0,51.5,52.0,9400,14.66,0.01947148817802491
1995-10-06,51.5,51.5,51.5,51.5,4600,14.52,-0.009549795361528002
1995-10-09,52.0,52.0,52.0,52.0,1600,14.66,0.009641873278236845
1995-10-10,52.0,52.0,52.0,52.0,0,14.66,0.0
1995-10-11,51.5,51.5,51.5,51.5,3400,14.52,-0.009549795361528002
1995-10-12,51.5,51.5,51.5,51.5,0,14.52,0.0
1995-10-13,51.5,51.5,51.5,51.5,400,14.52,0.0
1995-10-16,51.5,51.5,51.5,51.5,600,14.52,0.0
1995-10-17,51.5,51.5,51.5,51.5,0,14.52,0.0
1995-10-18,54.0,54.0,54.0,54.0,400,15.23,0.04889807162534443
1995-10-19,51.5,54.0,51.5,51.63,15000,14.56,-0.04399212081418258
1995-10-20,54.0,54.0,54.0,54.0,400,15.23,0.046016483516483575
1995-10-23,51.5,51.5,51.5,51.5,400,14.52,-0.04661851608667111
1995-10-24,51.5,51.5,51.5,51.5,0,14.52,0.0
1995-10-25,51.5,51.5,51.5,51.5,600,14.52,0.0
1995-10-26,51.5,51.5,51.0,51.0,16200,14.38,-0.009641873278236845
