Date,Open,High,Low,Close,Volume,Adj Close,Return
1994-10-27,18.75,18.75,18.28,18.28,1601500,14.67,0.0
1994-10-28,18.28,18.28,17.93,17.93,340000,14.39,-0.019086571233810412
1994-10-31,18.28,18.28,18.05,18.17,218800,14.58,0.013203613620569765
1994-11-01,18.17,18.17,17.7,17.7,80100,14.2,-0.026063100137174278
1994-11-02,17.7,18.17,17.7,18.05,195000,14.48,0.019718309859154903
1994-11-03,18.17,18.75,18.17,18.75,283200,15.05,0.03936464088397784
1994-11-04,18.63,18.86,18.63,18.75,224600,15.05,0.0
1994-11-07,19.56,20.38,19.45,20.26,278500,16.26,0.08039867109634558
1994-11-08,20.26,20.49,20.14,20.49,256600,16.45,0.011685116851168464
1994-11-09,20.38,20.38,20.38,20.38,149600,16.35,-0.006079027355622935
1994-11-10,20.14,20.14,20.03,20.14,44200,16.17,-0.011009174311926606
1994-11-11,19.91,19.91,19.8,19.8,9000,15.89,-0.017316017316017396
1994-11-14,19.8,20.03,19.68,20.03,88400,16.07,0.01132787916928879
1994-11-15,20.03,20.03,19.68,19.68,89700,15.79,-0.017423771001866872
1994-11-16,19.68,19.8,19.68,19.68,170200,15.79,0.0
1994-11-17,19.21,19.91,19.21,19.8,87000,15.89,0.0063331222292590805
1994-11-18,19.68,19.8,19.68,19.68,54300,15.79,-0.006293266205160575
1994-11-21,19.8,19.91,19.8,19.91,51900,15.98,0.01203293223559232
1994-11-22,19.68,19.68,19.33,19.33,61100,15.51,-0.02941176470588236
1994-11-23,18.98,18.98,18.51,18.63,58000,14.95,-0.0361057382333978
1994-11-25,18.86,19.1,18.86,18.98,33500,15.23,0.01872909698996672
1994-11-28,19.1,19.1,19.1,19.1,83300,15.33,0.006565988181221227
1994-11-29,19.21,19.68,19.21,19.68,65700,15.79,0.030006523157207976
1994-11-30,19.45,19.56,19.21,19.56,275000,15.7,-0.005699810006333128
1994-12-01,19.45,19.56,19.33,19.56,132800,15.7,0.0
1994-12-02,19.56,19.56,19.45,19.56,265400,15.7,0.0
1994-12-05,19.56,19.8,19.56,19.68,183300,15.79,0.005732484076433009
1994-12-06,19.8,19.8,19.56,19.56,16500,15.7,-0.005699810006333128
1994-12-07,19.56,19.56,19.45,19.45,23000,15.61,-0.00573248407643312
1994-12-08,19.33,19.45,19.33,19.45,291900,15.61,0.0
1994-12-09,19.45,19.45,19.33,19.45,331800,15.61,0.0
1994-12-12,19.21,19.21,19.21,19.21,3500,15.42,-0.0121716848174247
1994-12-13,19.1,19.33,19.1,19.21,120200,15.42,0.0
1994-12-14,19.21,19.68,19.21,19.45,162500,15.61,0.012321660181582317
1994-12-15,19.21,19.56,19.21,19.45,216200,15.61,0.0
1994-12-16,19.56,19.68,19.56,19.56,115500,15.7,0.005765534913517056
1994-12-19,19.56,19.56,18.86,19.33,217200,15.51,-0.012101910828025475
1994-12-20,19.45,19.45,19.33,19.45,86200,15.61,0.006447453255963964
1994-12-21,19.21,19.33,19.21,19.21,136100,15.42,-0.0121716848174247
1994-12-22,19.33,19.45,19.33,19.45,67400,15.61,0.012321660181582317
1994-12-23,19.4,19.52,19.29,19.29,3000,15.54,-0.004484304932735439
1994-12-27,19.75,19.75,19.52,19.52,1700,15.73,0.012226512226512387
1994-12-28,19.4,19.4,19.29,19.4,15900,15.63,-0.006357279084551748
1994-12-29,19.4,19.64,19.4,19.64,15500,15.82,0.012156110044785562
1994-12-30,19.64,20.1,19.64,19.99,55000,16.1,0.017699115044247815
1995-01-03,19.75,19.75,19.17,19.29,157500,15.54,-0.034782608695652306
1995-01-04,18.93,18.93,17.77,17.77,124200,14.32,-0.07850707850707839
1995-01-05,17.53,17.77,17.3,17.3,105400,13.94,-0.026536312849162025
1995-01-06,17.42,17.53,17.42,17.53,100500,14.13,0.013629842180774787
1995-01-09,17.77,17.77,17.65,17.65,2200,14.22,0.006369426751592355
1995-01-10,17.42,17.42,17.42,17.42,5100,14.03,-0.013361462728551432
1995-01-11,17.53,17.53,17.42,17.42,61100,14.03,0.0
1995-01-12,17.42,17.42,16.71,16.71,104300,13.47,-0.03991446899501061
1995-01-13,16.71,16.83,16.71,16.83,81800,13.56,0.006681514476614581
1995-01-16,16.48,16.71,16.48,16.71,103800,13.47,-0.006637168141592875
1995-01-17,16.71,16.83,16.71,16.71,58400,13.47,0.0
