Date,Open,High,Low,Close,Volume,Adj Close,Return
2013-10-16,19.1,20.02,18.51,19.26,17412400,19.26,0.0
2013-10-17,19.15,20.15,19.14,20.0,1470400,20.0,0.03842159916926269
2013-10-18,19.75,20.31,19.62,20.2,723500,20.2,0.010000000000000009
2013-10-21,20.0,20.5,19.71,19.9,636900,19.9,-0.014851485148514865
2013-10-22,19.9,20.0,19.71,19.9,492200,19.9,0.0
2013-10-23,19.62,20.0,19.06,19.92,400900,19.92,0.0010050251256283893
2013-10-24,19.78,20.5,19.55,19.77,998800,19.77,-0.0075301204819278045
2013-10-25,19.83,20.05,19.36,19.53,531600,19.53,-0.012139605462822334
2013-10-28,19.5,19.85,19.5,19.61,254700,19.61,0.004096262160778297
2013-10-29,19.6,19.88,19.5,19.85,211800,19.85,0.012238653748087858
2013-10-30,19.71,20.5,19.71,20.27,393800,20.27,0.021158690176322326
2013-10-31,20.4,20.7,20.06,20.33,435000,20.33,0.002960039467192921
2013-11-01,20.28,21.94,20.26,21.6,1033300,21.6,0.06246925725528785
2013-11-04,21.88,22.14,21.21,21.63,405400,21.63,0.001388888888888884
2013-11-05,21.48,21.73,21.17,21.51,363400,21.51,-0.005547850208044269
2013-11-06,21.5,21.65,21.38,21.48,591200,21.48,-0.001394700139470073
2013-11-07,21.5,21.65,21.25,21.32,441200,21.32,-0.007448789571694592
2013-11-08,21.23,21.72,21.11,21.36,80900,21.36,0.0018761726078799779
2013-11-11,21.37,21.48,20.98,21.39,125800,21.39,0.0014044943820226141
2013-11-12,21.54,21.54,20.11,20.33,545700,20.33,-0.049555867227676575
2013-11-13,20.15,20.55,20.0,20.0,585100,20.0,-0.016232169208066805
2013-11-14,20.0,20.08,19.18,19.85,597800,19.85,-0.007499999999999951
2013-11-15,19.92,20.31,19.8,20.06,401100,20.06,0.010579345088161052
2013-11-18,20.19,20.25,19.47,19.49,350500,19.49,-0.02841475573280161
2013-11-19,19.45,19.63,19.41,19.46,245000,19.46,-0.0015392508978961938
2013-11-20,19.48,20.05,19.44,19.66,409700,19.66,0.010277492291880685
2013-11-21,19.74,20.38,19.74,20.1,246800,20.1,0.02238046795523907
2013-11-22,20.23,20.27,19.96,20.18,152300,20.18,0.003980099502487455
2013-11-25,20.46,20.87,20.11,20.48,33800,20.48,0.014866204162537144
2013-11-26,20.35,20.88,19.9,20.07,420900,20.07,-0.02001953125
2013-11-27,20.07,20.99,20.07,20.89,180000,20.89,0.040857000498256024
2013-11-29,20.92,21.3,20.92,21.08,117100,21.08,0.009095260890378043
2013-12-02,21.0,21.5,21.0,21.35,324500,21.35,0.012808349146110176
2013-12-03,21.38,21.38,21.0,21.2,230400,21.2,-0.007025761124121899
2013-12-04,21.13,21.74,21.07,21.6,178600,21.6,0.018867924528301883
2013-12-05,21.63,22.19,21.32,21.83,198100,21.83,0.010648148148147962
2013-12-06,22.33,22.38,21.71,21.77,281800,21.77,-0.002748511223087391
2013-12-09,21.71,21.76,20.99,21.18,201700,21.18,-0.027101515847496538
