Date,Open,High,Low,Close,Volume,Adj Close,Return
1990-03-26,13.42,13.42,13.11,13.42,28800,3.57,0.0
1990-03-27,13.11,13.42,13.11,13.11,6000,3.48,-0.025210084033613356
1990-03-28,13.11,13.42,13.11,13.34,35700,3.54,0.01724137931034475
1990-03-29,13.11,13.34,13.11,13.34,1700,3.54,0.0
1990-03-30,13.27,13.57,13.11,13.27,105300,3.52,-0.005649717514124353
1990-04-02,13.27,13.42,13.27,13.42,5900,3.57,0.014204545454545414
1990-04-03,13.42,13.73,13.27,13.73,8400,3.65,0.022408963585434094
1990-04-04,13.42,13.73,13.42,13.42,9500,3.57,-0.021917808219178103
1990-04-05,13.42,14.96,13.42,14.65,57600,3.89,0.08963585434173682
1990-04-06,14.65,14.96,14.65,14.81,20400,3.93,0.010282776349614497
1990-04-09,14.96,15.73,14.65,15.42,47600,4.1,0.043256997455470625
1990-04-10,15.58,15.58,14.96,15.12,47200,4.02,-0.019512195121951237
1990-04-11,15.27,15.27,14.96,14.96,95700,3.98,-0.00995024875621886
1990-04-12,15.27,15.27,14.96,14.96,13600,3.98,0.0
1990-04-16,15.42,15.73,15.12,15.12,44300,4.02,0.010050251256281229
1990-04-17,15.12,15.42,14.96,15.42,7100,4.1,0.01990049751243772
1990-04-18,15.12,15.27,14.81,14.81,15200,3.93,-0.04146341463414627
1990-04-19,14.96,14.96,14.81,14.81,16600,3.93,0.0
1990-04-20,14.81,14.96,14.81,14.81,13200,3.93,0.0
1990-04-23,14.96,14.96,13.73,13.73,40900,3.65,-0.07124681933842247
1990-04-24,14.19,14.19,13.88,13.88,19900,3.69,0.010958904109588996
1990-04-25,14.32,14.79,14.01,14.79,22400,3.99,0.08130081300813008
1990-04-26,14.79,14.79,14.32,14.56,15400,3.93,-0.015037593984962405
1990-04-27,14.48,14.48,14.17,14.17,3800,3.82,-0.027989821882951738
1990-04-30,14.17,14.64,14.17,14.64,21300,3.95,0.03403141361256545
1990-05-01,14.64,14.95,14.48,14.95,26400,4.03,0.020253164556962133
1990-05-02,14.95,14.95,14.64,14.79,5200,3.99,-0.00992555831265507
1990-05-03,15.1,15.1,14.79,14.95,13000,4.03,0.010025062656641603
1990-05-04,15.1,15.1,14.79,14.95,9400,4.03,0.0
1990-05-07,15.1,15.1,14.79,15.1,4600,4.07,0.00992555831265518
1990-05-08,14.87,15.1,14.79,14.95,32200,4.03,-0.009828009828009798
1990-05-09,14.79,15.1,14.79,15.1,9100,4.07,0.00992555831265518
1990-05-10,14.95,15.41,14.95,15.34,31900,4.14,0.017199017199017064
1990-05-11,15.41,15.57,15.26,15.26,13800,4.12,-0.004830917874396046
1990-05-14,15.26,15.73,15.26,15.41,12100,4.16,0.009708737864077666
1990-05-15,15.73,15.73,15.41,15.41,11200,4.16,0.0
1990-05-16,15.41,15.73,15.41,15.41,25600,4.16,0.0
1990-05-17,15.41,15.57,15.26,15.34,29200,4.14,-0.004807692307692402
1990-05-18,15.26,15.57,15.26,15.57,33500,4.2,0.01449275362318847
1990-05-21,15.26,15.73,15.26,15.73,20100,4.24,0.00952380952380949
1990-05-22,15.41,15.73,15.41,15.57,23900,4.2,-0.009433962264150941
1990-05-23,15.41,15.73,15.41,15.57,130300,4.2,0.0
1990-05-24,15.57,15.88,15.57,15.65,20000,4.22,0.004761904761904745
1990-05-25,15.57,15.73,15.57,15.57,46000,4.2,-0.004739336492890933
1990-05-29,15.57,15.73,15.57,15.57,29700,4.2,0.0
1990-05-30,15.57,15.73,15.57,15.57,35200,4.2,0.0
1990-05-31,15.41,15.73,15.41,15.41,11500,4.16,-0.00952380952380949
1990-06-01,15.73,15.73,15.41,15.41,26200,4.16,0.0
1990-06-04,15.73,15.73,15.41,15.73,18000,4.24,0.019230769230769162
1990-06-05,15.41,15.73,15.41,15.73,8700,4.24,0.0
1990-06-06,15.26,15.49,15.26,15.26,13900,4.12,-0.028301886792452824
1990-06-07,15.26,15.73,15.18,15.73,40900,4.24,0.029126213592232997
1990-06-08,15.41,15.73,15.41,15.41,24100,4.16,-0.018867924528301883
