Date,Open,High,Low,Close,Volume,Adj Close,Return
2011-12-15,17.25,18.2,17.25,18.1,6656800,18.1,0.0
2011-12-16,18.09,20.53,17.76,18.8,595500,18.8,0.03867403314917128
2011-12-19,19.0,19.03,18.0,18.25,172700,18.25,-0.0292553191489362
2011-12-20,18.33,18.99,18.03,18.95,222700,18.95,0.03835616438356171
2011-12-21,18.62,20.06,18.08,19.83,103600,19.83,0.04643799472295518
2011-12-22,20.05,20.5,19.28,19.56,142000,19.56,-0.013615733736762503
2011-12-23,19.84,19.84,19.5,19.67,50500,19.67,0.00562372188139082
2011-12-27,19.7,20.5,19.7,20.2,58600,20.2,0.026944585663446707
2011-12-28,20.3,21.99,20.05,20.73,133000,20.73,0.02623762376237626
2011-12-29,20.93,21.5,20.32,20.99,221800,20.99,0.012542209358417766
2011-12-30,20.82,22.31,20.82,22.3,169900,22.3,0.06241067174845183
2012-01-03,22.89,22.89,21.82,22.22,328300,22.22,-0.0035874439461883734
2012-01-04,22.3,22.44,21.84,22.15,139400,22.15,-0.0031503150315032036
2012-01-05,22.22,22.29,21.62,21.7,48400,21.7,-0.020316027088036037
2012-01-06,21.84,21.91,20.5,21.73,133200,21.73,0.0013824884792628112
2012-01-09,21.96,22.23,21.0,21.22,66300,21.22,-0.02346985734008289
2012-01-10,21.55,21.55,20.9,21.19,90800,21.19,-0.001413760603204417
2012-01-11,20.82,21.41,20.82,21.09,155800,21.09,-0.004719207173194961
2012-01-12,21.21,21.25,20.8,20.84,176500,20.84,-0.011853959222380306
2012-01-13,20.72,20.96,19.78,20.91,250000,20.91,0.0033589251439538614
2012-01-17,21.03,21.71,21.01,21.2,62700,21.2,0.013868962219033998
2012-01-18,21.2,21.28,20.98,20.99,126700,20.99,-0.009905660377358516
2012-01-19,21.0,21.32,21.0,21.14,547200,21.14,0.007146260123868542
2012-01-20,21.2,21.35,20.93,21.12,361600,21.12,-0.0009460737937558861
2012-01-23,21.14,22.8,20.65,22.27,203000,22.27,0.05445075757575757
2012-01-24,22.48,22.89,21.55,21.64,340300,21.64,-0.0282891782667265
2012-01-25,21.58,22.1,21.25,22.03,165100,22.03,0.01802218114602594
2012-01-26,22.49,22.66,21.92,21.97,168600,21.97,-0.002723558783477187
2012-01-27,21.93,22.39,21.9,22.1,93000,22.1,0.00591715976331364
2012-01-30,22.21,22.37,21.9,22.22,41800,22.22,0.005429864253393646
2012-01-31,22.3,22.35,22.15,22.16,177800,22.16,-0.0027002700270026825
2012-02-01,22.31,22.6,22.23,22.41,127200,22.41,0.011281588447653368
2012-02-02,22.48,23.52,22.48,23.42,303200,23.42,0.045069165551093304
2012-02-03,23.65,24.2,23.27,24.11,267800,24.11,0.029461998292057867
2012-02-06,24.09,24.53,23.86,24.53,189300,24.53,0.017420157610949838
2012-02-07,24.5,24.9,24.11,24.59,142600,24.59,0.0024459845087647647
2012-02-08,24.55,24.85,24.41,24.58,87800,24.58,-0.0004066693777958763
2012-02-09,24.67,24.67,24.21,24.44,81200,24.44,-0.005695687550854256
2012-02-10,24.22,25.29,24.04,25.2,161400,25.2,0.03109656301145658
2012-02-13,25.5,26.38,25.27,26.18,210900,26.18,0.03888888888888897
2012-02-14,26.19,26.77,25.6,26.2,169600,26.2,0.0007639419404124048
2012-02-15,26.35,26.51,25.82,26.26,181300,26.26,0.0022900763358779663
2012-02-16,26.38,27.91,26.27,26.6,200600,26.6,0.012947448591013044
2012-02-17,26.76,26.89,25.25,25.66,199300,25.66,-0.03533834586466167
2012-02-21,25.99,26.46,25.5,26.43,247800,26.43,0.03000779423226807
2012-02-22,26.45,26.73,25.19,25.34,61000,25.34,-0.04124101399924329
2012-02-23,25.4,26.06,25.25,25.71,216000,25.71,0.014601420678768795
2012-02-24,25.57,26.95,25.57,26.58,135700,26.58,0.03383897316219353
2012-02-27,26.54,27.44,26.35,26.8,186500,26.8,0.008276899924755554
2012-02-28,26.69,26.69,24.6,25.73,246800,25.73,-0.03992537313432831
2012-02-29,25.79,25.79,24.2,25.37,289700,25.37,-0.013991449669646272
2012-03-01,25.55,25.63,24.3,25.16,388500,25.16,-0.00827749310208914
2012-03-02,25.0,25.28,24.67,25.19,201700,25.19,0.0011923688394277487
2012-03-05,25.07,25.12,24.19,24.27,210900,24.27,-0.03652242953553009
2012-03-06,23.96,24.07,22.58,22.98,536500,22.98,-0.053152039555006136
2012-03-07,23.01,23.19,22.6,23.06,149400,23.06,0.003481288076588207
2012-03-08,23.11,23.46,22.94,23.17,252300,23.17,0.004770164787510911
2012-03-09,23.18,23.99,23.07,23.97,177000,23.97,0.03452740612861449
2012-03-12,23.9,24.07,23.04,23.6,116600,23.6,-0.015435961618689875
2012-03-13,23.69,23.88,23.11,23.7,199900,23.7,0.004237288135593209
2012-03-14,23.59,24.2,23.27,24.17,174600,24.17,0.019831223628692163
2012-03-15,24.3,25.09,24.06,24.82,371800,24.82,0.02689284236656997
2012-03-16,24.93,25.14,24.53,25.14,370000,25.14,0.012892828364222453
2012-03-19,25.07,25.88,25.07,25.67,157800,25.67,0.021081941129673876
2012-03-20,25.57,25.66,24.75,25.43,230200,25.43,-0.009349435138293782
2012-03-21,25.53,25.94,23.6,24.57,419300,24.57,-0.033818324813212675
2012-03-22,24.33,24.67,23.7,23.97,200900,23.97,-0.024420024420024444
2012-03-23,24.03,25.67,23.53,25.25,368100,25.25,0.053400083437630474
2012-03-26,25.06,25.06,23.89,24.09,639300,24.09,-0.04594059405940598
2012-03-27,24.03,24.08,22.18,22.77,993200,22.77,-0.0547945205479452
2012-03-28,23.0,23.0,21.81,22.11,544800,22.11,-0.02898550724637683
2012-03-29,21.91,22.37,21.5,22.24,465500,22.24,0.005879692446856488
2012-03-30,22.42,23.61,22.42,23.44,1514900,23.44,0.05395683453237421
2012-04-02,23.44,24.17,22.31,23.92,648200,23.92,0.020477815699658786
2012-04-03,23.88,24.9,23.64,24.81,484700,24.81,0.037207357859531554
2012-04-04,24.39,25.06,24.1,24.49,818200,24.49,-0.012898024989923429
2012-04-05,24.35,24.64,24.15,24.42,548700,24.42,-0.002858309514087276
2012-04-09,23.97,24.1,23.85,23.96,388700,23.96,-0.018837018837018826
2012-04-10,23.87,24.06,23.77,23.78,567600,23.78,-0.0075125208681134925
2012-04-11,24.0,24.18,23.62,23.78,370500,23.78,0.0
2012-04-12,23.81,24.03,23.55,23.96,271700,23.96,0.007569386038688064
2012-04-13,23.81,24.18,23.65,23.7,175000,23.7,-0.0108514190317196
2012-04-16,23.78,23.82,23.5,23.75,188700,23.75,0.0021097046413502962
2012-04-17,24.19,25.51,23.86,25.34,362100,25.34,0.06694736842105264
2012-04-18,25.12,25.12,24.62,24.71,224700,24.71,-0.024861878453038666
2012-04-19,24.77,25.15,24.61,24.79,354200,24.79,0.0032375556454875554
2012-04-20,24.98,25.28,24.86,25.27,224000,25.27,0.019362646228317848
2012-04-23,24.82,24.82,23.86,24.36,256000,24.36,-0.03601108033240996
2012-04-24,24.4,24.64,23.83,24.4,60700,24.4,0.0016420361247946325
2012-04-25,24.68,25.31,24.05,25.23,169300,25.23,0.03401639344262297
2012-04-26,25.2,26.1,25.01,25.64,232900,25.64,0.016250495441934243
2012-04-27,25.71,26.1,25.56,25.57,171600,25.57,-0.002730109204368225
2012-04-30,25.54,26.43,25.3,26.42,139000,26.42,0.033242080563159915
2012-05-01,26.48,26.87,26.13,26.63,286200,26.63,0.007948523845571431
2012-05-02,26.35,26.46,25.31,25.51,135000,25.51,-0.04205782951558379
2012-05-03,25.55,26.09,24.57,24.67,268000,24.67,-0.03292826342610744
2012-05-04,24.39,24.72,23.55,23.86,359700,23.86,-0.03283340089177145
2012-05-07,23.79,23.94,22.94,23.3,430000,23.3,-0.023470243084660503
2012-05-08,23.13,23.4,22.11,22.54,401900,22.54,-0.032618025751072977
2012-05-09,22.12,22.29,21.26,22.0,511000,22.0,-0.02395740905057675
2012-05-10,22.1,23.96,21.37,23.03,1068400,23.03,0.04681818181818187
2012-05-11,22.86,23.52,22.53,23.1,479400,23.1,0.003039513677811634
2012-05-14,22.73,22.76,22.15,22.16,299200,22.16,-0.04069264069264078
2012-05-15,22.15,22.41,20.79,20.99,471600,20.99,-0.052797833935018135
2012-05-16,20.95,22.18,20.95,21.24,321500,21.24,0.01191043353978083
2012-05-17,21.28,21.68,20.99,21.13,257400,21.13,-0.005178907721280601
2012-05-18,21.31,21.72,20.99,21.03,337200,21.03,-0.004732607666824373
2012-05-21,21.16,22.03,20.92,21.97,167100,21.97,0.044698050404184286
2012-05-22,22.06,22.37,21.26,21.5,225400,21.5,-0.02139280837505686
2012-05-23,21.27,21.41,20.86,21.1,314000,21.1,-0.018604651162790642
2012-05-24,21.2,21.59,21.02,21.1,178600,21.1,0.0
2012-05-25,21.11,21.5,21.0,21.43,61700,21.43,0.01563981042654028
2012-05-29,21.71,22.27,21.66,22.26,220400,22.26,0.038730751283247766
2012-05-30,21.81,21.81,20.55,21.02,450600,21.02,-0.05570530098831994
2012-05-31,21.05,21.71,20.84,21.05,1360500,21.05,0.001427212178877424
2012-06-01,20.6,20.9,20.12,20.39,367500,20.39,-0.03135391923990505
2012-06-04,20.39,20.47,19.5,20.25,389000,20.25,-0.006866110838646411
2012-06-05,20.21,20.88,20.16,20.76,58000,20.76,0.0251851851851852
2012-06-06,21.06,22.35,20.85,21.4,372400,21.4,0.030828516377649162
2012-06-07,21.74,21.8,20.74,21.38,234100,21.38,-0.0009345794392523477
2012-06-08,21.23,21.23,20.44,21.08,191000,21.08,-0.014031805425631427
2012-06-11,21.27,21.7,20.35,20.36,315700,20.36,-0.03415559772296006
2012-06-12,20.54,21.37,20.38,20.73,606300,20.73,0.018172888015717037
2012-06-13,20.57,21.25,19.74,19.82,408000,19.82,-0.04389773275446218
2012-06-14,19.88,20.19,19.26,19.45,568700,19.45,-0.018668012108980836
2012-06-15,19.54,19.69,19.08,19.12,396100,19.12,-0.016966580976863654
2012-06-18,18.89,19.01,18.29,18.79,501400,18.79,-0.01725941422594157
2012-06-19,18.83,19.46,18.39,19.41,428900,19.41,0.03299627461415655
2012-06-20,19.25,20.02,19.25,19.51,421600,19.51,0.005151983513652869
2012-06-21,19.46,19.56,18.62,18.92,643700,18.92,-0.030240902101486444
2012-06-22,19.32,19.73,19.04,19.53,601800,19.53,0.03224101479915431
2012-06-25,19.29,19.29,18.77,19.02,391000,19.02,-0.02611367127496167
2012-06-26,18.98,19.38,18.8,19.3,276200,19.3,0.014721345951629994
2012-06-27,19.36,20.16,19.36,20.04,98800,20.04,0.0383419689119171
2012-06-28,19.85,20.26,19.33,19.78,179700,19.78,-0.012974051896207484
2012-06-29,20.3,20.95,19.69,20.8,215600,20.8,0.051567239635995854
2012-07-02,20.65,21.16,20.44,21.1,265900,21.1,0.014423076923076872
2012-07-03,21.31,22.0,20.8,21.75,197200,21.75,0.0308056872037914
2012-07-05,21.6,22.1,21.5,21.84,209500,21.84,0.004137931034482678
2012-07-06,21.54,21.95,20.78,21.7,280200,21.7,-0.0064102564102563875
2012-07-09,21.63,21.91,21.25,21.74,81300,21.74,0.0018433179723502668
2012-07-10,22.07,22.07,21.09,21.16,281600,21.16,-0.026678932842686187
2012-07-11,21.25,21.87,21.16,21.69,123300,21.69,0.025047258979206122
2012-07-12,21.37,21.64,21.01,21.16,137800,21.16,-0.02443522360534811
2012-07-13,21.38,22.1,21.29,21.6,304400,21.6,0.020793950850661602
2012-07-16,21.37,21.82,21.37,21.64,188600,21.64,0.0018518518518517713
2012-07-17,21.8,22.24,21.44,22.21,75500,22.21,0.026340110905730185
2012-07-18,22.16,22.71,22.08,22.43,108400,22.43,0.009905447996398031
2012-07-19,22.51,23.69,21.8,22.6,497300,22.6,0.007579135086937194
2012-07-20,22.42,23.06,22.38,23.0,274000,23.0,0.017699115044247815
2012-07-23,22.55,22.55,21.7,22.02,92700,22.02,-0.042608695652173956
2012-07-24,22.13,22.73,22.0,22.15,318700,22.15,0.005903723887375145
2012-07-25,22.27,22.58,22.07,22.35,138700,22.35,0.009029345372460584
2012-07-26,22.76,22.95,22.44,22.87,79600,22.87,0.023266219239373553
2012-07-27,22.96,23.25,22.54,23.14,58800,23.14,0.011805859204197633
2012-07-30,23.08,23.32,22.74,23.0,40100,23.0,-0.006050129645635338
2012-07-31,23.01,23.44,22.81,22.98,86800,22.98,-0.0008695652173912327
2012-08-01,23.11,23.27,22.9,23.0,52100,23.0,0.0008703220191470518
2012-08-02,22.72,22.9,22.24,22.53,70600,22.53,-0.02043478260869558
2012-08-03,23.01,23.01,22.26,22.75,82600,22.75,0.009764758100310633
2012-08-06,22.74,23.0,22.56,22.93,181900,22.93,0.007912087912087973
2012-08-07,23.0,23.82,22.87,23.5,179100,23.5,0.024858264282599185
2012-08-08,23.2,23.96,22.88,23.51,180100,23.51,0.00042553191489358433
2012-08-09,23.42,24.1,23.03,24.09,79400,24.09,0.024670353041258863
2012-08-10,23.83,23.85,22.73,22.95,416200,22.95,-0.04732254047322548
2012-08-13,22.76,22.94,21.89,22.46,157200,22.46,-0.021350762527233003
