Date,Open,High,Low,Close,Volume,Adj Close,Return
1999-05-12,12.5,14.06,12.44,13.25,3074100,13.25,0.0
1999-05-13,13.12,13.12,10.88,11.19,1870200,11.19,-0.1554716981132076
1999-05-14,11.38,12.5,11.0,12.31,1503400,12.31,0.1000893655049151
1999-05-17,12.38,12.5,11.56,11.56,837100,11.56,-0.06092607636068237
1999-05-18,11.56,12.0,11.25,11.38,4058900,11.38,-0.01557093425605538
1999-05-19,11.38,11.5,10.5,10.56,833000,10.56,-0.07205623901581726
1999-05-20,10.56,10.63,9.62,9.75,1728600,9.75,-0.07670454545454553
1999-05-21,9.69,10.56,9.69,10.31,1720800,10.31,0.0574358974358975
1999-05-24,10.37,10.37,9.94,10.0,906300,10.0,-0.030067895247332777
1999-05-25,9.88,10.0,9.19,9.19,1787300,9.19,-0.08100000000000007
1999-05-26,9.31,9.44,9.13,9.31,1627300,9.31,0.01305767138193703
1999-05-27,9.25,10.06,9.25,9.81,1050700,9.81,0.05370569280343718
1999-05-28,9.69,10.12,9.69,10.0,608400,10.0,0.019367991845056
1999-06-01,10.0,10.69,10.0,10.31,730000,10.31,0.03100000000000014
1999-06-02,10.25,11.25,10.25,11.0,1686700,11.0,0.0669253152279341
1999-06-03,10.88,10.94,10.44,10.63,538700,10.63,-0.033636363636363575
1999-06-04,10.69,11.19,10.56,10.81,690200,10.81,0.016933207902163572
1999-06-07,10.88,12.25,10.88,12.0,259300,12.0,0.11008325624421822
1999-06-08,12.06,12.25,11.81,12.25,611500,12.25,0.02083333333333326
1999-06-09,12.06,12.19,11.06,11.5,204500,11.5,-0.061224489795918324
1999-06-10,11.19,11.5,10.94,11.38,380400,11.38,-0.01043478260869557
1999-06-11,11.12,11.56,11.12,11.44,129200,11.44,0.005272407732864526
1999-06-14,11.44,11.5,10.56,10.56,389800,10.56,-0.07692307692307687
1999-06-15,10.63,11.25,10.5,11.06,806500,11.06,0.04734848484848486
1999-06-16,10.94,11.19,10.94,11.06,273800,11.06,0.0
1999-06-17,11.06,11.06,10.0,10.88,227000,10.88,-0.016274864376130127
1999-06-18,10.75,10.75,10.25,10.56,958700,10.56,-0.02941176470588236
1999-06-21,10.56,10.75,10.12,10.56,432700,10.56,0.0
1999-06-22,10.44,10.63,10.44,10.44,177600,10.44,-0.011363636363636465
1999-06-23,10.5,11.56,10.37,11.56,327700,11.56,0.10727969348659006
1999-06-24,11.5,12.56,11.0,11.94,379000,11.94,0.03287197231833905
1999-06-25,11.94,12.5,11.87,12.31,178500,12.31,0.030988274706867713
1999-06-28,12.31,12.31,11.38,12.0,545900,12.0,-0.025182778229082103
1999-06-29,12.0,12.0,11.75,11.81,125900,11.81,-0.015833333333333255
1999-06-30,11.81,17.5,11.81,13.44,1397800,13.44,0.13801862828111755
1999-07-01,13.37,13.5,12.62,13.44,337400,13.44,0.0
1999-07-02,13.44,14.38,13.25,14.0,498600,14.0,0.04166666666666674
1999-07-06,13.75,13.88,12.88,13.12,66800,13.12,-0.06285714285714294
1999-07-07,13.12,13.63,13.12,13.37,101300,13.37,0.019054878048780477
1999-07-08,13.37,13.5,13.0,13.0,130700,13.0,-0.027673896783844354
1999-07-09,13.06,13.12,12.0,12.25,389900,12.25,-0.05769230769230771
1999-07-12,12.13,12.31,11.62,11.62,184200,11.62,-0.05142857142857149
1999-07-13,11.44,12.0,11.0,11.0,215200,11.0,-0.05335628227194489
1999-07-14,11.12,11.12,10.06,10.56,477100,10.56,-0.039999999999999925
1999-07-15,10.5,10.81,10.44,10.81,363900,10.81,0.02367424242424243
1999-07-16,10.56,10.88,10.56,10.88,376800,10.88,0.00647548566142464
1999-07-19,10.75,11.12,10.75,11.03,154800,11.03,0.013786764705882248
1999-07-20,11.0,11.12,10.25,10.34,300700,10.34,-0.06255666364460555
1999-07-21,10.31,10.37,10.06,10.06,313400,10.06,-0.027079303675048294
1999-07-22,10.06,10.25,9.88,10.06,86800,10.06,0.0
1999-07-23,9.94,10.06,9.69,9.69,477700,9.69,-0.036779324055666085
1999-07-26,9.69,9.69,8.94,9.62,392500,9.62,-0.007223942208462342
1999-07-27,9.75,10.19,9.56,9.88,341900,9.88,0.027027027027027195
1999-07-28,9.81,9.94,9.13,9.38,316900,9.38,-0.05060728744939269
1999-07-29,9.38,10.0,9.38,9.94,767000,9.94,0.05970149253731338
1999-07-30,9.91,10.12,9.88,9.88,110900,9.88,-0.006036217303822755
1999-08-02,9.94,10.0,9.75,9.75,512100,9.75,-0.013157894736842146
1999-08-03,9.75,9.94,9.5,9.56,454900,9.56,-0.019487179487179485
1999-08-04,9.44,9.44,8.75,8.81,660000,8.81,-0.07845188284518823
1999-08-05,8.87,9.0,8.81,8.94,194700,8.94,0.014755959137343844
1999-08-06,9.0,9.0,8.69,8.87,45700,8.87,-0.007829977628635354
1999-08-09,8.81,9.06,8.75,8.75,42200,8.75,-0.013528748590755257
1999-08-10,8.75,8.87,8.5,8.62,156000,8.62,-0.014857142857142902
1999-08-11,8.59,8.62,8.25,8.44,261900,8.44,-0.02088167053364265
1999-08-12,8.31,8.5,7.75,8.0,235600,8.0,-0.05213270142180093
1999-08-13,8.0,8.06,7.94,8.06,185900,8.06,0.007500000000000062
1999-08-16,8.12,8.56,7.94,8.12,186800,8.12,0.007444168734491052
1999-08-17,8.38,8.44,7.94,8.12,280400,8.12,0.0
1999-08-18,8.0,8.12,7.94,7.94,134000,7.94,-0.02216748768472887
1999-08-19,7.94,8.25,7.94,8.0,252300,8.0,0.007556675062972307
1999-08-20,8.25,8.31,8.0,8.12,272700,8.12,0.014999999999999902
1999-08-23,8.0,8.62,8.0,8.38,427700,8.38,0.032019704433497775
1999-08-24,8.12,8.38,7.94,7.94,195300,7.94,-0.05250596658711226
1999-08-25,8.12,8.25,7.81,7.94,125400,7.94,0.0
1999-08-26,7.94,8.0,7.88,7.88,67300,7.88,-0.007556675062972307
1999-08-27,7.88,8.0,7.75,7.75,146000,7.75,-0.016497461928933976
1999-08-30,7.75,7.75,7.0,7.0,140700,7.0,-0.09677419354838712
1999-08-31,7.12,7.12,6.88,6.88,179400,6.88,-0.017142857142857126
1999-09-01,7.0,7.12,6.88,6.94,388700,6.94,0.008720930232558155
1999-09-02,7.0,7.25,6.88,7.03,207300,7.03,0.012968299711815456
1999-09-03,6.94,7.5,6.94,7.5,61600,7.5,0.06685633001422464
1999-09-07,7.41,8.06,7.37,7.69,55600,7.69,0.02533333333333343
1999-09-08,7.44,8.12,7.44,8.0,46800,8.0,0.0403120936280883
1999-09-09,7.88,8.31,7.75,8.06,308100,8.06,0.007500000000000062
1999-09-10,8.06,8.81,8.06,8.69,32900,8.69,0.0781637717121586
1999-09-13,8.5,9.0,8.5,8.94,20900,8.94,0.028768699654775576
1999-09-14,8.81,9.13,8.75,9.0,99300,9.0,0.006711409395973256
1999-09-15,8.87,9.13,8.62,8.87,147400,8.87,-0.014444444444444482
1999-09-16,8.62,8.87,8.38,8.41,12300,8.41,-0.05186020293122873
1999-09-17,8.66,8.66,7.88,8.31,51700,8.31,-0.01189060642092743
1999-09-20,8.38,8.38,8.12,8.12,8900,8.12,-0.022864019253911128
1999-09-21,8.0,8.0,7.75,8.0,27600,8.0,-0.01477832512315258
1999-09-22,7.75,8.0,7.75,8.0,35500,8.0,0.0
1999-09-23,7.81,7.88,7.75,7.75,33300,7.75,-0.03125
1999-09-24,7.66,7.88,7.56,7.63,106000,7.63,-0.015483870967741953
1999-09-27,7.69,7.81,7.56,7.63,138500,7.63,0.0
1999-09-28,7.5,7.75,7.5,7.69,23000,7.69,0.007863695937090576
1999-09-29,7.63,8.5,7.53,8.38,466500,8.38,0.08972691807542277
1999-09-30,8.25,9.0,8.25,8.69,187400,8.69,0.03699284009546533
1999-10-01,8.69,8.69,8.12,8.38,140900,8.38,-0.035673187571921616
1999-10-04,8.69,9.13,8.69,8.87,153700,8.87,0.058472553699283836
1999-10-05,8.81,8.81,8.38,8.38,54500,8.38,-0.055242390078917514
1999-10-06,8.38,8.69,8.19,8.44,89200,8.44,0.007159904534606021
1999-10-07,8.19,8.44,7.69,7.75,76600,7.75,-0.08175355450236965
1999-10-08,7.75,7.94,7.75,7.81,166300,7.81,0.00774193548387081
1999-10-11,7.88,8.0,7.81,8.0,14700,8.0,0.02432778489116516
1999-10-12,7.88,8.12,7.88,8.12,37300,8.12,0.014999999999999902
1999-10-13,8.06,8.25,7.94,8.25,98600,8.25,0.016009852216748888
1999-10-14,8.31,9.0,8.12,8.5,43800,8.5,0.030303030303030276
1999-10-15,8.5,8.5,7.94,8.44,49200,8.44,-0.007058823529411784
1999-10-18,8.34,10.0,8.25,9.88,70100,9.88,0.17061611374407604
1999-10-19,9.75,9.88,8.62,8.62,297400,8.62,-0.12753036437246978
1999-10-20,8.5,8.69,7.81,7.88,49600,7.88,-0.08584686774941985
1999-10-21,7.81,7.97,7.81,7.88,24700,7.88,0.0
