Date,Open,High,Low,Close,Volume,Adj Close,Return
1985-07-01,20.1,20.58,20.1,20.58,59600,4.97,0.0
1985-07-02,20.58,20.74,20.5,20.66,9000,4.99,0.004024144869215318
1985-07-03,20.66,20.82,20.58,20.82,14200,5.03,0.008016032064128265
1985-07-05,20.82,21.06,20.82,20.82,26100,5.03,0.0
1985-07-08,20.82,21.38,20.74,21.38,21600,5.16,0.025844930417495027
1985-07-09,21.38,21.86,21.38,21.7,39600,5.24,0.015503875968992276
1985-07-10,21.7,22.57,21.7,22.34,70900,5.39,0.028625954198473247
1985-07-11,22.34,22.97,22.26,22.97,51800,5.55,0.029684601113172615
1985-07-12,22.97,23.29,22.42,22.42,70600,5.41,-0.02522522522522519
1985-07-15,22.42,22.81,22.34,22.65,47700,5.47,0.01109057301293892
1985-07-16,22.65,23.29,22.49,22.89,49700,5.53,0.010968921389396868
1985-07-17,22.89,22.97,22.81,22.81,6300,5.51,-0.003616636528029016
1985-07-18,22.81,22.89,22.65,22.81,4000,5.51,0.0
1985-07-19,22.81,23.53,22.49,23.53,31000,5.68,0.030852994555353952
1985-07-22,23.53,23.53,23.05,23.53,20200,5.68,0.0
1985-07-23,23.53,23.85,23.21,23.29,14400,5.62,-0.010563380281690127
1985-07-24,23.29,23.53,22.81,22.81,3400,5.51,-0.019572953736654908
1985-07-25,22.81,22.89,22.18,22.26,94500,5.37,-0.025408348457350183
1985-07-26,22.26,22.26,21.62,21.62,21800,5.22,-0.027932960893854775
1985-07-29,21.62,21.86,21.22,21.46,11200,5.18,-0.007662835249042099
1985-07-30,21.38,21.38,21.3,21.38,6100,5.16,-0.0038610038610037423
1985-07-31,21.38,21.78,21.22,21.78,25200,5.26,0.019379844961240345
1985-08-01,21.54,21.54,21.3,21.46,3800,5.18,-0.01520912547528519
1985-08-02,21.78,21.94,21.78,21.78,13300,5.26,0.015444015444015413
1985-08-05,21.78,21.94,20.74,20.98,30800,5.07,-0.0361216730038022
1985-08-06,20.98,21.3,20.5,20.5,12800,4.95,-0.023668639053254448
1985-08-07,20.5,20.74,20.42,20.74,33500,5.01,0.012121212121211977
1985-08-08,20.66,20.66,20.5,20.66,6100,4.99,-0.003992015968063756
1985-08-09,20.74,21.14,20.74,21.14,11900,5.1,0.022044088176352616
1985-08-12,21.06,21.06,20.58,20.74,16000,5.01,-0.01764705882352935
1985-08-13,20.74,20.98,20.5,20.58,13700,4.97,-0.007984031936127733
1985-08-14,20.74,21.06,20.74,20.82,5600,5.03,0.012072434607645954
1985-08-15,20.82,20.98,20.5,20.74,29500,5.01,-0.003976143141153132
1985-08-16,20.74,20.74,20.58,20.74,8100,5.01,0.0
1985-08-19,20.98,21.86,20.98,21.86,9700,5.28,0.05389221556886237
1985-08-20,21.86,21.86,21.38,21.78,5400,5.26,-0.0037878787878788955
1985-08-21,21.78,22.1,21.78,21.86,67700,5.28,0.0038022813688214363
1985-08-22,21.86,22.02,21.78,22.02,8100,5.32,0.007575757575757569
1985-08-23,22.02,23.05,22.02,22.97,31000,5.55,0.043233082706766846
1985-08-26,22.97,22.97,22.49,22.65,9000,5.47,-0.014414414414414378
1985-08-27,22.65,22.81,22.49,22.81,10400,5.51,0.007312614259597838
