Date,Open,High,Low,Close,Volume,Adj Close,Return
1999-10-05,1.26,2.45,1.26,1.26,0,188.44,0.0
1999-10-06,1.26,1.26,1.26,1.26,0,188.44,0.0
1999-10-07,2.51,3.01,2.51,2.51,0,376.87,0.9999469327106771
1999-10-08,2.31,2.31,2.07,2.31,0,346.72,-0.08000106137394847
1999-10-11,2.14,2.14,2.14,2.14,0,320.34,-0.07608444854637764
1999-10-12,2.14,2.14,2.14,2.14,0,320.34,0.0
1999-10-13,2.83,3.01,2.83,2.83,0,423.91,0.323312730224137
1999-10-14,2.83,2.83,2.83,2.83,0,423.91,0.0
1999-10-15,2.83,2.83,2.83,2.83,0,423.91,0.0
1999-10-18,2.83,2.83,2.83,2.83,0,423.91,0.0
1999-10-19,2.83,2.83,2.83,2.83,0,423.91,0.0
1999-10-20,2.83,2.83,2.83,2.83,0,423.91,0.0
1999-10-21,3.01,3.27,3.01,3.27,0,489.94,0.15576419523011942
1999-10-22,4.77,4.77,4.77,4.77,0,716.06,0.46152590113075065
1999-10-25,4.77,4.77,4.77,4.77,0,716.06,0.0
1999-10-26,5.02,5.28,4.77,5.28,0,791.44,0.1052705080579841
1999-10-27,5.28,5.28,5.28,5.28,0,791.44,0.0
1999-10-28,5.28,5.28,5.28,5.28,0,791.44,0.0
1999-10-29,5.28,5.28,5.28,5.28,0,791.44,0.0
1999-11-01,5.28,5.28,5.28,5.28,0,791.44,0.0
1999-11-02,5.28,5.28,5.28,5.28,0,791.44,0.0
1999-11-03,5.28,5.28,5.28,5.28,0,791.44,0.0
1999-11-04,5.28,5.28,5.28,5.28,0,791.44,0.0
1999-11-05,5.28,5.28,5.28,5.28,0,791.44,0.0
1999-11-08,4.77,4.77,4.77,4.77,0,716.06,-0.09524411199838279
1999-11-09,5.28,5.28,5.28,5.28,0,791.44,0.1052705080579841
1999-11-10,5.53,5.53,5.28,5.53,0,829.12,0.047609420802587676
1999-11-11,5.9,5.9,4.77,5.9,0,885.66,0.06819278270937867
1999-11-12,5.02,5.9,5.02,5.02,0,753.75,-0.14893977372806722
1999-11-15,5.02,5.02,5.02,5.02,0,753.75,0.0
1999-11-16,5.28,5.28,5.28,5.28,0,791.44,0.05000331674958547
1999-11-17,5.28,5.28,5.28,5.28,0,791.44,0.0
1999-11-18,5.53,5.9,5.53,5.53,0,829.12,0.047609420802587676
1999-11-19,5.53,5.53,5.53,5.53,0,829.12,0.0
1999-11-22,5.53,5.9,5.53,5.53,0,829.12,0.0
1999-11-23,5.53,5.9,5.53,5.9,0,885.66,0.06819278270937867
1999-11-24,5.9,5.9,5.9,5.9,0,885.66,0.0
1999-11-26,5.9,5.9,5.9,5.9,0,885.66,0.0
1999-11-29,6.28,6.28,5.9,6.28,0,942.19,0.06382810559356877
1999-11-30,7.54,8.04,6.53,7.54,0,1130.62,0.19999150914359087
1999-12-01,9.3,9.55,9.04,9.55,0,1432.12,0.2666678459606233
1999-12-02,8.04,9.04,7.54,7.54,0,1130.62,-0.21052705080579837
1999-12-03,7.54,7.54,7.54,7.54,0,1130.62,0.0
1999-12-06,7.03,7.03,6.03,6.03,0,904.5,-0.19999646211812983
1999-12-07,6.28,7.79,6.28,6.28,0,942.19,0.04166943062465456
1999-12-08,6.28,6.28,6.28,6.28,0,942.19,0.0
1999-12-09,6.28,6.28,6.28,6.28,0,942.19,0.0
1999-12-10,6.28,6.28,6.28,6.28,0,942.19,0.0
1999-12-13,8.29,8.54,7.79,8.54,0,1281.37,0.35999108460077034
1999-12-14,8.54,8.54,8.54,8.54,0,1281.37,0.0
1999-12-15,8.54,8.54,8.54,8.54,0,1281.37,0.0
1999-12-16,8.04,8.04,8.04,8.04,0,1206.0,-0.05881985687194169
1999-12-17,8.54,8.54,8.54,8.54,0,1281.37,0.06249585406301805
1999-12-20,8.04,8.04,8.04,8.04,0,1206.0,-0.05881985687194169
1999-12-21,8.04,8.04,8.04,8.04,0,1206.0,0.0
1999-12-22,8.54,8.54,8.04,8.04,0,1206.0,0.0
1999-12-23,8.04,8.04,8.04,8.04,0,1206.0,0.0
1999-12-27,8.04,8.04,8.04,8.04,0,1206.0,0.0
1999-12-28,8.04,8.04,8.04,8.04,0,1206.0,0.0
1999-12-29,8.04,8.04,8.04,8.04,0,1206.0,0.0
1999-12-30,8.04,8.04,8.04,8.04,0,1206.0,0.0
1999-12-31,8.04,8.04,8.04,8.04,0,1206.0,0.0
2000-01-03,8.04,8.04,8.04,8.04,0,1206.0,0.0
2000-01-04,7.54,7.54,7.29,7.29,0,1092.94,-0.09374792703150903
2000-01-05,7.79,7.79,7.54,7.79,0,1168.31,0.06896078467253464
2000-01-06,7.79,7.79,7.79,7.79,0,1168.31,0.0
2000-01-07,7.79,7.79,7.79,7.79,0,1168.31,0.0
2000-01-10,7.79,7.79,7.79,7.79,0,1168.31,0.0
2000-01-11,7.79,7.79,7.79,7.79,0,1168.31,0.0
2000-01-12,7.79,7.79,7.79,7.79,0,1168.31,0.0
2000-01-13,7.79,7.79,7.79,7.79,0,1168.31,0.0
2000-01-14,7.79,7.79,7.79,7.79,0,1168.31,0.0
2000-01-18,7.29,7.29,7.29,7.29,0,1092.94,-0.06451198740060415
2000-01-19,7.03,7.03,7.03,7.03,0,1055.25,-0.034484967152817236
