Date,Open,High,Low,Close,Volume,Adj Close,Return
2011-01-21,12.2,12.25,12.0,12.0,976200,9.21,0.0
2011-01-24,11.91,12.07,11.53,11.94,281200,9.17,-0.00434310532030413
2011-01-25,11.98,11.98,11.9,11.95,105900,9.17,0.0
2011-01-26,11.93,12.5,11.9,11.92,407600,9.15,-0.0021810250817884125
2011-01-27,12.05,12.05,11.87,11.94,318000,9.17,0.002185792349726823
2011-01-28,11.92,12.0,11.9,11.9,120600,9.13,-0.004362050163576825
2011-01-31,11.9,12.0,11.75,12.0,99000,9.21,0.008762322015334112
2011-02-01,11.95,12.12,11.95,12.0,277500,9.21,0.0
2011-02-02,12.07,12.07,11.9,11.99,98200,9.2,-0.0010857763300762269
2011-02-03,11.91,12.02,11.9,11.96,126200,9.18,-0.0021739130434782483
2011-02-04,11.91,12.0,11.9,11.97,93900,9.19,0.0010893246187364536
2011-02-07,11.93,12.02,11.91,12.0,206500,9.21,0.0021762785636563198
2011-02-08,11.9,12.0,11.9,11.96,69900,9.18,-0.0032573289902281255
2011-02-09,11.95,12.1,11.95,12.07,147900,9.26,0.008714596949891185
2011-02-10,12.05,12.1,11.9,12.01,429600,9.22,-0.004319654427645703
2011-02-11,12.0,12.08,12.0,12.05,246000,9.25,0.0032537960954446277
2011-02-14,12.05,12.1,12.0,12.0,123300,9.21,-0.00432432432432428
2011-02-15,12.01,12.02,12.0,12.0,198100,9.21,0.0
2011-02-16,12.0,12.01,11.95,12.0,150500,9.21,0.0
2011-02-17,11.95,12.0,11.9,11.9,123000,9.13,-0.008686210640608039
2011-02-18,12.0,12.0,11.81,11.83,136700,9.08,-0.005476451259583848
2011-02-22,11.88,11.88,11.61,11.73,182500,9.0,-0.008810572687224627
2011-02-23,11.74,11.75,11.6,11.62,93900,8.92,-0.008888888888888946
2011-02-24,11.5,11.88,11.5,11.84,163300,9.09,0.01905829596412545
2011-02-25,11.85,11.91,11.74,11.9,57600,9.13,0.004400440044004528
2011-02-28,11.83,11.96,11.5,11.95,293000,9.17,0.004381161007666945
2011-03-01,11.98,12.0,11.75,11.79,70300,9.05,-0.013086150490730586
2011-03-02,11.94,12.11,11.93,12.07,260500,9.26,0.023204419889502725
2011-03-03,12.13,12.17,12.09,12.12,222200,9.3,0.004319654427645814
2011-03-04,12.13,12.25,12.0,12.15,76800,9.33,0.003225806451612856
2011-03-07,12.15,12.15,12.03,12.09,88800,9.28,-0.005359056806002238
2011-03-08,12.06,12.2,12.02,12.19,182900,9.36,0.008620689655172376
2011-03-09,12.12,12.16,12.0,12.06,110500,9.26,-0.010683760683760646
2011-03-10,11.96,12.07,11.96,12.05,43700,9.25,-0.001079913606911398
2011-03-11,12.05,12.17,12.0,12.1,43900,9.29,0.00432432432432428
2011-03-14,12.05,12.06,11.9,11.96,69100,9.18,-0.011840688912809427
2011-03-15,11.75,11.94,11.75,11.88,104400,9.12,-0.0065359477124183885
2011-03-16,11.88,12.17,11.8,12.03,127700,9.23,0.01206140350877205
2011-03-17,12.0,12.08,11.93,12.0,50000,9.21,-0.0021668472372696757
2011-03-18,12.0,12.03,11.79,11.8,68500,9.06,-0.016286644951140072
2011-03-21,11.8,12.01,11.8,11.93,64100,9.16,0.011037527593819041
2011-03-22,11.84,11.96,11.83,11.84,78000,9.09,-0.007641921397379958
2011-03-23,11.78,12.05,11.75,12.03,103400,9.23,0.015401540154015514
2011-03-24,12.08,12.08,11.9,11.91,62200,9.14,-0.009750812567713929
2011-03-25,11.96,12.14,11.91,12.0,42700,9.21,0.007658643326039494
2011-03-28,11.99,12.1,11.9,12.03,77500,9.23,0.0021715526601520097
2011-03-29,12.02,12.12,11.81,11.97,68300,9.19,-0.004333694474539684
2011-03-30,12.02,12.06,11.87,11.92,65100,9.15,-0.0043525571273121955
2011-03-31,11.87,12.18,11.85,12.18,1086900,9.35,0.021857923497267784
2011-04-01,12.18,12.21,11.93,12.0,112500,9.21,-0.014973262032085488
2011-04-04,11.96,12.11,11.94,12.0,62100,9.21,0.0
2011-04-05,11.94,12.05,11.85,12.04,87400,9.24,0.0032573289902280145
2011-04-06,12.08,12.2,12.0,12.19,59000,9.36,0.01298701298701288
2011-04-07,12.1,12.1,11.99,12.05,30000,9.25,-0.01175213675213671
2011-04-08,12.06,12.15,11.79,11.91,36600,9.14,-0.011891891891891881
2011-04-11,11.89,11.99,11.77,11.8,34900,9.06,-0.008752735229759279
2011-04-12,11.78,11.79,11.65,11.69,63300,8.97,-0.009933774834437026
2011-04-13,11.71,11.75,11.43,11.58,123500,8.89,-0.00891861761426982
2011-04-14,11.6,11.6,11.4,11.45,112700,8.79,-0.011248593925759387
2011-04-15,11.43,11.52,11.42,11.45,42000,8.79,0.0
2011-04-18,11.45,11.45,11.31,11.39,34700,8.74,-0.00568828213879391
2011-04-19,11.44,11.44,11.3,11.36,14700,8.72,-0.0022883295194507935
2011-04-20,11.37,11.47,11.21,11.4,55100,8.75,0.0034403669724769603
2011-04-21,11.45,11.46,11.3,11.4,59700,8.75,0.0
2011-04-25,11.6,11.62,11.31,11.41,29500,8.76,0.0011428571428571122
2011-04-26,11.37,11.43,11.3,11.42,68200,8.77,0.0011415525114155667
2011-04-27,11.4,11.49,11.37,11.47,47000,8.8,0.003420752565564511
2011-04-28,11.42,11.46,11.3,11.43,62300,8.77,-0.003409090909091028
2011-04-29,11.46,11.73,11.32,11.7,45000,8.98,0.023945267958951133
2011-05-02,11.71,11.75,11.69,11.72,47000,9.0,0.00222717149220486
2011-05-03,11.74,11.78,11.62,11.65,59000,8.94,-0.00666666666666671
2011-05-04,11.67,11.8,11.35,11.36,117000,8.72,-0.02460850111856816
2011-05-05,11.34,11.42,11.3,11.33,63700,8.7,-0.002293577981651529
2011-05-06,11.4,11.7,11.35,11.6,40900,8.9,0.02298850574712663
2011-05-09,11.56,11.73,11.53,11.69,15000,8.97,0.00786516853932584
2011-05-10,11.76,12.0,11.69,11.96,33800,9.18,0.02341137123745818
2011-05-11,11.96,11.99,11.62,11.75,26300,9.02,-0.017429193899782147
2011-05-12,11.75,11.95,11.75,11.95,31000,9.17,0.016629711751662946
2011-05-13,12.24,12.24,11.75,11.79,55400,9.05,-0.013086150490730586
2011-05-16,11.75,11.94,11.5,11.54,87900,8.86,-0.020994475138121693
2011-05-17,11.54,11.85,11.54,11.79,23300,9.05,0.021444695259593916
2011-05-18,11.76,12.07,11.76,11.92,68700,9.15,0.011049723756906049
2011-05-19,11.99,11.99,11.8,11.87,102600,9.11,-0.004371584699453646
2011-05-20,11.85,11.98,11.85,11.88,26700,9.12,0.001097694840834329
2011-05-23,11.85,11.95,11.8,11.8,54800,9.06,-0.0065789473684209065
2011-05-24,11.8,11.89,11.72,11.76,38900,9.03,-0.0033112582781458233
2011-05-25,11.77,11.81,11.66,11.77,32700,9.03,0.0
2011-05-26,11.7,11.85,11.51,11.85,32900,9.1,0.007751937984496138
2011-05-27,11.81,12.03,11.53,11.75,56800,9.14,0.004395604395604602
2011-05-31,11.75,11.87,11.59,11.74,64900,9.13,-0.001094091903719896
2011-06-01,11.74,11.77,11.4,11.42,43600,8.89,-0.026286966046002225
2011-06-02,11.47,11.61,11.43,11.49,23500,8.94,0.0056242969628794715
2011-06-03,11.4,11.51,11.27,11.27,39800,8.77,-0.019015659955257225
2011-06-06,11.22,11.84,11.22,11.46,52500,8.92,0.01710376282782211
2011-06-07,11.54,11.54,11.3,11.41,42000,8.88,-0.004484304932735328
2011-06-08,11.4,11.47,11.33,11.33,38200,8.82,-0.006756756756756799
2011-06-09,11.3,11.44,11.25,11.31,36600,8.8,-0.0022675736961450532
2011-06-10,11.29,11.35,11.24,11.27,29100,8.77,-0.003409090909091028
2011-06-13,11.32,11.35,11.11,11.22,33600,8.73,-0.004561003420752496
2011-06-14,11.29,11.32,11.24,11.3,27200,8.79,0.0068728522336767295
2011-06-15,11.24,11.31,11.11,11.12,42000,8.65,-0.015927189988623303
2011-06-16,11.16,11.25,11.0,11.23,25900,8.74,0.010404624277456698
2011-06-17,11.29,11.42,11.14,11.16,96700,8.68,-0.006864988558352492
2011-06-20,11.16,11.69,11.16,11.6,46800,9.03,0.040322580645161255
2011-06-21,11.55,11.58,11.29,11.29,215600,8.78,-0.027685492801771905
2011-06-22,11.28,11.44,11.19,11.19,34400,8.71,-0.007972665148063607
2011-06-23,11.1,11.34,11.08,11.32,38700,8.81,0.01148105625717566
2011-06-24,11.35,11.65,11.15,11.53,347500,8.97,0.018161180476730987
2011-06-27,11.45,11.65,11.33,11.55,53800,8.99,0.0022296544035673715
2011-06-28,11.45,11.74,11.45,11.59,40400,9.02,0.0033370411568409697
2011-06-29,11.6,11.6,11.3,11.6,44600,9.03,0.0011086474501107446
2011-06-30,11.59,11.83,11.52,11.74,50500,9.13,0.011074197120708895
2011-07-01,11.72,11.72,11.6,11.63,31800,9.05,-0.008762322015334112
2011-07-05,11.63,11.73,11.53,11.59,16100,9.02,-0.0033149171270719924
2011-07-06,11.54,11.64,11.36,11.47,54600,8.92,-0.011086474501108556
2011-07-07,11.51,11.67,11.02,11.28,145500,8.78,-0.015695067264574036
2011-07-08,11.28,11.48,11.28,11.38,22900,8.85,0.007972665148063829
2011-07-11,11.39,11.44,11.11,11.2,28100,8.71,-0.01581920903954792
2011-07-12,11.2,11.26,11.05,11.14,85100,8.67,-0.004592422502870397
2011-07-13,11.2,11.32,11.14,11.32,18500,8.81,0.016147635524798254
2011-07-14,11.27,11.35,11.16,11.22,29900,8.73,-0.009080590238365494
2011-07-15,11.28,11.28,11.09,11.11,62700,8.64,-0.010309278350515427
2011-07-18,11.05,11.12,11.03,11.04,32700,8.59,-0.0057870370370370905
2011-07-19,11.12,11.17,11.0,11.16,29400,8.68,0.010477299185098987
2011-07-20,11.2,11.2,11.0,11.07,65600,8.61,-0.008064516129032251
2011-07-21,11.11,11.25,11.01,11.18,49200,8.7,0.010452961672473782
2011-07-22,11.2,11.2,11.04,11.08,19200,8.62,-0.00919540229885063
2011-07-25,11.01,11.09,10.98,10.98,46500,8.54,-0.009280742459396807
2011-07-26,10.93,11.09,10.93,10.96,28600,8.53,-0.0011709601873536313
2011-07-27,10.87,10.87,10.5,10.58,123200,8.23,-0.035169988276670505
2011-07-28,10.56,10.82,10.28,10.39,74700,8.08,-0.018226002430133725
2011-07-29,10.28,10.33,9.95,10.3,96600,8.01,-0.008663366336633671
2011-08-01,10.39,10.83,10.39,10.67,35400,8.3,0.0362047440699127
2011-08-02,10.61,10.62,10.45,10.45,22100,8.13,-0.02048192771084334
2011-08-03,10.4,10.45,10.2,10.36,27100,8.06,-0.008610086100861003
2011-08-04,10.45,10.74,9.94,10.12,119500,7.87,-0.023573200992555887
2011-08-05,10.19,11.15,10.13,10.53,65900,8.19,0.04066073697585759
2011-08-08,10.53,10.99,10.12,10.14,183300,7.89,-0.03663003663003661
2011-08-09,10.35,10.83,10.08,10.78,150200,8.39,0.06337135614702172
2011-08-10,10.55,10.57,10.22,10.28,134100,8.0,-0.04648390941597147
2011-08-11,10.31,10.89,10.31,10.75,59000,8.36,0.04499999999999993
2011-08-12,10.84,10.98,10.53,10.61,53800,8.26,-0.011961722488038284
2011-08-15,11.26,11.44,10.94,11.0,149500,8.56,0.03631961259079919
2011-08-16,11.02,11.05,10.73,10.94,99200,8.51,-0.005841121495327228
2011-08-17,11.02,11.06,10.9,10.92,19000,8.5,-0.001175088131609825
2011-08-18,10.72,10.96,10.58,10.63,57100,8.27,-0.027058823529411802
2011-08-19,10.52,10.77,10.5,10.5,42100,8.17,-0.012091898428053138
2011-08-22,10.78,10.87,10.43,10.46,27200,8.14,-0.003671970624234966
2011-08-23,10.58,10.9,10.5,10.6,52800,8.25,0.013513513513513375
2011-08-24,10.6,10.68,10.45,10.49,49200,8.16,-0.010909090909090868
2011-08-25,10.51,10.51,9.97,10.03,111800,7.8,-0.044117647058823595
2011-08-26,10.01,10.26,10.01,10.24,174800,7.97,0.021794871794871717
2011-08-29,10.33,10.93,10.2,10.92,33900,8.5,0.06649937264742789
2011-08-30,10.7,10.82,10.33,10.76,10800,8.54,0.004705882352941115
2011-08-31,10.88,10.92,10.52,10.59,37500,8.4,-0.016393442622950727
2011-09-01,10.55,10.7,10.43,10.52,42400,8.35,-0.005952380952381042
2011-09-02,10.35,10.53,10.2,10.2,31800,8.09,-0.031137724550898138
2011-09-06,9.97,10.35,9.93,10.29,29300,8.16,0.008652657601977864
2011-09-07,10.45,10.56,10.38,10.5,25000,8.33,0.02083333333333326
2011-09-08,10.5,10.54,10.2,10.21,24100,8.1,-0.027611044417767183
2011-09-09,10.13,10.5,10.13,10.23,65800,8.12,0.0024691358024691024
2011-09-12,10.2,10.47,10.19,10.41,65900,8.26,0.017241379310344973
2011-09-13,10.48,10.61,10.16,10.25,51900,8.13,-0.015738498789346078
2011-09-14,10.35,10.61,10.29,10.54,51600,8.36,0.028290282902828867
2011-09-15,10.64,10.65,10.45,10.5,19400,8.33,-0.003588516746411363
2011-09-16,10.56,10.62,10.26,10.57,36200,8.39,0.007202881152461149
2011-09-19,10.44,10.61,10.25,10.38,15500,8.24,-0.017878426698450522
2011-09-20,10.46,10.56,10.06,10.2,38800,8.09,-0.01820388349514568
2011-09-21,10.16,10.39,9.83,9.87,30500,7.83,-0.03213844252163167
2011-09-22,9.65,10.14,9.65,9.84,36600,7.81,-0.0025542784163474774
2011-09-23,9.8,10.0,9.7,9.87,32500,7.83,0.00256081946222797
2011-09-26,9.94,10.18,9.87,10.0,16500,7.93,0.012771392081736943
2011-09-27,10.17,10.5,10.17,10.42,48900,8.27,0.04287515762925587
2011-09-28,10.44,10.5,9.89,9.89,38400,7.85,-0.050785973397823425
2011-09-29,10.1,10.17,9.76,10.14,50300,8.04,0.02420382165605095
2011-09-30,10.01,10.15,9.78,10.08,104000,8.0,-0.004975124378109319
2011-10-03,9.99,10.42,9.96,9.96,115500,7.9,-0.012499999999999956
2011-10-04,9.9,10.55,9.62,10.28,105300,8.16,0.032911392405063244
2011-10-05,10.2,10.23,9.71,9.85,70100,7.81,-0.04289215686274517
